,annotation_original,annotation_unique,annotation_unique_extra,blob
0,,None,None,I. Allgemeine Angaben zu Bilanzierungs- und Bewertungsmethoden
1,"8.0, 9","H7, H10a","H7.0, H10a","Die Gliederung des Jahresabschlusses der Media Markt TV-HiFi-Elektro GmbH München-Pasing, München, erfolgt unter Anwendung
der §§ 265 ff. HGB. Für die Gewinn- und Verlustrechnung wird dabei das Gesamtkostenverfahren zugrunde gelegt."
2,8.0,H7,H7.0,Die Bewertung entspricht den für Kapitalgesellschaften geltenden Vorschriften des HGB.
3,,None,None,II. Angaben zu einzelnen Bilanzposten
4,4.2,H3a,H3a.2,"Die immateriellen Vermögensgegenstände des Anlagevermögens werden zu Anschaffungskosten einschließlich Nebenkosten,
vermindert um Abschreibungen, angesetzt. Die Abschreibungen erfolgen nach der linearen Abschreibungsmethode unter
Zugrundelegung der betriebsgewöhnlichen Nutzungsdauer."
5,"4.7, 8","H3a, H7","H3a.7, H7","Die Vermögensgegenstände des Sachanlagevermögens werden zu Anschaffungskosten einschließlich Nebenkosten, vermindert um
Abschreibungen, angesetzt. Sämtliche Vermögensgegenstände werden stets nach der linearen Abschreibungsmethode unter
Zugrundelegung der betriebsgewöhnlichen Nutzungsdauer abgeschrieben. Für Zugänge bei beweglichen Vermögensgegenständen
des Sachanlagevermögens wird die anteilige Jahresabschreibung (pro rata temporis) verrechnet. Geringwertige Anlagegüter mit
einem Einzelwert bis einschließlich EUR 150,00 werden im Zeitpunkt ihrer Anschaffung unmittelbar als Aufwand erfasst.
Geringwertige Anlagegüter mit einem Einzelwert zwischen EUR 150,00 und EUR 1.000,00 werden im Zeitpunkt des Zugangs in einem
Sammelposten aktiviert. Der Sammelposten wird im Jahr der Bildung und in den folgenden vier Jahren mit jeweils 20 %
abgeschrieben."
6,"4.1, 15, 16","H3a, H17a, H17b","H3a.1, H17a, H17b",Die Entwicklung des Anlagevermögens wird auf den Seiten 6 und 7 dargestellt.
7,"4.20, 8","H3a, H7","H3a.20, H7","Bei den Vorräten werden Waren zu Anschaffungskosten unter Beachtung des Niederstwertprinzips bewertet. Für Lagerrisiken und
nicht vollwertige Bestände werden warengruppenspezifische Bewertungsabschläge auf die Vorräte vorgenommen."
8,4.25,H3a,H3a.25,"Die Forderungen und sonstigen Vermögensgegenstände sind mit dem Nennwert angesetzt. Auf zweifelhafte Forderungen werden
Einzelwertberichtigungen gebildet. In den sonstigen Vermögensgegenständen sind sonstige Forderungen in Höhe von EUR
115.515,62 (i. Vj. EUR 126.208,60) mit einer Restlaufzeit von mehr als einem Jahr enthalten. Alle übrigen Forderungen haben eine
Restlaufzeit bis zu einem Jahr."
9,"4.27, 20","H3a, H19","H3a.27, H19","Die Forderungen gegen verbundene Unternehmen sind mit dem Nennwert angesetzt. Sie beinhalten Forderungen gegen die
Gesellschafterin Media-Saturn Deutschland GmbH, Ingolstadt, in Höhe von EUR 1.642.957,19 (i. Vj. EUR 1.897.630,75)."
