; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Anhang ;;;;;
Konzernanhang für das Geschäftsjahr 2016;;;;;
der AL-KO KOBER SE, Kötz;;;;;
A. Grundlagen des Konzernabschlusses;;;;;
1. Allgemeine Grundsätze;;;;;
Die AL-KO KOBER SE, Kötz, (Amtsgericht Memmingen, HRB 15514) und ihre Tochtergesellschaften werden in den Konzernabschluss der AL-KO GmbH, München (vormals: Kober Beteiligungs GmbH, Jettingen-Scheppach), einbezogen. Die AL-KO KOBER SE stellt diesen Konzernabschluss freiwillig auf. Der Konzernabschluss wird unter Beachtung der Vorschriften des HGB und des AktG erstellt.; 101, 145 ;2016;AL-KO KOBER SE;Konzernabschluss;Ebner Stolz
2. Konsolidierungskreis und Anteilsbesitz;;2016;AL-KO KOBER SE;Konzernabschluss;Ebner Stolz
In den Konzernabschluss werden gemäß § 294 Abs. 1 HGB als Mutterunternehmen die AL-KO KOBER SE, Kötz, sowie zehn inländische und 23 ausländische Tochterunternehmen einbezogen.;;2016;AL-KO KOBER SE;Konzernabschluss;Ebner Stolz
Im Vergleich zum Vorjahr hat sich der Konsolidierungskreis durch die Gründung der AL-KO G+H Beteiligungs GmbH, Kötz, um eine Gesellschaft erweitert. Weiterhin wurden zum 1. Juli 2016 die restlichen 75 % der Anteile an der LKV-Oelze Lufttechnische Komponenten Vertriebsgesellschaft mbH, Neustadt, erworben. Die Gesellschaft wurde sodann auf die AL-KO THERM GMBH, Jettingen-Scheppach, verschmolzen.;147;2016;AL-KO KOBER SE;Konzernabschluss;Ebner Stolz
"Anzahl vollkonsolidierter Unternehmen Inland Ausland Gesamt
Stand 01.01.2016 10 23 33
Gründungen 1 0 1
Mehrheitserwerb 1 0 1
Verschmelzung -1 0 -1
Stand 31.12.2016 11 23 34";147;2016;AL-KO KOBER SE;Konzernabschluss;Ebner Stolz
Neben den verbleibenden 33 vollkonsolidierten Tochtergesellschaften geht eine als assoziiertes Unternehmen im Sinne des § 311 Abs. 1 HGB bilanzierte Gesellschaft sowie drei Gesellschaften als sonstige Beteiligungen in den Konzernabschluss der AL-KO KOBER SE ein, welche gemäß § 311 Abs. 2 HGB von untergeordneter Bedeutung für die Vermögens-, Finanz- und Ertragslage sind.;104;2016;AL-KO KOBER SE;Konzernabschluss;Ebner Stolz
Der Konsolidierungskreis stellt sich somit zum 31. Dezember 2016 wie folgt dar:; 103, 106 ;2016;AL-KO KOBER SE;Konzernabschluss;Ebner Stolz
"Nr. Name und Sitz der Gesellschaften Anteil am Kapital.
in %
Art der Einbeziehung Gehalten von Nr.
1. AL-KO KOBER SE, Kötz
2. ABF Immobilien GmbH, Kötz 100 k 1
3. NBF GmbH, Kötz 100 k 1
4. AL-KO Immobilien GmbH, Kitz 100 k 1
5. AL-KO Polinya GmbH, Kötz 100 k 1
6. AL-KO Abadiano GmbH, Kötz 100 k 1
7. Gewerbepark Günzburg GmbH, Kötz 100 k 1
8. AL-KO Geräte GmbH, Kötz 100 k 1
9. AL-KO G+H Beteiligungs GmbH, Kötz 100 k 8
10. AL-KO THERM GMBH, Jettingen-Scheppach 100 k 1
11. AL-KO KOBER Ges.m.b.H, Zellberg/Österreich 100 k 1
12. AL-KO KOBER Induskies Inc., Wilmington 100 k 1
13. AL-KO KOBER Holdings (Pty) Ltd., Vereeniging/Südatika 100 k 1
14. AL-KO Kober AG, Spreitenbach/Schweiz 100 k 1
15. AL-KO KOBER Sp. z.a.a., Przezmierawa/Polen 100 k 8
16. AL-KO KOBER SIA, Riga/Lettland 100 k 1
17. ZA0 AL-KO St Petersburg GmbH, St Petersburg/Russland 100 k 1
18. OOO AL-KO St Petersburg, St Petersburg/Russland 100 k 1
19. OOO AL-KO KOBER, Moskau/Russland 100 k 1
20. T0V ""AL-KO Kober, KIew/Ukraine 100 k 1
21. AL-KO Real Estate UK Limiled, Southam/Großbritannien 100 k 1
22. APL GmbH, Kötz 100 k 10
23. AL-KO AXIS Inc., Elkharl/USA 100 k 12
24. AL-KO AUTOMOTIVE CORPORATION, Elkharl/USA 100 k 12
25. AL-KO KOBER LLC, Elkhart/USA 100 k 26
26. AXIS Produds Inc., Elkhart/USA 100 k 23
27. TRAILAX (Pty.) Ltd., Vereeniging/Südafrika 100 k 13
28. AL-KO Garden & Home S.r.l., Brivio/Italien 100 k 8
29. AL-KO Air Technology Co. Ltd., Taicang/China 100 k 10
30. AL-KO Magyarország Kft., Alsonemedi/Ungarn 100 k 8
31. AL-KO KOBER spol. s.r.o., Pisek/Tschechien 100 k 11
32. AL-KO KOBER SLOVAKIA spol. s.r.o., Bernolakovo/Slowakei 100 k 31
33. AL-KO GINGE A/S, Bronderslev/Dänemark 100 k 8
34. GINGE Svenska AB, Hisings Kärra/Schweden 100 k 33
35. AL-KO Luchttechniek B.V., Roden/Niederlande 22 b 10
36. Shaanxi Baocheng-AeroTech Air-Conditioning Equipment Co. Ltd., Baoji City/China 37,9 at 10
37. AL-KO THERM d.o.o., Ljubljana/Slowenien 33,3 b 10
38. LKV Lufttechnische Komponenten Vertriebsgesellschaft mbH, Neubrandenburg 48 b 10
Art der Einbeziehung - per 31.12.2016
k vollkonsolidierte Gesellschaften gemäß § 313 Abs. 2 Nr. 1
at nach der Equity-Methode bilanzierte Finanzanlagen gemäß § 313 Abs. 2 Nr. 2
b Beteiligungen gemäß § 313 Abs. 2 Nr. 4"; 103, 106 ;2016;AL-KO KOBER SE;Konzernabschluss;Ebner Stolz
Im Zusammenhang mit dem Erwerb der restlichen 75 % Anteile an der LKV-Oelze Lufttechnische Komponenten Vertriebsgesellschaft mbH, Neustadt, und der Erstkonsolidierung dieser Tochtergesellschaft zum 1. Juli 2016 sind folgende Vermögensgegenstände und Schulden in der Konzernbilanz übernommen worden:;147;2016;AL-KO KOBER SE;Konzernabschluss;Ebner Stolz
"Buchwert Zugänge
Bilanz in TEUR
Immaterielle Vermögensgegenstände und Sachanlagen 168
Sonstige Finanzanlagen 0
Vorräte 71
Forderungen und sonstige Vermögensgegenstände 289
Flüssige Mittel 540
Rückstellungen -162
Verbindlichkeiten -177";147;2016;AL-KO KOBER SE;Konzernabschluss;Ebner Stolz
