; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Anhang ;;;;;
Anhang für das Geschäftsjahr 2016;;;;;
der AL-KO KOBER SE, Kötz;;;;;
A. Rechnungslegungsgrundsätze;;;;;
Bei der Bilanzierung und Bewertung sind im Jahresabschluss der AL-KO KOBER SE, Kötz (Amtsgericht Memmingen, HRB 15514), die Vorschriften des HGB für große Kapitalgesellschaften angewandt worden. Im Berichtsjahr wurden die durch das Bilanzrichtlinie-Umsetzungsgesetz (kurz: BilRUG) geänderten Vorschriften des HGB erstmals angewandt. Die Änderungen betreffen insbesondere die Anwendung des geänderten Gliederungsschemas für die Gewinn- und Verlustrechnung sowie Umgliederungen vom Posten „Sonstige betriebliche Erträge“ in die Umsatzerlöse. Die Vorjahreszahlen wurden nicht angepasst. Im Übrigen entsprechen Darstellung und Gliederung des Jahresabschlusses den Vorjahresgrundsätzen.; 8.0, 1, 113 ;2016;AL-KO KOBER SE;Jahresabschluss;Ebner Stolz
Die Gewinn- und Verlustrechnung ist nach dem Gesamtkostenverfahren aufgestellt.; 8.0 ;2016;AL-KO KOBER SE;Jahresabschluss;Ebner Stolz
Die entgeltlich erworbenen immateriellen Vermögensgegenstände sind zu Anschaffungskosten vermindert um planmäßige kumulierte Abschreibungen bewertet. Die Abschreibungen werden linear über die betriebsgewöhnliche Nutzungsdauer von drei bzw. fünf Jahren vorgenommen.; 8.4 ;2016;AL-KO KOBER SE;Jahresabschluss;Ebner Stolz
Das Sachanlagevermögen ist mit den aktivierungspflichtigen Anschaffungs-/Herstellungskosten angesetzt und, soweit abnutzbar, um planmäßige Abschreibungen vermindert. Die betriebsgewöhnlichen Nutzungsdauern liegen hierbei zwischen zwei und 50 Jahren.; 8.7 ;2016;AL-KO KOBER SE;Jahresabschluss;Ebner Stolz
Zugänge werden ausschließlich nach der linearen Methode abgeschrieben. Abnutzbare bewegliche geringwertige Anlagegüter mit Anschaffungskosten bis EUR 400,00 werden mit Ausnahme der Zugänge von Hard- und Software im Jahr ihres Zugangs voll abgeschrieben.; 8.7 ;2016;AL-KO KOBER SE;Jahresabschluss;Ebner Stolz
Die geleisteten Anzahlungen sind ohne Umsatzsteuer ausgewiesen.; 8.11 ;2016;AL-KO KOBER SE;Jahresabschluss;Ebner Stolz
Soweit der nach vorstehenden Grundsätzen ermittelte Wert von Gegenständen des Anlagevermögens über dem Wert liegt, der ihnen am Bilanzstichtag beilzulegen ist, wird dem durch außerplanmäßige Abschreibungen Rechnung getragen. Stellt sich in einem späteren Geschäftsjahr heraus, dass die Gründe hierfür nicht mehr bestehen, so wird der Betrag dieser Abschreibungen im Umfang der Werterhöhung unter Berücksichtigung der Abschreibungen, die inzwischen vorzunehmen gewesen wären, zugeschrieben.; 8.7 ;2016;AL-KO KOBER SE;Jahresabschluss;Ebner Stolz
Die aktivierten Eigenleistungen werden basierend auf Stundenaufzeichnungen der Mitarbeiter unter Zugrundelegung eines nach Kostenstellen differenzierten Stundensatzes ermittelt.; 8.7 ;2016;AL-KO KOBER SE;Jahresabschluss;Ebner Stolz
Finanzanlagen sind zu Anschaffungskosten bzw. dem niedrigeren beizulegenden Wert bewertet. Die Bestimmung der beizulegenden Werte der Anteile an verbundenen Unternehmen erfolgt auf Basis einer Dreijahresplanung unter Anwendung der Ertragswertmethode. Stellt sich in einem späteren Geschäftsjahr heraus, dass die Gründe für eine außerplanmäßige Abschreibung auf den niedrigeren beizulegenden Wert nicht mehr bestehen, so wird der Betrag dieser Abschreibung im Umfang der Werterhöhung zugeschrieben.; 8.12 ;2016;AL-KO KOBER SE;Jahresabschluss;Ebner Stolz
Bei den unter den Wertpapieren des Anlagevermögens ausgewiesenen Rückdeckungsansprüchen aus Lebensversicherungen handelt es sich auf Grund der fehlenden Insolvenzsicherung nicht um Deckungsvermögen im Sinne des § 246 Abs. 2 Satz 2 HGB, sodass insoweit keine Saldierung mit den entsprechenden Pensionsverpflichtungen erfolgt. Weitere als Deckungsvermögen zu klassifizierende Rückdeckungsansprüche werden mit den entsprechenden Pensionsverpflichtungen saldiert.; 8.17 ;2016;AL-KO KOBER SE;Jahresabschluss;Ebner Stolz
Forderungen und sonstige Vermögensgegenstände werden zu Nennwerten angesetzt. Alle erkennbaren Einzelrisiken werden bei der Bewertung berücksichtigt.; 8.24 ;2016;AL-KO KOBER SE;Jahresabschluss;Ebner Stolz
Die Pensionsverpflichtungen werden nach anerkannten versicherungsmathematischen Grundsätzen unter Zugrundelegung biometrischer Wahrscheinlichkeiten (Richttafeln 2005 G von Prof. Dr. Klaus Heubeck) nach der „Projected Unit Credit“-Methode (PUC-Methode) ermittelt. Zukünftig erwartete Entgelt- und Rentensteigerungen werden bei der Ermittlung der Verpflichtung berücksichtigt. Dabei wird derzeit von jährlichen Anpassungen von bis zu 2,50 % bei den Entgelten und von bis zu 1,25 % bei den Renten ausgegangen. Bei der Festlegung des laufzeitkongruenten Rechnungszinssatzes wird in Anwendung des Wahlrechts nach § 253 Abs. 2 Satz 2 HGB bei der Abzinsung pauschal eine durchschnittliche Restlaufzeit von 15 Jahren unterstellt. Der zum Abschlussstichtag verwendete Rechnungszinssatz beträgt 4,01 %.; 8.48, 41 ;2016;AL-KO KOBER SE;Jahresabschluss;Ebner Stolz
Der Rechnungszinssatz basiert in 2016 erstmalig - entsprechend der gesetzlichen Neuregelung in § 253 Abs. 2 Satz 1 HGB - auf dem von der Deutschen Bundesbank ermittelten durchschnittlichen Marktzinssatz der vergangenen zehn Jahre in Höhe von 4,01 % (im Vorjahr: durchschnittlicher Marktzinssatz der vergangenen sieben Jahre in Höhe von 3,89 %).; 8.48, 42 ;2016;AL-KO KOBER SE;Jahresabschluss;Ebner Stolz
Aus der Abzinsung der Rückstellungen für Pensionen mit dem durchschnittlichen Marktzinssatz der vergangenen zehn Jahre ergibt sich zum 31. Dezember 2016 im Vergleich zur Abzinsung mit dem durchschnittlichen Marktzinssatz der vergangenen sieben Jahre eine Verminderung der Rückstellungen für Pensionen (Bewertungsänderung) in Höhe von EUR 658.500,00 (Unterschiedsbetrag).; 8.48, 42 ;2016;AL-KO KOBER SE;Jahresabschluss;Ebner Stolz
Vermögensgegenstände, die dem Zugriff aller übrigen Gläubiger entzogen, unbelastet und insolvenzsicher sind sowie ausschließlich zur Erfüllung von Schulden aus Pensionsverpflichtungen dienen (Deckungsvermögen) werden gemäß § 246 Abs. 2 Satz 2 HGB unmittelbar mit den korrespondierenden Schulden verrechnet.; 8.36, 44 ;2016;AL-KO KOBER SE;Jahresabschluss;Ebner Stolz
Das Deckungsvermögen ist zum Zeitwert bewertet. Der beizulegende Zeitwert des Deckungsvermögens (Rückdeckungsversicherungen) entspricht den fortgeführten Anschaffungskosten gemäß § 255 Abs. 4 Satz 3 HGB und besteht aus dem so genannten geschäftsplanmäßigen Deckungskapital des Versicherungsunternehmens zuzüglich eines gegebenenfalls vorhandenen Guthabens aus Beitragsrückerstattungen (so genannte unwiderrufliche Überschussbeteiligung).; 8.36, 44 ;2016;AL-KO KOBER SE;Jahresabschluss;Ebner Stolz
Erfolgswirkungen aus der Änderung des Diskontierungssatzes, Zeitwertänderungen des Deckungsvermögens und laufende Erträge des Deckungsvermögens werden im Finanzergebnis gezeigt.; 8.36, 44 ;2016;AL-KO KOBER SE;Jahresabschluss;Ebner Stolz
Die übrigen Rückstellungen berücksichtigen alle erkennbaren Risiken und ungewissen Verpflichtungen und sind in Höhe des nach vernünftiger kaufmännischer Beurteilung notwendigen Erfüllungsbetrages bewertet. Zukünftige Preis- und Kostensteigerungen werden berücksichtigt, sofern ausreichend objektive Hinweise für deren Eintritt vorliegen. Rückstellungen mit einer Restlaufzeit von mehr als einem Jahr sind mit dem ihrer Restlaufzeit entsprechenden durchschnittlichen Marktzinssatz der vergangenen sieben Geschäftsjahre, der von der Deutschen Bundesbank zum Bilanzstichtag ermittelt wurde, abgezinst.; 8.50 ;2016;AL-KO KOBER SE;Jahresabschluss;Ebner Stolz
"Die Rückstellung für Altersteilzeitverpflichtungen wird nach anerkannten versicherungsmathematischen Grundsätzen unter Zugrundelegung biometrischer Wahrscheinlichkeiten (Richttafeln 2005 G von Prof. Dr. Klaus Heubeck) entsprechend IDW RS HFA 3 ermittelt. Bei der Festlegung des laufzeitkongruenten Rechnungszinssatzes wird der von der Deutschen Bundesbank ermittelte und veröffentlichte durchschnittliche Marktzinssatz der letzten sieben Jahre verwendet, der sich bei einer angenommenen Restlaufzeit von drei Jahren ergibt. Der zum Bilanzstichtag verwendete Rechnungszinssatz beträgt 1,81 %. Zukünftig erwartete
Entgeltsteigerungen werden bei der Ermittlung der Verpflichtung berücksichtigt. Dabei wird derzeit von jährlichen Anpassungen bei den Entgelten von 2,50 % ausgegangen."; 8.50 ;2016;AL-KO KOBER SE;Jahresabschluss;Ebner Stolz
Die Bewertung der Jubiläumsrückstellung erfolgt als Barwert der künftigen Jubiläumszusendungen am Schluss des Wirtschaftsjahres, wobei die Zuwendung ratierlich über die Jahre der Unternehmenszugehörigkeit angesammelt wird. Die Abzinsung erfolgt mit einem Rechnungszinsfuß für eine durchschnittliche Restlaufzeit von 15 Jahren (3,24 %). Es wird eine jährliche Fluktuationsrate von 3,0 % unterstellt.; 8.50 ;2016;AL-KO KOBER SE;Jahresabschluss;Ebner Stolz
Die Verbindlichkeiten werden zum Erfüllungsbetrag bilanziert.; 8.51 ;2016;AL-KO KOBER SE;Jahresabschluss;Ebner Stolz
Aktive bzw. passive latente Steuern werden für zeitliche Unterschiede zwischen den handelsrechtlichen und steuerlichen Wertansätzen von Forderungen gegen verbundene Unternehmen und Rückstellungen ermittelt. Eine sich insgesamt ergebende Steuerbelastung würde in der Bilanz als passive latente Steuer angesetzt werden. Im Falle eines Überhangs aktiver latenter Steuern würde in Ausübung des Wahlrechts aus § 274 Absatz 1 Satz 2 HGB keine Aktivierung erfolgen. Im Geschäftsjahr ergab sich insgesamt ein - nicht bilanzierter - Überhang an aktiven latenten Steuern.; 8.64, 27 ;2016;AL-KO KOBER SE;Jahresabschluss;Ebner Stolz
Forderungen und Verbindlichkeiten in Fremdwährung mit einer Restlaufzeit bis zu einem Jahr werden entsprechend § 256a HGB zum Devisenkassamittelkurs am Bilanzstichtag umgerechnet. Insofern sind im vorliegenden Jahresabschluss unrealisierte Gewinne und Verluste aus der Währungsumrechnung enthalten. Bei einer Restlaufzeit über einem Jahr erfolgt die Umrechnung mit dem Wechselkurs zum Zeitpunkt des Entstehens. Bei Wechselkursänderungen bis zum Bilanzstichtag erfolgt die Bewertung grundsätzlich zum Wechselkurs des Bilanzstichtags unter Beachtung des Niederstwertprinzips auf der Aktiv- und des Höchstwertprinzips auf der Passivseite.; 8.0 ;2016;AL-KO KOBER SE;Jahresabschluss;Ebner Stolz
B. Erläuterungen zur Bilanz und Gewinn- und Verlustrechnung;;2016;AL-KO KOBER SE;Jahresabschluss;Ebner Stolz
I. Bilanz;;2016;AL-KO KOBER SE;Jahresabschluss;Ebner Stolz
1. Anlagevermögen; 4.1 ;2016;AL-KO KOBER SE;Jahresabschluss;Ebner Stolz
Die gesondert dargestellte Entwicklung des Anlagevermögens ist integraler Bestandteil des Anhangs.; 4.1, 15, 16 ;2016;AL-KO KOBER SE;Jahresabschluss;Ebner Stolz
2. Forderungen und sonstige Vermögensgegenstände; 4.25 ;2016;AL-KO KOBER SE;Jahresabschluss;Ebner Stolz
