Anhang; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Konzernanhang für das Geschäftsjahr 2016;;2016;Amazonen-Werke H.Dreyer GmbH &Co.KG;Konzernabschluss;Ulrich Baller, Wirtschaftsprüfer
I. Allgemeine Angaben zum Konzernabschluss und Konzernabschlussstichtag;;2016;Amazonen-Werke H.Dreyer GmbH &Co.KG;Konzernabschluss;Ulrich Baller, Wirtschaftsprüfer
Der Konzernabschluss der AMAZONEN-WERKE H. Dreyer GmbH & Co. KG und ihrer Tochterunternehmen ist für das Geschäftsjahr 2016 (01.01.2016 bis 31.12.2016) nach den Vorschriften des deutschen Handelsgesetzbuches (HGB) aufgestellt worden, gem. § 264a HGB i.V.m. § 290 HGB.; 9.0 ;2016;Amazonen-Werke H.Dreyer GmbH &Co.KG;Konzernabschluss;Ulrich Baller, Wirtschaftsprüfer
Konzernabschlussstichtag ist der 31.12.2016.; 90 ;2016;Amazonen-Werke H.Dreyer GmbH &Co.KG;Konzernabschluss;Ulrich Baller, Wirtschaftsprüfer
Die Konzernwährung ist EURO.; 9.0 ;2016;Amazonen-Werke H.Dreyer GmbH &Co.KG;Konzernabschluss;Ulrich Baller, Wirtschaftsprüfer
Sitz des Unternehmens ist Hasbergen (Deutschland). Die Gesellschaft ist eingetragen beim Amtsgericht Osnabrück unter HRA 2716.; 83 ;2016;Amazonen-Werke H.Dreyer GmbH &Co.KG;Konzernabschluss;Ulrich Baller, Wirtschaftsprüfer
Für die Konzern-Gewinn- und Verlustrechnung wird das Gesamtkostenverfahren angewendet. Die Gliederung der Konzernbilanz und der Konzern-Gewinn- und Verlustrechnung richtet sich nach handelsrechtlichen Grundsätzen. Aus Gründen der Klarheit der Darstellung wurden einzelne Posten zusammengefasst und im Anhang gesondert erläutert.; 8 ;2016;Amazonen-Werke H.Dreyer GmbH &Co.KG;Konzernabschluss;Ulrich Baller, Wirtschaftsprüfer
Durch die Erstanwendung der Vorschriften des am 23. Juli 2015 in Kraft getretenen Bilanzrichtlinie-Umsetzungsgesetzes (BilRUG) ändern sich die bisherige Form der Darstellung und die bisher angewandten Ausweismethoden in der Gewinn- und Verlustrechnung. Im Einzelnen werden durch BilRUG die im Gliederungsschema zur Gewinn- und Verlustrechnung enthaltenen Posten „außerordentliche Erträge“ und „außerordentliche Aufwendungen“ sowie dementsprechend die Zwischenergebnisse „Ergebnis der gewöhnlichen Geschäftstätigkeit“ und „außerordentliches Ergebnis“ gestrichen. Eine weitere Gliederungsänderung der Gewinn- und Verlustrechnung ist die Einfügung eines Zwischenergebnisses „Ergebnis nach Steuern“ zwischen dem Posten „Steuern vom Einkommen und vom Ertrag“ und dem Posten „sonstige Steuern“. Diesbezüglich wurde eine entsprechende Anpassung der Vorjahresbeträge gemäß Art. 75 Abs. 2 Einführungsgesetz zum Handelsgesetzbuch (EGHGB) vorgenommen.; 2, 4 ;2016;Amazonen-Werke H.Dreyer GmbH &Co.KG;Konzernabschluss;Ulrich Baller, Wirtschaftsprüfer
Darüber hinaus ergeben sich durch die Erstanwendung des BilRUG im Geschäftsjahr 2016 Ausweisänderungen im Zusammenhang mit der Neudefinition der Umsatzerlöse. Diese betreffen insbesondere die Umsatzerlöse und die sonstigen betrieblichen Erträge sowie die korrespondierenden Aufwandsposten.; 2, 49 ;2016;Amazonen-Werke H.Dreyer GmbH &Co.KG;Konzernabschluss;Ulrich Baller, Wirtschaftsprüfer
Die Umsatzerlöse 2015 in Höhe von 448.786.181,76 € hätten unter Anwendung des BilRUG 448.948.893,17 € betragen.; 49 ;2016;Amazonen-Werke H.Dreyer GmbH &Co.KG;Konzernabschluss;Ulrich Baller, Wirtschaftsprüfer
