Anhang für das Geschäftsjahr vom 1. September 2015 bis 31. August 2016; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
AVAG Holding Societas Europaea, Augsburg;;31.08.2016;SE;Jahresabschluss;KPMG
Der Jahresabschluss zum 31. August 2016 der AVAG Holding SE, Augsburg, wurde nach den Vorschriften des Handelsgesetzbuches und den ergänzenden Vorschriften des Aktiengesetzes erstellt.; 113 ;31.08.2016;SE;Jahresabschluss;KPMG
Die Gesellschaft erfüllt die Größenklassen einer großen Kapitalgesellschaft i. S. d. § 267 Abs. 3 HGB.;;31.08.2016;SE;Jahresabschluss;KPMG
Die Gliederung der Bilanz sowie der Gewinn- und Verlustrechnung entspricht den §§ 266 und 275 HGB, wobei für die Gewinn- und Verlustrechnung das Gesamtkostenverfahren Anwendung findet.; 8.0 ;31.08.2016;SE;Jahresabschluss;KPMG
Bilanzierungs- und Bewertungsgrundsätze; 8.0 ;31.08.2016;SE;Jahresabschluss;KPMG
Die Bilanzierungs- und Bewertungsmethoden werden gegenüber dem Vorjahr grundsätzlich unverändert angewandt.; 8.0 ;31.08.2016;SE;Jahresabschluss;KPMG
Im Einzelnen erfolgte die Bewertung wie folgt:;;31.08.2016;SE;Jahresabschluss;KPMG
"Entgeltlich erworbene immaterielle Vermögensgegenstände des Anlagevermögens sind mit den Anschaffungskosten zuzüglich Anschaffungsnebenkosten, abzüglich Skonti und planmäßiger Abschreibungen
bewertet."; 8.2 ;31.08.2016;SE;Jahresabschluss;KPMG
"Die planmäßigen Abschreibungen erfolgen grundsätzlich linear unter Zugrundelegung der betriebsgewöhnlichen Nutzungsdauer von drei bis fünf Jahren. Im Jahr des Zugangs werden die Abschreibungen
monatsgenau verrechnet."; 8.1 ;31.08.2016;SE;Jahresabschluss;KPMG
"Das Sachanlagevermögen ist zu Anschaffungskosten zuzüglich Anschaffungsnebenkosten abzüglich Skonti bzw. mit den Herstellungskosten bewertet. Eigenleistungen werden entsprechend den internen Aufzeichnungen
mit den notwendigen Fertigungskosten als Herstellungskosten der Gebäude aktiviert. Die Abschreibungen auf Gebäude erfolgen linear bei Nutzungsdauern von bis zu 50 Jahren, bei Betriebsvorrichtungen
bis zu 20 Jahren. Bei den anderen Anlagen und der Betriebs- und Geschäftsausstattung liegen die Nutzungsdauern zwischen drei und 20 Jahren. Die Abschreibung erfolgt linear, im Jahr des Zugangs
monatsgenau."; 8.7 ;31.08.2016;SE;Jahresabschluss;KPMG
Geringwertige Anlagegüter mit Einzelanschaffungspreis bis zu EUR 410,00 werden im Zugangsjahr voll abgeschrieben und im Anlagenspiegel als Zu- und Abgang dargestellt.; 8.7 ;31.08.2016;SE;Jahresabschluss;KPMG
"Die Anteile an verbundenen Unternehmen und Beteiligungen werden bei Zugang mit den Anschaffungskosten zuzüglich Anschaffungsnebenkosten, Ausleihungen mit den Nominalbeträgen angesetzt. Abschreibungen
auf den niedrigeren beizulegenden Wert werden vorgenommen. In dem Geschäftsjahr, in dem sich herausstellt, dass die Gründe für die Wertminderung nicht mehr bestehen, wird der Betrag der
Abschreibung im Umfang der Werterhöhung zugeschrieben."; 8.12 ;31.08.2016;SE;Jahresabschluss;KPMG
"Das Vorratsvermögen besteht aus Betriebsstoffen sowie Waren, hauptsächlich Neu- und Gebrauchtwagen. Sie sind mit den Anschaffungskosten bzw. dem niedrigeren beizulegenden Wert aktiviert. Der Grundsatz
der verlustfreien Bewertung wird beachtet."; 8.20 ;31.08.2016;SE;Jahresabschluss;KPMG
"Forderungen aus Lieferungen und Leistungen, Forderungen gegen verbundene Unternehmen und sonstige Vermögensgegenstände werden bei Entstehung bzw. Zugang mit ihrem Nominalbetrag angesetzt.
Unverzinsliche Forderungen mit einer Laufzeit von mehr als einem Jahr werden mit dem Barwert angesetzt. Erkennbare und latente Risiken sind mit Wertberichtigungen erfasst. Dem allgemeinen Kreditrisiko
wird durch eine Pauschalwertberichtigung ausreichend Rechnung getragen."; 8.25 ;31.08.2016;SE;Jahresabschluss;KPMG
Der Kassenbestand ist zum Nennbetrag bewertet.; 8.33 ;31.08.2016;SE;Jahresabschluss;KPMG
"Die Steuer- und sonstigen Rückstellungen berücksichtigen sämtliche erkennbaren Risiken und ungewisse Verpflichtungen und sind nach vernünftiger kaufmännischer Beurteilung mit dem notwendigen Erfüllungsbetrag
bewertet."; 8.47 ;31.08.2016;SE;Jahresabschluss;KPMG
Alle übrigen Verbindlichkeiten sind mit ihren Erfüllungsbeträgen passiviert.; 8.51 ;31.08.2016;SE;Jahresabschluss;KPMG
Rechnungsabgrenzungen sind mit den anteilig abgegrenzten Aus- bzw. Einzahlungsbeträgen angesetzt.; 8.34, 8.63 ;31.08.2016;SE;Jahresabschluss;KPMG
"Derivative Finanzinstrumente werden zu Sicherungszwecken für Zinsrisiken aus dem operativen Geschäft eingesetzt. Sie werden grundsätzlich mit dem beizulegenden Zeitwert bewertet, sofern nicht nach
deutschen Rechnungslegungsgrundsätzen das Grund- und das Sicherungsgeschäft zu einer Bewertungseinheit zusammengefasst werden kann. Hierfür ist das Grundgeschäft zu fortgeführten Anschaffungskosten
bilanziert."; 8.0 ;31.08.2016;SE;Jahresabschluss;KPMG
"Bezahlte Einmalprämien aus Zinssicherungsvereinbarungen werden als aktiver Rechnungsabgrenzungsposten gebucht und über die Laufzeit ratierlich aufgelöst. Erhaltene Prämien werden als passiver Rechnungsabgrenzungsposten
erfasst und analog zur Laufzeit der Zinsbegrenzung ratierlich vereinnahmt."; 8.34, 8.63 ;31.08.2016;SE;Jahresabschluss;KPMG
Angaben zur Bilanz;;31.08.2016;SE;Jahresabschluss;KPMG
Anlagevermögen;;31.08.2016;SE;Jahresabschluss;KPMG
Die Aufgliederung und Entwicklung der einzelnen Positionen des Anlagevermögens sind im Anlagenspiegel (Anlage 1 zum Anhang) dargestellt.; 4.1 ;31.08.2016;SE;Jahresabschluss;KPMG
Der Beteiligungsbesitz der AVAG Holding SE ist in der beiliegenden Aufstellung des Anteilsbesitzes dargestellt (Anlage 2 zum Anhang).; 4.1 ;31.08.2016;SE;Jahresabschluss;KPMG
Forderungen gegen verbundene Unternehmen; 4.27 ;31.08.2016;SE;Jahresabschluss;KPMG
"In den Forderungen gegen verbundene Unternehmen sind TEUR 2.514 (i. Vj. TEUR 191) Verbindlichkeiten aus Lieferungen und Leistungen, die aus der Verrechnung stammen, enthalten. Die Forderungen
enthalten im Wesentlichen als Forderungen aktivierte Dividendenansprüche und Cash-Managementsalden."; 4.27, 6 ;31.08.2016;SE;Jahresabschluss;KPMG
Sonstige Vermögensgegenstände; 4.29 ;31.08.2016;SE;Jahresabschluss;KPMG
Die sonstigen Vermögensgegenständen beinhalten zum Stichtag im Wesentlichen Bonus- und Provisionsansprüche und Versicherungserstattungen.; 4.29 ;31.08.2016;SE;Jahresabschluss;KPMG
