Anhang für das Geschäftsjahr 2016; Annotierung (Angabe Nummer in Anhangscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Airbus Operations GmbH;;2016;GmbH;Jahresabschulss;KPMG
Grundlagen und Methoden;;2016;GmbH;Jahresabschulss;KPMG
"Der Jahresabschluss wird nach handelsrechtlichen Rechnungslegungsvorschriften aufgestellt; die Werte sind in Mio. € ausgewiesen.
Die zur übersichtlicheren Darstellung in der Bilanz und in der Gewinn- und Verlustrechnung zusammengefassten Posten werden im
Anhang gesondert aufgeführt und - soweit erforderlich - erläutert."; 8.0 ;2016;GmbH;Jahresabschulss;KPMG
Die Gewinn- und Verlustrechnung wird nach dem - international üblichen - Umsatz-kostenverfahren erstellt.; 8.0 ;2016;GmbH;Jahresabschulss;KPMG
"Nach dem Umsatzkostenverfahren werden die Kosten den Funktionsbereichen Herstellung, Vertrieb und Verwaltung zugeordnet. Die
Herstellungskosten der zur Erzielung der Umsatzerlöse erbrachten Leistungen werden in der Gewinn- und Verlustrechnung unter der
Position Umsatzkosten ausgewiesen. Der umsatzbezogene Ausweis dieses Postens umfasst neben an Airbus S.A.S. abgerechneten
Leistungen die gesamten Anschaffungs- und Herstellungskosten der im Berichtszeitraum verkauften Flugzeugbauteile und die
sonstigen Leistungen."; 8.0 ;2016;GmbH;Jahresabschulss;KPMG
In den Vertriebskosten werden die Personal- und Sachkosten des Vertriebsbereichs erfasst.; 8.0 ;2016;GmbH;Jahresabschulss;KPMG
"Zu den allgemeinen Verwaltungskosten zählen die Personal- und Sachkosten der zentralen Verwaltungsbereiche, d.h. der zentralen
Managementfunktionen, des Controllings, des Finanz- und Rechnungswesens sowie der Personal- und Rechtsabteilung."; 8.0 ;2016;GmbH;Jahresabschulss;KPMG
"In den sonstigen betrieblichen Erträgen und Aufwendungen sind die nicht unmittelbar den Umsatzerlösen bzw. den Funktionskosten
zuordenbaren Posten enthalten. Hierzu zählen insbesondere Veränderungen bei Rückstellungen sowie Erträge und Aufwendungen aus
Devisenbewertung und aus Anlagenabgängen."; 8.69, 8.80 ;2016;GmbH;Jahresabschulss;KPMG
In das Finanzergebnis gehen das Beteiligungsergebnis und das Zinsergebnis ein.; 8.0 ;2016;GmbH;Jahresabschulss;KPMG
"Die bei Anwendung des Umsatzkostenverfahrens in der Gewinn- und Verlustrechnung nicht gesondert ausgewiesenen Positionen
„Materialaufwand"" und „Personalaufwand"" werden im Anhang erläutert."; 8.70, 8.73 ;2016;GmbH;Jahresabschulss;KPMG
Sonstige Angaben;;2016;GmbH;Jahresabschulss;KPMG
"Die durch das Bilanzrichtlinie-Umsetzungsgesetz (BilRUG) vorgegebene Anpassung der Gliederung der Gewinn- und Verlustrechnung
wurde auch bei den Vorjahreszahlen berücksichtigt. Im Einzelnen wird auf die Erläuterungen zur Gewinn- und Verlustrechnung im
Anhang verwiesen."; 3   ;2016;GmbH;Jahresabschulss;KPMG
Bilanzierung und Bewertung;;2016;GmbH;Jahresabschulss;KPMG
"Immaterielle Vermögensgegenstände werden zu Anschaffungskosten, Sachanlagen zu Anschaffungs- oder Herstellungskosten
bewertet, die um planmäßige und außerplanmäßige Abschreibungen vermindert sind. Die selbsterstellten Anlagen umfassen
Einzelkosten sowie die zurechenbaren Material- und Fertigungsgemeinkosten einschließlich Abschreibungen. Von dem Wahlrecht der
Aktivierung von Entwicklungskosten gemäß § 248 Abs. 2 HGB wird kein Gebrauch gemacht."; 8.2 ;2016;GmbH;Jahresabschulss;KPMG
"Die Airbus Operations GmbH geht bei den Sachanlagenzugängen überwiegend von folgenden Nutzungsdauern aus: 20 bis 50 Jahre
für Gebäude, 10 bis 20 Jahre für Grundstückseinrichtungen, 5 bis 25 Jahre für Technische Anlagen und Maschinen, 3 bis 15 Jahre für
Andere Anlagen sowie Betriebs- und Geschäftsausstattung."; 8.7, 14 ;2016;GmbH;Jahresabschulss;KPMG
Gebäude und Mobilien werden mit linearen Sätzen abgeschrieben. Die Abschreibungen auf Zugänge werden monatsgenau angesetzt.; 8.8, 14 ;2016;GmbH;Jahresabschulss;KPMG
"Aktivierte Flugversuchsträger werden ab Erstflug linear während der Flugerprobungsphase auf einen möglichen Wiederverkaufswert
abgeschrieben. Sonderbetriebsmittel im Zusammenhang mit der zivilen Flugzeugfertigung werden aktiviert und planmäßig
abgeschrieben."; 8.7 ;2016;GmbH;Jahresabschulss;KPMG
"Zugänge geringwertiger Vermögensgegenstände mit Anschaffungskosten zwischen 150 € und 1.000 € werden im Jahr der
Anschaffung und den folgenden vier Jahren jeweils mit 20% linear abgeschrieben. Der Abgang zu Beginn des sechsten Jahres wird
unterstellt."; 8.7, 14 ;2016;GmbH;Jahresabschulss;KPMG
Bei Sach- und Finanzanlagen werden außerplanmäßige Abschreibungen nur bei dauernder Wertminderung vorgenommen.; 8.7, 8.12, 14 ;2016;GmbH;Jahresabschulss;KPMG
"Die Bewertung der Anteile an verbundenen Unternehmen, der Beteiligungen sowie der übrigen Finanzanlagen erfolgt zu
Anschaffungskosten oder zu dem am Abschlussstichtag niedrigeren beizulegenden Wert, sofern eine dauerhafte Wertminderung
eingetreten ist. Unverzinsliche bzw. niedrig verzinsliche Ausleihungen werden mit ihrem Barwert angesetzt."; 8.12, 8.13, 8.15, 20 ;2016;GmbH;Jahresabschulss;KPMG
"Vermögensgegenstände, die dem Zugriff aller übrigen Gläubiger entzogen sind und ausschließlich der Erfüllung von
pensionsähnlichen Verpflichtungen dienen, wurden mit diesen verrechnet, entsprechend wurden auch die zugehörigen Erträge mit
den Aufwendungen verrechnet. Eine eventuelle Überdeckung wird gesondert als „Aktiver Unterschiedsbetrag aus der
Vermögensverrechnung"" ausgewiesen."; 37 ;2016;GmbH;Jahresabschulss;KPMG
"Roh-, Hilfs- und Betriebsstoffe werden zu Anschaffungskosten oder niedrigeren Tagespreisen bewertet, die Erzeugnisse zu
Herstellungskosten. Die Herstellungskosten umfassen neben dem Fertigungsmaterial und den Fertigungslöhnen anteilige
Fertigungsgemeinkosten und Materialgemeinkosten sowie fertigungsbedingte Abschreibungen. Soweit Bestandsrisiken vorliegen, z.
B. wegen geminderter Verwendbarkeit, sind angemessene Abschläge vorgenommen worden."; 8.21 ;2016;GmbH;Jahresabschulss;KPMG
"Erzeugnisse sind verlustfrei bewertet, dabei werden die in den verschiedenen Programmen liegenden Risiken durch Abwertungen
bzw. Rückstellungen ausreichend berücksichtigt."; 8.22, 8.23 ;2016;GmbH;Jahresabschulss;KPMG
"Forderungen und Sonstige Vermögensgegenstände werden - soweit un- bzw. niedrig verzinslich - bei Restlaufzeiten von über einem
Jahr auf den Bilanzstichtag abgezinst und unter Berücksichtigung aller erkennbaren Risiken bewertet. Für das allgemeine Kreditrisiko
wird eine Pauschalwertberichtigung von den Forderungen abgesetzt."; 8.25 ;2016;GmbH;Jahresabschulss;KPMG
"Rückstellungen für Pensionen und ähnliche Verpflichtungen sind nach den anerkannten versicherungsmathematischen Grundsätzen
mittels der „Projected-Unit-Credit Methode"" (PUC) errechnet. Als biometrische Rechnungsgrundlagen wurden die „Richttafeln 2005G""
von Prof. Dr. Klaus Heubeck verwendet. Der Marktzins zur Abzinsung wurde aufgrund der Ausübung des Wahlrechtes nach § 253 Abs.
2 Satz 2 HGB mit einer pauschalen Restlaufzeit von 15 Jahren angesetzt. Im Berichtsjahr wird erstmals nach § 253 Abs. 2 Satz 1
HGB n.F. ein von der Deutschen Bundesbank vorgegebener durchschnittlicher Marktzins der vergangenen 10 Geschäftsjahre von
4,0% bei der Bewertung zugrunde gelegt. Der nach alter Fassung vorgegebene durchschnittliche Marktzins der vergangenen 7
Geschäftsjahre beträgt 3,22% (i.V. 3,89%) und ist für die Berechnung der Ausschüttungssperre relevant. Die Entgeltentwicklung ist
mit 2,75% (i.V. 2,75%) p. a., zusätzlich 1,0% (i.V. 1,0%) bis zum 35. Lebensjahr, die Anhebung der laufenden Renten und nicht
einkommensabhängigen Anwartschaften mit 1,7% (i.V. 1,7%) p. a. eingerechnet. Es wurde eine altersabhängige detaillierte
Fluktuationstabelle berücksichtigt. Neben den Verpflichtungen aus laufenden Pensionen und den am Bilanzstichtag bestehenden
Anwartschaften sind auch Verpflichtungen für Sterbegeld im Ansatz berücksichtigt."; 8.48, 34 ;2016;GmbH;Jahresabschulss;KPMG
Die Steuerrückstellungen berücksichtigen alle Risiken, für die die Gesellschaft als Steuerschuldner haftet.; 8.49 ;2016;GmbH;Jahresabschulss;KPMG
"Die Sonstigen Rückstellungen wurden auf der Grundlage des § 253 HGB ermittelt. Anzusetzen ist hierbei der nach vernünftiger
kaufmännischer Beurteilung notwendige Erfüllungsbetrag gem. § 253 Abs. 1 HGB. Alle Rückstellungen mit einer Laufzeit von mehr
als einem Jahr wurden mit dem von der Deutschen Bundesbank veröffentlichten durchschnittlichen Marktzins gemäß § 253 Abs. 2
Satz 4 HGB abgezinst. Für die langfristigen Personalrückstellungen wurde jeweils eine durchschnittliche Restlaufzeit ermittelt. Für die
Bewertung wurden die Zinsinformationen der Deutschen Bundesbank verwendet."; 8.50 ;2016;GmbH;Jahresabschulss;KPMG
Verbindlichkeiten und erhaltene Anzahlungen sind mit ihrem Erfüllungsbetrag angesetzt.; 8.51 ;2016;GmbH;Jahresabschulss;KPMG
"Latente Steuern werden auf sich in Folgejahren wieder ausgleichende Differenzen in den handels- und steuerrechtlichen
Wertansätzen gebildet, sofern sich daraus zukünftige Steuerbe- und -entlastungen ergeben, wobei auch quasi-permanente
Differenzen berücksichtigt werden. Sich daraus ergebende aktive und passive latente Steuern werden saldiert. Ergibt sich dabei ein
aktivischer Überhang latenter Steuern, wird von dem Ansatzwahlrecht Gebrauch gemacht."; 8.35, 8.64 ;2016;GmbH;Jahresabschulss;KPMG
Erläuterungen zur Bilanz der Airbus Operations GmbH;;2016;GmbH;Jahresabschulss;KPMG
1 Immaterielle Vermögensgegenstände;;2016;GmbH;Jahresabschulss;KPMG
"In den mit 8 (i.V. 8) Mio. € ausgewiesenen Immateriellen Vermögensgegenständen ist hauptsächlich erworbene EDV-Software
enthalten."; 4.2 ;2016;GmbH;Jahresabschulss;KPMG
2 Sachanlagen;;2016;GmbH;Jahresabschulss;KPMG
Die Entwicklung des Sachanlagevermögens im Geschäftsjahr 2016 ist im Anlagenspiegel dargestellt.; 4.7 ;2016;GmbH;Jahresabschulss;KPMG
"Die Zugänge im Sachanlagevermögen betreffen hauptsächlich, neben dem A350 XWB-Programm, die A320neo-Familie und das
A330neo-Programm."; 4.7 ;2016;GmbH;Jahresabschulss;KPMG
3 Finanzanlagen;;2016;GmbH;Jahresabschulss;KPMG
Aufstellung über den Anteilsbesitz zum 31.12.2016;;2016;GmbH;Jahresabschulss;KPMG
