Anhang für das Geschäftsjahr 2016; Annotierung (Angabe Nummer in Anhangscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Amprion GmbH;;2016;GmbH;Jahresabschluss;BDO AG
Allgemeine Grundlagen;;2016;GmbH;Jahresabschluss;BDO AG
"Die Gesellschaft mit Sitz in Dortmund ist unter der Registernummer HRB 15940 im Handelsregister des Amtsgerichts Dortmund
eingetragen."; 90   ;2016;GmbH;Jahresabschluss;BDO AG
"Der Jahresabschluss ist nach den Vorschriften des Handelsgesetzbuches (HGB) für eine große Kapitalgesellschaft gemäß § 267 Abs. 3
HGB sowie den ergänzenden Vorschriften des Gesetzes betreffend die Gesellschaften mit beschränkter Haftung (GmbHG) und des
Energiewirtschaftsgesetzes (EnWG) aufgestellt."; 8.0 ;2016;GmbH;Jahresabschluss;BDO AG
"Die Gesellschaft wendet die Vorschriften des Bilanzrichtlinie-Umsetzungsgesetzes (BiIRUG) erstmalig für das aktuelle Geschäftsjahr
an. Sich hieraus ergebende Auswirkungen auf Ansatz, Bewertung und Ausweis werden unter den entsprechenden
Jahresabschlussposten erläutert. Die Gliederung der Gewinn- und Verlustrechnung wird um den Posten „Ergebnis nach Steuern""
verkürzt, weil er bei der Gesellschaft dem Posten „Jahresüberschuss"" entspricht. Zur Klarheit und Übersichtlichkeit wurde gemäß §
265 Abs. 5 HGB in der Gewinn- und Verlustrechnung die Zwischensumme „Ergebnis vor Steuern"" eingefügt."; 8.0 ;2016;GmbH;Jahresabschluss;BDO AG
"Zur Klarheit der Darstellung sind in der Bilanz und in der Gewinn- und Verlustrechnung einzelne Posten zusammengefasst und im
Anhang gesondert erläutert. Die Gewinn- und Verlustrechnung ist nach dem Gesamtkostenverfahren aufgestellt. Die Beträge im
Jahresabschluss werden in Millionen Euro (Mio. €) und Tausend Euro (T€) angegeben."; 8.0 ;2016;GmbH;Jahresabschluss;BDO AG
Bilanzierungs- und Bewertungsmethoden;;2016;GmbH;Jahresabschluss;BDO AG
Anlagevermögen;;2016;GmbH;Jahresabschluss;BDO AG
"Die entgeltlich erworbenen immateriellen Vermögensgegenstände werden zu Anschaffungskosten erfasst und linear entsprechend
ihrer betriebsgewöhnlichen Nutzungsdauer von zwei bis fünf Jahren sowie bei Vorliegen einer voraussichtlich dauernden
Wertminderung außerplanmäßig abgeschrieben."; 8.2, 14 ;2016;GmbH;Jahresabschluss;BDO AG
"Die Sachanlagen werden zu Anschaffungs- und Herstellungskosten abzüglich planmäßig linearer Abschreibungen und gegebenenfalls
außerplanmäßiger Abschreibungen bewertet. Die Herstellungskosten umfassen Einzelkosten und notwendige Gemeinkosten. Entfallen
die Gründe der außerplanmäßigen Wertminderungen, so erfolgt eine Zuschreibung bis maximal zur Höhe der fortgeführten
Anschaffungs- und Herstellungskosten. Im Jahr des Zugangs erfolgt eine zeitanteilige Abschreibung. Die planmäßigen
Abschreibungen basieren auf dem unteren Band der Nutzungsdauern gemäß Anlage 1 zu § 6 Abs. 5 StromNEV. Gemäß § 6 Abs. 2
EStG werden geringwertige Vermögensgegenstände mit Anschaffungskosten bis 150 € im Jahr der Anschaffung aufwandswirksam
erfasst. Bei Anschaffungskosten von mehr als 150 € bis 410 € werden sie im Zugangszeitpunkt aktiviert und anschließend vollständig
abgeschrieben sowie am Ende des Geschäftsjahres in Abgang gestellt."; 8.7, 14 ;2016;GmbH;Jahresabschluss;BDO AG
