;  Annotierung (Angabe Nummer in Anahngscheckliste)  ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer;;
(1) Allgemeine Angaben;;;;;;;
Anhang für das Geschäftsjahr 2016;;;;;;;
Die BP Europa SE (BP ESE) mit Sitz in Hamburg, eingetragen im Handelsregister beim Amtsgericht Hamburg unter HRB 113611, hat den Jahresabschluss nach den Vorschriften der §§ 242 bis 256a und der §§ 264 bis 288 des Handelsgesetzbuches (HGB) und den Sondervorschriften des Aktiengesetzes (AktG) i.V.m. Art. 61 EG-Verordnung 2157/2001 über das Statut der Europäischen Gesellschaft und des Gesetzes zur Einführung der europäischen Gesellschaft aufgestellt.; 113 ;2016;BP Europa SE;Jahresabschluss;EY;;
Die BP ESE ist eine große Kapitalgesellschaft im Sinne des § 267 Abs. 3 HGB.; 8.0 ;2016;BP Europa SE;Jahresabschluss;EY;;
Im Interesse der Übersichtlichkeit werden in der Bilanz und in der Gewinn- und Verlustrechnung einzelne Posten zusammengefasst und im Anhang gesondert ausgewiesen. Die Ziffern in der Bilanz und der Gewinn- und Verlustrechnung verweisen auf die Angaben im Anhang. Sämtliche Einzelposten wurden auf volle Tausend Euro (TEUR) gerundet.; 7 ;2016;BP Europa SE;Jahresabschluss;EY;;
Im Geschäftsjahr 2016 hat die Gesellschaft bei der Aufstellung des Jahresabschlusses erstmals die durch das Bilanzrichtlinie-Umsetzungsgesetz (BilRUG) geänderten handelsrechtlichen Vorschriften angewendet. Das handelsrechtliche Gliederungsschema der Gewinn- und Verlustrechnung 2015 wurde angepasst und die betroffenen Posten neu zugeordnet.; 1 ;2016;BP Europa SE;Jahresabschluss;EY;;
Der Ausweis der Aufwandsarten in der Gewinn- und Verlustrechnung der BP ESE ist beeinflusst durch die Trennung von vermögens- und personalhaltenden Gesellschaften.; 8.0 ;2016;BP Europa SE;Jahresabschluss;EY;;
Das den jeweiligen Betriebsführungsgesellschaften durch die BP ESE erstattete Betriebsführungsentgelt führt bei den Betriebsführungsgesellschaften grundsätzlich zu einem ausgeglichenen Ergebnis. Darüber hinaus gegebenenfalls verbleibende Aufwendungen werden über bestehende Ergebnisabführungsverträge ausgeglichen. Insoweit sind alle Risiken insbesondere aus bestehenden Haftungsverhältnissen gegenüber den Betriebsführungsgesellschaften gemäß § 285 Nr. 27 HGB durch die BP ESE abgedeckt. Mit einer Inanspruchnahme ist auf Grund des gesellschaftsrechtlichen Verbunds nicht zu rechnen. Die Aufwendungen aus Betriebsführung bei der BP ESE werden unter den sonstigen betrieblichen Aufwendungen und dem Materialaufwand - unabhängig von der ursprünglichen Aufwandsart - ausgewiesen.; 8.0 ;2016;BP Europa SE;Jahresabschluss;EY;;
(2) Konzernabschluss;;2016;BP Europa SE;Jahresabschluss;EY;;
Die BP p.l.c., London/ UK, (BP plc) stellt als Muttergesellschaft des internationalen BP Konzerns für den größten Kreis von Unternehmen einen weltweiten Konzernabschluss auf. Dieser Abschluss wird sowohl in London als auch bei der BP ESE in Hamburg erhältlich sein.; 92 ;2016;BP Europa SE;Jahresabschluss;EY;;
Die BP ESE hat für das Geschäftsjahr 2016 davon abgesehen, einen Konzernabschluss nach § 290 HGB aufzustellen. Stattdessen werden gemäß § 291 Abs. 1 und 2 HGB der in die deutsche Sprache übersetzte Konzernabschluss und Konzernlagebericht der BP plc, ebenso wie der Jahresabschluss und Lagebericht der BP ESE, im Bundesanzeiger veröffentlicht. Die BP plc stellt seit dem 31. Dezember 2005 ihren Konzernabschluss nach IFRS auf. Die nach § 291 Abs. 2 Nr. 4c HGB zu erläuternden Abweichungen der im befreienden Konzernabschluss nach IFRS im Unterschied zum deutschen Recht angewandten Bilanzierungs-, Bewertungs- und Konsolidierungsmethoden lassen sich wie folgt zusammenfassen:; 86, 93 ;2016;BP Europa SE;Jahresabschluss;EY;;
–abweichende Allokation des Kaufpreises für die VEBA OEL Aktiengesellschaft und abweichende Fortschreibung eines Geschäfts- oder Firmenwertes sowie aufgedeckter stiller Reserven (IFRS 3, IAS 36, IAS 38, IAS 31); 86 ;2016;BP Europa SE;Jahresabschluss;EY;;
