Anhang; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Anhang für das Geschäftsjahr vom 1. Januar bis 31. Dezember 2016;;;;;
I. Allgemeine Angaben zum Jahresabschluss;;;;;
Bei der CARISSA Einzelhandel- und Tankstellenservice GmbH & Co. KG handelt es sich um eine Personenhandelsgesellschaft, die die Bestimmungen des § 264a HGB zu beachten hat. Der Jahresabschluss wurde nach den gesetzlichen Vorschriften für große Kapitalgesellschaften aufgestellt.; 8.0 ;2016;CARISSA Einzelhandel- und Tankstellenservice GmbH & Co. KG;Jahresabschluss;Ernst & Young
Registerinformationen; 90   ;2016;CARISSA Einzelhandel- und Tankstellenservice GmbH & Co. KG;Jahresabschluss;Ernst & Young
Die Gesellschaft ist im Handelsregister beim Amtsgericht Lübeck unter HRA Nr. 2078 RE eingetragen.; 90   ;2016;CARISSA Einzelhandel- und Tankstellenservice GmbH & Co. KG;Jahresabschluss;Ernst & Young
II. Bilanzierungs- und Bewertungsmethoden;;2016;CARISSA Einzelhandel- und Tankstellenservice GmbH & Co. KG;Jahresabschluss;Ernst & Young
Für die Aufstellung des Jahresabschlusses waren im Wesentlichen unverändert die nachfolgenden Bilanzierungs- und Bewertungsmethoden maßgebend.; 8.0 ;2016;CARISSA Einzelhandel- und Tankstellenservice GmbH & Co. KG;Jahresabschluss;Ernst & Young
Das Anlagevermögen ist zu Anschaffungskosten abzüglich planmäßiger Abschreibungen bewertet. Die planmäßigen Abschreibungen werden linear vorgenommen. Geringwertige Wirtschaftsgüter, die nach dem 31. Dezember 2007 angeschafft worden sind, werden aufgrund ihrer untergeordneten Bedeutung in Sammelposten eingestellt. Diese werden über eine Laufzeit von fünf Jahren aufgelöst.; 8.1 ;2016;CARISSA Einzelhandel- und Tankstellenservice GmbH & Co. KG;Jahresabschluss;Ernst & Young
Die Forderungen aus Lieferungen und Leistungen werden zu Nennwerten angesetzt. Erkennbare Einzelrisiken werden durch Einzelwertberichtigungen berücksichtigt. Dem allgemeinen Kreditrisiko wurde durch Bildung einer auf Erfahrungswerten basierender Pauschalwertberichtigung Rechnung getragen.; 8.26 ;2016;CARISSA Einzelhandel- und Tankstellenservice GmbH & Co. KG;Jahresabschluss;Ernst & Young
Die Forderungen gegen verbundene Unternehmen und die sonstigen Vermögensgegenstände werden ebenfalls zu Nennwerten angesetzt.; 8.27 ;2016;CARISSA Einzelhandel- und Tankstellenservice GmbH & Co. KG;Jahresabschluss;Ernst & Young
