Anhang;Annotierung;Gesch„ftsjahr;Gesellschaft;Abschlussart;Prfer
Anhang fr das Gesch„ftsjahr 2016;;2016;Caverion Deutschland GmbH;Jahresabschluss;PwC
A. Allgemeine Angaben;;2016;Caverion Deutschland GmbH;Jahresabschluss;PwC
"Die Caverion Deutschland GmbH, Mnchen, ist eine groáe Kapitalgesellschaft im Sinne des õ 267 Abs. 3 HGB. Die Gesellschaft ist
beim Amtsgericht Mnchen unter HRB-Nr. 189657 eingetragen.";90;2016;Caverion Deutschland GmbH;Jahresabschluss;PwC
"Die Bilanzierungs- und Bewertungsgrunds„tze des Jahresabschlusses zum 31. Dezember 2016 richten sich nach den Vorschriften der
õõ 242 bis 256a und 264 bis 288 HGB und den Sondervorschriften des Gesetzes betreffend die Gesellschaften mit beschr„nkter
Haftung.";;2016;Caverion Deutschland GmbH;Jahresabschluss;PwC
Das Gesch„ftsjahr entspricht dem Kalenderjahr.;;2016;Caverion Deutschland GmbH;Jahresabschluss;PwC
Die Gliederung der Bilanz wurde gem„á õ 265 Abs. 5 HGB um die Position noch nicht abrechnungsf„hige Leistungen erg„nzt.;;2016;Caverion Deutschland GmbH;Jahresabschluss;PwC
B. Bilanzierungs- und Bewertungsmethoden;;2016;Caverion Deutschland GmbH;Jahresabschluss;PwC
"Immaterielle Verm”gensgegenst„nde (Software) sind zu Anschaffungskosten, vermindert um planm„áige lineare
Abschreibungen bezogen auf eine Nutzungsdauer von l„ngstens fnf Jahren, angesetzt.";8.1, 8.2;2016;Caverion Deutschland GmbH;Jahresabschluss;PwC
"Der im September 2010 in H”he von ursprnglich TEUR 58.941 aktivierteGesch„fts- und Firmenwert aus der damaligen
Verschmelzung wurde auf fnf Jahre planm„áig abgeschrieben. Weitere aktive Gesch„fts- und Firmenwerte werden planm„áig ber
fnfzehn Jahre abgeschrieben, da aufgrund der untergeordneten Bedeutung die steuerlichen Abschreibungsregelungen beibehalten
wurden. Nachtr„gliche Anschaffungskostenminderungen werden im Zeitpunkt des Anfalls von den Anschaffungskosten abgesetzt und
der Restbuchwert auf die Restnutzungsdauer linear abgeschrieben.";8.1, 8.2, 8.5, 14;2016;Caverion Deutschland GmbH;Jahresabschluss;PwC
"Grundstcke, grundstcksgleiche Rechte und Bauten einschlieálich der Bauten auf fremden Grundstcken sind mit ihren
Anschaffungs-/Herstellungskosten und - soweit ihre Nutzung zeitlich begrenzt ist vermindert um planm„áige Abschreibungen
bewertet. Auáerplanm„áige Abschreibungen sind soweit erforderlich abgesetzt.";8.1, 8.7, 8.8;2016;Caverion Deutschland GmbH;Jahresabschluss;PwC
Bewegliches Anlageverm”gen ist mit den Anschaffungskosten zuzglich Anschaffungsnebenkosten abzglich Skonti bewertet.;8.1, 8.7;2016;Caverion Deutschland GmbH;Jahresabschluss;PwC
"Die planm„áigen Abschreibungen erfolgten unter Zugrundelegung der betriebsgew”hnlichen Nutzungsdauer nach der linearen
Methode. Die Nutzungsdauern betragen 3 bis 14 Jahre. Die Abschreibung wird im Jahr des Zugangs pro rata temporis berechnet.";8.1, 8.7;2016;Caverion Deutschland GmbH;Jahresabschluss;PwC
"Die Geringwertigen Gegenst„nde des Anlageverm”gens mit Einzelanschaffungskosten zwischen netto EUR 150,00 und netto EUR
1.000,00 werden ber fnf Jahre abgeschrieben.";8.1;2016;Caverion Deutschland GmbH;Jahresabschluss;PwC
Geleistete Anzahlungen auf immaterielle Verm”gensgegenst„nde und Sachanlagen werden mit dem Nennwert bewertet.;8.1, 8.2, 8.6;2016;Caverion Deutschland GmbH;Jahresabschluss;PwC
"Roh-, Hilfs- und Betriebsstoffe sind unter Beachtung des Niederstwertprinzips mit den Anschaffungskosten oder den niedrigeren
beizulegenden Werten angesetzt.";8.19, 8.20. 8.21;2016;Caverion Deutschland GmbH;Jahresabschluss;PwC
"Unfertige Leistungen werden mit den Herstellungskosten bewertet. Drohende Auftragsverluste werden bei der Bewertung
bercksichtigt.";8.19, 8.20, 8.22;2016;Caverion Deutschland GmbH;Jahresabschluss;PwC
"Die Herstellungskosten umfassen Fertigungs- und Materialeinzelkosten sowie die Material- und Fertigungsgemeinkosten.
Verwaltungsgemeinkosten wurden nicht zum Ansatz gebracht.";8;2016;Caverion Deutschland GmbH;Jahresabschluss;PwC
Erhaltene Anzahlungen werden entsprechend des Wahlrechts gem. õ 268 Abs. 5 Satz 2 HGB vom Vorratsverm”gen offen abgesetzt.;8.51, 8.55;2016;Caverion Deutschland GmbH;Jahresabschluss;PwC
"Als noch nicht abrechnungsf„hige Leistungen werden auáerdem die zu aktivierenden, aber noch nicht an Endkunden zu
berechnenden Ansprche aus Teilleistungen zu Energieeinsparcontractingvertr„gen ausgewiesen. Diese Betr„ge werden im Rahmen
einer Projektbewertung zu Herstellungskosten bewertet.";8;2016;Caverion Deutschland GmbH;Jahresabschluss;PwC
Forderungen und sonstige Verm”gensgegenst„nde;;2016;Caverion Deutschland GmbH;Jahresabschluss;PwC
"Die Forderungen sind grunds„tzlich mit ihren Nominalwerten aktiviert. Das allgemeine Kreditrisiko im Forderungsbestand aus
Lieferungen und Leistungen sowie zu erwartende Skonti werden durch eine angemessene Pauschalwertberichtigung bercksichtigt.
Darber hinaus werden fr individuelle Risiken angemessene Einzelwertberichtigungen gebildet. Die kurzfristigen sonstigen
Verm”gensgegenst„nde sind mit ihren Nominalwerten, die langfristigen sonstigen Verm”gensgegenst„nde sind mit ihrem Barwert
aktiviert. Erkennbare Risiken sind mit Einzelwertberichtigungen erfasst.";8.25;2016;Caverion Deutschland GmbH;Jahresabschluss;PwC
"Forderungen und Verbindlichkeiten in ausl„ndischer W„hrung werden nach Umrechnung mit dem jeweiligen Stichtagskurs zum
Entstehenszeitpunkt erfasst. Kurzfristige Forderungen und Verbindlichkeiten in fremder W„hrung werden zum
Devisenkassamittelkurs am Stichtag umgerechnet. Langfristige Forderungen und Verbindlichkeiten in ausl„ndischer W„hrung
bestehen nicht.";8.25, 8.51;2016;Caverion Deutschland GmbH;Jahresabschluss;PwC
