Anhang; Annotierung (Angabe Nummer in Anhangcheckliste) ;;;;
Anhang für das Geschäftsjahr 2016;;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
der Firma Corning Laser Technologies GmbH, mit Sitz in Krailling; 85   ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Eingetragen unter der Nummer HRB 176985 im Register des
Amtsgerichts München"; 85   ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
I. Allgemeine Angaben zum Jahresabschluss;;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Der Jahresabschluss zum 31. Dezember 2016 ist nach den Rechnungslegungsvorschriften des Handelsgesetzbuches aufgestellt
worden. Ergänzend dazu waren die Regelungen des GmbH-Gesetzes zu beachten. Im Berichtsjahr wurden die Regelungen des
Bilanzrecht-Modernisierungsgesetzes (BilRUG) erstmalig angewendet."; 8.0 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Die Coming Laser Technologies GmbH ist ein 100%iges Tochterunternehmen der Corning Holding GmbH, mit Sitz in Wiesbaden, und
wird dort in den Konzernabschluss einbezogen (kleinster Konsolidierungskreis). Dieser wird im elektronischen Bundesanzeiger
veröffentlicht."; 67, 71 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Das oberste Mutterunternehmen ist die amerikanische Corning Inc., New York. Die Gesellschaft wird in den dortigen Konzernabschluss
einbezogen (größter Konsolidierungskreis). Dieser ist der Öffentlichkeit unter http://investor.shareholder.com/corning/annualsproxies.
cfm zugänglich."; 68, 70 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Die Gewinn- und Verlustrechnung wird nach dem Gesamtkostenverfahren aufgestellt. Hier wurde das Gliederungsschema im Vergleich
mit dem Vorjahr entsprechend dem geänderten § 275 Abs. 2 HGB angepasst. Der Posten ""außerordentliche Aufwendungen"" sowie die
Zwischenergebnisse ""Ergebnis der gewöhnlichen Geschäftstätigkeit"" sowie ""außerordentliches Ergebnis"" sind entfallen. Zwischen den
""Steuern vom Einkommen und Ertrag"" und den ""sonstigen Steuern"" wurde das neue Zwischenergebnis ""Ergebnis nach Steuern""
eingeführt. Weitere Erläuterungen zu den Effekten aus der BilRUG Einführung finden sich in Kapitel IV."; 8.0 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Die Gesellschaft gilt im Sinne von § 267 Abs. 2 HGB als mittelgroße Kapitalgesellschaft und macht vereinzelt Gebrauch von den
Erleichterungsvorschriften.";;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
II. Bilanzierungs- und Bewertungsgrundsätze;;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Für die Aufstellung des Jahresabschlusses waren die nachfolgenden Bilanzierungs- und Bewertungsmethoden unverändert zum
Vorjahr maßgebend."; 8.0 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Entgeltlich erworbene immaterielle Vermögensgegenstände werden zu Anschaffungskosten abzüglich Abschreibungen bewertet. Die
Abschreibungen werden planmäßig nach der linearen Methode über eine Nutzungsdauer von drei bis zehn Jahren vorgenommen."; 8.4 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Das Sachanlagevermögen ist zu Anschaffungs- bzw. Herstellungskosten vermindert um planmäßige Abschreibungen angesetzt.
Abschreibungen werden linear auf Basis der wirtschaftlichen Nutzungsdauer von drei bis zehn Jahren vorgenommen."; 8.7 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
Geleistete Anzahlungen auf Sachanlagen werden zu Nominalwerten angesetzt.; 8.11 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Die Wertpapiere des Anlagevermögens sind zu Anschaffungskosten bzw. zu ihrem dauerhaft niedrigeren beizulegenden Wert
angesetzt."; 8.17 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Die Bewertung der Roh-, Hilfs- und Betriebsstoffe erfolgt mit den Anschaffungskosten. Aufgrund von Konzernvorgaben kommt seit
2015 das FIFO-Verfahren zur Anwendung. Hieraus ergab sich kein wesentlicher Effekt im Vorjahr. Gegebenenfalls erfolgt eine
Abwertung auf den niedrigeren beizulegenden Wert."; 8.21 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
"Unfertige Erzeugnisse und fertige Erzeugnisse sind zu Herstellungskosten unter Beachtung des Niederstwertprinzips bewertet. Die
Herstellungskosten enthalten Material- und Fertigungseinzelkosten sowie Fertigungs- und Materialgemeinkosten."; 8.22, 8.23 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
Fremdkapitalzinsen wurden nicht in die Herstellungskosten einbezogen.; 8.0 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
Die geleisteten Anzahlungen auf Vorräte wurden zum Nominalbetrag angesetzt.; 8.24 ;2016;Corning Laser Technologies GmbH;Jahresabschluss;PwC
