Konzernanhang für das Geschäftsjahr vom 1. Januar 2016 bis 31. Dezember 2016; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
1. Allgemeine Angaben;;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die COSMO CONSULT AG hat ihren Sitz in Potsdam. Die Gesellschaft ist unter der Nummer HRB 25560 im Handelsregister des Amtsgerichts Potsdam eingetragen.; 88 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
2. Grundsätze der Berichterstattung;;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Der Konzernabschluss der COSMO CONSULT AG, Potsdam, zum 31. Dezember 2016 wurde nach den Vorschriften der §§ 290 ff des Handelsgesetzbuches (HGB) in der Fassung des Bilanzrichtlinie-Umsetzungsgesetz (BilRUG) aufgestellt. Ergänzend zu diesen Vorschriften waren die Regelungen des Aktiengesetzes zu beachten.; 9.0 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die Konzern-Gewinn- und Verlustrechnung ist nach dem Gesamtkostenverfahren gegliedert.; 9.0 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Im Interesse einer besseren Klarheit und Übersichtlichkeit werden die nach den gesetzlichen Vorschriften bei den Posten der Bilanz und der Gewinn- und Verlustrechnung anzubringenden Vermerke ebenso wie die Vermerke, die wahlweise in der Bilanz bzw. Gewinn- und Verlustrechnung oder im Anhang anzubringen sind, insgesamt im Anhang aufgeführt.;;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Die COSMO CONSULT AG hat bereits im vorangegangenen Geschäftsjahr 2015 freiwillig von der vorzeitigen Anwendung der angehobenen Schwellenwerte nach dem Bilanzrichtlinien-Umsetzungsgesetz (BilRUG) Gebrauch gemacht und die durch das BilRUG geänderte Definition der Umsatzerlöse beachtet. Die durch BilRUG erfolgte Neudefinition der Umsatzerlöse in § 277 Abs. 1 HGB hat folglich keine Auswirkungen auf die Vergleichbarkeit der Umsatzerlöse des Geschäftsjahres 2016 mit denen des Geschäftsjahres 2015.;;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Abweichend von der Vorgehensweise bis einschließlich 2014 werden ab dem Geschäftsjahr 2015 Erträge und Aufwendungen, die im Zusammenhang mit der Wartung von Standardsoftware konzernfremder Anbieter entstehen, bereits im Zeitpunkt der entsprechenden Lieferung jeweils sofort ergebniswirksam erfasst und nicht über einen Zeitraum von 12 Monaten abgegrenzt. In 2015 wurden folglich die zum 31. Dezember 2014 gebildeten aktiven als auch passiven Rechnungsabgrenzungsposten betreffend die Wartungsgebühren für diese Software aufgelöst, eine erneute Abgrenzung zum 31. Dezember 2015 erfolgte nicht. Hieraus resultierte in 2015 ein einmaliger positiver Ergebniseffekt vor Steuern in Höhe von Mio. EUR 3,2.; 9.0, 11 ;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
Der Lagebericht der COSMO CONSULT AG wurde in Anwendung von § 315 Abs. 3 HGB i. V. m. § 298 Abs. 2 HGB mit dem Konzernlagebericht der COSMO CONSULT AG zusammengefasst.;;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
3. Konsolidierungsgrundsätze;;2016;AG;Konzernabschluss;Wagemann Baumgardt Berkholz PartG mbB WPG
