Anhang für das Geschäftsjahr 2016; Annotierung (Angabe Nummer in Anhangscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
DURA Automotive Plettenberg Leisten & Blenden GmbH;;;;;
Allgemeine Hinweise;;;;;
"Die Dura Automotive Plettenberg Leisten und Blenden GmbH mit Sitz in Plettenberg ist in das Handelsregister des Amtsgerichts
Iserlohn unter der Nummer HRB 3099 eingetragen. Der Jahresabschluss für das Berichtsjahr ist nach den Vorschriften des
Handelsgesetzbuches der §§ 242 ff. und §§ 264 ff. HGB und den einschlägigen Regelungen des GmbHG aufgestellt worden."; 8.0 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
Die Gesellschaft ist eine große Kapitalgesellschaft im Sinne des Handelsgesetzbuches.; 8.0 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Die Gliederung der Bilanz entspricht den Anforderungen der § 266 HGB und § 42 GmbHG. Die Gewinn- und Verlustrechnung ist
gemäß § 275 Abs. 2 HGB nach dem Gesamtkostenverfahren aufgestellt worden."; 8.0 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Bis zum 31. Dezember 2015 war die Gesellschaft aufgrund der Erfüllung der rechtlichen Voraussetzungen der §§ 264 ff. HGB von der
Pflicht der Aufstellung, Prüfung und Offenlegung des Jahresabschlusses befreit. Mit Gesellschafterbeschluss vom 04. März 2016
wurde der Gewinnabführungs- und Beherrschungsvertrag mit der DURA Automotive Body & Glass Systems GmbH („DURA B&G""),
Plettenberg, mit Wirkung zum 31. März 2016 aufgehoben."; 8.0 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Mit Beschluss der Gesellschafterversammlung vom 15. März 2016 wurde das Geschäftsjahr der Gesellschaft abweichend zum
Kalenderjahr vom 01. April bis 31. März des Folgejahres festgelegt.";;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Zwecks der Umsetzung eines kalendergleichen Geschäftsjahrs wurde anschließend mit Beschluss der Gesellschafterversammlung
vom 07.12.2016 ein weiteres Rumpfgeschäftsjahr vom 01.04.2016 bis zum 31.12.2016 gebildet.";;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
Daher sind die Vorjahresangaben in den folgenden Abschnitten grundsätzlich nicht vergleichbar.; 2 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Aufgrund der allgemeinen finanziellen Lage des Unternehmens und der schwierigen Ertragslage hat die Geschäftsführung des
Unternehmens Restrukturierungsmaßnahmen vorgeschlagen (die „Restrukturierung""), die in verschiedenen Schritten mit dem
Betriebsrat ausgehandelt werden. Der Restrukturierungsplan schließt das geplante Zurückfahren der gegenwärtig aus Plettenberg bezogenen Kundenprogramme mit einer zusätzlichen Verringerung der Belegschaft ein. Sie ist darauf ausgelegt, die geschäftlichen Verluste der Betriebsstätte anzugehen. Die Geschäftsführung kann keine Vorhersage zu dem Ergebnis dieser Gespräche oder dazu
machen, ob der Betriebsrat in einer geeigneten Form einer Restrukturierung zustimmen wird. Eine Restrukturierung entsprechend
der Vorschläge der Geschäftsführung würde die Produktions- und Qualitätskennzahlen auf kurze Sicht und die Position des
Unternehmens bei der finanziellen Nachhaltigkeit in den nächsten Jahren erheblich verbessern. Infolgedessen wurde der
Jahresabschluss unter der Annahme der Unternehmensfortführung gemäß § 252 Abs. 1 Nr. 2 HGB erstellt."; 69 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
1. Bilanzierungs- und Bewertungsgrundsätze;;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Geringwertige Wirtschaftsgüter bis zu einem Anschaffungswert von 150 Euro werden direkt als Aufwand erfasst. Geringwertige
Wirtschaftsgüter, deren Anschaffungswert über 150 Euro bis 410 Euro liegt, werden im Zugangsjahr in voller Höhe abgeschrieben
und der Abgang im Zugangsjahr unterstellt."; 8.0 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Für die Nutzung der Grundstücks- und Gebäudeflächen sowie sonstiger Gegenstände des Anlagevermögens besteht ein Miet- und
Pachtvertrag mit der DURA B&G."; 8.1 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Roh-, Hilfs- und Betriebsstoffe sowie Waren werden zu durchschnittlichen Einstandspreisen oder mit dem niedrigeren Marktwert
angesetzt."; 8.21 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Die unfertigen und fertigen Erzeugnisse werden zu den Herstellungskosten oder dem niedrigeren Marktwert angesetzt. Die
Herstellungskosten umfassen neben den direkten Fertigungslohn- und Materialkosten anteilige Fertigungs- und Materialgemeinkosten
sowie die Abschreibung der in der Fertigung genutzten Anlagegüter. Für überalterte und schlechtgängige Vorräte werden die
notwendigen Wertabschläge vorgenommen."; 8.22, 8.23 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
Die Forderungen und sonstigen Vermögensgegenstände werden zum Nennwert abzüglich erforderlicher Wertberichtigungen angesetzt.; 8.25 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Kassenbestand und Guthaben bei Kreditinstituten werden zum Nennwert bilanziert. Kassenbestände in Fremdwährung werden zum
Geldkurs am Tag der Anschaffung oder zum niedrigeren Geldkurs am Bilanzstichtag bewertet."; 8.33 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Als aktive Rechnungsabgrenzungsposten werden auf der Aktivseite Ausgaben vor dem Abschlussstichtag ausgewiesen, sofern sie
Aufwand für eine bestimmte Zeit nach diesem Tag darstellen."; 8.34 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Der Ansatz und die Bewertung von Rückstellungen erfordert Einschätzungen und Annahmen durch die Geschäftsleitung. Schätzungen
beruhen auf Erfahrungswerten und anderen Annahmen, die unter den gegebenen Umständen als angemessen erachtet werden. Sie
werden laufend überprüft, können aber von den tatsächlichen Werten abweichen."; 8.47 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Die Rückstellung für Altersteilzeit wird auf der Grundlage versicherungsmathematischer Gutachten gebildet. Die Bewertung erfolgt
auf Basis des Anwartschaftsbarwertverfahrens, einer erwarteten Gehaltssteigerungen von 3,0 % sowie unter Zugrundelegung der
„Richttafeln 2005 G"" von Prof. Dr. Heubeck. Für jede einzelne Verpflichtung wurde derjenige Zinssatz verwendet, der der Restlaufzeit
entspricht."; 8.48, 34 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Sonstige Rückstellungen werden für ungewisse Verbindlichkeiten und für drohende Verluste aus schwebenden Geschäften in Höhe
des nach vernünftiger kaufmännischer Beurteilung notwendigen Erfüllungsbetrags (d. h. unter Berücksichtigung zukünftiger Kostenund
Preissteigerungen) angesetzt. Für Drohverlustrückstellung mit einer Laufzeit von mehr als einem Jahr aus Absatzgeschäften wird
eine entsprechende Abzinsung unter Anwendung der von der Bundesbank veröffentlichten Zinssätze vorgenommen. Sämtliche
sonstige Rückstellungen haben eine Restlaufzeit von bis zu einem Jahr, somit unterliegen diese Rückstellungen nicht der
Abzinsungspflicht; das Abzinsungswahlrecht für kurzfristige Rückstellungen wird von der Gesellschaft nicht ausgeübt."; 8.50 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Die Gesellschaft beliefert die Kunden im Auftrag der DURA Automotive Body und Glass Systems GmbH, potentielle Rückstellungen für
Garantien, dazu zählen insbesondere Gewährleistungsaufwendungen, die durch mangelhafte Lieferungen oder Leistungen verursacht
wurden und in Form von Kaufpreisminderungen oder Nachbesserungen abgegolten werden, werden pauschal bei der DURA
Automotive Body und Glass Systems GmbH zurückgestellt."; 8.50, 40 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"In den sonstigen Personalrückstellungen wird bilanzielle Vorsorge vor allem für Erfüllungsansprüche aus Urlaub und Überstunden,
Abfindungsverpflichtungen sowie für sonstige Personalkosten getroffen."; 8.50, 40 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Rückstellungen für ausstehende Rechnungen beinhalten insbesondere Verpflichtungen für erhaltene Dienstleistungen und Waren, die
zum Bilanzstichtag noch nicht in Rechnung gestellt wurden."; 8.50, 40 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
"Wie andere Produktionsunternehmen ist die Gesellschaft rechtlichen Risiken ausgesetzt, für die bei Vorliegen bestimmter
Bedingungen Rückstellungen für Rechtsstreitigkeiten zu bilden sind. Hierzu können bspw. Risiken aus den Bereichen Produkthaftung,
Wettbewerbs- und Kartellrecht, Steuerrecht sowie Umweltschutz gehören."; 8.50, 40 ;2016;GmbH;Jahresabschluss;Warth & Klein Grant Thornton AG
