Anhang; Annotierung (Angabe Nummer in Anhangcheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
"Anhang des Jahresabschlusses der emnos GmbH, München
für das Geschäftsjahr vom 1. Januar bis 31. Dezember 2016"; 44   ;2016;EMNOS GmbH;Jahresabschluss;
A. Allgemeine Vorbemerkungen;;2016;EMNOS GmbH;Jahresabschluss;
"Der vorliegende Jahresabschluss wurde nach den Vorschriften des Handelsgesetzbuchs (HGB) in der Fassung des Bilanzrichtlinie-
Umsetzungsgesetzes (BilRUG) aufgestellt. Einschlägige Vorschriften des GmbH-Gesetzes (GmbHG) wurden dabei beachtet."; 7.0 ;2016;EMNOS GmbH;Jahresabschluss;
"Die emnos GmbH ist eine kleine Kapitalgesellschaft im Sinne von § 267 Abs. 1 HGB und Abs. 4 HGB. Der vorliegende
Jahresabschluss wurde gemäß §§ 242 ff und §§ 264 ff HGB sowie unter Beachtung der einschlägigen Vorschriften des GmbHG
aufgestellt. Die Gesellschaft ist im Handelsregister B des Amtsgerichts München (HRB 148218) registriert"; 44   ;2016;EMNOS GmbH;Jahresabschluss;
"Von den Aufstellungserleichterungen gemäß § 288 HGB für kleine Kapitalgesellschaften wurde durch den Verzicht auf bestimmte
Angaben im Anhang teilweise Gebrauch gemacht.";;2016;EMNOS GmbH;Jahresabschluss;
Für die Darstellung der Gewinn- und Verlustrechnung wurde das Gesamtkostenverfahren gewählt.; 7.0 ;2016;EMNOS GmbH;Jahresabschluss;
"Die Definition der Umsatzerlöse in § 277 Abs. 1 HGB wurde durch das BilRUG erweitert, die bisherige Differenzierung zwischen
Erlösen aus der gewöhnlichen Geschäftstätigkeit und dem ""typischen Leistungsangebot"" des Unternehmens entfällt. Daraus ergeben
sich auch Auswirkungen für den Ausweis der Aufwendungen, die den Umsatzerlösen zugrunde liegen. Fremdleistungen, die als
wesentlicher Bestandteil in das Leistungsangebot des Unternehmens eingehen, das zu Umsatzerlösen führt, sind als bezogene
Leistungen innerhalb des Materialaufwands auszuweisen. Ferner ist das ""Ergebnis der gewöhnlichen Geschäftstätigkeit"" nicht mehr
gesondert ausgewiesen. Eine weitere Änderung des Gliederungsschemas der Gewinn- und Verlustrechnung ist die Einfügung eines
Zwischenergebnisses „Ergebnis nach Steuern“ zwischen dem Posten „Steuern vom Einkommen und vom Ertrag“ und dem Posten
„sonstige Steuern“."; 28   ;2016;EMNOS GmbH;Jahresabschluss;
"Zur besseren Vergleichbarkeit wurde für die Gewinn- und Verlustrechnung sowie die tabellarischen Anhangangaben zu den
Umsatzerlösen, den sonstigen betrieblichen Erträgen, dem Materialaufwand sowie den sonstigen betrieblichen Aufwendungen eine
dreispaltige Darstellung gewählt. Dabei wurden die Vorjahreszahlen an die Zahlen des Geschäftsjahrs 2016 angepasst, wie sie sich
nach dem BilRUG darstellen. Die dritte Spalte zeigt die Vorjahreszahlen, wie sie vor Anwendung der BilRUG-Vorschriften im geprüften
und mit einem uneingeschränkten Bestätigungsvermerk des Abschlussprüfers versehen Jahresabschluss 2015 abgebildet waren."; 2   ;2016;EMNOS GmbH;Jahresabschluss;
Aus rechentechnischen Gründen können in den Tabellen Rundungsdifferenzen in Höhe von +/- einer Einheit (EUR) auftreten.;;2016;EMNOS GmbH;Jahresabschluss;
Die emnos GmbH hat aufgrund der Befreiungsvorschrift des § 293 HGB darauf verzichtet, einen Konzernabschluss aufzustellen.; 37   ;2016;EMNOS GmbH;Jahresabschluss;
"Zwischen der emnos GmbH/München und ihrer Muttergesellschaft Loyalty Partner GmbH, München, besteht ein Beherrschungs- und
Gewinnabführungsvertrag. Die Loyalty Partner GmbH fungiert als ertragsteuerlicher und umsatzsteuerlicher Organträger für die
emnos GmbH."; 40   ;2016;EMNOS GmbH;Jahresabschluss;
B. Bilanzierungs- und Bewertungsgrundsätze;;2016;EMNOS GmbH;Jahresabschluss;
"Entgeltlich erworbene immaterielle Vermögensgegenstände und Sachanlagen werden zu Anschaffungskosten, vermindert
um planmäßige Abschreibungen angesetzt. Die Anschaffungskosten umfassen die Anschaffungspreise, Frachtkosten sowie andere
Anschaffungsnebenkosten, abzüglich etwaiger Preisminderungen."; 7.2, 7.7 ;2016;EMNOS GmbH;Jahresabschluss;
"Den Abschreibungen liegen betriebsgewöhnliche Nutzungsdauern, welche sich aufgrund betrieblicher Anforderungen definieren,
zugrunde. Die Abschreibungen erfolgen linear, bei entgeltlich erworbenen immateriellen Vermögensgegenständen i.d.R. über 60 Monate, bei Gegenstände des Sachanlagevermögens liegt die Nutzungsdauer zwischen 36 Monaten für EDV-Einrichtungen und 156
Monaten für Büromöbel."; 7.2, 7.7 ;2016;EMNOS GmbH;Jahresabschluss;
"Vermögensgegenstände des Anlagevermögens mit einem Einzelwert bis EUR 150, die einer selbständigen Nutzung fähig sind, werden
im Jahr des Zugangs sofort als Aufwand erfasst. Zugänge mit Anschaffungskosten von EUR 150 bis EUR 410 werden im Jahr des
Zugangs vollständig abgeschrieben."; 7.7 ;2016;EMNOS GmbH;Jahresabschluss;
