Ab PDF S. 4; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Anhang 2016;;2016;GmbH;Jahresabschluss;EY
der EWE NETZ GmbH, Oldenburg;;2016;GmbH;Jahresabschluss;EY
Allgemeine Angaben;;2016;GmbH;Jahresabschluss;EY
"Die EWE NETZ GmbH mit Sitz in Oldenburg („EWE NETZ"") ist eine große Kapitalgesellschaft im Sinne von § 267 HGB und ist beim Handelsregister B des Amtsgerichtes Oldenburg unter HR B 5236 eingetragen.
Zur Verbesserung der Klarheit und Übersichtlichkeit sind in der Bilanz und Gewinn- und Verlustrechnung Posten zusammengefasst und im Anhang gesondert ausgewiesen worden. In diesem Zusammenhang
werden Davon-Angaben und weitere gesetzlich geforderte Angaben der Bilanz und Gewinn- und Verlustrechnung im Anhang dargestellt. In der Bilanz ist der Posten „Bau- und Investitionszuschüsse"" sowie in
der Gewinn- und Verlustrechnung, die nach dem Gesamtkostenverfahren dargestellt ist, der Posten „Konzessionsabgaben"" eingefügt worden. Damit wird den spezifischen Besonderheiten der netzgebundenen
Versorgungswirtschaft und der Internationalisierung der Bilanzierung Rechnung getragen. Die Werte werden - soweit keine andere Darstellung erkenntlich - jeweils auf Mio. Euro mit einer Kommastelle gerundet
dargestellt."; 90   ;2016;GmbH;Jahresabschluss;EY
"Die erstmalige Anwendung des Bilanzrichtlinie-Umsetzungsgesetzes (BilRUG) hat unter anderem die Struktur der Gewinn- und Verlustrechnung beeinflusst. Durch die Neufassung der Umsatzerlösdefinition
werden Erlöse, die im Vorjahr den sonstigen betrieblichen Erträgen zugeordnet waren, unter den Umsatzerlösen gezeigt. Des Weiteren sind korrespondierende sonstige betriebliche Aufwendungen in den Materialaufwand
umgegliedert worden. Eine Anpassung der Vorjahreswerte wurde nicht vorgenommen. Hierdurch sind direkte Vergleiche zu Vorjahreswerten nur mittelbar möglich.";;2016;GmbH;Jahresabschluss;EY
Bilanzierungs- und Bewertungsgrundsätze;;2016;GmbH;Jahresabschluss;EY
"Immaterielle Vermögensgegenstände sind zu Anschaffungs- oder Herstellungskosten bewertet und werden entsprechend ihrer voraussichtlichen Nutzungsdauer planmäßig linear abgeschrieben. Die Sachanlagen
sind mit ihren Anschaffungs- oder Herstellungskosten, vermindert um planmäßige Abschreibungen, bilanziert."; 8.2, 8.7 ;2016;GmbH;Jahresabschluss;EY
"Für die planmäßigen Abschreibungen werden, soweit nicht anlagenspezifischen Besonderheiten Rechnung zu tragen ist, die branchenüblichen Nutzungsdauern zugrunde gelegt. Im Zugangsjahr werden die
planmäßigen Abschreibungen zeitanteilig vorgenommen. Grundsätzlich kommt die lineare Abschreibungsmethode zur Anwendung. Bewegliche Sachanlagen werden, soweit sie vor dem 1. Januar 2010 zugegangen
sind, zum Teil degressiv mit Methodenwechsel abgeschrieben."; 8.7, 11, 62 ;2016;GmbH;Jahresabschluss;EY
"Geringwertige Anlagegüter bis 150 Euro werden in Anlehnung an die steuerlichen Grenzwerte im Anschaffungsjahr voll abgeschrieben. Für Anlagengüter mit einem Wert zwischen 150 Euro und 1.000 Euro,
welche nach dem 31. Dezember 2007 angeschafft wurden, ist der jährlich zu bildende steuerliche Sammelposten in die Handelsbilanz übernommen worden. Der Sammelposten wird pauschalierend mit 20 Prozent
p.a. im Zugangsjahr und in den vier Folgejahren abgeschrieben."; 8.7 ;2016;GmbH;Jahresabschluss;EY
"Die Herstellungskosten für selbst erstelltes Anlagevermögen umfassen die direkt zurechenbaren Einzelkosten sowie angemessene Teile der Material- und der Fertigungsgemeinkosten sowie den Werteverzehr
des Anlagevermögens, soweit dieser durch die Fertigung veranlasst ist."; 8.1, 9 ;2016;GmbH;Jahresabschluss;EY
Das Finanzanlagevermögen ist zu Anschaffungskosten bilanziert.; 8.12 ;2016;GmbH;Jahresabschluss;EY
"Die Vorräte sind zu Anschaffungskosten bzw. zu niedrigeren Tageswerten angesetzt. Die Roh-, Hilfs- und Betriebsstoffe werden - soweit die Voraussetzungen des § 240 Abs. 3 HGB erfüllt sind - mit einem
Festwert bewertet. Die unfertigen Leistungen sind zu Herstellungskosten bewertet."; 8.20 ;2016;GmbH;Jahresabschluss;EY
"Der Ansatz von Forderungen und sonstigen Vermögensgegenständen erfolgt grundsätzlich zum Nennwert. Erkennbare Risiken werden durch Einzelwertberichtigungen in ausreichendem Maße berücksichtigt.
Dem allgemeinen Kreditrisiko wird durch eine Pauschalwertberichtigung in Höhe von einem Prozent Rechnung getragen. Am Bilanzstichtag noch nicht abgerechnete Netznutzungsentgelte werden periodengerecht
abgegrenzt."; 8.25 ;2016;GmbH;Jahresabschluss;EY
Die liquiden Mittel werden zum Nominalwert angesetzt.; 8.33 ;2016;GmbH;Jahresabschluss;EY
"Die Zuschüsse für neue Anschlüsse und Netzerweiterungen werden aktivisch, erfolgsneutral von den Anschaffungs- und Herstellungskosten abgesetzt. In den Folgejahren werden diese wegen der geringeren
Abschreibung der geminderten Investitionskosten über die Nutzungsdauer der entsprechenden Versorgungsanlagen ergebniswirksam. Dies betrifft alle Bauzuschüsse, die nach 2002 zugegangen sind. Bauzuschüsse,
die vor 2003 zugegangen sind, wurden passivisch abgegrenzt und werden innerhalb von 20 Jahren linear aufgelöst, andere Investitionszuschüsse entsprechend dem Abschreibungsverlauf der bezuschussten
Anlagegüter."; 8.0 ;2016;GmbH;Jahresabschluss;EY
"Rückstellungen für Pensionen und ähnliche Verpflichtungen sind nach den anerkannten versicherungsmathematischen Grundsätzen mittels der Projected Unit Credit Method (Anwartschaftsbarwertverfahren)
errechnet. Pensionsverpflichtungen bestehen gegenüber Anwärtern und Pensionären. Als biometrische Rechnungsgrundlagen wurden die „Richttafeln 2005 G"" von Prof. Dr. Klaus Heubeck verwendet. Der von
der Deutschen Bundesbank veröffentliche Abzinsungssatz gemäß § 253 Abs. 2 HGB beträgt für den Monat November 2016 bei einer Restlaufzeit von 15 Jahren und einem durchschnittlichen Marktzinssatz aus den
vergangenen zehn Geschäftsjahren 4,03 Prozent p.a. Im Berichtsjahr wurde auf Basis dieses Abzinsungssatzes ein auf den 31. Dezember 2016 geschätzter Rechnungszins von 4,01 Prozent p.a. zu Grunde gelegt.
Im Vorjahr wurde basierend auf dem durchschnittlichen Marktzinssatz des Monats November 2015 von 3,94 Prozent p.a. bei einer Restlaufzeit von 15 Jahren und einem durchschnittlichen Marktzinssatz aus den
vergangenen sieben Geschäftsjahren ein hochgerechneter Zinssatz von 3,89 Prozent p.a. angesetzt. Einkommenssteigerungen sind mit 2,5 Prozent p.a. eingerechnet. Außerdem wurden Rentenanpassungen für
Pensionsfondsleistungen in Höhe von 1,0 Prozent p.a. sowie Anpassungen für unmittelbare Zusagen in Höhe von 1,75 Prozent p.a. bzw. 4,0 Prozent p.a. bei entsprechender Mindestanpassung berücksichtigt. Neben
den Verpflichtungen aus laufenden Pensionen und den am Bilanzstichtag bestehenden Anwartschaften sind auch Verpflichtungen für Deputate im Ansatz berücksichtigt. Nach Artikel 67 Abs. 1 EGHGB wurde die
aufgrund der geänderten Bewertung der laufenden Pensionen und Anwartschaften auf Pensionen erforderliche Zuführung zu 1/7 letztmalig berücksichtigt, so dass der noch zuzuführende Betrag 0 Mio. Euro beträgt."; 8.48, 38 ;2016;GmbH;Jahresabschluss;EY
