; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Anhang;;;;;
Allgemeine Hinweise;;;;;
Der vorliegende Jahresabschluss ist gemäß §§ 242 ff. und 264 ff. HGB sowie nach den einschlägigen Vorschriften des GmbH-Gesetzes (GmbHG) aufgestellt. Es gelten die Vorschriften für große Kapitalgesellschaften. Die Zahlen des Jahresabschlusses sind auf tausend Euro (TEUR) gerundet.; 8.0 ;2015/2016;Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft;Jahresabschluss ;BDO 
Die Gewinn- und Verlustrechnung ist nach dem Gesamtkostenverfahren gegliedert.; 8.0 ;2015/2016;Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft;Jahresabschluss ;BDO 
Um die Klarheit der Darstellung zu verbessern, haben wir einzelne Posten der Bilanz sowie der Gewinn- und Verlustrechnung zusammengefasst und im Anhang gesondert aufgegliedert und erläutert. Aus dem gleichen Grund sind die Angaben über die Mitzugehörigkeit zu anderen Posten sowie gesetzliche Zusatzangaben (sog. Davon-Vermerke) ebenfalls in den Anhang aufgenommen.; 7   ;2015/2016;Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft;Jahresabschluss ;BDO 
Angaben zur Bilanz;;2015/2016;Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft;Jahresabschluss ;BDO 
(1) Anlagevermögen; 4.1, 8.1 ;2015/2016;Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft;Jahresabschluss ;BDO 
Entgeltlich erworbene immaterielle Vermögensgegenstände (Geschäftswerte, Softwarelizenzen) sind zu Anschaffungskosten, vermindert um planmäßige lineare Abschreibungen entsprechend ihrer jeweiligen voraussichtlichen Nutzungsdauer (in der Regel zwischen drei und fünf Jahren), bewertet.; 4.3, 8.3 ;2015/2016;Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft;Jahresabschluss ;BDO 
Der ausgewiesene Geschäftswert betrifft u. a. eine 2010 erworbene Beratungspraxis, deren Praxiswert seit dem planmäßig über eine voraussichtliche Nutzungsdauer von 15 Jahren abgeschrieben wird, sowie die Praxiswerte eines im Vorjahr und eines im Geschäftsjahr 2014 erworbenen Beratungsunternehmens, die beide über eine voraussichtliche Nutzungsdauer von fünf Jahren abgeschrieben werden. Die Nutzungsdauern sind durch langfristige Mandantenbeziehungen gekennzeichnet, die seit dem Erwerb bestehen und von deren Fortbestand über die genannten Zeiträume ausgegangen wird.; 4.5, 8.5, 14 ;2015/2016;Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft;Jahresabschluss ;BDO 
Das Sachanlagevermögen ist zu Anschaffungskosten angesetzt und wird, soweit abnutzbar, jährlich um planmäßige Abschreibungen vermindert. Dabei werden die Vermögensgegenstände der Betriebs- und Geschäftsausstattung sowie andere Anlagen nach Maßgabe der voraussichtlichen Nutzungsdauer linear über einen Zeitraum von zwei bis 33 Jahren und Gebäude über zehn bis 50 Jahre abgeschrieben. Auf geringwertige Anlagegüter mit Anschaffungskosten zwischen 151 und 1.000 Euro wird das steuerliche Sammelpostenverfahren aus Vereinfachungsgründen auch in der Handelsbilanz angewandt, da die Abweichungen des Wertansatzes im Vergleich zur Einzelbewertung unwesentlich sind.; 4.7, 8.7 ;2015/2016;Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft;Jahresabschluss ;BDO 
Bei den Finanzanlagen werden die Unternehmensanteile, die Wertpapiere des Anlagevermögens (soweit nicht Deckungsvermögen) sowie sonstige Ausleihungen und Rückdeckungsansprüche aus Lebensversicherungen zu Anschaffungskosten bzw. zu dem am Bilanzstichtag beizulegenden niedrigeren Wert angesetzt, sofern von einer dauernden Wertminderung auszugehen ist.; 4.12, 8.12 ;2015/2016;Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft;Jahresabschluss ;BDO 
Für Anteile an verbundenen Unternehmen und Beteiligungen wird der beizulegende Wert auf der Basis der Grundsätze ordnungsgemäßer Unternehmensbewertung aus dem Ertragswert und für Wertpapiere aus dem Kurswert zum Bilanzstichtag abgeleitet. Zuschreibungen oder Abwertungen waren im Geschäftsjahr nicht zu berücksichtigen.; 4.13, 8.13 ;2015/2016;Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft;Jahresabschluss ;BDO 
Der Rückgang bei den Anteilen an verbundenen Unternehmen in Höhe von 1.188 TEUR resultiert aus einer in Summe nachträglichen Anschaffungspreisminderung in Höhe von 1.860 TEUR an der Ernst & Young cqc corporate quality consulting GmbH, Eschborn, sowie aus einer Anschaffungspreiserhöhung in Höhe von 672 TEUR an der Ernst & Young J&M Management Consulting GmbH, Mannheim.; 4.13, 8.13 ;2015/2016;Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft;Jahresabschluss ;BDO 
Wertpapiere des Anlagevermögens, deren Buchwerte gemäß § 246 Abs. 2 Satz 2 HGB mit Altersversorgungsverpflichtungen oder diesen vergleichbaren langfristigen Verpflichtungen zu verrechnen sind (Deckungsvermögen), werden mit ihrem beizulegenden Zeitwert bewertet. Bei diesen Papieren handelt es sich hauptsächlich um einen Investmentfonds i. S. d. § 1 Kapitalanlagegesetzbuch (KAGB), der von einem Treuhänder verwaltet wird. Der Zeitwert des Investmentfonds wird von der Fondsgesellschaft als Rücknahmepreis am Bilanzstichtag bekannt gegeben und aus den Börsenkursen der im jeweiligen Fonds enthaltenen Wertpapiere abgeleitet.; 4.17, 8.17 ;2015/2016;Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft;Jahresabschluss ;BDO 
Außerdem hält die Gesellschaft als Finanzanlagen (Wertpapiere des Anlagevermögens) noch weitere Anteile an Investmentfonds, die nicht als Deckungsvermögen zu klassifizieren sind, da sie nicht ausschließlich zur Erfüllung von Altersversorgungsverpflichtungen und vergleichbaren langfristig fälligen Verpflichtungen dienen, sondern auch zur Erzielung von Erträgen aus der Kapitalanlage in diese Wertpapiere bestimmt sind. Dieser Wertpapierbestand ist zu Anschaffungskosten bewertet und setzt sich wie folgt zusammen:; 4.17, 8.17 ;2015/2016;Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft;Jahresabschluss ;BDO 
"Wertpapiere des Anlagevermögens, die nicht Deckungsvermögen sind Buchwert zum 30.06.2016
TEUR Marktwert (Kurswert) zum 30.06.2016
TEUR Differenz von Kurswert und Buchwert zum 30.06.2016
TEUR Ausschüttung für 2016
TEUR
1) Spezialfonds 243.252 231.517 -11.735 4.628
2) Spezialfonds 421.105 396.378 -24.727 16.602
3) Investmentfonds 13.331 14.749 1.418 thesaurierend
  677.688 642.644 -35.044 21.230"; 4.17, 8.17, 48 ;2015/2016;Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft;Jahresabschluss ;BDO 
Die in diesen Fonds enthaltenen Wertpapiere sind risikoarm und so ausgewählt, dass die Gesellschaft daraus nachhaltig Erträge erzielen kann. Gleichzeitig wird die Gefahr reduziert, signifikante Verluste zu erleiden. Weil die Kurswerte der in den Fonds enthaltenen Wertpapiere am Geschäftsjahresende weder innerhalb der letzten sechs Monate dauerhaft 20 Prozent unter den Buchwerten lagen noch die Durchschnittskurse während der letzten zwölf Monate permanent zehn Prozent unter den Buchwerten notierten, war für die Anteile an den Spezialfonds keine außerplanmäßige Abschreibung erforderlich, da insoweit nach den vorgenannten Kriterien des IDW RS VFA 2 von einer voraussichtlich nicht dauernden Wertminderung ausgegangen werden kann.; 4.17, 8.17, 48 ;2015/2016;Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft;Jahresabschluss ;BDO 
Wegen der Verpfändung dieser Fondsanteile zur Besicherung von kurz- und mittelfristig fälligen Gehaltsansprüchen der jeweils berechtigten Partner und Mitarbeiter bestehen für die aufgeführten Anlageinstrumente Beschränkungen, die einer börsentäglichen Rückgabe der Fondsanteile entgegenstehen.; 4.17, 8.17 ;2015/2016;Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft;Jahresabschluss ;BDO 
Die Buchwerte der mit den beizulegenden Zeitwerten in Höhe von insgesamt 39.815 TEUR (Vorjahr: 45.809 TEUR) angesetzten Wertpapiere des Finanzanlagevermögens, die als Deckungsvermögen der Vermögensverrechnung mit den betreffenden Altersversorgungsverpflichtungen unterliegen, sind aufgrund dieser Verrechnung im Bilanzausweis und im Anlagenspiegel nicht enthalten. Die betreffenden Vermögensgegenstände wurden zu Anschaffungskosten von 33.549 TEUR (Vorjahr: 35.897 TEUR) erworben.; 4.17, 8.17 ;2015/2016;Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft;Jahresabschluss ;BDO 
Sonstige Ausleihungen sind mit dem Nennbetrag angesetzt.; 4.18, 8.18 ;2015/2016;Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft;Jahresabschluss ;BDO 
Es bestehen gesondert ausgewiesene Ansprüche aus der Rückdeckung von Lebensversicherungsverträgen in Höhe von 135 TEUR (Vorjahr: 743 TEUR). Diese Rückdeckungsansprüche wurden mit dem von der Versicherung mitgeteilten Aktivwert zum Bilanzstichtag angesetzt, der dem geschäftsplanmäßigen Deckungskapital entspricht. Der Rückgang resultiert aus dem Ablauf mehrerer Verträge und den damit verbundenen Zahlungseingängen in Höhe der Ablaufguthaben.;;2015/2016;Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft;Jahresabschluss ;BDO 
Die Entwicklung der einzelnen Posten des Anlagevermögens ist, unter Angabe der auf das Geschäftsjahr entfallenden Abschreibungen, im nachfolgenden Anlagenspiegel dargestellt:; 4.1, 8.1 ;2015/2016;Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft;Jahresabschluss ;BDO 
Entwicklung des Anlagevermögens 2016; 4.1, 8.1, 15 ;2015/2016;Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft;Jahresabschluss ;BDO 
"Anschaffungs- und Herstellungskosten
01.07.2015
TEUR Zugänge
TEUR Abgänge
TEUR Umbuchungen
TEUR 30.06.2016
TEUR
I. Immaterielle Vermögensgegenstände          
1. Entgeltlich erworbene 1.986 18 208 0 1.796
EDV-Software/Lizenzen          
2. Praxiswerte 36.312 0 0 0 36.312
  38.298 18 208 0 38.108
II. Sachanlagen          
1. Grundstücke und Bauten 10.464 0 23 0 10.441
2. Andere Anlagen, Betriebs- und Geschäftsausstattung 82.505 30.851 15.095 10.855 109.116
3. Geleistete Anzahlungen und Anlagen im Bau 6.771 4.272 0 -10.855 188
           
  99.740 35.123 15.118 0 119.745
III. Finanzanlagen          
1. Anteile an verbundenen Unternehmen 42.441 692 1.880 0 41.253
2. Beteiligungen 8.798 0 0 0 8.798
3. Wertpapiere des Anlagevermögens 644.552 33.136 0 0 677.688
4. Sonstige Ausleihungen 28 0 6 0 22
5. Rückdeckungsansprüche aus Lebensversicherungen 743 9 617 0 135
  696.562 33.837 2.503 0 727.896
  834.600 68.978 17.829 0 885.749"; 4.1, 8.1, 15 ;2015/2016;Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft;Jahresabschluss ;BDO 
"Kumulierte Abschreibungen
01.07.2015
TEUR Zugänge
TEUR Abgänge
TEUR 30.06.2016
TEUR
I. Immaterielle Vermögensgegenstände        
1. Entgeltlich erworbene 1.437 138 208 1.367
EDV-Software/Lizenzen        
2. Praxiswerte 33.067 795 0 33.862
  34.504 933 208 35.229
II. Sachanlagen        
1. Grundstücke und Bauten 5.392 275 23 5.644
2. Andere Anlagen, Betriebs- und Geschäftsausstattung 59.580 11.361 14.569 56.372
3. Geleistete Anzahlungen und Anlagen im Bau 0 0 0 0
         
  64.972 11.636 14.592 62.016
III. Finanzanlagen        
1. Anteile an verbundenen Unternehmen 148     148
2. Beteiligungen        
3. Wertpapiere des Anlagevermögens        
4. Sonstige Ausleihungen        
5. Rückdeckungsansprüche aus Lebensversicherungen        
  148 0 0 148
  99.624 12.569 14.800 97.393"; 4.1, 8.1, 15, 16 ;2015/2016;Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft;Jahresabschluss ;BDO 
