Anhang; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
"Konzernanhang für das Geschäftsjahr 2016
";;;;;
"1. Allgemeine Angaben zum Konzernabschluss
";;2016;Felix Schoeller Holding GmbH & Co. KG;Konzernabschluss;PwC
Die Felix Schoeller Holding GmbH & Co. KG, Osnabrück, ist beim Amtsgericht Osnabrück unter der Handelsregisternummer HRA 5121 gemeldet.; 83 ;2016;Felix Schoeller Holding GmbH & Co. KG;Konzernabschluss;PwC
Der vorliegende Konzernabschluss zum 31. Dezember 2016 wurde nach § 264a Handeslgesetzbuch (HGB) in Verbindung mit (i.V.m.) §§ 290 ff. HGB aufgestellt.; 9.0 ;2016;Felix Schoeller Holding GmbH & Co. KG;Konzernabschluss;PwC
"Für die Gewinn- und Verlustrechnung wurde das Gesamtkostenverfahren beibehalten.

"; 9.0 ;2016;Felix Schoeller Holding GmbH & Co. KG;Konzernabschluss;PwC
Durch die Erstanwendung der Vorschriften des am 23. Juli 2015 in Kraft getretenen Bilanzrichtlinie-Umsetzungsgesetzes (BilRUG) ändern sich die bisherige Form der Darstellung und die bisher angewandten Ausweismethoden in der Gewinn- und Verlustrechnung. Im Einzelnen werden durch BilRUG die im Gliederungsschema zur Gewinn- und Verlustrechnung enthaltenen Posten „außerordentliche Erträge“ und „außerordentliche Aufwendungen“ sowie dementsprechend die Zwischenergebnisse „Ergebnis der gewöhnlichen Geschäftstätigkeit“ und „außerordentliches Ergebnis“ gestrichen. Eine weitere Gliederungsänderung der Gewinn- und Verlustrechnung ist die Einfügung eines Zwischenergebnisses „Ergebnis nach Steuern“ zwischen dem Posten „Steuern vom Einkommen und vom Ertrag“ und dem Posten „sonstige Steuern“. Diesbezüglich wurde eine entsprechende Anpassung der Vorjahresbeträge gemäß Art. 75 Abs. 2 Einführungsgesetz zum Handelsgesetzbuch (EGHGB) vorgenommen.; 2 ;2016;Felix Schoeller Holding GmbH & Co. KG;Konzernabschluss;PwC
"Darüber hinaus ergeben sich durch die Erstanwendung des BilRUG im Geschäftsjahr 2016 Ausweisänderungen im Zusammenhang mit der Neudefinition der Umsatzerlöse. Diese betreffen insbesondere die Umsatzerlöse und die sonstigen betrieblichen Erträge sowie die korrespondierenden Aufwandsposten.

"; 2 ;2016;Felix Schoeller Holding GmbH & Co. KG;Konzernabschluss;PwC
Die übrigen Bilanzierungs- und Bewertungsmethoden wurden im Berichtsjahr, mit Ausnahme der Bewertung der Pensionsrückstellungen, fortgeführt.; 9.0 ;2016;Felix Schoeller Holding GmbH & Co. KG;Konzernabschluss;PwC
Die übrigen Bilanzierungs- und Bewertungsmethoden wurden im Berichtsjahr, mit Ausnahme der Bewertung der Pensionsrückstellungen, fortgeführt.;;2016;Felix Schoeller Holding GmbH & Co. KG;Konzernabschluss;PwC
"2. Konsolidierungskreis und Konzernstichtag
";;2016;Felix Schoeller Holding GmbH & Co. KG;Konzernabschluss;PwC
In den Konzernabschluss zum 31. Dezember 2016 sind neben der Felix Schoeller Holding GmbH & Co. KG, Osnabrück, die nachstehenden Tochterunternehmen, deren Anteile unmittelbar oder mittelbar von dem Mutterunternehmen gehalten werden, einbezogen:; 68 ;2016;Felix Schoeller Holding GmbH & Co. KG;Konzernabschluss;PwC
