; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
;;;;;
Anhang für das Geschäftsjahr 2016;;2016;Finanz Informatik GmbH & Co. KG;Jahresabschluss;WIBERA
Allgemeine Angaben;;2016;Finanz Informatik GmbH & Co. KG;Jahresabschluss;WIBERA
Die Finanz Informatik GmbH & Co. KG hat ihren Sitz in Frankfurt am Main und ist eingetragen in das Handelsregister beim Amtsgericht Frankfurt (HRA 30059).; 90 ;2016;Finanz Informatik GmbH & Co. KG;Jahresabschluss;WIBERA
Angaben zur Form und Darstellung;;2016;Finanz Informatik GmbH & Co. KG;Jahresabschluss;WIBERA
Der Jahresabschluss wurde nach den für große Kapitalgesellschaften maßgeblichen Rechnungslegungsvorschriften des Handelsgesetzbuches in der Fassung des Bilanzrichtlinie-Umsetzungsgesetzes (BilRUG) aufgestellt.; 8.0 ;2016;Finanz Informatik GmbH & Co. KG;Jahresabschluss;WIBERA
Um die Übersichtlichkeit der Darstellung zu verbessern, wurden einzelne Posten der Bilanz sowie der Gewinn- und Verlustrechnung zusammengefasst. Zusammengefasste Posten sind im Anhang detailliert ausgewiesen.; 7 ;2016;Finanz Informatik GmbH & Co. KG;Jahresabschluss;WIBERA
Für die Gliederung der Gewinn- und Verlustrechnung wurde das Gesamtkostenverfahren gemäß § 275 Abs. 2 HGB gewählt.; 8.0 ;2016;Finanz Informatik GmbH & Co. KG;Jahresabschluss;WIBERA
Im Geschäftsjahr 2016 wurden erstmals die Vorschriften des BilRUG angewandt. Bei Anwendung des BilRUG auf die Vorjahreszahlen der Gewinn- und Verlustrechnung hätten sich folgende Änderungen ergeben:; 50 ;2016;Finanz Informatik GmbH & Co. KG;Jahresabschluss;WIBERA
"2015 nach BilRuG.
TEUR
2015 vor BilRuG.
TEUR
Veränderung.
TEUR
Umsatzerlöse 1.540.588 1.524.422 16.166
Sonstige betriebliche Erträge 10.083 23.985 -13.902
Materialaufwand 911.964 910.136 1.828
Sonstige betriebliche Aufwendungen 118.732 120.560 -1.828
Außerordentliches Ergebnis 0 2.264 -2.264
2.581.367 2.581.367 0"; 50 ;2016;Finanz Informatik GmbH & Co. KG;Jahresabschluss;WIBERA
Bilanzierungs- und Bewertungsmethoden;;2016;Finanz Informatik GmbH & Co. KG;Jahresabschluss;WIBERA
Entgeltlich erworbene immaterielle Vermögensgegenstände sind zu Anschaffungskosten erfasst und werden linear entsprechend ihrer voraussichtlichen Nutzungsdauer abgeschrieben.; 8.4 ;2016;Finanz Informatik GmbH & Co. KG;Jahresabschluss;WIBERA
Sachanlagen werden mit den Anschaffungskosten abzüglich planmäßiger, linear ermittelter Abschreibungen bewertet. Den planmäßigen Abschreibungen liegen grundsätzlich die betriebsgewöhnlichen Nutzungs- dauern - gegebenenfalls unter Berücksichtigung der mehrschichtigen Nutzung - zugrunde.; 8.7 ;2016;Finanz Informatik GmbH & Co. KG;Jahresabschluss;WIBERA
Abnutzbare bewegliche Wirtschaftsgüter des Anlagevermögens mit Anschaffungskosten von 150,01 EUR bis 410,00 EUR werden im Zugangsjahr voll abgeschrieben.; 8.7 ;2016;Finanz Informatik GmbH & Co. KG;Jahresabschluss;WIBERA
Die Finanzanlagen werden grundsätzlich mit ihren Anschaffungskosten angesetzt, soweit erforderlich wurden diese mit dem niedrigeren beizulegenden Wert bilanziert. Unverzinsliche Ausleihungen werden mit ihrem Barwert ausgewiesen.; 8.12 ;2016;Finanz Informatik GmbH & Co. KG;Jahresabschluss;WIBERA
Die Vorräte werden zu durchschnittlichen Anschaffungskosten bzw. zu Herstellungskosten unter Beachtung des Niederstwertprinzips bewertet.; 8.20 ;2016;Finanz Informatik GmbH & Co. KG;Jahresabschluss;WIBERA
Die Bewertung der unfertigen Leistungen erfolgte zu den angefallenen Herstellungskosten. Die angesetzten Herstellungskosten enthalten die Fertigungs- und Materialeinzelkosten, die Sonderkosten der Fertigung, ferner angemessene Teile der Material-, Fertigungs- und Verwaltungsgemeinkosten sowie die Kosten des Werteverzehrs des Anlagevermögens, soweit dieser durch die Fertigung veranlasst ist.; 8.22 ;2016;Finanz Informatik GmbH & Co. KG;Jahresabschluss;WIBERA
Die übrigen Forderungen und sonstigen Vermögensgegenstände sind zum Nennwert abzüglich individueller Abschläge für erkennbare Einzelrisiken bewertet. Die flüssigen Mittel sind zum Nennwert bewertet.; 8.25 ;2016;Finanz Informatik GmbH & Co. KG;Jahresabschluss;WIBERA
