; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Konzern-Anhang für das Geschäftsjahr 2016;;2016;Finanz Informatik GmbH & Co. KG;Konzernabschluss;WIBERA
Allgemeine Angaben;;2016;Finanz Informatik GmbH & Co. KG;Konzernabschluss;WIBERA
Die Finanz Informatik GmbH & Co. KG als Mutterunternehmen des Konzerns hat ihren Sitz in Frankfurt am Main. Die Gesellschaft ist unter der Nummer HRA 30059 in das Handelsregister beim Amtsgericht Frankfurt eingetragen.; 83 ;2016;Finanz Informatik GmbH & Co. KG;Konzernabschluss;WIBERA
Angaben zur Form und Darstellung;;2016;Finanz Informatik GmbH & Co. KG;Konzernabschluss;WIBERA
Der Konzernabschluss der Finanz Informatik GmbH & Co. KG zum 31.12.2016 wurde nach den Vorschriften der §§ 290 ff. HGB erstellt.; 9.0 ;2016;Finanz Informatik GmbH & Co. KG;Konzernabschluss;WIBERA
Um die Übersichtlichkeit der Darstellung zu verbessern, wurden einzelne Posten der Bilanz sowie der Gewinn- und Verlustrechnung zusammengefasst. Zusammengefasste Posten sind im Anhang detailliert ausgewiesen.; 8 ;2016;Finanz Informatik GmbH & Co. KG;Konzernabschluss;WIBERA
ausgewiesen.;;2016;Finanz Informatik GmbH & Co. KG;Konzernabschluss;WIBERA
Für die Gliederung der Gewinn- und Verlustrechnung wurde das Gesamtkostenverfahren gemäß § 275 Abs. 2 HGB gewählt.; 9.0 ;2016;Finanz Informatik GmbH & Co. KG;Konzernabschluss;WIBERA
Im Geschäftsjahr 2016 wurden erstmals die Vorschriften des BilRUG angewandt. Bei Anwendung des BilRUG auf die Vorjahreszahlen der Gewinn- und Verlustrechnung hätten sich folgende Änderungen ergeben:; 49 ;2016;Finanz Informatik GmbH & Co. KG;Konzernabschluss;WIBERA
"2015 nach BilRuG.
TEUR
2015 vor BilRuG.
TEUR
Veränderung.
TEUR
Umsatzerlöse 1.710.382 1.697.124 13.258
Sonstige betriebliche Erträge 14.713 25.707 -10.994
Materialaufwand 834.254 832.427 1.827
Sonstige betriebliche Aufwendungen 159.753 161.580 -1.827
Außerordentliches Ergebnis 0 2.264 -2.264
2.719.102 2.719.102 0"; 49 ;2016;Finanz Informatik GmbH & Co. KG;Konzernabschluss;WIBERA
Konsolidierungskreis;;2016;Finanz Informatik GmbH & Co. KG;Konzernabschluss;WIBERA
In den Konsolidierungskreis wurden weiterhin unverändert die Finanz Informatik GmbH & Co. KG als Mutterunternehmen und folgende Tochterunternehmen im Rahmen einer Vollkonsolidierung einbezogen:; 68 ;2016;Finanz Informatik GmbH & Co. KG;Konzernabschluss;WIBERA
"–Finanz Informatik Solutions Plus GmbH, Frankfurt am Main
–Finanz Informatik Technologie Service GmbH & Co. KG, München/Haar
–FinanzIT Servicegesellschaft mbH, Münster
–inasys Gesellschaft für Informations- und Analyse-Systeme mbH, Bonn
–Star Finanz-Software Entwicklung und Vertriebs GmbH, Hamburg"; 68 ;2016;Finanz Informatik GmbH & Co. KG;Konzernabschluss;WIBERA
Folgende Tochterunternehmen wurden nicht in den Konzernabschluss einbezogen, da sie für die Darstellung der Vermögens-, Finanz- und Ertragslage des Konzerns von untergeordneter Bedeutung sind (§ 296 Abs. 2 HGB):; 68, 89 ;2016;Finanz Informatik GmbH & Co. KG;Konzernabschluss;WIBERA
"–ATRAS Beteiligungs GmbH & Co. Vermietungs-KG, Pöcking
–Finanz Informatik Technologie Service Beteiligungsgesellschaft mbH, München/Haar
–GARON Beteiligungs GmbH & Co. Vermietungs-KG, Pöcking
–GUB Beteiligungs GmbH & Co. Vermietungs-KG, Pöcking
–S-Commerce Geschäftsführungs-GmbH, Frankfurt am Main"; 68, 89 ;2016;Finanz Informatik GmbH & Co. KG;Konzernabschluss;WIBERA
In Ausübung des Wahlrechts nach § 311 Abs. 2 HGB wurden zwei assozierte Unternehmen (Objektgesellschaften) nicht nach der Equity-Methode im Konzernabschluss bewertet.; 69, 96 ;2016;Finanz Informatik GmbH & Co. KG;Konzernabschluss;WIBERA
Konsolidierungsmethoden;;2016;Finanz Informatik GmbH & Co. KG;Konzernabschluss;WIBERA
Die Konsolidierung der Jahresabschlüsse der in den Konzernabschluss einbezogenen Unternehmen wurde unter Beachtung der Vorschriften der §§ 290 ff. HGB vorgenommen.;;2016;Finanz Informatik GmbH & Co. KG;Konzernabschluss;WIBERA
• Kapitalkonsolidierung;;2016;Finanz Informatik GmbH & Co. KG;Konzernabschluss;WIBERA
Die Kapitalkonsolidierung erfolgte bei allen in den Konzernabschluss einbezogenen Tochterunternehmen jeweils nach der Neubewertungsmethode (§ 301 Abs. 1 Satz 2 Nr. 2 HGB) durch Verrechnung des Anschaffungswertes der Beteiligung mit dem Konzernanteil am Eigenkapital der konsolidierten Unternehmen zum Zeitpunkt der erstmaligen Einbeziehung in den Konzernabschluss.;;2016;Finanz Informatik GmbH & Co. KG;Konzernabschluss;WIBERA
Der bei der Neubewertung der Finanz Informatik Solutions Plus GmbH im Geschäftsjahr 2007 entstandene Geschäfts- oder Firmenwert wird aufgrund der erwarteten langfristig guten Ertragsaussichten unverändert über 15 Jahre linear abgeschrieben.; 14, 92 ;2016;Finanz Informatik GmbH & Co. KG;Konzernabschluss;WIBERA
