Anhang;Annotierung;Gesch„ftsjahr;Gesellschaft;Abschlussart;Prfer
Konzernanhang fr das Gesch„ftsjahr 2016;;2016;GlaxoSmithKline Healthcare GmbH;Konzernabschluss;PwC
1) Vorbemerkung;;2016;GlaxoSmithKline Healthcare GmbH;Konzernabschluss;PwC
"Die GlaxoSmithKline Healthcare GmbH als Muttergesellschaft mit Sitz in Mnchen ist beim Handelsregister B des Amtsgerichts Mnchen
unter der Nummer HRB 226378 eingetragen.";140;2016;GlaxoSmithKline Healthcare GmbH;Konzernabschluss;PwC
Die Gewinn- und Verlustrechnung wurde nach dem Umsatzkostenverfahren aufgestellt.;;2016;GlaxoSmithKline Healthcare GmbH;Konzernabschluss;PwC
Der Konzernabschluss wurde unter Annahme der Unternehmensfortfhrung (Going-Concern) aufgestellt.;;2016;GlaxoSmithKline Healthcare GmbH;Konzernabschluss;PwC
"Auf Grund der BilRUG-nderungen sind die Vorjahreszahlen gegebenenfalls nicht vergleichbar, da die Vorjahresbetr„ge nach dem HGB
a.F. ausgewiesen sind. Vergleiche hierzu auch die Ausfhrungen unter Punkt 5) und 7).";;2016;GlaxoSmithKline Healthcare GmbH;Konzernabschluss;PwC
2) Konsolidierungskreis;;2016;GlaxoSmithKline Healthcare GmbH;Konzernabschluss;PwC
"Der Konsolidierungskreis umfasst neben der GlaxoSmithKline HealthcareGmbH die folgenden 3 inl„ndischen Unternehmen
(Tochterunternehmen):
Gesellschaft Sitz %
1 GlaxoSmithKline Consumer Healthcare GmbH & Co. KG Mnchen (vormals Bhl) 100,0%
2 Panadol GmbH Mnchen (vormals Bhl) 100,0%
3 Kuhs GmbH Mnchen (vormals L”rrach) 100,0%
Im Laufe des Gesch„ftsjahres ergaben sich keine nderungen im Konsolidierungskreis. Im Vorjahr wurde die Kuhs GmbH mit Wirkung
zum 25. Februar 2015 in den bestehenden Konzern aufgenommen.";102, 107;2016;GlaxoSmithKline Healthcare GmbH;Konzernabschluss;PwC
3) Konsolidierungsstichtag;;2016;GlaxoSmithKline Healthcare GmbH;Konzernabschluss;PwC
Der Abschlussstichtag der in den Konzernabschluss einbezogenen Unternehmen ist der 31. Dezember 2016.;;2016;GlaxoSmithKline Healthcare GmbH;Konzernabschluss;PwC
4) Konsolidierungsgrunds„tze;;2016;GlaxoSmithKline Healthcare GmbH;Konzernabschluss;PwC
"Der Konzern besteht seit 1. Januar 2005 und bildete bisher ein Teil des gesamten GSK Pharma Konzerns in Deutschland. Zum 1. Januar
2015 wurde erstmalig ein separater Consumer Teilkonzernabschluss in Deutschland aufgestellt. Die Kapitalkonsolidierung zu diesem
Zeitpunkt erfolgte fr alle bestehenden Unternehmen einheitlich nach der Buchwertmethode durch Verrechnung des
Beteiligungsbuchwertes mit dem Eigenkapital. Es wird von der M”glichkeit der Fortfhrung der Buchwertmethode Gebrauch gemacht.";;2016;GlaxoSmithKline Healthcare GmbH;Konzernabschluss;PwC
"Fr die in 2015 erworbene und erstmals konsolidierte Kuhs GmbH, erfolgte die Kapitalkonsolidierung nach der Neubewertungsmethode
gem„á õ 301 Abs. 1 Satz 2 HGB. Das Eigenkapital wurde mit dem Zeitwert der in den Konzernabschluss aufzunehmenden
Verm”gensgegenst„nde und Schulden, der dem Zeitpunkt der Erstkonsolidierung entsprach, angesetzt. Der Kaufpreis wurde auf die
erworbenen Verm”gensgegenst„nde und Schulden verteilt. Dies fhrte zur Aufdeckung stiller Reserven. Das neubewertete
Nettoreinverm”gen wurde mit dem Beteiligungsbuchwert des Mutterunternehmens verrechnet. Der verbleibende Unterschiedsbetrag
wurde als Gesch„fts- oder Firmenwert ausgewiesen und belief sich auf T? 8.991 und wird linear ber 8 Jahre abgeschrieben. Die
betriebliche Nutzungsdauer basiert auf einer Einsch„tzung der zeitlichen Ertragsrckflsse auf Basis der identifizierten Komponenten des
Gesch„fts- oder Firmenwerts. Diese repr„sentieren insbesondere Know-how (Produktrechte), die im Rahmen des Erwerbs bernommen
wurden. Die Abschreibung des neu erworbenen Gesch„fts- oder Firmenwerts wird in den sonstigen betrieblichen Aufwendungen erfasst.";19;2016;GlaxoSmithKline Healthcare GmbH;Konzernabschluss;PwC
"Der bereits bestehende Gesch„fts- oder Firmenwert zum Zeitpunkt der Erstkonsolidierung im Jahre 2005 betrug fr den Deutschen
Consumer Teilkonzern T? 360.360. Die betriebliche Nutzungsdauer von 20 Jahren basiert auf einer Einsch„tzung der zeitlichen
Ertragsrckflsse auf Basis der identifizierten Komponenten der Gesch„fts- oder Firmenwerte. Diese repr„sentieren insbesondere
Kundenst„mme sowie das 'Know-how' (Mitarbeiter, Prozesse), die im Rahmen des Erwerbs der Gesch„ftsbetriebe bernommen wurden.
Auf Grund des Erwerbs der Minderheitenanteile zu einem Kaufpreis in H”he von T? 2.350 der GlaxoSmithKline Consumer Healthcare
GmbH & Co. KG in 2015 erh”hte sich dieser Gesch„fts- oder Firmenwert um T? 1.680.";19;2016;GlaxoSmithKline Healthcare GmbH;Konzernabschluss;PwC
"Forderungen und Verbindlichkeiten zwischen den in den Konzernabschluss einbezogenen Unternehmen wurden entsprechend õ 303 HGB
bei der Schuldenkonsolidierung eliminiert. Insgesamt belaufen sich die eliminierten Schulden auf T? 73.869.";;2016;GlaxoSmithKline Healthcare GmbH;Konzernabschluss;PwC
"Die Ertr„ge und Aufwendungen zwischen den in den Konzernabschluss einbezogenen Unternehmen wurden im Rahmen der Aufwandsund
Ertragskonsolidierung verrechnet. Die eliminierten Ertr„ge und Aufwendungen beliefen sich auf T? 50.544.";;2016;GlaxoSmithKline Healthcare GmbH;Konzernabschluss;PwC
Es wurden im laufenden Gesch„ftsjahr gem„á õ 304 Abs. 1 HGB keine Zwischengewinne eliminiert.;;2016;GlaxoSmithKline Healthcare GmbH;Konzernabschluss;PwC
"Die in den Konzernabschluss bernommenen Verm”gensgegenst„nde und Schulden der ein-bezogenen Unternehmen wurden
grunds„tzlich einheitlich nach den fr die GlaxoSmithKline Healthcare GmbH angewandten Bilanzierungsgrunds„tzen angesetzt und
bewertet.";;2016;GlaxoSmithKline Healthcare GmbH;Konzernabschluss;PwC
"5) Bilanzierungs- und Bewertungsgrunds„tze
Allgemeine";;2016;GlaxoSmithKline Healthcare GmbH;Konzernabschluss;PwC
Allgemeine Angaben;;2016;GlaxoSmithKline Healthcare GmbH;Konzernabschluss;PwC
"Im Berichtsjahr wurden folgende Abweichungen von in Vorperioden angewandten Darstellungs-, Bilanzierungs- und/oder
Bewertungsmethoden vorgenommen:";;2016;GlaxoSmithKline Healthcare GmbH;Konzernabschluss;PwC
