Anhang für das Geschäftsjahr 2016; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
DER HUGO BOSS AG;;2016;AG;Jahresabschluss;EY
ALLGEMEINE ANGABEN;;2016;AG;Jahresabschluss;EY
Die HUGO BOSS AG ist eine börsennotierte Aktiengesellschaft mit Sitz in der Dieselstraße 12, 72555 Metzingen, Deutschland. Die Gesellschaft ist beim Amtsgericht Stuttgart unter der Registernummer HRB 360610 in das Handelsregister eingetragen.; 113 ;2016;AG;Jahresabschluss;EY
Der Abschluss umfasst die Bilanz, die Gewinn- und Verlustrechnung und den Anhang.;;2016;AG;Jahresabschluss;EY
Die HUGO BOSS AG erstellt die Gewinn- und Verlustrechnung nach dem Umsatzkostenverfahren. Um die Übersichtlichkeit der Bilanz und der Gewinn- und Verlustrechnung zu gewährleisten, wurden Vermerke und Erläuterungen zu einzelnen Positionen gemäß § 265 Abs. 7 HGB ausschließlich im Anhang aufgeführt.; 8.0 ;2016;AG;Jahresabschluss;EY
Der Jahresabschluss 2016 der HUGO BOSS AG wird nach den Vorschriften des Handelsgesetzbuches und des Aktienrechts erstellt. Der Ausweis erfolgt in Tausend Euro (TEUR).; 8.0 ;2016;AG;Jahresabschluss;EY
Aufgrund von Rundungen ist es möglich, dass sich einzelne Zahlen im Jahresabschluss der HUGO BOSS AG nicht genau zur angegebenen Summe addieren und dass dargestellte Prozentangaben nicht genau die absoluten Angaben widerspiegeln, auf die sie sich beziehen.; 8.0 ;2016;AG;Jahresabschluss;EY
AUSWIRKUNG DES BILANZRICHTLINIE-UMSETZUNGSGESETZES (BILRUG) AUF DEN ABSCHLUSS; 1 ;2016;AG;Jahresabschluss;EY
Die Umsetzung des Bilanzrichtlinie-Umsetzungsgesetzes (BilRUG) führte zu folgenden Auswirkungen auf die Vorjahreswerte. Diese Auswirkungen werden im Anhang dargestellt.; 1, 2, 3 ;2016;AG;Jahresabschluss;EY
Von den sonstigen betrieblichen Erträgen werden 75.211 TEUR in die Umsatzerlöse umgegliedert (vor Umgliederung: 1.249.966 TEUR - nach Umgliederung 1.325.177 TEUR). Diese Umgliederung beinhaltet im Wesentlichen den Verkauf von Nicht-Produktionsmaterialien (52.690 TEUR) sowie überwiegend konzerninterne Weiterberechnungen von Service- und Logistikleistungen (22.521 TEUR).; 1, 3 ;2016;AG;Jahresabschluss;EY
"Folge hieraus sind auch Umgliederungen in die Umsatzkosten, die zu einer Erhöhung um 75.490 TEUR auf 805.141 TEUR (vor Umgliederung 729.651 TEUR) geführt haben. In die Umsatzkosten wurden Vertriebskosten in Höhe von 68.749 TEUR (vor Umgliederung 369.133 TEUR - nach Umgliederung 300.384 TEUR); allgemeine Verwaltungskosten 4.580 TEUR (vor Umgliederung 102.728 TEUR - nach Umgliederung 98.148 TEUR) und sonstige betriebliche Aufwendungen von 2.161 TEUR (vor Umgliederung 69.812 TEUR - nach Umgliederung 67.651 TEUR) umgegliedert."; 1, 3 ;2016;AG;Jahresabschluss;EY
Die Anwendung des BilRUG führt zu keiner Umgliederung innerhalb der Bilanzposten.;;2016;AG;Jahresabschluss;EY
BILANZIERUNGS- UND BEWERTUNGSGRUNDSÄTZE;;2016;AG;Jahresabschluss;EY
Die Bilanzierungs- und Bewertungsmethoden des Vorjahres wurden unverändert beibehalten.; 8.0 ;2016;AG;Jahresabschluss;EY
ANLAGEVERMÖGEN;;2016;AG;Jahresabschluss;EY
Entgeltlich erworbene immaterielle Vermögensgegenstände werden zu Anschaffungskosten bewertet und linear über eine Nutzungsdauer von 3 bis 10 Jahren abgeschrieben. Die aktivierten, entgeltlich erworbenen Geschäfts- oder Firmenwerte werden über eine voraussichtliche Nutzungsdauer von 8 beziehungsweise 15 Jahren abgeschrieben. Die Nutzungsdauern sind durch langfristig bestehende Mietverträge begründet.; 8.2, 14 ;2016;AG;Jahresabschluss;EY
Das Sachanlagevermögen wird zu Anschaffungs- und Herstellungskosten, vermindert um Abschreibungen, angesetzt.; 8.7 ;2016;AG;Jahresabschluss;EY
Für die Abschreibungen auf Gebäude werden Nutzungsdauern von 8 bis 50 Jahren angesetzt, bei technischen Anlagen und Maschinen 5 bis 19 Jahre, bei anderen Anlagen 5 bis 16 Jahre sowie bei Betriebs- und Geschäftsausstattung 3 bis 23 Jahre. Die planmäßigen Abschreibungen werden für Zugänge bis zum 31. Dezember 2007 nach der degressiven Methode errechnet. Zugänge nach dem 31. Dezember 2007 werden ausschließlich linear abgeschrieben.; 8.7 ;2016;AG;Jahresabschluss;EY
