; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Anhang ;;;;;
Allgemeine Angaben;;;;;
Der Jahresabschluss zum 31. Dezember 2016 wurde nach den Vorschriften des Handelsgesetzbuches aufgestellt. Die ergänzenden Bestimmungen des GmbH-Gesetzes wurden beachtet.; 8.0 ;2016;Hochwald Foods GmbH;Jahresabschluss;RW AUDIT GmbH.
Die Hochwald Foods GmbH wird im Handelsregister Wittlich unter HRB 1149 geführt. Sitz der Gesellschaft ist Thalfang.; 90 ;2016;Hochwald Foods GmbH;Jahresabschluss;RW AUDIT GmbH.
Die vorgeschriebenen Gliederungen der Bilanz und Gewinn- und Verlustrechnung gem. § 266 HGB und § 275 HGB wurden ohne Einschränkung angewendet. Die Gewinn- und Verlustrechnung wurde nach dem Gesamtkostenverfahren aufgestellt. Posten, unter denen im Geschäfts- und Vorjahr kein Betrag anzugeben war, sind nicht aufgeführt.; 8.0 ;2016;Hochwald Foods GmbH;Jahresabschluss;RW AUDIT GmbH.
Die Vorschriften des BilRUG (Bilanzrichtlinie-Umsetzungsgesetz) werden für das Geschäftsjahr 2016 erstmalig angewendet. Die Anwendung der Vorschriften des BilRUG betraf die Posten Forderungen aus Lieferungen und Leistungen, sonstige Vermögensgegenstände, Umsatzerlöse, sonstige betriebliche Erträge und sonstige betriebliche Aufwendungen. Aufgrund der erstmaligen Anwendung der Vorschriften des BilRUG sind die ausgewiesenen Beträge des Geschäftsjahres nur eingeschränkt vergleichbar mit den Vorjahreswerten.; 8.0, 1, 2 ;2016;Hochwald Foods GmbH;Jahresabschluss;RW AUDIT GmbH.
Erläuterung zu den Bilanzierungs- und Bewertungsmethoden;;2016;Hochwald Foods GmbH;Jahresabschluss;RW AUDIT GmbH.
Die Bilanzierung und Bewertung erfolgte unter der Annahme der Fortführung der Unternehmenstätigkeit (§252 Abs. 1 Nr. 2 HGB).; 8.0 ;2016;Hochwald Foods GmbH;Jahresabschluss;RW AUDIT GmbH.
Von den Bilanzierungs- und Bewertungsmethoden des Vorjahres wurde mit Ausnahme der Ausweisänderungen in Bezug auf die erstmalige Anwendungen der Vorschriften nach BilRUG nicht abgewichen.; 8.0 ;2016;Hochwald Foods GmbH;Jahresabschluss;RW AUDIT GmbH.
Die entgeltlich erworbenen immateriellen Vermögensgegenstände wurden mit den Anschaffungskosten, vermindert um planmäßige lineare Abschreibungen, bewertet. Die Abschreibung des ausgewiesenen, vor dem 1. Januar 2010 entstandenen, Geschäfts- oder Firmenwertes erfolgt aufgrund der langfristigen Kundenbindung über die ursprüngliche voraussichtliche Nutzungsdauer von 15 Jahren.; 8.4, 14 ;2016;Hochwald Foods GmbH;Jahresabschluss;RW AUDIT GmbH.
Sachanlagen werden zu Anschaffungskosten abzüglich planmäßiger und außerplanmäßiger Abschreibungen angesetzt.; 8.7 ;2016;Hochwald Foods GmbH;Jahresabschluss;RW AUDIT GmbH.
Für Zugänge zum Sachanlagevermögen bis zum 31. Dezember 2009 werden die Abschreibungen bei Gebäuden linear, beim anderen Sachanlagevermögen linear oder degressiv vorgenommen. Ab 01.01.2010 werden sämtliche Zugänge zum Anlagevermögen linear abgeschrieben.; 8.7 ;2016;Hochwald Foods GmbH;Jahresabschluss;RW AUDIT GmbH.
Die Bemessung der Abschreibungen orientiert sich an der betriebsgewöhnlichen Nutzungsdauer.; 8.7 ;2016;Hochwald Foods GmbH;Jahresabschluss;RW AUDIT GmbH.
Geringwertige Anlagengüter mit einem Einzelanschaffungspreis bis zu 410,00 Euro werden im Zugangsjahr bis auf einen Erinnerungswert abgeschrieben.; 8.7 ;2016;Hochwald Foods GmbH;Jahresabschluss;RW AUDIT GmbH.
In der Vergangenheit erhaltene Bundes- und Landeszuschüsse für bestimmte Investitionen wurden, mit Ausnahme der Kläranlage in Hünfeld, von den Anschaffungskosten abgesetzt.; 8.7 ;2016;Hochwald Foods GmbH;Jahresabschluss;RW AUDIT GmbH.
Die Finanzanlagen wurden mit den Anschaffungskosten angesetzt.; 8.12 ;2016;Hochwald Foods GmbH;Jahresabschluss;RW AUDIT GmbH.
Roh-, Hilfs- und Betriebsstoffe sowie Waren werden grundsätzlich mit den Anschaffungskosten bzw. dem niedrigeren beizulegenden Wert bewertet. Die Bewertung der fertigen und unfertigen Erzeugnisse erfolgt zu den Herstellungskosten. Die Herstellungskosten enthalten neben den Einzelkosten auch angemessene Material- und Fertigungsgemeinkosten sowie den Werteverzehr des auf die Fertigung entfallenden Anlagevermögens. Nicht enthalten sind Kosten der allgemeinen Verwaltung sowie Zinsen für Fremdkapital. Soweit erforderlich werden diese mit dem niedrigeren beizulegendem Wert angesetzt.; 8.20, 9 ;2016;Hochwald Foods GmbH;Jahresabschluss;RW AUDIT GmbH.
Die Forderungen und sonstige Vermögensgegenstände sind mit dem Nennwert abzüglich einer Pauschalwertberichtigung für das allgemeine Kreditrisiko und dem zinsfreien Zahlungsziel in Höhe von 1,0 % angesetzt. Für erkennbare Einzelrisiken sind Einzelwertberichtigungen abgesetzt.; 8.25 ;2016;Hochwald Foods GmbH;Jahresabschluss;RW AUDIT GmbH.
Forderungen in ausländischer Währung, deren Restlaufzeit nicht mehr als ein Jahr beträgt, werden gem. § 256 a HGB zum Devisenkassamittelkurs am Bilanzstichtag bewertet. Das Anschaffungskostenprinzip gemäß § 253 Abs. 1 Satz 1 HGB und das Imparitätsprinzip nach § 252 Abs. 1 Nr. 4 Halbsatz 2 HGB kommen dabei nicht zur Anwendung.; 8.25 ;2016;Hochwald Foods GmbH;Jahresabschluss;RW AUDIT GmbH.
Kassenbestand und Bankguthaben werden zum Nominalwert angesetzt. Bestehende liquide Mittel in fremder Währung wurden mit dem Devisenkassamittelkurs bewertet (§ 256 a HGB).; 8.33 ;2016;Hochwald Foods GmbH;Jahresabschluss;RW AUDIT GmbH.
Die aktiven Rechnungsabgrenzungen sind zeitanteilig vorgenommen.; 8.34 ;2016;Hochwald Foods GmbH;Jahresabschluss;RW AUDIT GmbH.
Die Pensionsrückstellungen und Jubiläumsgeldverpflichtungen werden versicherungsmathematisch im Anwartschaftsbarwertverfahren nach der PUC-Methode (Projected Unit Credit Method) ermittelt.; 8.48 ;2016;Hochwald Foods GmbH;Jahresabschluss;RW AUDIT GmbH.
Die Berechnung der Jubiläumsgeldverpflichtungen erfolgt auf der Basis eines Rechnungszinses von 3,24 %.; 8.50 ;2016;Hochwald Foods GmbH;Jahresabschluss;RW AUDIT GmbH.
"Der Berechnung der Pensionsverpflichtungen liegt ein Rechnungszinssatz in Höhe von 4,01% sowie weiterhin ein Rententrend von 1 % sowie ein Gehaltstrend von 2 % p. a. und die „Richttafeln 2005 G“ von Prof. Dr. Heubeck zu Grunde. Bei der Bewertung wurden die Bewertungsvorgaben des § 253 Abs.2 Satz 1 HGB n.F. berücksichtigt, nach denen bei der Durchschnittsbetrachtung für die Ermittlung des Zinssatzes bei der Bewertung von Altersversorgungsverpflichtungen nicht mehr auf die vergangenen sieben Geschäftsjahre, sondern auf die vergangenen zehn Geschäftsjahre abzustellen ist. Gem. Art. 75 Abs.7 EGHGB
wurde von dem Wahlrecht Gebrauch gemacht, die neuen Vorschriften bereits für das Geschäftsjahr 2015 anzuwenden."; 8.48, 34 ;2016;Hochwald Foods GmbH;Jahresabschluss;RW AUDIT GmbH.
Der Differenzbetrag zu dem bilanzierten Erfüllungsbetrag, der sich aus einer Bewertung der Pensionsrückstellungen mit dem durchschnittlichen Marktzins der vergangenen sieben Jahre ergibt, beträgt 2.604.023 EUR.; 8.48, 35 ;2016;Hochwald Foods GmbH;Jahresabschluss;RW AUDIT GmbH.
