; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Anhang ;;;;;
Anhang für 2016;;;;;
Allgemeine Hinweise;;;;;
Der vorliegende Jahresabschluss wurde gemäß §§ 242 ff. und 264 ff. HGB sowie nach den einschlägigen Vorschriften des AktG und der Satzung aufgestellt. Es gelten die Vorschriften für mittelgroße Kapitalgesellschaften.; 8.0 ;2016;Hyrican Informationssysteme Aktiengesellschaft;Jahresabschluss;EY
Die Gewinn- und Verlustrechnung ist nach dem Gesamtkostenverfahren gegliedert.; 8.0 ;2016;Hyrican Informationssysteme Aktiengesellschaft;Jahresabschluss;EY
Um die Klarheit der Darstellung zu verbessern, haben wir die Angaben zur Mitzugehörigkeit zu anderen Posten und davon-Vermerke in diesem Anhang gemacht.; 8.0 ;2016;Hyrican Informationssysteme Aktiengesellschaft;Jahresabschluss;EY
Registerinformationen; 104 ;2016;Hyrican Informationssysteme Aktiengesellschaft;Jahresabschluss;EY
Die Gesellschaft ist unter der Firma Hyrican Informationssysteme Aktiengesellschaft mit Sitz in Kindelbrück im Handelsregister des Amtsgerichts Jena unter der Nummer HRB 110414 eingetragen.; 104 ;2016;Hyrican Informationssysteme Aktiengesellschaft;Jahresabschluss;EY
Bilanzierungs- und Bewertungsmethoden;;2016;Hyrican Informationssysteme Aktiengesellschaft;Jahresabschluss;EY
Im Geschäftsjahr 2016 waren erstmals die Änderungen des Bilanzrichtlinien-Umsetzungsgesetzes (BilRUG) zu berücksichtigen. Änderungen in den Bilanzierungs- oder Bewertungsmethoden ergaben sich hieraus nicht. Für die Aufstellung des Jahresabschlusses waren daher unverändert die nachfolgenden Bilanzierungs- und Bewertungsmethoden maßgebend.; 8.0, 57 ;2016;Hyrican Informationssysteme Aktiengesellschaft;Jahresabschluss;EY
Erworbene immaterielle Vermögensgegenstände des Anlagevermögens sind zu Anschaffungskosten bilanziert und werden, sofern sie der Abnutzung unterliegen, entsprechend ihrer Nutzungsdauer um planmäßige lineare Abschreibungen vermindert.; 8.4 ;2016;Hyrican Informationssysteme Aktiengesellschaft;Jahresabschluss;EY
Das Sachanlagevermögen ist zu Anschaffungs- bzw. Herstellungskosten angesetzt und wird, soweit abnutzbar, um planmäßige Abschreibungen vermindert.; 8.7 ;2016;Hyrican Informationssysteme Aktiengesellschaft;Jahresabschluss;EY
"Die Vermögensgegenstände des Sachanlagevermögens werden nach Maßgabe der voraussichtlichen Nutzungsdauer abgeschrieben. Geringwertige Anlagegüter bis zu einem Netto-Einzelwert von EUR 410,00 sind ab dem 1. Januar 2012 im Jahr des Zugangs voll abgeschrieben bzw. als Aufwand erfasst worden. Für Anlagegüter mit einem Netto-Einzelwert von mehr als EUR 150,00 bis EUR 1.000,00, die nach dem 31. Dezember 2007 und vor dem 1. Januar 2011 angeschafft worden sind, wird das steuerliche Sammelpostenverfahren aus Vereinfachungsgründen auch in der Handelsbilanz angewandt. Der Sammelposten wird pauschalierend jeweils mit 20 % p. a. im Zugangsjahr und in den vier darauf folgenden Jahren abgeschrieben. Die Abschreibungen auf Zugänge des Sachanlagevermögens werden im Übrigen zeitanteilig
vorgenommen."; 8.7 ;2016;Hyrican Informationssysteme Aktiengesellschaft;Jahresabschluss;EY
Bei den Finanzanlagen werden die Anteilsrechte zu Anschaffungskosten bzw. niedrigeren beizulegenden Werten angesetzt.; 8.12 ;2016;Hyrican Informationssysteme Aktiengesellschaft;Jahresabschluss;EY
Die Vorräte werden zu Anschaffungs- und Herstellungskosten bzw. zu den niedrigeren Tageswerten angesetzt.; 8.20 ;2016;Hyrican Informationssysteme Aktiengesellschaft;Jahresabschluss;EY
Die Bestände an Roh-, Hilfs- und Betriebsstoffen sind zu durchschnittlichen Einstandspreisen oder zu niedrigeren Tagespreisen am Bilanzstichtag aktiviert.; 8.21 ;2016;Hyrican Informationssysteme Aktiengesellschaft;Jahresabschluss;EY
Die fertigen Erzeugnisse sind auf der Basis von Einzelkalkulationen, die auf der aktuellen Betriebsabrechnung beruhen, zu Herstellungskosten bewertet, wobei neben den direkt zurechenbaren Materialeinzelkosten, Fertigungslöhnen und Sondereinzelkosten auch Fertigungs- und Materialgemeinkosten sowie Abschreibungen berücksichtigt werden. Kosten der allgemeinen Verwaltung wurden nicht aktiviert.; 8.23 ;2016;Hyrican Informationssysteme Aktiengesellschaft;Jahresabschluss;EY
Unfertige Erzeugnisse sind zum 31. Dezember 2016 nicht vorhanden.; 8.22 ;2016;Hyrican Informationssysteme Aktiengesellschaft;Jahresabschluss;EY
Handelswaren sind zu Anschaffungskosten oder niedrigeren Marktpreisen bilanziert.; 8.23 ;2016;Hyrican Informationssysteme Aktiengesellschaft;Jahresabschluss;EY
Alle erkennbaren Risiken im Vorratsvermögen, die sich aus überdurchschnittlicher Lagerdauer, geminderter Verwertbarkeit und niedrigeren Wiederbeschaffungskosten ergeben, sind durch angemessene Abwertungen berücksichtigt.; 8.20 ;2016;Hyrican Informationssysteme Aktiengesellschaft;Jahresabschluss;EY
Abgesehen von handelsüblichen Eigentumsvorbehalten sind die Vorräte frei von Rechten Dritter.; 8.20 ;2016;Hyrican Informationssysteme Aktiengesellschaft;Jahresabschluss;EY
Forderungen und sonstige Vermögensgegenstände sind zum Nennwert angesetzt. Einzelwertberichtigungen auf risikobehaftete Posten waren nicht erforderlich. Unverzinsliche oder niedrig verzinsliche Forderungen mit einer Laufzeit von mehr als einem Jahr sind abgezinst.; 8.25 ;2016;Hyrican Informationssysteme Aktiengesellschaft;Jahresabschluss;EY
"Die Rückstellungen für Pensionen und ähnliche Verpflichtungen werden nach der Anwartschaftsbarwertmethode („Projected Unit Credit“ Methode) unter Verwendung der ""Richttafeln 2005 G"" von Prof. Dr. Klaus Heubeck ermittelt. Für die Abzinsung wurde pauschal der durchschnittliche Marktzinssatz der vergangenen zehn Geschäftsjahre bei einer restlichen Laufzeit von 15 Jahren von 4,00 % (Vorjahr 3,9 %) verwendet. Erwartete Gehaltssteigerungen wurden mit 0 % und erwartete Rentensteigerungen mit 3 % berücksichtigt."; 8.48, 40 ;2016;Hyrican Informationssysteme Aktiengesellschaft;Jahresabschluss;EY
Der beizulegende Zeitwert eines Rückdeckungsversicherungsanspruchs besteht aus dem sog. geschäftsplanmäßigen Deckungskapital des Versicherungsunternehmens zzgl. eines etwa vorhandenen Guthabens aus Beitragsrückerstattungen (sog. Überschussbeteiligung).; 8.48, 43 ;2016;Hyrican Informationssysteme Aktiengesellschaft;Jahresabschluss;EY
Die ausschließlich der Erfüllung der Altersversorgungsverpflichtungen dienenden, dem Zugriff aller übrigen Gläubiger entzogenen Vermögensgegenstände (Deckungsvermögen i.S.d. § 246 Abs. 2 Satz 2 HGB) wurden mit ihrem beizulegenden Zeitwert mit den Rückstellungen verrechnet.; 8.48, 43 ;2016;Hyrican Informationssysteme Aktiengesellschaft;Jahresabschluss;EY
Die Steuerrückstellungen und die sonstigen Rückstellungen berücksichtigen alle ungewissen Verbindlichkeiten und drohenden Verluste aus schwebenden Geschäften. Sie sind in Höhe des nach vernünftiger kaufmännischer Beurteilung notwendigen Erfüllungsbetrags (d. h. einschließlich zukünftiger Kosten- und Preissteigerungen) angesetzt. Sonstige Rückstellungen mit einer Restlaufzeit von mehr als einem Jahr sind nicht gebildet worden.; 8.49 ;2016;Hyrican Informationssysteme Aktiengesellschaft;Jahresabschluss;EY
Verbindlichkeiten sind zum Erfüllungsbetrag angesetzt.; 8.51 ;2016;Hyrican Informationssysteme Aktiengesellschaft;Jahresabschluss;EY
"Für die Ermittlung latenter Steuern aufgrund von temporären oder quasi-permanenten Differenzen zwischen den handelsrechtlichen Wertansätzen von Vermögensgegenständen, Schulden und Rechnungsabgrenzungsposten und ihren steuerlichen Wertansätzen oder aufgrund steuerlicher Verlustvorträge werden die Beträge der sich ergebenden Steuerbe- und -entlastung mit den unternehmensindividuellen Steuersätzen im Zeitpunkt des Abbaus der Differenzen bewertet und nicht abgezinst. Aktive und passive Steuerlatenzen werden grundsätzlich verrechnet. Die Aktivierung eines Überhangs latenter Steuern unterbleibt in
Ausübung des dafür bestehenden Ansatzwahlrechts."; 8.35, 8.64 ;2016;Hyrican Informationssysteme Aktiengesellschaft;Jahresabschluss;EY
Auf fremde Währung lautende Vermögensgegenstände und Verbindlichkeiten wurden grundsätzlich mit dem Devisenkassamittelkurs zum Abschlussstichtag umgerechnet. Bei einer Restlaufzeit von mehr als einem Jahr wurde dabei das Realisationsprinzip (§ 252 Abs. 1 Nr. 4 Halbsatz 2 HGB) und das Anschaffungskostenprinzip  (§ 253 Abs. 1 Satz 1 HGB) beachtet.; 8.0 ;2016;Hyrican Informationssysteme Aktiengesellschaft;Jahresabschluss;EY
Erläuterungen zur Bilanz;;2016;Hyrican Informationssysteme Aktiengesellschaft;Jahresabschluss;EY
Anlagevermögen; 4.1 ;2016;Hyrican Informationssysteme Aktiengesellschaft;Jahresabschluss;EY
