Anhang; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
(1) Allgemeine Informationen zum Konzern;;2016;IC Immobilien Holding AG;Konzernabschluss;Kleeberg & Partner
Art der Geschäftstätigkeit - Der Konzern ist ein Immobiliendienstleister, der in den Geschäftsbereichen Property Management, Asset Management, Projektsteuerung, Centermanagement, Vermietung, Investment und Fondsmanagement tätig ist.;;2016;IC Immobilien Holding AG;Konzernabschluss;Kleeberg & Partner
Sitz - Sitz und Geschäftsadresse der Gesellschaft ist Hanauer Landstraße 293, 60314 Frankfurt am Main. Sie ist im Handelsregister des Amtsgerichts Frankfurt am Main unter der Nummer HRB 107030 eingetragen. Veröffentlichung - Der Konzernabschluss und der Konzernlagebericht werden beim Betreiber des Bundesanzeigers eingereicht.; 88 ;2016;IC Immobilien Holding AG;Konzernabschluss;Kleeberg & Partner
(2) Wesentliche Bilanzierungs- und Bewertungsmethoden;;2016;IC Immobilien Holding AG;Konzernabschluss;Kleeberg & Partner
Im Geschäftsjahr erfolgte erstmalig die Anwendung der Vorschriften des HGB i.d.F des Bilanzrichtlinie-Umsetzungsgesetzes (BilRUG). Wesentliche Auswirkungen auf die Bilanzierungs- und Bewertungsme- thoden ergeben sich hierdurch nicht.; 9.0, 2 ;2016;IC Immobilien Holding AG;Konzernabschluss;Kleeberg & Partner
Der Konzernabschluss wird in Euro (€) aufgestellt. Alle Beträge werden, soweit nicht anders dargestellt, in tausend Euro (T€) angegeben. Es können sich Abweichungen durch Rundungen ergeben.; 9.0 ;2016;IC Immobilien Holding AG;Konzernabschluss;Kleeberg & Partner
Fortführung der Unternehmenstätigkeit - Im Rahmen der Aufstellung des Konzernabschlusses wird von der Fortführung der Unternehmenstätigkeit ausgegangen. Bezüglich der Chancen und Risiken für die Unternehmensgruppe wird auf den Konzernlagebericht verwiesen.; 9.0 ;2016;IC Immobilien Holding AG;Konzernabschluss;Kleeberg & Partner
"Konsolidierungskreis und Konsolidierungsmethoden - In den Konzernabschluss sind die IC Immobilien Holding AG und alle Tochterunternehmen einbezogen. Tochterunternehmen sind Gesellschaften, über die das Mutterunternehmen unmittelbar oder mittelbar einen beherrschenden Einfluss ausüben kann; im Allgemeinen ist dies mit einer Stimmrechtsmehrheit verbunden. Die Tochtergesellschaften werden von dem Tag an, an dem der Konzern die Kontrolle erlangt, bis zur Beendigung der Kontrolle einbezogen. Bei einem Unternehmenserwerb werden alle in den Konzernabschluss aufzunehmenden Vermögensgegenstände, Schulden, Rechnungsabgrenzungsposten und Sonderposten des erworbenen Unternehmens zu beizulegenden Zeitwerten zum Erwerbsstichtag bewertet. Anteile anderer Gesellschafter werden ausgehend von ihrem Anteil an den beizulegenden Zeitwerten der aufzunehmenden Vermögensgegenstände, Schulden, Rechnungsabgrenzungsposten und Sonderposten ausgewiesen.";;2016;IC Immobilien Holding AG;Konzernabschluss;Kleeberg & Partner
Die nachfolgenden Gesellschaften wurden auf Basis einer Vollkonsolidierung in den Konzernabschluss einbezogen:; 69 ;2016;IC Immobilien Holding AG;Konzernabschluss;Kleeberg & Partner
"Anteil am Kapital/an den
Stimmrechten.
in %
gehalten von.
Nr.
1. IC Immobilien Holding AG, Frankfurt am Main (""ICAG"")
2. IC Asset Management GmbH, München (""ICAM "") 100,0 1
3. IC Immobilien Service GmbH, München (""ICIS"") 100,0 1
4. IC Beteiligungs-Treuhand GmbH, M (""ICBT"") 100,0 1
5. IC Property Management GmbH, M (""ICPM) 100,0 1
6. IC Treveria Property Management GmbH, M (""ICTPM "") 100,0 5"; 69 ;2016;IC Immobilien Holding AG;Konzernabschluss;Kleeberg & Partner
Die im Vorjahr noch vollkonsolidierten Unternehmen IC Retail GmbH, Unterschleißheim, und Azur PropertyOne GmbH, Frankfurt, wurden im Geschäftsjahr 2016 auf die IC Property Management GmbH, München, verschmolzen. Ferner wurde im Geschäftsjahr 2016 die IC Technik GmbH, Unterschleißheim, auf die IC Asset Management GmbH, München, verschmolzen. Die IC Grundbesitz GmbH & Co. Bank- gebäude Chemnitz KG, Regensburg, ist im Geschäftsjahr 2016 bedingt durch das Ausscheiden der persönlich haftenden Gesellschafterin IC Immobilien Service GmbH auf die einzig verbliebene Gesellschafterin IC Immobilien Holding AG angewachsen und damit erloschen.; 74, 90 ;2016;IC Immobilien Holding AG;Konzernabschluss;Kleeberg & Partner
