Anhang; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Konzernanhang;;2016;"Intersnack Group GmbH & Co. KG
";Konzernabschluss ;EY
I. Allgemeine Angaben zum Konzernabschluss und Konzernabschlussstichtag;;2016;"Intersnack Group GmbH & Co. KG
";Konzernabschluss ;EY
Der Konzernabschluss der Intersnack Group GmbH & Co. KG, Düsseldorf, (im Folgenden Intersnack Gruppe oder Gesellschaft) zum 31. Dezember 2016 wurde gemäß § 13 Publizitätsgesetz (PublG) unter sinngemäßer Anwendung der §§ 294 bis 314 HGB in der Fassung des Bilanzrichtlinien-Umsetzungsgesetz (BilRUG) aufgestellt.; 9.0 ;2016;"Intersnack Group GmbH & Co. KG
";Konzernabschluss ;EY
Die Gliederung von Bilanz und Gewinn- und Verlustrechnung erfolgte in Anlehnung an das Schema des § 266 Abs. 2 und 3 HGB bzw. des § 275 Abs. 2 HGB. In Erweiterung des Gliederungsschemas gemäß § 266 Abs. 2 HGB werden zum Zwecke einer erhöhten Klarheit die Verbindlichkeiten aus Namensschuldverschreibungen separat ausgewiesen.;;2016;"Intersnack Group GmbH & Co. KG
";Konzernabschluss ;EY
Die Gewinn- und Verlustrechnung wurde nach dem Gesamtkostenverfahren gegliedert.; 9.0 ;2016;"Intersnack Group GmbH & Co. KG
";Konzernabschluss ;EY
Es wurde von den Erleichterungen des § 13 Abs. 3 Satz 2 PublG Gebrauch gemacht und weder eine Kapitalflussrechnung noch ein Eigenkapitalspiegel erstellt.;;2016;"Intersnack Group GmbH & Co. KG
";Konzernabschluss ;EY
Das Geschäftsjahr des Konzerns ist das Kalenderjahr. Der Konzernabschluss ist in Euro, der funktionalen Währung des Mutterunternehmens, aufgestellt.;;2016;"Intersnack Group GmbH & Co. KG
";Konzernabschluss ;EY
Die Restlaufzeiten der Forderungen und Verbindlichkeiten sind aus Gründen der Übersichtlichkeit im Anhang angegeben.;;2016;"Intersnack Group GmbH & Co. KG
";Konzernabschluss ;EY
Die Vorjahreszahl für die Umsatzerlöse und sonstigen betrieblichen Erträge wurden aufgrund der Neufassung von § 277 Abs. 1 HGB durch das BilRUG angepasst. Bei Anwendung des § 277 Abs. 1 HGB in der Fassung vor BilRUG beliefen sich die Umsatzerlöse für das Vorjahr auf EUR 2.295 Mio. und die sonstigen betrieblichen Erträge auf EUR 21,1 Mio.; 2, 54 ;2016;"Intersnack Group GmbH & Co. KG
";Konzernabschluss ;EY
II. Registerinformationen;;2016;"Intersnack Group GmbH & Co. KG
";Konzernabschluss ;EY
Das Mutterunternehmen ist unter der Firma Intersnack Group GmbH & Co. KG mit Sitz in Düsseldorf im Handelsregister des Amtsgerichts Düsseldorf unter der Nummer HRA 20277 eingetragen.;139;2016;"Intersnack Group GmbH & Co. KG
";Konzernabschluss ;EY
III. Konsolidierungskreis;;2016;"Intersnack Group GmbH & Co. KG
";Konzernabschluss ;EY
