Anhang für das Geschäftsjahr 2016; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
A. Allgemeine Angaben zum Jahresabschluss;;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
1. Die KROHNE Messtechnik GmbH hat ihren Sitz in der Ludwig-Krohne-Str. 5,47058 Duisburg und ist unter HRB 6348 im Register des Amtsgerichts Duisburg eingetragen.;90;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
2. Die KROHNE Messtechnik GmbH, Duisburg, ist zum Bilanzstichtag 31. Dezember 2016 eine große Kapitalgesellschaft im Sinne des § 267 HGB.; 8.0 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
3. Der Jahresabschluss der KROHNE Messtechnik GmbH, Duisburg, für das Geschäftsjahr 2016 wurde nach den Vorschriften des Handelsgesetzbuches §§ 242 ff. HGB unter der Beachtung der ergänzenden Bestimmungen für Kapitalgesellschaften §§ 264 ff. HGB sowie nach den einschlägigen Vorschriften des GmbH Gesetzes erstellt.; 8.0 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
4. Die Gewinn- und Verlustrechnung wurde nach dem Umsatzkostenverfahren aufgestellt.; 8.0 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
5. Geschäftsjahr ist das Kalenderjahr.; 8.0 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
6. Die KROHNE Messtechnik GmbH wurde durch den Beschluss der Gesellschafterversammlung vom 29. August 2016 rückwirkend zum 1. Januar 2016 mit der Krohne Messtechnik Verwaltungsgesellschaft mbH, Duisburg, verschmolzen. Die Verschmelzung wurde am 2. September 2016 in das Handelsregister eingetragen. Durch diese Verschmelzung wurden die Beteiligungen an der KROHNE AG, Basel/Schweiz, zum Buchwert in Höhe von k€ 4.867 und an der INOR Process AB, Malmö/Schweden, zum Buchwert in Höhe von k€ 9.257 übernommen. Des Weiteren wurden ein Gebäude zum Buchwert von k€ 811 sowie Verbindlichkeiten aus Genussrechten in Höhe von k€ 2.867 übernommen. Daneben haben sich durch die Verschmelzung keine weiteren wesentlichen Auswirkungen, auch im Hinblick auf die Vergleichbarkeit mit dem Vorjahr, ergeben.;65;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
7. Für den vorliegenden Abschluss waren erstmals die Bestimmungen des Bilanzrichtlinie-Umsetzungsgesetz (BilRUG) anzuwenden. Sofern es durch die erstmalige Anwendung im vorliegenden Abschluss zu Änderungen bei den Bilanzierungs- und Bewertungsmethoden gegenüber dem Vorjahr gekommen ist, wird auf die mangelnde Vergleichbarkeit mit dem Vorjahr hingewiesen. Ebenso erfolgt ein Hinweis, wenn die Darstellung des Vorjahres entsprechend den Vorschriften des BilRUG angepasst wurde.; 8.0, 2 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
B. Angaben zu den Bilanzierungs- und Bewertungsmethoden;;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
1. Entgeltlich von Dritten erworbene immaterielle Vermögensgegenstände des Anlagevermögens werden zu Anschaffungskosten aktiviert und ihrer voraussichtlichen Nutzungsdauer entsprechend linear, im Zugangsjahr zeitanteilig, abgeschrieben. Dabei werden entgeltlich erworbene EDV-Programme über eine betriebsgewöhnliche Nutzungsdauer von drei Jahren abgeschrieben. Entgeltlich erworbene und aktivierte Forschungsleistungen werden über eine Nutzungsdauer von fünf Jahren linear abgeschrieben. Soweit die beizulegenden Werte einzelner immaterieller Vermögensgegenstände des Anlagevermögens ihren Buchwert unterschreiten, werden zusätzlich außerplanmäßige Abschreibungen bei voraussichtlich dauernder Wertminderung vorgenommen.; 8.4 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
2. Sachanlagen sind mit den Anschaffungs- bzw. Herstellungskosten abzüglich planmäßiger linearer Abschreibungen bewertet. Die Abschreibungen auf Zugänge des Sachanlagevermögens erfolgen grundsätzlich zeitanteilig. Die planmäßige Nutzungsdauer beträgt bei Büro- und Werkstattausstattung 13 Jahre, bei Personalcomputern 3 Jahre sowie bei Maschinen und maschinellen Anlagen im Wesentlichen 6 Jahre. Soweit die beizulegenden Werte einzelner Vermögensgegenstände ihren Buchwert unterschreiten, werden zusätzlich außerplanmäßige Abschreibungen bei voraussichtlich dauernder Wertminderung vorgenommen.; 8.7 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
3. Geringwertige Wirtschaftsgüter zwischen 150 EUR und 1.000 EUR werden in einen Sammelposten eingestellt und planmäßig über die Dauer von 5 Jahren voll abgeschrieben.; 8.7 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
4. Bei den Finanzanlagen sind die Anteile an verbundenen Unternehmen zu Anschaffungskosten oder durch Abschreibungen zum niedrigeren beizulegenden Wert bewertet. Bei Wegfall der Gründe für die Abschreibung werden entsprechende Zuschreibungen vorgenommen.; 8.12 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
5. Wertpapiere des Anlagevermögens sind mit den Anschaffungskosten oder den niedrigeren Kurswerten am Bilanzstichtag bilanziert.; 8.17 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
6. Ausleihungen sind grundsätzlich zum Nominalwert oder durch Abschreibungen zum niedrigeren beizulegenden Wert bilanziert. Bei Wegfall der Gründe für die Abschreibung werden entsprechende Zuschreibungen vorgenommen.; 8.18 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
7. Die Vorräte sind zu Anschaffungs- bzw. Herstellungskosten und unter Berücksichtigung des Niederstwertprinzips bewertet. Alle erkennbaren Risiken im Vorratsvermögen, die sich aus überdurchschnittlicher Lagerdauer, geminderter Verwertbarkeit und/oder niedrigeren Wiederbeschaffungskosten ergeben, sind durch angemessene Wertabschläge berücksichtigt. In allen Fällen wurde verlustfrei bewertet, d.h. soweit die voraussichtlichen Verkaufspreise abzüglich der bis zum Verkauf anfallenden Kosten zu einem niedrigeren beizulegenden Wert führen, wurden entsprechende Abwertungen vorgenommen.; 8.20 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
8. Abgesehen von handelsüblichen Eigentumsvorbehalten sind die Vorräte frei von Rechten Dritter.; 8.20 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
9. Die fertigen und unfertigen Leistungen und Erzeugnisse sind zu Herstellungskosten bewertet. Die Herstellungskosten enthalten die aktivierungspflichtigen Bestandteile des § 255 Abs. 2 HGB. Eine Einbeziehung von Zinsen für Fremdkapital in die Herstellungskosten erfolgt nicht.; 8.22, 9 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
"10. Forderungen und sonstige Vermögensgegenstände werden mit dem Nennwert bzw. mit dem am Bilanzstichtag beizulegenden niedrigeren Wert angesetzt. Bei Forderungen, deren Einbringlichkeit mit erkennbaren Risiken behaftet ist, werden angemessene Wertabschläge vorgenommen; uneinbringliche Forderungen werden abgeschrieben. Zur Abdeckung des allgemeinen Kreditrisikos wird eine Pauschalwertberichtigung von 2 % auf die nicht einzelwertberichtigten Nettoforderungen gebildet."; 8.25 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
11. Das Guthaben bei Kreditinstituten wurden zu Nennwerten angesetzt.; 8.33 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
12. Als Rechnungsabgrenzungsposten wurden auf der Aktivseite Ausgaben vor dem Abschlussstichtag ausgewiesen, soweit sie Aufwand für eine bestimmte Zeit nach diesem Tag darstellen.; 8.34 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
13. Die Rückstellungen wurden in Höhe des nach vernünftiger kaufmännischer Beurteilung notwendigen Erfüllungsbetrages angesetzt.; 8.47 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
"14. 14. Rückstellungen für Pensionen werden auf der Grundlage versicherungsmathematischer Berechnung nach dem Anwartschaftsbarwertverfahren (Projected Unit Credit Method) unter Berücksichtigung der Richttafeln 2005 G von Prof. Dr. Heubeck bewertet. Die Rückstellungen für Pensionen wurden pauschal mit einem von der Deutschen Bundesbank veröffentlichten durchschnittlichen Marktzinssatz der vergangenen zehn Jahre abgezinst, der sich bei einer angenommenen Restlaufzeit von 15 Jahren ergibt (§ 253 Abs. 2 Satz 2 HGB). Es wurde vom Wahlrecht Gebrauch gemacht und bereits für das Geschäftsjahr 2015 der Durchschnittszins der vergangenen 10 Geschäftsjahre gewählt. Dieser Zinssatz beträgt 4,01%. Bei der Ermittlung der Rückstellungen für Pensionen wurden jährliche Lohn- und
Gehaltssteigerungen von 3,0% und Rentensteigerungen von jährlich 2,0% zugrunde gelegt. Der ausschüttungsgesperrte Betrag lautet auf Euro 10.162.899,00."; 8.48, 34, 35 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
15. 15. Rückstellungen für Jubiläumszahlungen werden auf der Grundlage versicherungsmathematischer Berechnung nach dem Anwartschaftsbarwertverfahren (Projected Unit Credit Method) unter Berücksichtigung der Richttafeln 2005 G von Prof. Dr. Heubeck und unter Zugrundelegung eines Zinssatzes von 3,24% bewertet. Bei der Ermittlung der Rückstellungen für Jubiläumszahlungen wurden jährliche Lohn- und Gehaltssteigerungen von 3,0% und ein BBG-Trend von jährlich 1,75% zugrunde gelegt.; 8.50, 40 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
16. 16. Für zukünftige Aufwendungen aus der Erfüllung von Garantieleistungen wurden entsprechende Rückstellungen in Höhe des jeweiligen Erfüllungsbetrags, d.h. unter Berücksichtigung der voraussichtlich im Erfüllungszeitpunkt geltenden Kostenverhältnisse, gebildet. Der Teil der Rückstellungen, welcher auf Ausgaben entfällt, die nach Ablauf des dem Abschlussstichtag folgenden Geschäftsjahres anfallen, wird mit dem ihrer Restlaufzeit entsprechenden durchschnittlichen Marktzinssatz der vergangenen sieben Geschäftsjahre abgezinst.; 8.50 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
17. 17. Rückstellungen für nicht genommenen Urlaub, Zeitguthaben und Mehrarbeit wurden einschließlich anteiliger Personalnebenkosten ermittelt.; 8.50 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
18. 18. Verbindlichkeiten wurden mit dem Erfüllungsbetrag angesetzt.; 8.51 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
19. 19. Geschäftsvorfälle in fremder Währung werden grundsätzlich mit dem historischen Kurs zum Zeitpunkt der Erstverbuchung erfasst.; 8.0 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
20. 20. Latente Steuern werden auf die Unterschiede in den Bilanzansätzen der Handelsbilanz und der Steuerbilanz berechnet, sofern sich diese in späteren Geschäftsjahren voraussichtlich abbauen. Darüber hinaus werden aktive latente Steuern auf die bestehenden körperschaft- und gewerbesteuerlichen Verlustvorträge ermittelt, soweit innerhalb der nächsten fünf Jahre eine Verlustverrechnung zu erwarten ist, sowie auf steuerliche Zinsvorträge im Sinne des § 4h EStG i.V.m. § 8a KStG. Im Falle eines Aktivüberhangs der latenten Steuern zum Bilanzstichtag wird von dem Wahlrecht des § 274 Abs. 1 Satz 2 HGB kein Gebrauch gemacht und der Aktivüberhang wird daher nicht aktiviert.; 8.35, 8.64, 24 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
C. Angaben zur Bilanz;;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
1. Die Entwicklung des Anlagevermögens ist in einer Anlage zum Anhang dargestellt.; 4.1, 15, 16 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
2. Die Forderungen aus Lieferungen und Leistungen beinhalten Forderungen mit einer Restlaufzeit von mehr als einem Jahr in Höhe von k€ 425 (Vorjahr k€ 324).; 4.26 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
3. Die Forderungen gegen Gesellschafter betragen k€ 29.100 (Vorjahr k€ 29.654). Die Forderungen gegen verbundene Unternehmen betragen k€ 38.199 (Vorjahr k€ 33.748). Die Forderungen gegen verbundene Unternehmen beruhen auf Lieferungen und Leistungen. Die Laufzeiten dieser Forderungen sind kleiner als ein Jahr.; 4.27, 6, 20 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
4. Der Rechnungsabgrenzungsposten auf der Aktivseite enthält ein Disagio in Höhe von k€ 0 (Vorjahr k€ 22).; 4.34, 22 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
5. Zum Bilanzstichtag ergeben sich aktive latente Steuern (k€ 16.814), die aus abweichenden Wertansätzen bei den Pensions- und Jubiläumsrückstellungen sowie unterschiedlichen Wertansätzen bei den Ausleihungen zwischen der Handels- und Steuerbilanz resultieren. Bei der Kalkulation wurde ein Steuersatz von 33,32% angesetzt. Die Gesellschaft macht von dem Aktivierungswahlrecht des § 274 Abs. 1 Satz 2 HGB keinen Gebrauch, so dass sich insgesamt kein Ausweis latenter Steuern in der Bilanz ergibt.; 4.35, 24 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
6. Aus der Umstellung der Pensionsrückstellungen im Rahmen des BilMoG zum 1. Januar 2010 (BilMoG-Eröffnungsbilanz) ergab sich ein Zuführungsbetrag im Vergleich zum alten Ansatz zum 31. Dezember 2009 von k€ 16.200. Die Gesellschaft macht weiterhin von dem Wahlrecht des Art. 67 Abs. 1 Satz 1 EGHGB Gebrauch und verteilt den Aufwand aus der Umstellung linear über einen Zeitraum von maximal 15 Jahren. Im Geschäftsjahr 2016 wurden k€ 1.080 als sonstiger betrieblicher Aufwand erfasst. Zum 31.12.2016 verbleibt ein Zuführungsbetrag von k€ 8.640.; 4.48, 38 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
7. Die sonstigen Rückstellungen in Höhe von k€ 2.568 (Vorjahr k€ 3.508) enthalten Rückstellungen für Gewährleistungen in Höhe von k€ 325, für den Personal- und Sozialbereich in Höhe von k€ 2.103 sowie übrige Rückstellungen in Höhe von k€ 140.; 4.50, 40 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
8. Die erhaltenen Anzahlungen auf Bestellungen in Höhe von k€ 778 (Vorjahr k€ 930) haben eine Restlaufzeit von bis zu einem Jahr.; 4.55 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
9. Die Verbindlichkeiten gegenüber verbundenen Unternehmen betragen k€ 8.592 (Vorjahr k€ 47.757). Die Restlaufzeit dieser Verbindlichkeiten beträgt jeweils bis zu einem Jahr.; 4.58 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
10. Von den Verbindlichkeiten gegenüber Kreditinstituten haben k€ 2.338 eine Restlaufzeit von bis zu einem Jahr. Die verbleibenden Verbindlichkeiten gegenüber Kreditinstituten haben eine Laufzeit bis zu 11 Jahren.; 4.54 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
11. Die sonstigen Verbindlichkeiten enthalten Verbindlichkeiten aus Genussrechten in Höhe von k€ 2.658. Die Anzahl der Genussrechte beträgt 5.316.; 4.60 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
D. Angaben zur Gewinn- und Verlustrechnung;;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
1. Durch die erstmalige Anwendung des Bilanzrichtlinie-Umsetzungsgesetz (BilRUG) sind die Umsatzerlöse und die sonstigen betrieblichen Erträge nicht mit den Vorjahreswerten vergleichbar. Die Umsatzerlöse hätten in 2015 unter Anwendung des BilRUG k€ 146.859 betragen. Die sonstigen betrieblichen Erträge hätten in 2015 unter Anwendung des BilRUG k€ 15.703 betragen.; 4.66, 2, 51 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
2. Die Umsatzerlöse in Höhe von k€ 128.799 (Vorjahr k€ 145.975) bestehen in Höhe von k€ 63.519 (Vorjahr k€ 65.908) aus Umsätzen mit verbundenen Unternehmen. Die Umsatzerlöse in Deutschland betragen k€ 60.353 (Vorjahr k€ 64.819) und im Ausland k€ 68.446 (Vorjahr k€ 81.156). Die Auslandsumsätze werden überwiegend innerhalb der Länder der europäischen Union erzielt.; 4.66, 50 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
3. Die sonstigen betrieblichen Erträge in Höhe von k€ 21.363 enthalten im Wesentlichen Erträge aus der Weiterverrechnung von Gemeinkosten an die Ludwig KROHNE GmbH & Co. KG in Höhe von k€ 15.683 und T€ 4.200 aus einer Wertaufholung von Abschreibungen auf Ausleihungen gegenüber der Krohne Optosens GmbH. Wesentliche periodenfremde Erträge sind nicht angefallen. Die Erträge aus Fremdwährungsumrechnung betragen k€ 341 (VJ k€ 254).; 4.69, 57, 59 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
4. Der Personalaufwand enthält in Höhe von k€ 22 die Erstattung der Aufwendungen für die Altersvorsorge für die KANEX Krohne-Anlagen-Export GmbH und Tablar Messtechnik GmbH.; 4.73 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
5. Die sonstigen betrieblichen Aufwendungen in Höhe von k€ 4.780 enthalten im Wesentlichen die Rückbelastung einer Kostenumlage durch die Ludwig KROHNE GmbH & Co. KG in Höhe von k€ 3.074 und k€ 1.080 aus der BilMoG-Zuführung zu den Pensionsrückstellungen (Art. 67 EGHBG). Der im Vorjahr dem außerordentlichen Aufwand zugewiesene Betrag in Höhe von k€ 1.080 aus der BilMoG-Zuführung zu den Pensionsrückstellungen wurde gemäß BilRUG den sonstigen betrieblichen Aufwendungen zugeordnet. Wesentliche periodenfremde Aufwendungen sind nicht angefallen. Der Aufwand aus Fremdwährungsumrechnung beträgt k€ 210 (Vorjahr k€ 205).; 4.80 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
6. Erträge aus Ausleihungen des Finanzanlagevermögens betragen k€ 1.305, davon aus verbundenen Unternehmen k€ 1.246 (Vorjahr k€ 1.035). Davon sind k€ 776 wertberichtigt worden und in den Abschreibungen auf Finanzanlagen enthalten.; 4.83 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
7. Die sonstigen Zinsen und ähnlichen Erträge betragen k€ 54 (Vorjahr k€ 17).; 4.85 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
8. Die Abschreibungen auf Finanzanlagen betragen k€ 10.826 und betreffen die vollständige außerplanmäßige Abschreibung eines Darlehens an die Krohne Optosens GmbH mit k€ 1.542 (Vorjahr k€ 1.385), die vollständige außerplanmäßige Abschreibung eines Darlehens an die Krohne Pressure Solutions GmbH in Höhe von k€ 3.188 (Vorjahr k€ 3.258) und die vollständige außerplanmäßige Abschreibung der Anteile an der Krohne Optosens GmbH mit k€ 1 sowie eine jeweils 60%-ige Abschreibung der Anteile an der INOR Process AB mit k€ 5.554 und der Krohne Polska Sp. Z o.o. mit k€ 241. Zudem wurde eine Ausleihung an die INOR Process AB mit k€ 300 außerplanmäßig abgeschrieben.; 4.78, 55 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
9. Die Zinsen und ähnliche Aufwendungen betragen k€ 6.822 (Vorjahr k€ 5.325), davon k€ 6.387 (Vorjahr k€ 5.253) aus der Aufzinsung langfristiger Rückstellungen.; 4.88, 58 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
10. Die Erträge aus Beteiligungen in Höhe von k€ 6.463 betreffen die phasengleiche Dividendenausschüttung der KROHNE AG, Basel.; 4.81 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
11. Die Steuern vom Einkommen und vom Ertrag in Höhe von k€ 3.340 betreffen die Gewerbesteuer in Höhe von k€ 1.771 und die Körperschaftsteuer in Höhe von k€ 1.569.; 4.90 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
12. Weitere als die bereits oben genannten Erträge und Aufwendungen von außergewöhnlicher Größenordnung waren nicht angefallen.; 4, 60 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
E. Sonstige Angaben;;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
1. Angaben nach § 285 Nr. 8 HGB; 52, 53 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
Bei Anwendung des Gesamtkostenverfahrens wären folgende Posten auszuweisen:; 52, 53 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
"2016 2015
k€ k€
Materialaufwand
Aufwendungen für RHB-Stoffe und bezogene Waren 58.396 66.282
Personalaufwand
Löhne und Gehälter 43.244 43.335
Soziale Abgaben und Aufwendungen für Altersversorgung
(davon k€ 227 für Altersversorgung) 7.969 9.709
109.609 119.326"; 52, 53 ;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
2. Sonstige finanzielle Verpflichtungen;67;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
Die sonstigen finanziellen Verpflichtungen betragen k€ 1.726 (Vorjahr € 1.730) und resultieren aus Miet- und Leasingverträgen sowie Forschungsverträgen. Die Laufzeit der Verträge liegt zwischen einem und 8 Jahren.;67;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
3. Durch Pfandrechte oder ähnliche Rechte gesicherte Verbindlichkeiten;45;2016;KROHNE Messtechnik GmbH;Jahresabschluss;Mazars
