Anhang; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Konzernanhang für das Geschäftsjahr 2015/2016;;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Allgemeine Angaben zum Konzernabschluss;;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
"Der Konzernabschluss und der Lagebericht werden nach den Vorschriften des Handelsgesetzbuches aufgestellt. Angaben zur Mitzugehörigkeit zu anderen Posten der Konzernbilanz und Konzern-Gewinn- und Verlustrechnung erfolgen im Konzernanhang, soweit dies zur Aufstellung eines klaren und übersichtlichen Konzernabschlusses erforderlich erscheint.
"; 9.0 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
"Die Gliederung der Konzernbilanz erfolgt nach dem um konzernspezifische Posten erweiterten Gliederungsschema nach § 266 HGB für große Kapitalgesellschaften. Die Gliederung der Konzern-Gewinn- und Verlustrechnung entspricht dem Gesamtkostenverfahren nach § 275 Abs. 2 HGB.
"; 9.0 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
"Der Stichtag für den Konzern und die vollkonsolidierten Unternehmen ist der 31. Juli 2016.
"; 9.0 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Aus rechentechnischen Gründen können in Tabellen und bei Verweisen Rundungsdifferenzen zu den sich mathematisch exakt ergebenden Werten (Geldeinheiten, Prozentangaben usw.) auftreten.; 9.0 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Konsolidierungskreis;;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Folgende Tochterunternehmen werden im Rahmen der Vollkonsolidierung in den Konzernabschluss einbezogen:; 68 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
"Name der Gesellschaft Sitz Anteil am Kapital
%
Bernard Krone SE Spelle 100,0
Maschinenfabrik Bernard Krone GmbH & Co. KG Spelle 100,0
Maschinenfabrik Krone Beteiligungs-GmbH (vormals Maschinenfabrik Bernard Krone GmbH) Spelle 100,0
Maschinenfabrik Krone Verwaltungs-GmbH Spelle 100,0
KRONE Agriculture SE Spelle 100,0
Fahrzeugwerk Bernard Krone GmbH & Co. KG Werlte 100,0
Fahrzeugwerk Krone Beteiligungs-GmbH (vormals Fahrzeugwerk Bernard Krone GmbH) Spelle 100,0
Fahrzeugwerk Krone Verwaltungs-GmbH Werlte 100,0
KRONE Commercial Vehicle SE Werlte 94,9
Krone Used GmbH Spelle 100,0
Bernard Krone Beteiligungs GmbH Spelle 100,0
Bernard Krone Vermögens- verwaltungsgesellschaft mbH Spelle 100,0
Krone International GmbH Spelle 100,0
DKE GmbH Osnabrück 100,0
Krone Finans A/S Kjellerup/Dänemark 100,0
Krone NA, Inc. Memphis/USA 100,0
Bernard Krone France SAS Chassieu/Frankreich 100,0
OOO Krone Rus Moskau/Russland 100,0
Krone UK Ltd. Leeds/Großbritannien 100,0
Krone ScanBalt A/S (Teilkonzern) Padborg/Dänemark 100,0
Gigant - Trenkamp & Gehle GmbH Dinklage 100,0
Krone Trailer International Ticaret Ltd. Sirketi Tire/Türkei 100,0
Krone Trailer SE Kft. Szigetszentmiklós/Ungarn 100,0
Krone Trailer B.V. Bunnik/Niederlande 100,0
Krone Ticari Araclar San. ve Ticaret A.S. Tire/Türkei 100,0
P. Philips NV Zele/Belgien 80,0
Krone France SAS Saint-Arnoult-En-Yvelines/ 100,0
  Frankreich  
Brüggen Fahrzeugwerk & Service GmbH Lübtheen 100,0
Brüggen Oberflächen- und Systemlieferant GmbH Herzlake 100,0
Brüggen SWAP Service GmbH Herzlake 100,0"; 68 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
"In dem Teilkonzern der Krone ScanBalt A/S werden folgende Tochterunternehmen im Rahmen der Vollkonsolidierung einbezogen:

"; 68 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
"Name der Gesellschaft Sitz Anteil am Kapital
%
Krone ScanBalt UAB Vilnius/Litauen 100,0
Krone ScanBalt OÜ Maardu/Estland 100,0
SIA Krone ScanBalt Riga/Lettland 100,0
OOO Krone ScanBalt Kaliningrad/Russland 100,0
OOO ScanBalt Kaliningrad/Russland 100,0
Krone ScanBalt LLC Kiew/Ukraine 100,0
ScanBalt International ApS Padborg/Dänemark 100,0"; 68 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Ferner sind folgende assoziierte Unternehmen im Konzernabschluss berücksichtigt worden:; 69 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
"Name der Gesellschaft Sitz Anteil am Kapital
%
ProVis Service GmbH Spelle 45,0
HarvestPark GmbH Emsbüren 40,0"; 69 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
"Auf der Grundlage des § 296 Abs. 2 HGB werden die nachfolgend aufgeführten Tochterunternehmen nicht in den Konzernabschluss einbezogen, da Umsatz, Ergebnis und Bilanzsumme dieser Gesellschaften für den Konzernabschluss von untergeordneter Bedeutung sind. Auch liegen keine anderen Sachverhalte vor, die für die Vermittlung eines den tatsächlichen Verhältnissen entsprechenden Bildes der Vermögens-, Finanz- und Ertragslage des Konzerns wesentlich sind:
"; 68, 89 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
"Name der Gesellschaft Sitz Anteil am Kapital
%
Trailer Corporation Central Asia TOO Almaty/Kasachstan 100,0
Krone Algerie SARL Algerien 75,0
KRONE (Tianjin) Machinery Co. Ltd. Tianjin/China 100,0"; 68 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
"Für die nachfolgend aufgeführten assoziierten Unternehmen sind die Vorschriften der §§ 311, 312 HGB nicht angewendet worden, da die Summen des anteiligen Eigenkapitals und der anteiligen Ergebnisse dieser Gesellschaften für den Konzernabschluss von untergeordneter Bedeutung sind und auch keine anderen Sachverhalte vorliegen, die für die Vermittlung eines den tatsächlichen Verhältnissen entsprechenden Bildes der Vermögens-, Finanz- und Ertragslage des Konzerns wesentlich sind:
"; 69, 96 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
"Name der Gesellschaft Sitz Anteil am Kapital
%
Secondo Trailer A/S Kjellerup/Dänemark 50,0"; 69, 96 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
"Von den oben aufgeführten vollkonsolidierten Gesellschaften wurden die Folgenden im Geschäftsjahr 2015/2016 neu gegründet:

- Bernard Krone SE

- Maschinenfabrik Bernard Krone GmbH & Co. KG

- Maschinenfabrik Krone Verwaltungs-GmbH

- KRONE Agriculture SE

- Krone France SAS

- Fahrzeugwerk Bernard Krone GmbH & Co. KG

- Fahrzeugwerk Krone Verwaltungs-GmbH

- KRONE Commercial Vehicle SE"; 85 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Des Weiteren wurden im Geschäftsjahr 100 % der Anteile an der Brüggen Fahrzeugwerk & Service GmbH, Lübtheen, mit deren Tochterunternehmen Brüggen Oberflächen- und Systemlieferant GmbH, Herzlake, und Brüggen SWAP Service GmbH, Herzlake, in die neu gegründete Krone Commercial Vehicle SE, Werlte, eingebracht. Die Tätigkeiten der Gesellschaften umfassen die Herstellung verschiedener Fahrzeugsysteme wie Wechselkoffer, Sattelauflieger und Kühlfahrzeuge sowie Fahrzeugservice und Ersatzteilvertrieb. Die Gesellschaften sind langjährige Kompetenzpartner des Nutzfahrzeugbereichs der Krone-Gruppe.; 85 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Die Erstkonsolidierung der Brüggen-Gesellschaften hat Bilanzsumme, Umsatz, Ergebnis der gewöhnlichen Geschäftstätigkeit und das Konzernergebnis gegenüber dem Vorjahr wie folgt beeinflusst:; 85 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
"TEUR
Bilanzsumme 88.808
Umsatz -3.790
Ergebnis der gewöhnlichen Geschäftstätigkeit 4.298
Konzernergebnis 2.610"; 85 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
"Die sonstigen Veränderungen des Konsolidierungskreises haben Bilanzsumme, Umsatz, Ergebnis der gewöhnlichen Geschäftstätigkeit und das Konzernergebnis gegenüber dem Vorjahr nicht wesentlich beeinflusst.
"; 85 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Konsolidierungsmethoden;;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
"Die Kapitalkonsolidierung für Erwerbsvorgänge, die in Geschäftsjahren bis zum 31. Juli 2010 erfolgt sind, wird auf der Grundlage des Art. 66 Abs. 3 Satz 4 EGHGB unter Anwendung der Buchwertmethode (§ 301 Abs. 1 Satz 2 Nr. 1 HGB a.F.) vorgenommen. Dabei wird der Buchwert der Beteiligung an jedem Stichtag mit dem Buchwert des anteiligen Eigenkapitals, das sich im Zeitpunkt der erstmaligen Einbeziehung in den Konzernabschluss ergab, aufgerechnet.
"; 9.0 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Für Erwerbsvorgänge nach dem 31. Juli 2010 erfolgt die Kapitalkonsolidierung unter Anwendung der Neubewertungsmethode (§ 301 Abs. 1 HGB). Dabei wird der Buchwert der Beteiligung an jedem Stichtag mit dem Wert des Eigenkapitals verrechnet, das sich aus der Bewertung der Vermögensgegenstände und Schulden zu dem Zeitpunkt ergibt, zu dem das Unternehmen Tochterunternehmen geworden ist.; 9.0 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
"Ein sich bei der erstmaligen Einbeziehung aus der Aufrechnung des anteiligen Eigenkapitals mit dem Beteiligungsbuchwert ergebender aktiver Unterschiedsbetrag wird als Geschäfts- oder Firmenwert ausgewiesen und gem. § 309 Abs. 1 HGB planmäßig linear über die jeweilige Nutzungsdauer abgeschrieben. Verbleibende passive Unterschiedsbeträge werden bei Eigenkapitalcharakter unter den anderen Gewinnrücklagen ausgewiesen.
"; 14 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
"Beteiligungen an assoziierten Unternehmen werden gem. § 312 Abs. 1 Satz 1 HGB mit dem Buchwert angesetzt, der dem sich aus der Bewertung der Vermögensgegenstände und Schulden zum Zeitpunkt der erstmaligen Einbeziehung ergebenden anteiligen Eigenkapital des assoziierten Unternehmens entspricht. Infolge des Erwerbs der Anteile im Rahmen von Neugründungen oder Kapitalerhöhungen haben sich bisher bei der erstmaligen Einbeziehung keine zu verteilenden Unterschiedsbeträge ergeben.
"; 97 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
"Für Anteile fremder Gesellschafter an in den Konzernabschluss einbezogenen Tochterunternehmen wird in der Konzernbilanz ein Ausgleichsposten in Höhe des Anteils der fremden Gesellschafter am Eigenkapital unter der Bezeichnung „Anteile anderer Gesellschafter“ ausgewiesen.
"; 9.0 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
"Die Schuldenkonsolidierung erfolgt nach § 303 Abs. 1 HGB durch Eliminierung der Forderungen mit den entsprechenden Schulden zwischen den in den Konzernabschluss einbezogenen Tochterunternehmen.
"; 9.0 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
"Im Rahmen der Aufwands- und Ertragskonsolidierung werden Aufwendungen und Erträge zwischen den einbezogenen Unternehmen gegeneinander aufgerechnet oder so umgegliedert, wie sie aus der Sicht eines einheitlichen Unternehmens auszuweisen sind.

"; 9.0 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Soweit in den zum Bilanzstichtag ausgewiesenen Vorräten Zwischenergebnisse aus dem konzerninternen Lieferungs- und Leistungsverkehr enthalten sind, werden diese erfolgswirksam eliminiert.Aus konzerninternen Verkäufen von Vermögensgegenständen des Anlagevermögens entstehende Buchgewinne oder -verluste werden eliminiert.; 9.0 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
"Die Fremdwährungsumrechnung der in den Konzernabschluss einbezogenen ausländischen Jahresabschlüsse erfolgt nach der modifizierten Stichtagskursmethode gemäß § 308a HGB. Sämtliche Bilanzposten sowie Posten der Gewinn- und Verlustrechnung werden mit dem Mittelkurs am Bilanzstichtag bzw. zum Jahresdurchschnittskurs umgerechnet. Das Eigenkapital wird mit historischen Kursen umgerechnet, die Währungsumrechnungsdifferenzen werden als „Eigenkapitaldifferenz aus Währungsumrechnung“ innerhalb des Eigenkapitals ausgewiesen.
"; 9.0 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Auf ergebniswirksame Konsolidierungsvorgänge werden Steuerabgrenzungen gemäß § 306 HGB vorgenommen, sofern sich die Differenzen zwischen den handelsrechtlichen Wertansätzen von Vermögensgegenständen, Schulden oder Rechnungsabgrenzungsposten und deren steuerlichen Wertansätzen in späteren Jahren voraussichtlich wieder ausgleichen. Aktive und passive latente Steuerabgrenzungen werden dabei miteinander verrechnet.; 25, 26 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
"Die Berechnung der Steuerabgrenzung auf Konsolidierungsmaßnahmen erfolgt auf der Grundlage der unternehmensindividuellen Steuersätze.
"; 9.0 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
"Bilanzierungs- und Bewertungsmethoden

";;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Die in den Konzernabschluss übernommenen Vermögensgegenstände und Schulden der einbezogenen Unternehmen werden einheitlich nach den hier beschriebenen Grundsätzen bilanziert und bewertet.; 9.0 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
Der Konzernabschluss ist unter Beibehaltung der für den Vorjahresabschluss angewendeten Gliederungs- und Bewertungsgrundsätze nach den für Kapitalgesellschaften geltenden Vorschriften des Handelsgesetzbuches aufgestellt.; 9.0 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
"Im Konzernabschluss sind sämtliche Vermögensgegenstände, Schulden, Rechnungsabgrenzungsposten, Aufwendungen und Erträge enthalten, soweit gesetzlich nichts anderes bestimmt ist. Die Posten der Aktivseite sind nicht mit Posten der Passivseite, Aufwendungen nicht mit Erträgen verrechnet worden, soweit dies nach den Vorschriften des § 246 HGB nicht ausdrücklich gefordert wird.
"; 9.0 ;2015/2016;Bernard Krone Holding SE & Co.KG;Konzernabschluss ;Treuhand Oldenburg GmbH
