Anhang; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Anhang für das Geschäftsjahr 2016;;2016;"MS Industrie AG
";Jahresabschluss;Deloitte
Allgemeine Hinweise;;2016;"MS Industrie AG
";Jahresabschluss;Deloitte
Die MS Industrie AG ist eine Aktiengesellschaft nach dem Recht der Bundesrepublik Deutschland. Die Gesellschaft ist im Handelsregister des Amtsgerichts München unter HRB 133497 eingetragen und hat ihren Sitz in der Brienner Straße 7, 80333 München, Deutschland.;113;2016;"MS Industrie AG
";Jahresabschluss;Deloitte
"Der vorliegende Jahresabschluss wurde auf der Grundlage des Handelsgesetzbuches sowie nach den einschlägigen Vorschriften des AktG aufgestellt. Die MS Industrie AG ist seit dem 29. Mai 2001 börsennotiert; ihre Aktien werden im ""General Standard"" gehandelt. Gemäß § 267 Abs. 3 Satz 2 HGB gelten damit die Vorschriften für große Kapitalgesellschaften. Die Gewinn- und Verlustrechnung ist nach dem Gesamtkostenverfahren aufgestellt."; 8.0 ;2016;"MS Industrie AG
";Jahresabschluss;Deloitte
"Um die Klarheit der Darstellung zu verbessern, wurden die Angaben zur Mitzugehörigkeit zu anderen Posten der Bilanz im Anhang gemacht und im Einzelfall auch andere ""davon""-Angaben in den Anhang verlagert."; 8.0 ;2016;"MS Industrie AG
";Jahresabschluss;Deloitte
Im Rahmen des Bilanzrichtlinie-Umsetzungsgesetzes (BilRUG) haben sich das Gliederungsschema der Gewinn- und Verlustrechnung (§ 275 Abs. 2 HGB) sowie die Definition der Umsatzerlöse geändert. Auf die Umsatzerlöse der MS Industrie AG ergaben sich hieraus keine Auswirkungen.;1;2016;"MS Industrie AG
";Jahresabschluss;Deloitte
Bilanzierungs- und Bewertungsmethode;;2016;"MS Industrie AG
";Jahresabschluss;Deloitte
Entgeltlich erworbene immaterielle Vermögensgegenstände sind zu Anschaffungskosten bilanziert und werden, sofern sie der Abnutzung unterliegen, entsprechend ihrer Nutzungsdauer von drei Jahren linear abgeschrieben.; 8.4 ;2016;"MS Industrie AG
";Jahresabschluss;Deloitte
Das Sachanlagevermögen ist zu Anschaffungskosten angesetzt und wird um planmäßige und ggf. außerplanmäßige Abschreibungen vermindert.; 8.7 ;2016;"MS Industrie AG
";Jahresabschluss;Deloitte
Die Vermögensgegenstände des Sachanlagevermögens werden nach Maßgabe der voraussichtlichen Nutzungsdauer (3 bis 13 Jahre) um planmäßige Abschreibungen vermindert. Die Anlagegüter werden linear abgeschrieben. Geringwertige Anlagegüter bis zu EUR 410,00 werden im Jahr der Anschaffung in voller Höhe aufwandswirksam erfasst.; 8.7 ;2016;"MS Industrie AG
";Jahresabschluss;Deloitte
