Anhang; Annotierung (Angabe Nummer in Anhangcheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
I. Allgemeine Angaben zu Bilanzierungs- und Bewertungsmethoden;;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
"Die Gliederung des Jahresabschlusses der Media Markt TV-HiFi-Elektro GmbH München-Pasing, München, erfolgt unter Anwendung
der §§ 265 ff. HGB. Für die Gewinn- und Verlustrechnung wird dabei das Gesamtkostenverfahren zugrunde gelegt."; 8.0, 9 ;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
Die Bewertung entspricht den für Kapitalgesellschaften geltenden Vorschriften des HGB.; 8.0 ;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
II. Angaben zu einzelnen Bilanzposten;;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
"Die immateriellen Vermögensgegenstände des Anlagevermögens werden zu Anschaffungskosten einschließlich Nebenkosten,
vermindert um Abschreibungen, angesetzt. Die Abschreibungen erfolgen nach der linearen Abschreibungsmethode unter
Zugrundelegung der betriebsgewöhnlichen Nutzungsdauer."; 4.2 ;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
"Die Vermögensgegenstände des Sachanlagevermögens werden zu Anschaffungskosten einschließlich Nebenkosten, vermindert um
Abschreibungen, angesetzt. Sämtliche Vermögensgegenstände werden stets nach der linearen Abschreibungsmethode unter
Zugrundelegung der betriebsgewöhnlichen Nutzungsdauer abgeschrieben. Für Zugänge bei beweglichen Vermögensgegenständen
des Sachanlagevermögens wird die anteilige Jahresabschreibung (pro rata temporis) verrechnet. Geringwertige Anlagegüter mit
einem Einzelwert bis einschließlich EUR 150,00 werden im Zeitpunkt ihrer Anschaffung unmittelbar als Aufwand erfasst.
Geringwertige Anlagegüter mit einem Einzelwert zwischen EUR 150,00 und EUR 1.000,00 werden im Zeitpunkt des Zugangs in einem
Sammelposten aktiviert. Der Sammelposten wird im Jahr der Bildung und in den folgenden vier Jahren mit jeweils 20 %
abgeschrieben."; 4.7, 8 ;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
Die Entwicklung des Anlagevermögens wird auf den Seiten 6 und 7 dargestellt.; 4.1, 15, 16 ;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
"Bei den Vorräten werden Waren zu Anschaffungskosten unter Beachtung des Niederstwertprinzips bewertet. Für Lagerrisiken und
nicht vollwertige Bestände werden warengruppenspezifische Bewertungsabschläge auf die Vorräte vorgenommen."; 4.20, 8 ;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
"Die Forderungen und sonstigen Vermögensgegenstände sind mit dem Nennwert angesetzt. Auf zweifelhafte Forderungen werden
Einzelwertberichtigungen gebildet. In den sonstigen Vermögensgegenständen sind sonstige Forderungen in Höhe von EUR
115.515,62 (i. Vj. EUR 126.208,60) mit einer Restlaufzeit von mehr als einem Jahr enthalten. Alle übrigen Forderungen haben eine
Restlaufzeit bis zu einem Jahr."; 4.25 ;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
"Die Forderungen gegen verbundene Unternehmen sind mit dem Nennwert angesetzt. Sie beinhalten Forderungen gegen die
Gesellschafterin Media-Saturn Deutschland GmbH, Ingolstadt, in Höhe von EUR 1.642.957,19 (i. Vj. EUR 1.897.630,75)."; 4.27, 20 ;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
"In den Forderungen gegen verbundene Unternehmen sind Forderungen aus Lieferungen und Leistungen gegen verbundene
Unternehmen in Höhe von EUR 187.511,45 (i. Vj. EUR 164.979,80) enthalten."; 4.27, 8 ;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
Die sonstigen Vermögensgegenstände enthalten Bonusforderungen, die erst nach dem Bilanzstichtag fällig werden.; 4.29, 8 ;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
"Latente Steuern werden für sich in den folgenden Geschäftsjahren voraussichtlich abbauende Unterschiede zwischen den
handelsrechtlichen und steuerlichen Wertansätzen von Vermögensgegenständen, Schulden und Rechnungsabgrenzungsposten
ermittelt und unverrechnet ausgewiesen."; 4.35, 4.64, 24 ;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
"Die ausgewiesenen aktiven latenten Steuern übersteigen die passiven latenten Steuern um EUR 10.432,30. Gemäß § 285 Nr. 28 HGB
in Verbindung mit § 268 Abs. 8 HGB besteht eine Ausschüttungssperre in dieser Höhe."; 4.35, 4.64, 31 ;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
Das gezeichnete Kapital der Gesellschaft beträgt DEM 200.000,00 (EUR 102.258,38).; 4.38 ;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
"Die Rückstellungen sind mit dem Erfüllungsbetrag angesetzt, der nach vernünftiger kaufmännischer Beurteilung notwendig ist.
Rückstellungen mit einer Restlaufzeit von mehr als einem Jahr sind mit dem ihrer Restlaufzeit entsprechenden durchschnittlichen
Marktzinssatz der vergangenen sieben Geschäftsjahre abgezinst worden. Rückstellungen für Altersversorgungsverpflichtungen oder
vergleichbare langfristig fällige Verpflichtungen werden pauschal mit dem durchschnittlichen Marktzinssatz abgezinst, der sich bei
einer angenommenen Restlaufzeit von 15 Jahren ergibt."; 4.47, 34 ;2015/2016;Media Markt TV-HiFi-Elektro GmbH München-Pasing,;Jahresabschluss;KPMG
