Anhang für das Geschäftsjahr 2016; Annotierung (Angabe Nummer in Anhangscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Mediflora Lehrhuber GmbH;;;;;
Allgemeine Angaben zum Jahresabschluss;;;;;
"Auf Grund der erstmaligen Anwendung des Bilanzrichtlinie-Umsetzungsgesetzes (BilRUG) wurde auch der Vorjahreswert der
Umsatzerlöse angepasst, ein Vergleich mit dem Jahresabschluss des Vorjahres ist damit nicht möglich."; 28   ;2016;GmbH;Jahresabschluss;
Angaben zur Identifikation der Gesellschaft laut Registergericht;;2016;GmbH;Jahresabschluss;
Firmenname laut Registergericht: Mediflora Lehrhuber GmbH; 44   ;2016;GmbH;Jahresabschluss;
Firmensitz laut Registergericht: Geisenhausen; 44   ;2016;GmbH;Jahresabschluss;
Registereintrag: Handelsregister; 44   ;2016;GmbH;Jahresabschluss;
Registergericht: Landshut; 44   ;2016;GmbH;Jahresabschluss;
Register-Nr.: HRB 2738; 44   ;2016;GmbH;Jahresabschluss;
Angaben zu Bilanzierungs- und Bewertungsmethoden;;2016;GmbH;Jahresabschluss;
Bilanzierungs- und Bewertungsgrundsätze;;2016;GmbH;Jahresabschluss;
"Erworbene immaterielle Anlagewerte wurden zu Anschaffungskosten angesetzt und, sofern sie der Abnutzung unterlagen, um
planmäßige Abschreibungen vermindert."; 7.2 ;2016;GmbH;Jahresabschluss;
"Das Sachanlagevermögen wurde zu Anschaffungs- bzw. Herstellungskosten angesetzt und, soweit abnutzbar, um planmäßige
Abschreibungen vermindert."; 7.7 ;2016;GmbH;Jahresabschluss;
"Die planmäßigen Abschreibungen wurden nach der voraussichtlichen Nutzungsdauer der Vermögensgegenstände linear und degressiv
vorgenommen."; 11 ;2016;GmbH;Jahresabschluss;
"Der Übergang von der degressiven zur linearen Abschreibung erfolgt in den Fällen, in denen dies zu einer höheren
Jahresabschreibung führt."; 11 ;2016;GmbH;Jahresabschluss;
"Die Vorräte wurden zu Anschaffungs- bzw. Herstellungskosten angesetzt. Sofern die Tageswerte am Bilanzstichtag niedriger waren,
wurden diese angesetzt."; 7.20 ;2016;GmbH;Jahresabschluss;
Forderungen und Wertpapiere wurden unter Berücksichtigung aller erkennbaren Risiken bewertet.; 7.25, 7.30 ;2016;GmbH;Jahresabschluss;
"Für ungewisse Verbindlichkeiten aus Pensionsverpflichtungen wurden Rückstellungen gebildet. Die Rückstellungsbildung wurde gem.
§ 253 Abs. 1 Satz 2 HGB in Höhe des nach vernünftiger kaufmännischer Beurteilung notwendigen Erfüllungsbetrags bewertet. Die
Pensionsrückstellungen betragen Euro 544.201,00."; 7.48 ;2016;GmbH;Jahresabschluss;
Die Steuerrückstellungen beinhalten die das Geschäftsjahr betreffenden, noch nicht veranlagten Steuern.; 7.49 ;2016;GmbH;Jahresabschluss;
"Die sonstigen Rückstellungen wurden für alle weiteren ungewissen Verbindlichkeiten gebildet. Dabei wurden alle erkennbaren Risiken
berücksichtigt."; 7.50 ;2016;GmbH;Jahresabschluss;
Verbindlichkeiten wurden zum Erfüllungsbetrag angesetzt.; 7.51 ;2016;GmbH;Jahresabschluss;
Gegenüber dem Vorjahr abweichende Bilanzierungs- und Bewertungsmethoden;;2016;GmbH;Jahresabschluss;
