Anhang für das Geschäftsjahr 2016; Annotierung (Angabe Nummer in Anhangscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
mutares AG;;;;;
Allgemeine Angaben zum Jahresabschluss;;2016;AG;Jahresabschluss;
Die mutares AG mit Sitz in München wird beim Amtsgericht München unter HRB 172278 geführt.; 7.0 ;2016;AG;Jahresabschluss;
"Der Jahresabschluss zum 31. Dezember 2016 wurde auf der Grundlage des Handelsgesetzbuchs und des Aktiengesetzes aufgestellt.
Die größenabhängigen Erleichterungen für kleine Kapitalgesellschaften werden teilweise in Anspruch genommen. Ergänzend zu
diesen Vorschriften waren die Regelungen der Satzung zu beachten. Aus Gründen der Übersichtlichkeit werden gesetzlich geforderte
Zusatzangaben grundsätzlich im Anhang gemacht."; 7.0 ;2016;AG;Jahresabschluss;
Das Geschäftsjahr ist das Kalenderjahr.; 7.0 ;2016;AG;Jahresabschluss;
"Die Gliederung der Bilanz erfolgte in Anwendung des § 266 HGB. Die Gliederung der Gewinn- und Verlustrechnung erfolgte in
Anwendung des § 275 Abs. 2 HGB nach dem Gesamtkostenverfahren."; 7.0 ;2016;AG;Jahresabschluss;
Das Prinzip der Darstellungsstetigkeit wurde beachtet.; 7.0 ;2016;AG;Jahresabschluss;
Alle Angaben erfolgen grundsätzlich in Tausend Euro (kurz: TEUR).; 7.0 ;2016;AG;Jahresabschluss;
Bilanzierungs- und Bewertungsmethoden;;2016;AG;Jahresabschluss;
Angaben zur Bilanz;;2016;AG;Jahresabschluss;
Anlagevermögen;;2016;AG;Jahresabschluss;
"Die immateriellen Vermögensgegenstände wurden zu Anschaffungskosten aktiviert und planmäßig linear abgeschrieben.
Selbstgeschaffene immaterielle Vermögensgegenstände sind nicht vorhanden."; 7.2, 7.3, 11 ;2016;AG;Jahresabschluss;
"Das Sachanlagevermögen wurde zu Anschaffungskosten bzw. zu Herstellungskosten aktiviert und planmäßig abgeschrieben, sofern
es abnutzbar ist."; 7.7 ;2016;AG;Jahresabschluss;
