; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Anhang ;;;;;
Anhang für das Geschäftsjahr 2016;;;;;
der N-ERGIE Aktiengesellschaft, Nürnberg;;;;;
A Allgemeine Angaben;;;;;
Die Firma N-ERGIE Aktiengesellschaft (N-ERGIE) mit Sitz in Nürnberg ist im Handelsregister B des Amtsgerichts Nürnberg unter der Nummer HRB 17412 eingetragen.; 113 ;2016;N-ERGIE Aktiengesellschaft;Jahresabschluss;PwC
Der Jahresabschluss der N-ERGIE ist nach den Vorschriften des Handelsgesetzbuchs (HGB), des Aktiengesetzes (AktG) und des Energiewirtschaftsgesetzes (EnWG) aufgestellt. Die Gewinn- und Verlustrechnung wird nach dem Gesamtkostenverfahren gegliedert. Geschäftsjahr ist das Kalenderjahr. Der Jahresabschluss ist auf Tausend Euro gerundet.; 8.0 ;2016;N-ERGIE Aktiengesellschaft;Jahresabschluss;PwC
Zum 1. Januar 2016 wurden die Neuerungen des Bilanzrichtlinien-Umsetzungsgesetz (BilRUG) umgesetzt. Wesentliche Gegenstände der Änderung sind zum einem die Gliederung der Gewinn- und Verlustrechnung sowie die Neufassung der Umsatzdefinition, die Umgliederungen von sonstigen betrieblichen Erträgen in den Umsatzerlösen zur Folge hatten. Spiegelbildlich wurden die Aufwendungen hierzu von den sonstigen betrieblichen Aufwendungen dem Materialaufwand zugeordnet.; 1, 59 ;2016;N-ERGIE Aktiengesellschaft;Jahresabschluss;PwC
Die Vorjahreswerte wurden nicht angepasst und sind nur eingeschränkt vergleichbar.; 2, 59 ;2016;N-ERGIE Aktiengesellschaft;Jahresabschluss;PwC
"Aus Gründen der Übersichtlichkeit ist die Gewinn- und Verlustrechnung um die Position „Ergebnis der Geschäftstätigkeit"" (Position 10) ergänzt, welches eine Steuerungsgröße darstellt."; 1 ;2016;N-ERGIE Aktiengesellschaft;Jahresabschluss;PwC
Die zur übersichtlicheren Darstellung in der Bilanz sowie der Gewinn- und Verlustrechnung zusammengefassten Posten sind im Anhang gesondert ausgewiesen bzw. erläutert. Aus diesem Grund werden Davon-Vermerke ebenfalls im Anhang dargestellt. Die Ziffern in der Vorspalte der Bilanz sowie der Gewinn- und Verlustrechnung entsprechen denen der Erläuterungen im Anhang.; 7 ;2016;N-ERGIE Aktiengesellschaft;Jahresabschluss;PwC
Tätigkeiten nach § 6b Abs. 3 EnWG;;2016;N-ERGIE Aktiengesellschaft;Jahresabschluss;PwC
Die N-ERGIE gilt nach § 3 Nr. 18 und Nr. 38 EnWG als vertikal integriertes Energieversorgungsunternehmen und hat gemäß § 6b Abs. 3 EnWG für ihre Tätigkeiten in den Bereichen Elektrizitätsverteilung (Verpachtung Stromverteilungsnetz), Gasverteilung (Verpachtung Gasverteilungsnetz) und Gasspeicherung getrennte Konten zu führen sowie je eine Bilanz und Gewinn- und Verlustrechnung für diese Tätigkeiten aufzustellen.; 5 ;2016;N-ERGIE Aktiengesellschaft;Jahresabschluss;PwC
Darüber hinaus werden Tätigkeiten innerhalb des Elektrizitäts- und Gassektors jeweils gemäß § 6b Abs. 3 Satz 3 EnWG sowie außerhalb des Elektrizitäts- und Gassektors gemäß § 6b Abs. 3 Satz 4 EnWG vorgenommen, für die ebenfalls getrennte Konten geführt werden. Die zahlenmäßige Entwicklung der Tätigkeiten Elektrizitätsverteilung, Gasverteilung und Gasspeicherung ist in Tätigkeitsabschlüssen dargestellt, bestehend aus jeweils einer Bilanz sowie Gewinn- und Verlustrechnung mit Erläuterungen und einer eigenen Entwicklung des Anlagevermögens.; 5 ;2016;N-ERGIE Aktiengesellschaft;Jahresabschluss;PwC
B Bilanzierungs- und Bewertungsmethoden;;2016;N-ERGIE Aktiengesellschaft;Jahresabschluss;PwC
Anlagevermögen; 8.1 ;2016;N-ERGIE Aktiengesellschaft;Jahresabschluss;PwC
Immaterielle Vermögensgegenstände und Sachanlagen werden zu Anschaffungs- oder Herstellungskosten, vermindert um planmäßige und außerplanmäßige Abschreibungen, bilanziert. Die Abschreibungen erfolgten planmäßig über die Nutzungsdauer und beginnen im Zugangsmonat.; 8.2, 8.7 ;2016;N-ERGIE Aktiengesellschaft;Jahresabschluss;PwC
Bei Sachanlagen, die vor dem 1. Januar 2010 angeschafft worden sind, wird vom Beibehaltungswahlrecht nach Art. 67 Abs. 4 Satz 1 EGHGB Gebrauch gemacht. Somit werden die Wertansätze, die auf Abschreibungen nach § 254 HGB in der bis zum 28. Mai 2009 geltenden Fassung beruhen, fortgeführt. Hierbei wird im steuerlich zulässigen Rahmen grundsätzlich degressiv, im Übrigen linear abgeschrieben und zum jeweils günstigsten Zeitpunkt zur linearen Abschreibungsmethode übergegangen.; 8.7, 11, 70 ;2016;N-ERGIE Aktiengesellschaft;Jahresabschluss;PwC
Neuzugänge von Sachanlagen werden ab dem Geschäftsjahr 2010 linear über die betriebsgewöhnliche Nutzungsdauer abgeschrieben.; 8.7 ;2016;N-ERGIE Aktiengesellschaft;Jahresabschluss;PwC
Den Abschreibungen auf immaterielle Vermögensgegenständen und Sachanlagen liegen im Wesentlichen folgende Nutzungsdauern zu Grunde:; 8.2, 8.7 ;2016;N-ERGIE Aktiengesellschaft;Jahresabschluss;PwC
"Nutzungsdauer in Jahren
Immaterielle Vermögensgegenstände 3 - 50
Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken 4 - 99
Erzeugungs-, Gewinnungs- und Bezugsanlagen 6 - 50
Verteilungsanlagen 2 - 50
Technische Anlagen und Maschinen 4 - 35
Andere Anlagen, Betriebs- und Geschäftsausstattung 2 - 23"; 8.2, 8.7 ;2016;N-ERGIE Aktiengesellschaft;Jahresabschluss;PwC
"Zusätzliche Abschreibungen nach steuerrechtlichen Vorschriften sind in der Position „Sonderposten mit Rücklageanteil"" enthalten. Hier wurde vom Beibehaltungsrecht in analoger Anwendung von Art. 67 Abs.3 Satz 1 EGHGB Gebrauch gemacht."; 8.2, 8.7, 39 ;2016;N-ERGIE Aktiengesellschaft;Jahresabschluss;PwC
Geleistete Anzahlungen sind zum Nominalwert und Anlagen im Bau sind mit den bisher angefallenen Anschaffungs- und Herstellungskosten bilanziert. Bei den Herstellungskosten der selbst erstellten Anlagen sind in angemessenem Umfang Gemeinkosten berücksichtigt (aktivierte Eigenleistungen). Die erhaltenen Investitionszuschüsse werden von den Anschaffungs- und Herstellungskosten der betroffenen Vermögensgegenstände abgesetzt.; 8.7 ;2016;N-ERGIE Aktiengesellschaft;Jahresabschluss;PwC
Selbstständig nutzbare bewegliche Wirtschaftsgüter, deren Anschaffungs- oder Herstellungskosten 150 €, aber nicht 410 € übersteigen, werden im Zugangsjahr in voller Höhe abgeschrieben.; 8.7 ;2016;N-ERGIE Aktiengesellschaft;Jahresabschluss;PwC
Die unter den Finanzanlagen ausgewiesenen Anteile an verbundenen Unternehmen, Beteiligungen und Wertpapiere sowie Ausleihungen an verbundene Unternehmen und sonstige Ausleihungen sind zu Anschaffungskosten bzw. zum niedrigeren beizulegenden Wert bei dauerhafter Wertminderung bewertet. Bei den im Berichtsjahr 2012 im Tauschwege erworbenen Anteilen an verbundenen Unternehmen wurde in Anwendung der Tauschgrundsätze die Buchwertfortführung gewählt. Ausleihungen werden zu ihrem Nenn- oder Barwert angesetzt.; 8.12 ;2016;N-ERGIE Aktiengesellschaft;Jahresabschluss;PwC
Umlaufvermögen; 8.19 ;2016;N-ERGIE Aktiengesellschaft;Jahresabschluss;PwC
Vorräte werden zu Anschaffungs- oder Herstellungskosten unter Beachtung des Niederstwertprinzips bewertet. Das Risiko wegen geminderter Verwendbarkeit wird durch entsprechende Wertabschläge berücksichtigt. Der Ansatz der Roh-, Hilfs- und Betriebsstoffe sowie der Waren entspricht dem gleitenden Durchschnitt aus Anschaffungskosten oder den niedrigeren Wiederbeschaffungskosten. Unfertige Leistungen sind mit Herstellungskosten unter Einbeziehung angemessener Gemeinkosten bilanziert.; 8.20 ;2016;N-ERGIE Aktiengesellschaft;Jahresabschluss;PwC
"Forderungen, sonstige Vermögensgegenstände und flüssige Mittel werden zu Nominalbeträgen bewertet, vermindert um ausreichend bemessene Einzel- und Pauschalwertberichtigungen. Die Forderungen für die Energie- und Wasserlieferungen gegen Kunden mit registrierender Lastgangmessung und Weiterverteiler beruhen grundsätzlich auf Stichtagsablesungen; nicht abgerechnete Lieferungen und Leistungen sind zum Bilanzstichtag auf Grundlage einer zählpunktbezogenen Hochrechnung abgegrenzt worden. Den Forderungen gegen Händler, die Standardlastprofilkunden versorgen, lag die rollierende Jahresverbrauchsabrechnung zugrunde, wobei die zum Bilanzstichtag abgegrenzten, noch nicht abgelesenen Lieferungen und Leistungen auf Grundlage einer zählpunktbezogenen Hochrechnung ermittelt wurden. Von diesen Forderungen sind die erhaltenen Abschlagszahlungen offen abgesetzt."; 8.25 ;2016;N-ERGIE Aktiengesellschaft;Jahresabschluss;PwC
Das unter den sonstigen Vermögensgegenständen ausgewiesene Körperschaftsteuer-guthaben wird mit dem Barwert ausgewiesen.; 8.29 ;2016;N-ERGIE Aktiengesellschaft;Jahresabschluss;PwC
Aktive Rechnungsabgrenzungsposten; 8.34 ;2016;N-ERGIE Aktiengesellschaft;Jahresabschluss;PwC
Die aktiven Rechnungsabgrenzungsposten sind in Höhe der abzugrenzenden Beträge angesetzt.; 8.34 ;2016;N-ERGIE Aktiengesellschaft;Jahresabschluss;PwC
Sonderposten mit Rücklageanteil; 39 ;2016;N-ERGIE Aktiengesellschaft;Jahresabschluss;PwC
Von der Übergangsregelung des Art. 67 Abs. 3 Satz 1 EGHGB wird Gebrauch gemacht, sodass der Sonderposten mit Rücklageanteil, der überwiegend nach den Vorschriften des § 6b EStG gebildet wurde, beibehalten wird.; 39 ;2016;N-ERGIE Aktiengesellschaft;Jahresabschluss;PwC
Zuschüsse;;2016;N-ERGIE Aktiengesellschaft;Jahresabschluss;PwC
"Die bis zum 31. Dezember 2002 und die ab dem 1. Januar 2010 vereinnahmten Baukostenzuschüsse wurden mit 5 % der Ursprungsbeträge zugunsten der Umsatzerlöse aufgelöst. Die ab dem 1. Januar 2003 bis zum 31. Dezember 2009 vereinnahmten Baukostenzuschüsse wurden als Sonderposten für Investitionszuschüsse passiviert; die Auflösung erfolgt entsprechend der Nutzungsdauer des Vermögensgegenstands.";;2016;N-ERGIE Aktiengesellschaft;Jahresabschluss;PwC
Seit dem 1. Januar 2011 werden die bei der MDN Main-Donau Netzgesellschaft mbH, Nürnberg, vereinnahmten Zuschüsse direkt an die N-ERGIE weitergeleitet und als Sonderposten für Ertragszuschüsse passiviert. Die Auflösung erfolgt mit 5 % der Ursprungsbeträge.;;2016;N-ERGIE Aktiengesellschaft;Jahresabschluss;PwC
Rückstellungen; 8.47 ;2016;N-ERGIE Aktiengesellschaft;Jahresabschluss;PwC
