Anhang;Annotierung;Gesch„ftsjahr;Gesellschaft;Abschlussart;Prfer
Anhang fr das Gesch„ftsjahr vom 1. Januar bis 31. Dezember 2016;;2016;GmbH;Jahresabschluss;PwC
I. ALLGEMEINE ANGABEN;;2016;GmbH;Jahresabschluss;PwC
Die NCR GmbH hat ihren Sitz in Augsburg und ist eingetragen in das Handelsregister beim Amtsgericht Augsburg (HRB 11581).;90;2016;GmbH;Jahresabschluss;PwC
Die Gesellschaft ist gem„á den Gr”áenkriterien des õ 267 Abs. 3 HGB eine groáe Kapitalgesellschaft.;;2016;GmbH;Jahresabschluss;PwC
"Der Jahresabschluss wird nach den Rechnungslegungsvorschriften fr Kapitalgesellschaften des Handelsgesetzbuches (HGB) in der
Fassung des Bilanzrichtlinie-Umsetzungsgesetzes (BilRUG) unter Bercksichtigung des Gesetzes betreffend die Gesellschaften mit
beschr„nkter Haftung (GmbHG) aufgestellt.";;2016;GmbH;Jahresabschluss;PwC
Gesch„ftsjahr ist das Kalenderjahr.;;2016;GmbH;Jahresabschluss;PwC
II. ERLUTERUNGEN ZU DEN BILANZIERUNGS- UND BEWERTUNGSMETHODEN SOWIE WHRUNGSUMRECHNUNG;;2016;GmbH;Jahresabschluss;PwC
1. Allgemeine Angaben;;2016;GmbH;Jahresabschluss;PwC
Die Gewinn- und Verlustrechnung ist nach dem Gesamtkostenverfahren gem. õ 275 Abs. 2 HGB aufgestellt.;8;2016;GmbH;Jahresabschluss;PwC
Der Jahresabschluss wurde unter Annahme der Unternehmensfortfhrung (Going-Concern) aufgestellt.;8;2016;GmbH;Jahresabschluss;PwC
"Im Berichtsjahr wurden folgende Abweichungen von in Vorperioden angewandten Darstellungs-, Bilanzierungs- und/oder
Bewertungsmethoden vorgenommen:";8;2016;GmbH;Jahresabschluss;PwC
"Durch das BilRUG wurden die in der Gewinn- und Verlustrechnung enthaltenen Posten ?auáerordentliche Aufwendungen? sowie
dementsprechend die Zwischenergebnisse ?Ergebnis der gew”hnlichen Gesch„ftst„tigkeit? und ?auáerordentliches Ergebnis?
gestrichen. Eine weitere nderung des Gliederungsschemas der Gewinn- und Verlustrechnung ist die Einfgung eines
Zwischenergebnisses ?Ergebnis nach Steuern? zwischen dem Posten ?Steuern vom Einkommen und vom Ertrag? und dem Posten
?sonstige Steuern?.";8.90, 8.91;2016;GmbH;Jahresabschluss;PwC
