Ab PDF s. 1 bis 16;;;;;;;;;;;;;;;;;;;;;;;;
Anhang für das Geschäftsjahr 2014;;;;;;;;;;;;;;;;;;;;;;;;
der New-York Hamburger Gummi-Waaren Compagnie Aktiengesellschaft, Lüneburg;;;;;;;;;;;;;;;;;;;;;;;;
; Annotierung (Angabe Nummer in Anhangscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer;;;;;;;;;;;;;;;;;;;
A. Allgemeine Angaben;;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Der Jahresabschluss für das Geschäftsjahr 2014 wurde nach den Vorschriften des Handelsgesetzbuches (HGB) sowie unter Beachtung der ergänzenden Vorschriften des Aktiengesetzes (AktG) aufgestellt.;;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Es handelt sich bei der New-York Hamburger Gummi-Waaren Compagnie AG, Lüneburg, (NYH AG) gemäß § 264 d HGB um eine große Kapitalgesellschaft nach § 267 Abs. 3 HGB. Die Gesellschaft wird beim Amtsgericht Lüneburg unter der HRB 201761 geführt.; 113 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Angaben, die wahlweise in der Bilanz, in der Gewinn- und Verlustrechnung oder im Anhang gemacht werden können, sind insgesamt im Anhang aufgeführt. Die Gewinn- und Verlustrechnung ist nach dem Gesamtkostenverfahren gegliedert.;;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Der Jahresabschluss wurde aufgrund einer positiven Fortbestehensprognose für die Geschäftsjahre 2017 und 2018 unter der Annahme der Unternehmensfortführung aufgestellt.;;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
B. Fehlerkorrekturen und Vergleichbarkeit des Vorjahresabschlusses; 1, 10 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Darstellung, Gliederung, Ansatz und Bewertung des Jahresabschlusses entsprechen mit folgenden Ausnahmen den Vorjahresgrundsätzen:; 1, 10 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Fehlerkorrektur: Grundstück und Bauten; 1, 10 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Die Anschaffungskosten des Betriebsgrundstücks wurden bis zum 31. Dezember 2013 in Höhe von TEUR 1.196 fehlerhaft dem Betriebsgebäude zugewiesen und infolge dessen planmäßig abgeschrieben (kumuliert TEUR 127). Darüber hinaus wurden die dem Grundstück zugewiesenen Anschaffungskosten fehlerhaft in Höhe von kumuliert TEUR 70 planmäßig abgeschrieben. Zur Korrektur erfolgte zum 31. Dezember 2014 eine unter den sonstigen betrieblichen Erträgen erfasste Zuschreibung dieser in der Vergangenheit gebuchten Wertminderungen von insgesamt TEUR 197.; 1, 10 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
Fehlerkorrektur: Beteiligungen, Ausleihungen an Unternehmen, mit denen ein Beteiligungsverhältnis besteht; 1, 10 ;2014;New-York Hamburger Gummi-Waaren Compagnie AG;Jahresabschluss;Ebner Stolz;;;;;;;;;;;;;;;;;;;
