Anhang;Annotierung (Angabe Nummer in Anhangcheckliste);Gesch„ftsjahr;Gesellschaft;Abschlussart;Prfer
"Die Novartis Consumer Health GmbH hat ihren Sitz in Mnchen und ist eingetragen in das Handelsregister des Amtsgerichts Mnchen
(HRB 54722). Der Jahresabschluss wurde nach den fr groáe Kapitalgesellschaften geltenden Vorschriften der õõ 264 ff. HGB (in der
Fassung des Bilanzrichtlinie-Umsetzungsgesetz (BilRUG)) unter Beachtung der handelsrechtlichen Vorschriften ber den Inhalt des
Jahresabschlusses, ber die Gliederung der Bilanz und der Gewinn- und Verlustrechnung und ber die Wertans„tze in der Bilanz
sowie der rechtsformspezifischen Vorschriften des GmbH-Gesetzes aufgestellt.";90;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
"Die Bilanz ist nach dem Gliederungsschema des õ 266 HGB aufgestellt. Die Aufstellung der Gewinn- und Verlustrechnung erfolgt
gem„á õ 275 Abs. 2 HGB nach dem Gesamtkostenverfahren.";;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
Die Gesellschaft ist eine groáe Kapitalgesellschaft im Sinne des õ 267 Abs. 3 HGB.;;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
Gesch„ftsjahr ist das Kalenderjahr.;;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
"Im Zuge des Abschlusses des Betriebspachtvertrages zum 1. April 2016 wurde der Gesch„ftsbetrieb und die Arbeitsvertr„ge der
Belegschaft auf die GSK Consumer Healthcare GmbH & Co. KG, Mnchen, bertragen. Damit war die Novartis Consumer Health
GmbH lediglich in den ersten drei Monaten des Jahres 2016 operativ t„tig. Die Vergleichbarkeit zum Gesch„ftsjahr 2015 ist daher
teilweise nur eingeschr„nkt m”glich.";2;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
B. Bilanzierungs- und Bewertungsmethoden;;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
Allgemeine Angaben;;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
"Im Berichtsjahr wurden folgende Abweichungen von in Vorperioden angewandten Darstellungs-, Bilanzierungs- und/oder
Bewertungsmethoden vorgenommen:";;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
"Durch das BilRUG wurde das Gliederungsschema der Gewinn- und Verlustrechnung ge„ndert. Ein Zwischenergebnis ?Ergebnis nach
Steuern? wurde zwischen dem Posten ?Steuern vom Einkommen und vom Ertrag? und dem Posten ?sonstige Steuern? eingefgt. Das
Ergebnis der gew”hnlichen Gesch„ftst„tigkeit sowie das auáerordentliche Ergebnis sind entfallen.";1, 8.91, 8.90, 8.92;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
"Infolge der Streichung des Postens ?auáerordentliche Aufwendungen? wurden der im Vorjahr unter dieser Position ausgewiesene
Betrag in H”he von T? 743 in den Posten ?sonstige betriebliche Aufwendungen? umgegliedert.";1, 8.80  ;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
"Gem„á Art. 75 Abs. 6 Satz 1 EGHGB n.F. i.V.m. õ 253 Abs. 2 Satz 1 HGB n.F. sind Altersversorgungsverpflichtungen (Rckstellungen
fr Pensionen) im Jahresabschluss fr das Gesch„ftsjahr 2016 unter Zugrundelegung des durchschnittlichen Marktzinssatzes der
vergangenen zehn Gesch„ftsjahre (Vorjahr: durchschnittlicher Marktzinssatz der vergangenen sieben Gesch„ftsjahre) bewertet
worden.";1, 8.73, 8.75, 8.76;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
Immaterielle Verm”gensgegenst„nde;;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
"Immaterielle Verm”gensgegenst„nde werden zu Anschaffungskosten, vermindert um planm„áige Abschreibungen, bewertet. Die
Nutzungsdauer betr„gt 3 bis 5 Jahre.";8.2;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
Sachanlagen;;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
Das Sachanlageverm”gen ist zu den Anschaffungs- bzw. Herstellungskosten, vermindert um planm„áige Abschreibungen, bewertet.;8.1, 8.7;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
"Die beweglichen Gegenst„nde des Sachanlageverm”gens werden ber 3 bis 20 Jahre abgeschrieben. Die Abschreibungen werden
planm„áig unter Anwendung der linearen Abschreibungsmethode vorgenommen.";8.1, 8.7;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
"Geringwertige Wirtschaftsgter, die nach den 1. Januar 2008 angeschafft wurden und deren Anschaffungs- oder Herstellungskosten
mehr als ? 150 bis ? 1.000 betragen, werden in einem Sammelposten, verteilt auf 5 Jahre, gleichm„áig abgeschrieben.";8.1;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
Vorr„te;;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
"Die Vorr„te werden zu Anschaffungs- und Herstellungskosten bzw. zu den niedrigeren Tageswerten am Bilanzstichtag angesetzt. Alle
erkennbaren Risiken, die sich aus berdurchschnittlicher Lagerdauer oder geminderter Verwertbarkeit ergeben, sind durch
angemessene Abwertungen bercksichtigt.";8.19, 8.20;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
Forderungen und sonstige Verm”gensgegenst„nde;;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
"Die Forderungen und sonstigen Verm”gensgegenst„nde sind zum Nennwert unter Bercksichtigung des erkennbaren Ausfallrisikos
bilanziert. Bei Forderungen, deren Einbringlichkeit mit erkennbaren Risiken behaftet ist, werden angemessene Wertabschl„ge
vorgenommen; uneinbringliche Forderungen werden abgeschrieben. Auf fremde W„hrung lautende Forderungen mit einer Laufzeit
bis zu einem Jahr sind mit dem Devisenkassamittelkurs am Abschlussstichtag bewertet. Bei einer Restlaufzeit von ber einem Jahr
erfolgt die Fremdw„hrungsbewertung unter Bercksichtigung des Anschaffungskosten- bzw. Imparit„tsprinzip.";8.19, 8.25;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
Guthaben bei Kreditinstituten;;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
Flssige Mittel werden mit ihrem Nominalwert bewertet.;8.33;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
Rechnungsabgrenzungsposten;;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
"Rechnungsabgrenzungsposten werden fr Ausgaben bzw. Einnahmen vor dem Bilanzstichtag, soweit sie Aufwendungen bzw. Ertr„ge
fr eine bestimmte Zeit nach dem Bilanzstichtag darstellen, gebildet.";8.34, 8.63;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
Eigenkapital;;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
Das gezeichnete Kapital wird zum Nennwert bilanziert.;8.37, 8.38;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
Rckstellungen;;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
"Die Rckstellungen wurden in H”he des nach vernnftiger kaufm„nnischer Beurteilung notwendigen Erfllungsbetrages angesetzt.
Rckstellungen mit einer Restlaufzeit von mehr als einem Jahr sind mit dem ihrer Restlaufzeit entsprechenden von der Deutschen
Bundesbank gesch„tzten ver”ffentlichten durchschnittlichen Marktzinssatz der vergangenen zehn Gesch„ftsjahre abgezinst. Kostenund
Preissteigerungen werden bercksichtigt.";8.47, 35;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
"Rckstellungen fr Pensionen werden auf der Grundlage versicherungsmathematischer Berechnungen nach dem
Anwartschaftsbarwertverfahren (Projected Unit Credit Method) unter Bercksichtigung der ?Richttafeln 2005 G? von Prof. Dr. Klaus
Heubeck bewertet. Die Rckstellungen fr Pensionen und „hnliche Verpflichtungen wurden pauschal mit dem von der Deutschen
Bundesbank fr Dezember 2016 ver”ffentlichten durchschnittlichen Marktzinssatz der vergangenen zehn Jahre abgezinst, der sich bei
einer angenommenen Restlaufzeit von 15 Jahren ergibt (õ 253 Abs. 2 Satz 2 HGB). Dieser Zinssatz betr„gt 4,01 %. Bei der
Ermittlung der Rckstellungen fr Pensionen wurden Rentensteigerungen von j„hrlich 1,5 % zugrunde gelegt. Eventuelle
Fluktuationswahrscheinlichkeiten und Entgeltsteigerungen wurden aufgrund des nur noch passiven Mitarbeiterbestandes nicht
bercksichtigt.";8.47, 8.48, 34;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
"Steuer- und Sonstige Rckstellungen tragen den erkennbaren Risiken und ungewissen Verbindlichkeiten angemessen Rechnung. Sie
sind in H”he des Betrags bemessen worden, der nach vernnftiger kaufm„nnischer Beurteilung notwendig ist.";8.47, 8.49, 8.50;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
Verbindlichkeiten;;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
"Die Verbindlichkeiten sind mit ihrem Erfllungsbetrag bilanziert. Auf fremde W„hrung lautende Verbindlichkeiten mit einer Laufzeit
bis zu einem Jahr sind mit dem Devisenkassamittelkurs am Abschlussstichtag bewertet. Bei einer Restlaufzeit von ber einem Jahr
erfolgt die Fremdw„hrungsbewertung unter Bercksichtigung des Anschaffungskosten- bzw. Imparit„tsprinzip.";8.51;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
Latente Steuern;;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
"Latente Steuern werden auf die Unterschiede in der Handelsbilanz und der Steuerbilanz angesetzt, sofern sich diese in sp„teren
Gesch„ftsjahren voraussichtlich wieder umkehren. Aktive und passive latente Steuern werden saldiert ausgewiesen.";8.35, 8.64;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
"Im Falle eines Aktivberhangs der latenten Steuern zum Bilanzstichtag wird von dem Aktivierungswahlrecht des õ 274 Abs. 1 Satz 2
HGB kein Gebrauch gemacht.";8.35;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
Umsatzerl”se;;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
"Umsatzerl”se werden bei Auslieferung der Erzeugnisse und Waren beziehungsweise bei Erbringung der Leistungen realisiert, wenn
Eigentum und Risiken auf den Erwerber bergegangen sind. Sie werden zum beizulegenden Zeitwert der Gegenleistung bewertet.
Dabei werden erwartete Rabatte oder sonstige Preisnachl„sse abgegrenzt beziehungsweise in Abzug gebracht. Wahrscheinliche
Risiken aus der Rcknahme von Erzeugnissen und Waren und auf Grund von Gew„hrleistungen oder sonstigen Reklamationen
werden nach dem Grundsatz der Einzelbewertung zurckgestellt.";8.66;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
C. Angaben zur Bilanz und Gewinn- und Verlustrechnung;;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
1. Anlageverm”gen;;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
Die Entwicklung des Anlageverm”gens ist im Anlagespiegel als Anlage zum Anhang dargestellt.;4.1, 15;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
2. Vorr„te;;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
3. Forderungen und sonstige Verm”gensgegenst„nde;;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
"31.12.2016
in T?
31.12.2015
in T?
31.12.2016
in T?
31.12.2015
in T?
Forderungen aus Lieferungen und Leistungen - 12.644
Forderungen gegen verbundene Unternehmen 55.359 43.111
Sonstige Verm”gensgegenst„nde 6.809 8.354
62.168 64.109";4.25, 4.26, 4.27, 4.29;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
"Von den Forderungen gegen verbundene Unternehmen entfallen T? 0 (Vorjahr: T? 83) auf Gesellschafter. Die bestehende
Commercial-Paper-Forderung besteht zum Bilanzstichtag i.H.v. T? 18.000 (Vorjahr: T? 7.878) gegen die GSK Consumer Healthcare
Finance Ltd., Brentford/U.K. Im Zusammenhang mit dem Cash-Pooling wird zum 31.12.2016 auáerdem eine Forderung gegen die
GSK Inhouse Cash Ltd., Brentford/U.K., i.H.v. T? 5.925 ausgewiesen. Diese Gesellschaft ist fr die Anlage von šberschssen aus dem
Cash-Pooling in festverzinsliche Geldmarktpapiere verantwortlich. Aus der šbertragung des Gesch„ftsbetriebs und damit des
Verkaufs der Verm”gensgegenst„nde sowie aus der Betriebspacht bestehen Forderungen gegen die GSK Consumer Healthcare GmbH
& Co. KG in H”he von insgesamt T? 31.434.";4.25, 4.27;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
"Auf Forderungen gegen verbundene Unternehmen im Inland entfallen T? 31.434 (Vorjahr: T? 36) und auf Forderungen gegen
verbundene Unternehmen im Ausland T? 23.925 (Vorjahr: T? 43.075). Die Abweichung der Inlandsforderungen zum Vorjahr ist
durch die šbertragung des Gesch„ftsbetriebs an die GSK Consumer Healthcare GmbH & Co. KG bedingt. Die Auslandsforderungen
sind aufgrund der niedrigeren Einlagen im Cash-Pooling und Commercial Paper zum Vorjahr gesunken.";4.25, 4.27;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
"Die sonstigen Verm”gensgegenst„nde sind i.H.v. T? 6.809 (Vorjahr: T? 8.354) um T? 1.545 leicht gesunken. Der Anteil der
Rckdeckungsversicherung ist durch den šbergang der aktiven Besch„ftigungsverh„ltnisse an die GSK Consumer Healthcare GmbH &
Co KG um T? 619 wesentlich geringer als im Vorjahr. Ebenso wird ein wesentlich geringerer Umsatzsteuer-Erstattungsanspruch von
T? 557 (Vorjahr: T? 3.779) gegen das Finanzamt ausgewiesen. Allerdings weist die Gesellschaft h”here Steuerforderungen i.H.v. T?
5.338 (Vorjahr: T? 2.949) gegen das Finanzamt aus. Diese ergeben sich aus im Vergleich zur tats„chlichen Steuerberechnung
unterj„hrig geleisteten h”heren Vorauszahlungen fr K”rperschaft- und Gewerbesteuer.";4.25, 4.29, 37;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
"S„mtliche Forderungen und sonstigen Verm”gensgegenst„nde haben zum Bilanzstichtag eine Restlaufzeit von weniger als einem Jahr
mit Ausnahme des Aktivwertes der nicht verpf„ndeten Rckdeckungsversicherungen i.H.v. T? 914 (Vorjahr: T? 1.533), der den
sonstigen Verm”gensgegenst„nden zugeordnet ist.";4.25;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
4. Eigenkapital;;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
Das gezeichnete Kapital der Novartis Consumer Health GmbH betr„gt T? 14.610 und ist voll einbezahlt.;4.37, 4.38;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
"Die Anteile an der Gesellschaft werden zu 49% von der Novartis Consumer Health S.A., Nyon/Schweiz, und zu 51% von der
GlaxoSmithKline Consumer Healthcare (Overseas) Limited, Brentford/U.K., gehalten.";4.37, 4.42;2016;Novartis Consumer Health GmbH ;Jahresabschluss;PwC
