Anhang;Annotierung;Gesch„ftsjahr;Gesellschaft;Abschlussart;Prfer
Anhang fr das Gesch„ftsjahr vom 1. Oktober 2016 bis 30. September 2017;;2016;Paramount Pictures Germany GmbH;Jahresabschluss;PwC
Allgemeine Hinweise;;2016;Paramount Pictures Germany GmbH;Jahresabschluss;PwC
Der vorliegende Jahresabschluss wurde gem„á õõ 242 ff. und õõ 264 ff. HGB sowie nach den einschl„gigen Vorschriften des GmbHG und des Gesellschaftsvertrags aufgestellt. Es gelten die Vorschriften fr mittelgroáe Kapitalgesellschaften.;;2016;Paramount Pictures Germany GmbH;Jahresabschluss;PwC
Im Berichtsjahr wurde das Bilanzrichtlinie-Umsetzungsgesetz (BilRUG) erstmalig vollumf„nglich angewendet (gem. Art 75 Abs. 1 EGHGB). Eine Anpassung der Vorjahreswerte erfolgte entsprechend Art. 75 Abs. 2 Satz 3 EGHGB nicht.;;2016;Paramount Pictures Germany GmbH;Jahresabschluss;PwC
Die Gewinn- und Verlustrechnung ist nach dem Gesamtkostenverfahren aufgestellt.;;2016;Paramount Pictures Germany GmbH;Jahresabschluss;PwC
Gr”áenabh„ngige Erleichterungen fr mittelgroáe Kapitalgesellschaften nach õ 288 HGB werden in Anspruch genommen.;;2016;Paramount Pictures Germany GmbH;Jahresabschluss;PwC
Registerinformationen;;2016;Paramount Pictures Germany GmbH;Jahresabschluss;PwC
Die Gesellschaft ist unter der Firma Paramount Pictures Germany GmbH mit Sitz in Unterf”hring im Handelsregister des Amtsgerichts Mnchen unter der Nummer HRB 173612 eingetragen.;85;2016;Paramount Pictures Germany GmbH;Jahresabschluss;PwC
Bilanzierungs- und Bewertungsmethoden;;2016;Paramount Pictures Germany GmbH;Jahresabschluss;PwC
Fr die Aufstellung des Jahresabschlusses waren unver„ndert zum Vorjahr die nachfolgenden Bilanzierungs- und Bewertungsmethoden maágebend.;8;2016;Paramount Pictures Germany GmbH;Jahresabschluss;PwC
Erworbene immaterielle Verm”gensgegenst„nde des Anlageverm”gens sind zu Anschaffungskosten bilanziert und werden, sofern sie der Abnutzung unterliegen, entsprechend ihrer Nutzungsdauer von drei Jahren um planm„áige Abschreibungen nach der linearen Methode vermindert. Soweit die beizulegenden Werte einzelner immaterieller Verm”gensgegenst„nde des Anlageverm”gens ihren Buchwert unterschreiten, werden zus„tzlich auáerplanm„áige Abschreibungen bei voraussichtlich dauernder Wertminderung vorgenommen.;8.1, 8.2;2016;Paramount Pictures Germany GmbH;Jahresabschluss;PwC
