Anhang; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
"Anhang des Jahresabschlusses für das Geschäftsjahr vom 1. Januar bis 31. Dezember 2016
der PAYBACK GmbH, München";;2016;PAYBACK GmbH;Jahresabschluss;PwC
A. Allgemeine Vorbemerkungen;;2016;PAYBACK GmbH;Jahresabschluss;PwC
"Der vorliegende Jahresabschluss wurde nach den Vorschriften des Handelsgesetzbuchs (HGB) in der Fassung des Bilanzrichtlinie-
Umsetzungsgesetzes (BilRUG) aufgestellt. Einschlägige Vorschriften des GmbH-Gesetzes (GmbHG) wurden dabei beachtet."; 8.0 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
"Die PAYBACK GmbH mit Sitz in München ist eine große Kapitalgesellschaft im Sinne von § 267 Abs. 3 HGB und ist im Handelsregister
B des Amtsgerichts München (HRB 135999) registriert.";90;2016;PAYBACK GmbH;Jahresabschluss;PwC
Die Darstellung der Gewinn- und Verlustrechnung erfolgt wie in den Vorjahren nach dem Gesamtkostenverfahren.; 8.0 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
"Die Definition der Umsatzerlöse in § 277 Abs. 1 HGB wurde durch das BilRUG erweitert, die bisherige Differenzierung zwischen
Erlösen aus der gewöhnlichen Geschäftstätigkeit und dem ""typischen Leistungsangebot"" des Unternehmens entfällt. Daraus ergeben
sich auch Auswirkungen für den Ausweis der Aufwendungen, die den Umsatzerlösen zugrunde liegen. Fremdleistungen, die als
wesentlicher Bestandteil in das Leistungsangebot des Unternehmens eingehen, das zu Umsatzerlösen führt, sind als bezogene
Leistungen innerhalb des Materialaufwands auszuweisen. Ferner ist das ""Ergebnis der gewöhnlichen Geschäftstätigkeit"" nicht mehr
gesondert ausgewiesen. Eine weitere Änderung des Gliederungsschemas der Gewinn- und Verlustrechnung ist die Einfügung eines
Zwischenergebnisses „Ergebnis nach Steuern“ zwischen dem Posten „Steuern vom Einkommen und vom Ertrag“ und dem Posten
„sonstige Steuern“.";1;2016;PAYBACK GmbH;Jahresabschluss;PwC
"Zur besseren Vergleichbarkeit wurde für die Gewinn- und Verlustrechnung sowie die tabellarischen Anhangangaben zu den
Umsatzerlösen, den sonstigen betrieblichen Erträgen, dem Materialaufwand sowie den sonstigen betrieblichen Aufwendungen eine
dreispaltige Darstellung gewählt. Dabei wurden die Vorjahreszahlen an die Zahlen des Geschäftsjahrs 2016 angepasst, wie sie sich
nach dem BilRUG darstellen. Die dritte Spalte zeigt die Vorjahreszahlen, wie sie vor Anwendung der BilRUG-Vorschriften im geprüften
und mit einem uneingeschränkten Bestätigungsvermerk des Abschlussprüfers versehen Jahresabschluss 2015 abgebildet waren."; 2, 3 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
Aus rechentechnischen Gründen können in den Tabellen Rundungsdifferenzen in Höhe von +/- einer Einheit (EUR) auftreten.;;2016;PAYBACK GmbH;Jahresabschluss;PwC
"Zwischen der PAYBACK GmbH und ihrer Muttergesellschaft, der Loyalty Partner GmbH, München, besteht ein Beherrschungs- und
Ergebnisabführungsvertrag. Die Loyalty Partner GmbH fungiert als ertragsteuerliche und umsatzsteuerlicher Organträger für die
PAYBACK GmbH.";68;2016;PAYBACK GmbH;Jahresabschluss;PwC
"Zwischen den Bilanzierungsmethoden nach deutschem Recht (HGB) und den Bilanzierungsmethoden im befreienden
Konzernabschluss (US GAAP) bestehen folgende wesentliche Abweichungen:";71;2016;PAYBACK GmbH;Jahresabschluss;PwC
"Bilanzposition HGB US GAAP
Selbsterstellte immaterielle
Vermögensgegenstände
Aktivierungswahlrecht (für selbsterstellte
immaterielle Vermögensgegenstände des
Anlagevermögens).
Aktivierungsgebot, falls
Ansatzvoraussetzungen erfüllt;
Sonderregelungen für Forschungs- und
Entwicklungsaufwendungen
Finanzanlagen Bewertung zu Anschaffungskosten,
gegebenenfalls außerplanmäßige
Abschreibung bei Folgebewertung
Zugang zu Anschaffungskosten;
Folgebewertung zum beizulegenden
Zeitwert mit bestimmten Ausnahmen je
nach Art der Finanzanlagen
erfolgswirksame oder -neutrale Erfassung
der Wertveränderungen.
Langfristige Auftragsfertigung /
Umsatzrealisierung
Gewinnrealisierung erst nach Erfüllung
des Auftrages / Umsatzrealisierung bei
Erbringung der Leistung und
Unentziehbarkeit des Anspruchs auf die
Gegenleistung
Realisierung von Teilgewinnen nach
Auftragsfortschritt falls zuverlässige
Schätzung möglich / Umsatzrealisierung
erfolgt, sobald überzeugende Belege für
eine Verkaufsvereinbarung vorliegen, die
vereinbarte Leistung erbracht wurde, der
Preis fixiert oder bestimmbar ist und
wenn die Einbringlichkeit des Kaufpreises
relativ sicher ist.
Latente Steuern Ansatzpflicht für passive latente Steuern,
Ansatzwahlrecht für aktive latente
Steuern, sofern werthaltig. Aktive latente
Steuern auf steuerliche Verlustvorträge
dürfen nur soweit gebildet werden, als
deren Nutzung innerhalb der nächsten
fünf Geschäftsjahre erwartet werden
kann.
Ansatzpflicht für latente Steuern auf alle
temporären Differenzen zwischen den
Wertansätzen nach US GAAP und nach
Steuerrecht. Daneben sind auch aktive
latente Steuern auf steuerliche
Verlustvorträge zu bilanzieren.";71;2016;PAYBACK GmbH;Jahresabschluss;PwC
B. Bilanzierungs- und Bewertungsgrundsätze;;2016;PAYBACK GmbH;Jahresabschluss;PwC
Die Bilanzierungs- und Bewertungsgrundsätze sind unverändert zum Vorjahr angewendet worden.; 8.0 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
Selbst geschaffene , immaterielle Vermögensgegenstände des Anlagenvermögenswurden nicht aktiviert (§248 Abs. 2 HGB).; 8.3 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
"Entgeltlich erworbene immaterielle Vermögensgegenstände und Sachanlagen werden zu Anschaffungskosten, vermindert
um planmäßige Abschreibungen angesetzt. Die Anschaffungskosten umfassen die Anschaffungspreise, Frachtkosten sowie andere
Anschaffungsnebenkosten, abzüglich etwaiger Preisminderungen."; 8.4, 8.7 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
"Den Abschreibungen liegen betriebsgewöhnliche Nutzungsdauern, welche sich aufgrund betrieblicher Anforderungen definieren,
zugrunde. Die Abschreibungen erfolgen linear, bei entgeltlich erworbenen immateriellen Vermögensgegenständen i.d.R. über 60
Monate, bei Gegenständen des Sachanlagevermögens liegt die Nutzungsdauer zwischen 36 Monaten für EDV-Einrichtungen und 156
Monaten für Büromöbel."; 8.4, 8.7 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
"Vermögensgegenstände des Anlagevermögens mit einem Einzelwert bis EUR 150, die einer selbständigen Nutzung fähig sind, werden
im Jahr des Zugangs sofort als Aufwand erfasst. Zugänge mit Anschaffungskosten von EUR 150 bis EUR 410 werden im Jahr des
Zugangs vollständig abgeschrieben."; 8.7 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
"Die Finanzanlagen werden zu Anschaffungskosten bilanziert. Bei erwarteter dauerhafter Wertminderung werden diese auf den
niedrigeren beizulegenden Wert außerplanmäßig abgeschrieben. Bei Wegfall der Gründe werden Zuschreibungen bis zur Obergrenze
der historischen Anschaffungskosten der Finanzanlagen vorgenommen."; 8.12 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
"Die Forderungen und sonstigen Vermögensgegenstände werden zu ihren Nennwerten abzüglich angemessener
Wertberichtigungen angesetzt."; 8.25 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
"Allen erkennbaren Ausfallrisiken bei Forderungen und sonstigen Vermögensgegenständen ist durch angemessene Wertberichtigung
Rechnung getragen."; 8.25 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
"Die Forderungen gegen verbundene Unternehmen enthalten auch Forderungen gegen verbundene Unternehmen, welche ihre
liquiden Mittel im Rahmen des europäischen Cashpools bei der Loyalty Partner GmbH angelegt haben."; 8.27 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
Guthaben bei Kreditinstituten und Kassenbestände sind zu Nominalwerten bilanziert.; 8.33 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
"Für Ausgaben vor dem Bilanzstichtag, die Aufwand für das Folgejahr darstellen, wurden aktive Rechnungsabgrenzungsposten
gebildet."; 8.34 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
Das Eigenkapital wird zum Nennwert bilanziert.; 8.37 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
"Die Rückstellungen berücksichtigen alle erkennbaren Risiken sowie ungewisse Verbindlichkeiten der Gesellschaft und sind mit den
Erfüllungsbeträgen angesetzt, die nach vernünftiger kaufmännischer Beurteilung notwendig sind."; 8.47 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
Alle Verbindlichkeiten sind mit Erfüllungsbeträgen bewertet.; 8.51 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
"Für Einnahmen vor dem Bilanzstichtag, die Erlöse für das Folgejahr darstellen, wurden passive Rechnungsabgrenzungsposten
gebildet."; 8.63 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
"Soweit Differenzen zwischen den handelsrechtlichen Wertansätzen von Vermögensgegenständen, Schulden sowie
Rechnungsabgrenzungsposten und deren steuerlichen Wertansätzen bestehen, die sich in späteren Geschäftsjahren voraussichtlich
abbauen, wurden für daraus resultierende Steuerentlastungen keine aktiven latente Steuern gebildet. Temporäre Differenzen
zwischen den handelsrechtlichen Wertansätzen von Vermögensgegenständen, Schulden sowie Rechnungsabgrenzungsposten und
deren steuerlichen Wertansätzen, die in späteren Geschäftsjahren zu einer Steuerbelastung führen, bestehen nicht."; 8.35, 24 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
"Die Währungsumrechnung für Rechnungen in fremder Währung erfolgt zum Kurs des Transaktionstages. Die Folgebewertung der
Forderungen und Verbindlichkeiten erfolgt zum jeweils am Bilanzstichtag gültigen Devisenkassamittelkurs."; 8.0 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
"Gewinne und Verluste aus der Umrechnung von Fremdwährungsgeschäften in lokale Währung werden erfolgswirksam erfasst
und in den Anhangsangaben zu den ""Sonstige betriebliche Erträge"" bzw. ""Sonstige betriebliche Aufwendungen"" gesondert
dargestellt."; 8.0, 59 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
"Die Umsatzerlöse umfassen alle Erlöse aus dem Verkauf und der Vermietung oder Verpachtung von Produkten sowie aus der
Erbringung von Dienstleistungen nach Abzug von Erlösschmälerungen und der Umsatzsteuer sowie sonstiger direkt mit dem Umsatz
verbundener Steuern. Erlöse werden realisiert, sobald die vertraglich geschuldete Leistung im Wesentlichen erbracht worden und
deshalb der Anspruch auf die Gegenleistung unbedingt und unentziehbar entstanden ist. Steht der Anspruch noch unter einer
aufschiebenden bzw. auflösenden Bedingung, erfolgt die Erlösrealisierung erst mit dem Eintritt bzw. dem Wegfall dieser Bedingung."; 8.66 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
C. Erläuterungen zur Bilanz;;2016;PAYBACK GmbH;Jahresabschluss;PwC
Die Entwicklung des Anlagevermögens ist dem beigefügten Anlagenspiegel zu entnehmen.; 4.1, 15, 16 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
Die Forderungen und sonstigen Vermögensgegenstände belaufen sich auf TEUR 157.079 (Vorjahr: TEUR 137.459).; 4.25 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
"Die Forderungen aus Lieferungen und Leistungen (TEUR 31.802; Vorjahr: TEUR 30.007) weisen eine Laufzeit von bis zu einem
Jahr auf."; 4.26 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
Die Forderungen gegen verbundene Unternehmen setzen sich wie folgt zusammen:; 4.27, 20 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
"Forderungen gegen verbundene Unternehmen
31.12.2016
TEUR
31.12.2015
TEUR
Cashpooling 78.301 59.655
Darlehen 8.389 8.677
Interne Leistungsverrechnung 8.159 7.940
- davon gegen Gesellschafter 2 4
Gesamt 94.849 76.276"; 4.27, 20 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
"Die Forderungen gegen verbundene Unternehmen weisen in Höhe von TEUR 8.389 (Vorjahr TEUR 8.677) eine Laufzeit von mehr als
einem Jahr auf."; 4.27 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
Die sonstigen Vermögensgegenstände setzen sich wie folgt zusammen:; 4.29, 21 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
"Sonstige Vermögensgegenstände
31.12.2016
TEUR
31.12.2015
TEUR
Forderungen PAYBACK Rabattverein 20.616 21.545
Kautionen 4.800 4.855
Investitionszuschuss 2.738 3.738
Ausstehende Gutschriften 1.714 0
Vorauszahlungen 356 382
Ertragsteuerforderungen 12 9
Debitorische Kreditoren 0 55
Übrige 191 593
Sonstige Vermögensgegenstände
31.12.2016
TEUR
31.12.2015
TEUR
Gesamt 30.427 31.177"; 4.29, 21 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
"Ein wesentlicher Teil der sonstigen Forderungen resultiert aus Forderungen gegen den PAYBACK Rabattverein. Diesen Forderungen
stehen in gleicher Höhe Verbindlichkeiten aus dem PAYBACK Programm gegenüber Endkunden gegenüber, vgl. insoweit die
Ausführungen zu den Sonstigen Verbindlichkeiten."; 4.29, 21 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
"Die sonstigen Vermögensgegenstände weisen in Höhe von TEUR 14.410 (Vorjahr TEUR 8.538) eine Laufzeit von mehr als einem Jahr
auf. Hierbei entfallen TEUR 6.872 auf die langfristigen Forderungen gegen den PAYBACK Rabattverein, denen Verbindlichkeiten
gegenüber Endkunden mit gleicher Laufzeit gegenüberstehen."; 4.29, 21 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
"Der aktive Rechnungsabgrenzungsposten beträgt TEUR 4.309 (Vorjahr TEUR 2.381) und betrifft IT-Wartung und
Marketingmaßnahmen."; 4.34 ;2016;PAYBACK GmbH;Jahresabschluss;PwC
