Anhang; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
"Konzernanhang 2016
";;2016;Piepenbrock Unternehmensgruppe GmbH + Co. KG;Konzernabschluss;Dr. Klein, Dr. Mönstermann + Partner GmbH
Piepenbrock Unternehmensgruppe GmbH + Co. KG, Berlin;;2016;Piepenbrock Unternehmensgruppe GmbH + Co. KG;Konzernabschluss;Dr. Klein, Dr. Mönstermann + Partner GmbH
"Allgemeine Angaben

";;2016;Piepenbrock Unternehmensgruppe GmbH + Co. KG;Konzernabschluss;Dr. Klein, Dr. Mönstermann + Partner GmbH
Der Konzernabschluss der Piepenbrock Unternehmensgruppe GmbH + Co. KG, Berlin, eingetragen beim Amtsgericht Charlottenburg unter HRA 20524, ist nach den Vorschriften des Handelsgesetzbuches (HGB) aufgestellt worden.; 83 ;2016;Piepenbrock Unternehmensgruppe GmbH + Co. KG;Konzernabschluss;Dr. Klein, Dr. Mönstermann + Partner GmbH
Gemäß § 297 Abs. 1 HGB besteht der Konzernabschluss aus der Konzernbilanz, der Konzern-Gewinn- und Verlustrechnung, dem Konzernanhang, der Kapitalflussrechnung und dem Eigenkapitalspiegel.; 9.0 ;2016;Piepenbrock Unternehmensgruppe GmbH + Co. KG;Konzernabschluss;Dr. Klein, Dr. Mönstermann + Partner GmbH
"Die Konzern-Gewinn- und Verlustrechnung ist nach dem Gesamtkostenverfahren aufgestellt worden.

"; 9.0 ;2016;Piepenbrock Unternehmensgruppe GmbH + Co. KG;Konzernabschluss;Dr. Klein, Dr. Mönstermann + Partner GmbH
"Der Konzernabschluss ist gemäß § 298 Abs. 1 HGB i. V. m. § 244 HGB in Euro aufgestellt worden.

"; 9.0 ;2016;Piepenbrock Unternehmensgruppe GmbH + Co. KG;Konzernabschluss;Dr. Klein, Dr. Mönstermann + Partner GmbH
Konsolidierungskreis;;2016;Piepenbrock Unternehmensgruppe GmbH + Co. KG;Konzernabschluss;Dr. Klein, Dr. Mönstermann + Partner GmbH
Nach den Grundsätzen der Vollkonsolidierung wurden insgesamt 114 in- und ausländische Tochterunternehmen in den Konzern einbezogen, da die Muttergesellschaft auf diese einen unmittelbaren oder mittelbaren beherrschenden Einfluss ausübt. Auf die Einbeziehung von 4 Tochtergesellschaften wurde verzichtet, da diese für die Darstellung der Vermögens-, Finanz- und Ertragslage des Konzerns von untergeordneter Bedeutung sind (§ 296 Abs. 2 HGB).; 89 ;2016;Piepenbrock Unternehmensgruppe GmbH + Co. KG;Konzernabschluss;Dr. Klein, Dr. Mönstermann + Partner GmbH
Eine Aufstellung aller in den Konzernabschluss einbezogenen Tochterunternehmen kann der Anteilsbesitzliste (siehe Anlage) entnommen werden.;;2016;Piepenbrock Unternehmensgruppe GmbH + Co. KG;Konzernabschluss;Dr. Klein, Dr. Mönstermann + Partner GmbH
Konsolidierungsgrundsätze;;2016;Piepenbrock Unternehmensgruppe GmbH + Co. KG;Konzernabschluss;Dr. Klein, Dr. Mönstermann + Partner GmbH
Kapitalkonsolidierung;;2016;Piepenbrock Unternehmensgruppe GmbH + Co. KG;Konzernabschluss;Dr. Klein, Dr. Mönstermann + Partner GmbH
Die Kapitalkonsolidierung wurde für Tochterunternehmen, die bereits vor dem 01.01.2010 in den Konzernabschluss einbezogen wurden, nach der Buchwertmethode (§ 301 Abs. 1 Satz 2 Nr. 1 HGB alte Fassung) vorgenommen.;;2016;Piepenbrock Unternehmensgruppe GmbH + Co. KG;Konzernabschluss;Dr. Klein, Dr. Mönstermann + Partner GmbH
Dabei wurden im Rahmen der Erstkonsolidierung die jeweiligen Beteiligungsbuchwerte mit dem auf diese Anteile entfallenden Betrag des Eigenkapitals der Tochterunternehmen einschließlich Rücklagen und Ergebnisvortrag verrechnet. Die vorläufigen aktivischen Unterschiedsbeträge wurden entsprechend der zugrunde liegenden stillen Reserven auf Grundstücke und Gebäude verteilt und der verbleibende Unterschiedsbetrag als Geschäfts- oder Firmenwert bilanziert. Passivische Unterschiedsbeträge wurden mit den Rücklagen verrechnet.; 92 ;2016;Piepenbrock Unternehmensgruppe GmbH + Co. KG;Konzernabschluss;Dr. Klein, Dr. Mönstermann + Partner GmbH
Für die ab 2010 erstmalig in den Konzernabschluss einbezogenen Tochterunternehmen wurde die Kapitalkonsolidierung gem. § 301 HGB nach der Neubewertungsmethode durchgeführt. Zunächst wurden den Vermögensgegenständen und Schulden die zugrunde liegenden stillen Reserven und Lasten zugeordnet. Anschließend wurde eine Verrechnung des Beteiligungsbuchwertes mit dem neubewerteten Eigenkapital vorgenommen. Die daraus resultierenden aktivischen Unterschiedsbeträge wurden als Geschäfts- oder Firmenwerte bilanziert. Ein passivischer Unterschiedsbetrag ist durch die Erstkonsolidierung einer Zweckgesellschaft, die langjährig als Beteiligung bilanziert wurde, entstanden. Aufgrund des lediglich technischen Charakters des Unterschiedsbetrages wurde dieser gegen die Rücklagen verrechnet.; 92 ;2016;Piepenbrock Unternehmensgruppe GmbH + Co. KG;Konzernabschluss;Dr. Klein, Dr. Mönstermann + Partner GmbH
Soweit bei den im Wege der Vollkonsolidierung einbezogenen Tochterunternehmen Veränderungen in den Beteiligungsverhältnissen (Übernahme oder Verkauf von Anteilen) oder Veränderungen im konsolidierungspflichtigen Eigenkapital eingetreten sind, wurde eine Folgekonsolidierung durchgeführt. Unterschiedsbeträge aus der Währungsumrechnung sind erfolgsneutral im Posten „Eigenkapitaldifferenz aus der Währungsumrechnung“ erfasst worden.;;2016;Piepenbrock Unternehmensgruppe GmbH + Co. KG;Konzernabschluss;Dr. Klein, Dr. Mönstermann + Partner GmbH
Bei der Schuldenkonsolidierung nach § 303 HGB sind die als Forderungen und Verbindlichkeiten zwischen Konzernunternehmen des Konsolidierungskreises ausgewiesenen Beträge gegeneinander aufgerechnet worden. Aus der Währungsumrechnung entstandene Kursdifferenzen sind erfolgsneutral in den Posten „Eigenkapitaldifferenz aus der Währungsumrechnung“ eingestellt worden.;;2016;Piepenbrock Unternehmensgruppe GmbH + Co. KG;Konzernabschluss;Dr. Klein, Dr. Mönstermann + Partner GmbH
Vermögensgegenstände, die auf Lieferungen und Leistungen zwischen in den Konzernabschluss einbezogenen Unternehmen beruhen, sind grundsätzlich gemäß § 304 Abs. 1 HGB anzusetzen. Auf die Eliminierung von Zwischenergebnissen wurde nur verzichtet, soweit diese für die Vermittlung des den tatsächlichen Verhältnissen entsprechenden Bildes der Vermögens-, Finanz- und Ertragslage von untergeordneter Bedeutung sind.;;2016;Piepenbrock Unternehmensgruppe GmbH + Co. KG;Konzernabschluss;Dr. Klein, Dr. Mönstermann + Partner GmbH
Die Aufwands- und Ertragskonsolidierung der Posten der Konzern-Gewinn- und Verlustrechnung entspricht § 305 HGB. Aus den Gewinn- und Verlustrechnungen der Konzernunternehmen wurden sowohl die Innenumsätze als auch die sonstigen Erträge mit den entsprechenden Aufwendungen verrechnet.;;2016;Piepenbrock Unternehmensgruppe GmbH + Co. KG;Konzernabschluss;Dr. Klein, Dr. Mönstermann + Partner GmbH
