Anhang; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Allgemeine Angaben zum Unternehmen;;;;;
Die Wilhelm Brause GmbH hat ihren Sitz in Köln. Sie ist im Handelsregister des Amtsgerichts Köln unter HR B 4711 eingetragen.; 90 ;2016;Primus GmbH (Musteranhang);Jahresabschluss;N/A
Allgemeine Angaben zu Inhalt und Gliederung des Jahresabschlusses; 8.0 ;2016;Primus GmbH (Musteranhang);Jahresabschluss;N/A
Der Jahresabschluss wurde nach den Vorschriften der §§ 242 ff. HGB unter Beachtung der ergänzenden Bestimmungen für kleine / mittelgroße / große Kapitalgesellschaften (§§ 264 ff. HGB) sowie des GmbHG aufgestellt.; 8.0 ;2016;Primus GmbH (Musteranhang);Jahresabschluss;N/A
Größenabhängige Erleichterungen bei der Erstellung (§§ 266 I, 276, 288 HGB) des Jahresabschlusses wurden in Anspruch genommen.; 8.0 ;2016;Primus GmbH (Musteranhang);Jahresabschluss;N/A
Unsere Gesellschaft hat für den gesamten Vertriebsbereich den in ihrem Eigentum stehenden Fuhrpark an ein Leasingunternehmen verkauft und wieder angemietet. Dieses Sale-and-lease-back-Geschäft führt zu einem deutlichen Anstieg der Fahrzeugkosten und zu einer deutlichen Verbesserung der Liquidität. Im Vergleich zum Vorjahr beliefen sich der aus diesem Geschäft resultierende Anstieg der Fahrzeugkosten auf T€ 382,6, der Rückgang der Abschreibungen auf T€ 157,3 und der Anstieg der sonstigen betrieblichen Erträge auf T€ 747,3.; 91 ;2016;Primus GmbH (Musteranhang);Jahresabschluss;N/A
Der vorliegende Jahresabschluss ist grundsätzlich unter Beibehaltung der für den Vorjahresabschluss angewendeten Gliederungsgrundsätzen nach den für kleine / mittelgroße / große Kapitalgesellschaften geltenden Vorschriften des Handelsgesetzbuches aufgestellt (§§ 265 I 2, 266 ff. HGB). Wegen der Ausweitung der Umsatzerlöse (§ 277 I HGB) um außerordentliche oder außergewöhnliche Posten haben wir gem. § 265 V 2 HGB n.F. eine Zwischensumme unter die Umsatzerlöse aus unserem Kerngeschäft ausgewiesen.; 1 ;2016;Primus GmbH (Musteranhang);Jahresabschluss;N/A
"Der Posten „Verbindlichkeiten gegenüber Kreditinstituten“ ist nicht mit dem Vorjahr vergleichbar. Unsere Bankverbindlichkeiten wurden von unserem verbundenen Unternehmen, Mama Mia GmbH, übernommen. Die bisher unter „Verbindlichkeiten gegenüber Kreditinstituten“ ausgewiesenen Bankverbindlichkeiten sind weggefallen. Die übernommenen Verbindlichkeiten werden dafür unter „Verbindlichkeiten
gegenüber verbundenen Unternehmen“ ausgewiesen (§ 265 II 2 HGB). Eine zahlenmäßige Anpassung der Vorjahreszahlen erfolgte nicht."; 2 ;2016;Primus GmbH (Musteranhang);Jahresabschluss;N/A
Die Umsatzerlöse sind nicht mit dem Vorjahr vergleichbar, da diese durch die Neudefinition gem. § 277 I HGB n.F. erheblich ausgeweitet wurden. Bei Anwendung des § 277 I HGB in der Fassung des BilRUG bereits im Jahr 2015 hätte sich ein als Umsatzerlöse auszuweisender Vorjahresbetrag in Höhe von T€ 7.851,7 ergeben.; 51 ;2016;Primus GmbH (Musteranhang);Jahresabschluss;N/A
"Durch die Folgewirkungen der neuen Umsatzerlösdefinition durch das BilRUG sind die Forderungen aus Lieferungen und Leistungen nicht mit dem Vorjahr vergleichbar. Bei Anwendung des § 277 I HGB in der Fassung des BilRUG bereits im Jahr 2015 hätte sich ein als Forderungen aus Lieferungen und Leistungen auszuweisender Vorjahresbetrag in Höhe von T€ 1.837,2 ergeben. Der als sonstige Forderungen auszuweisende Vorjahresbetrag hätte T€ 441,3 betragen.
"; 51 ;2016;Primus GmbH (Musteranhang);Jahresabschluss;N/A
