Anhang; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
A. Allgemeine Angaben;;2016;Raiffeisen Waren GmbH;Jahres- und Konzernabschluss;DGR
Die Raiffeisen Waren GmbH (RW GmbH) hat ihren Sitz in Kassel und ist eingetragen in das Handelsregister beim Amtsgericht Kassel (HRB 2084).; 138 ;2016;Raiffeisen Waren GmbH;Jahres- und Konzernabschluss;DGR
Der Jahresabschluss und der Konzernabschluss wurden nach den für große Kapitalgesellschaften geltenden Vorschriften des Handelsgesetzbuches in der Fassung des Bilanzrichtlinie-Umsetzungsgesetzes (BilRUG) aufgestellt. Ergänzend wurden die Vorschriften des GmbH-Gesetzes beachtet. Der Anhang der RW GmbH und der Konzernanhang wurden gemäß § 298 Abs. 3 Satz 1 HGB zusammengefasst.; 9.0 ;2016;Raiffeisen Waren GmbH;Jahres- und Konzernabschluss;DGR
"Die Neufassung von § 277 Abs. 1 HGB durch das BilRUG hat zu Änderungen des Ausweises der “Umsatzerlöse“ und der ""Sonstige betriebliche Erträge"", aber auch der damit verbundenen Aufwendungen sowie Forderungen und Verbindlichkeiten geführt. Der Vorjahresausweis wurde aus Gründen der Vergleichbarkeit angepasst."; 2, 4, 72 ;2016;Raiffeisen Waren GmbH;Jahres- und Konzernabschluss;DGR
B. Konsolidierungskreis;;2016;Raiffeisen Waren GmbH;Jahres- und Konzernabschluss;DGR
In den Konzernabschluss wurden neben der RW GmbH folgende Unternehmen einbezogen:; 114 ;2016;Raiffeisen Waren GmbH;Jahres- und Konzernabschluss;DGR
"Name Sitz
Anteil unmittelbar.
%
Anteil mittelbar.
%
Vollkonsolidierte Unternehmen
Kornhaus Vertriebs-GmbH Kassel 100,00
quindata GmbH Kassel 100,00
Raiffeisen Technik Grasdorf GmbH Holle 85,00
Raiffeisen Technik Nord GmbH Kassel 100,00
Raiffeisen Technik Nord-Ost GmbH Kruckow 100,00
Raiffeisen Technik Westküste GmbH Husum 100,00
Raiffeisen Technik HSL GmbH Bad Oldesloe 100,00
Raiffeisen Technik Ostküste GmbH Eckernförde 100,00
Raiffeisen-Techni-Trak GmbH Buttelstedt 57,43
Kaiser Mineralöl und Tankstellen GmbH Brilon 100,00
Karl-Heinz Büker Mineralöl GmbH Anröchte 55,00
Name Sitz
Anteil unmittelbar.
%
Anteil mittelbar.
%
RHV Raiffeisen Handels- und Vermittlungsgesellschaft mit beschränkter
Haftung
Eichenzell 51,00
DHT Dämmstoff Handel + Technik GmbH Hildesheim 100,00
DHT Dämmstoff Handel + Technik Stockstadt GmbH Stockstadt 100,00
Assoziierte Unternehmen:
Raiffeisen Vital Mischfutter GmbH Hamm 50,00
Agrar-Logistik-Hafen-Hamm GmbH Hamm 33,33"; 114, 115 ;2016;Raiffeisen Waren GmbH;Jahres- und Konzernabschluss;DGR
Die AGRAVIS Technik Raiffeisen GmbH wurde bis zum 31. Dezember 2015 als assoziiertes Unternehmen in den Konzernabschluss At Equity einbezogen. Da ein maßgeblicher Einfluss auf die Geschäfts- und Firmenpolitik nicht mehr besteht, erfolgte eine Umbuchung in die Beteiligungen.; 140 ;2016;Raiffeisen Waren GmbH;Jahres- und Konzernabschluss;DGR
Mit Wirkung zum 31. Dezember 2016 hat die RW GmbH den zweiten Geschäftsanteil (24,9 Prozent) an der Raiffeisen Technik Nord GmbH übernommen und ist damit alleinige Gesellschafterin der Raiffeisen Technik Nord GmbH. Im Rahmen der Kapitalkonsolidierung wurde für den Erwerb des restlichen Anteils die Kapitalmethode angewandt. Die Anschaffungskosten des Anteils wurden mit dem hierauf entfallenden Anteil anderer Gesellschafter am Eigenkapital im Zeitpunkt des Erwerbs dieses Anteils verrechnet. Die Differenz in Höhe von 1.009 TEUR wurde erfolgsneutral mit den Gewinnrücklagen verrechnet.; 140 ;2016;Raiffeisen Waren GmbH;Jahres- und Konzernabschluss;DGR
Die folgenden Unternehmen wurden nicht in den Konzernabschluss einbezogen:; 114, 144 ;2016;Raiffeisen Waren GmbH;Jahres- und Konzernabschluss;DGR
