Anhang zum 31. Dezember 2016; Annotierung (Angabe Nummer in Anhangscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
der SICK AG;;;;;
A. Vorbemerkungen;;;;;
"Der Jahresabschluss der SICK AG ist nach den Vorschriften des Handelsgesetzbuches (HGB) in der Fassung des Bilanzrichtlinie-Umsetzungsgesetz (BilRUG), des Aktiengesetzes (AktG) sowie der Satzung
aufgestellt. Der Sitz der SICK AG ist in Waldkirch. Die Gesellschaft ist unter Nummer HRB 280355 im Register des Amtsgerichts Freiburg eingetragen."; 113 ;2016;SICK AG;Jahresabschluss;EY
"Im Zuge des BilRUG kommt es zu Veränderungen in der Gliederung der Gewinn- und Verlustrechnung. Um eine Vergleichbarkeit zu gewährleisten, wurde das Vorjahr auch in der neuen Gliederung dargestellt.
Die wesentlichen Änderungen betreffen die Anpassung der Umsatzerlösdefinition und den Wegfall des außerordentlichen Ergebnisses.";;2016;SICK AG;Jahresabschluss;EY
Die folgende Tabelle zeigt die Überleitung der wesentlichen Positionen zum Vorjahr.;;2016;SICK AG;Jahresabschluss;EY
"(in TEUR) 2015 Umgliederung 2015 (BilRUG)
Umsatzerlöse 817.502 +31.036 848.538
Sonstige betriebliche Erträge 65.821 -31.036 34.785
Sonstige betriebliche Aufwendungen 184.490 +623 185.113
Außerordentliches Ergebnis 760 -760 0
Sonstige Steuern 0 137 137"; 3 ;2016;SICK AG;Jahresabschluss;EY
"Die Randziffern beziehen sich auf Verweise in der Bilanz sowie in der Gewinn- und Verlustrechnung der SICK AG. Um die Klarheit der Darstellung zu verbessern, haben wir einzelne Posten der Bilanz sowie der
Gewinn- und Verlustrechnung zusammengefasst und in diesem Anhang gesondert aufgegliedert und erläutert. Aus dem gleichen Grund werden die Angaben zur Mitzugehörigkeit zu anderen Posten der Bilanz
ebenfalls an dieser Stelle gemacht.";;2016;SICK AG;Jahresabschluss;EY
Der Jahresabschluss zum 31. Dezember 2016 ist in Euro (Tausend) aufgestellt. Aufgrund von Rundungen ist es möglich, dass sich einzelne Zahlen nicht genau zur angegebenen Summe addieren.;;2016;SICK AG;Jahresabschluss;EY
B. Bilanzierungs- und Bewertungsmethoden;;2016;SICK AG;Jahresabschluss;EY
"Immaterielle Vermögensgegenstände sind mit ihren Anschaffungskosten vermindert um planmäßige lineare Abschreibungen entsprechend ihrer voraussichtlich wirtschaftlichen Nutzungsdauer erfasst. Selbst
geschaffene Immaterielle Vermögensgegenstände des Anlagevermögens und Aufwendungen für Forschung und Entwicklung werden nicht aktiviert. Aktivierte Geschäfts- oder Firmenwerte werden über ihre
voraussichtliche Nutzungsdauer linear abgeschrieben. Die zugrunde liegenden Nutzungsdauern basieren grundsätzlich auf dem zum Zeitpunkt des jeweiligen Zugangs erwarteten Nutzen des erworbenen Unternehmens
und liegen aufgrund ihrer Art und geschätzten Lebensdauer der Produkte bei 15 Jahren."; 8.2, 8.3, 8.5, 14 ;2016;SICK AG;Jahresabschluss;EY
