; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Anhang für das Geschäftsjahr 2016/17;;;;;
I. Allgemeine Angaben zum Jahresabschluss;;;;;
Die Schloss Wachenheim AG, Trier (Amtsgericht Wittlich, HRB 40686), weist zum Abschlussstichtag die Größenmerkmale einer großen Kapitalgesellschaft i. S. d. § 267 Abs. 3 HGB auf.; 8.0, 113 ;2016/2017;Schloss Wachenheim AG;Jahresabschluss;PKF
Der Jahresabschluss zum 30. Juni 2017 wurde nach den handelsrechtlich geltenden Vorschriften und den ergänzenden Vorschriften des Aktiengesetzes aufgestellt.; 8.0 ;2016/2017;Schloss Wachenheim AG;Jahresabschluss;PKF
Die Gewinn- und Verlustrechnung ist nach dem Gesamtkostenverfahren gemäß § 275 Abs. 2 HGB gegliedert.; 8.0 ;2016/2017;Schloss Wachenheim AG;Jahresabschluss;PKF
Die Schaumweinsteuer wurde mit den Umsatzerlösen saldiert ausgewiesen.; 8.0 ;2016/2017;Schloss Wachenheim AG;Jahresabschluss;PKF
Erforderliche Zusatzangaben für einzelne Posten der Bilanz sowie der Gewinn- und Verlustrechnung erfolgen teilweise im Anhang.; 8.0 ;2016/2017;Schloss Wachenheim AG;Jahresabschluss;PKF
Im Geschäftsjahr 2016/17 erfolgte die Erstanwendung des BilRuG. Dies hatte insbesondere Auswirkungen auf die Darstellung der Umsatzerlöse. Im Vorjahr unter den sonstigen betrieblichen Erträgen gezeigte Umsätze aus Lieferungen und Leistungen wurden unter den Umsatzerlösen dargestellt. Die Vorjahreszahl wurde unverändert beibehalten. Die Schaumweinsteuer wird nun mit den Umsatzerlösen saldiert ausgewiesen. Im Vorjahr wurde diese offen abgesetzt, aufgrund der Streichung des GuV-Postens werden Umsatzerlöse und Schaumweinsteuer des Vorjahres saldiert im Posten „Umsatzerlöse“ ausgewiesen. Für weitere Erläuterungen zu den Umsatzerlösen verweisen wir auf Abschnitt „IV. Angaben zu Posten der Gewinn- und Verlustrechnung“.; 1, 59 ;2016/2017;Schloss Wachenheim AG;Jahresabschluss;PKF
II. Angaben zu Bilanzierungs- und Bewertungsmethoden;;2016/2017;Schloss Wachenheim AG;Jahresabschluss;PKF
Im Einzelnen wurden folgende Bilanzierungs- und Bewertungsmethoden angewendet:;;2016/2017;Schloss Wachenheim AG;Jahresabschluss;PKF
Entgeltlich erworbene immaterielle Vermögensgegenstände des Anlagevermögens werden zu Anschaffungskosten abzüglich planmäßiger linearer Abschreibungen bewertet. Bei voraussichtlich dauernder Wertminderung werden außerplanmäßige Abschreibungen auf den niedrigeren beizulegenden Wert vorgenommen. Das Wahlrecht zur Aktivierung selbst geschaffener immaterieller Vermögensgegenstände wird nicht ausgeübt.; 8.4 ;2016/2017;Schloss Wachenheim AG;Jahresabschluss;PKF
Das Sachanlagevermögen ist zu Anschaffungs- bzw. Herstellungskosten abzüglich planmäßiger Abschreibungen entsprechend der erwarteten wirtschaftlichen Nutzungsdauer angesetzt. Die Abschreibungen erfolgen bei Gebäuden nach der linearen Abschreibungsmethode, beim beweglichen Anlagevermögen degressiv bzw. linear. Bei voraussichtlich dauernder Wertminderung werden außerplanmäßige Abschreibungen auf den niedrigeren beizulegenden Wert vorgenommen.; 8.7 ;2016/2017;Schloss Wachenheim AG;Jahresabschluss;PKF
Geringwertige Anlagegüter, deren Wert EUR 410,00 nicht übersteigt, werden im Zugangsjahr in voller Höhe abgeschrieben und als Abgang gezeigt. Im Übrigen erfolgt die Abschreibung im Zugangsjahr pro rata temporis.; 8.7 ;2016/2017;Schloss Wachenheim AG;Jahresabschluss;PKF
Die Finanzanlagen werden zu Anschaffungskosten oder zum niedrigeren beizulegenden Wert bilanziert. Außerplanmäßige Abschreibungen auf Finanzanlagen erfolgen nur bei voraussichtlich dauernder Wertminderung.; 8.12 ;2016/2017;Schloss Wachenheim AG;Jahresabschluss;PKF
Die Bewertung der Vorräte erfolgt zu Anschaffungs- bzw. Herstellungskosten oder zu niedrigeren Wiederbeschaffungskosten am Bilanzstichtag. Der Ansatz der Herstellungskosten entspricht den produktionsbezogenen Vollkosten gemäß § 255 Abs. 2 HGB. Wertminderungen und Bestandsrisiken wird durch angemessene Bewertungsabschläge Rechnung getragen.; 8.20 ;2016/2017;Schloss Wachenheim AG;Jahresabschluss;PKF
Forderungen und sonstige Vermögensgegenstände sind zum Nennbetrag oder zu niedrigeren beizulegenden Werten angesetzt. Erkennbaren Risiken ist durch Einzelwertberichtigungen Rechnung getragen. Pauschale Zahlungskürzungen von Kunden (Delkredere etc.) werden direkt bei den Liefer- und Leistungsforderungen berücksichtigt.; 8.25 ;2016/2017;Schloss Wachenheim AG;Jahresabschluss;PKF
Die flüssigen Mittel sind mit dem Nennwert angesetzt.; 8.33 ;2016/2017;Schloss Wachenheim AG;Jahresabschluss;PKF
