Anhang für das Geschäftsjahr 2016; Annotierung (Angabe Nummer in Anhangscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Vorbemerkungen;;;;;
Der Jahresabschluss wurde gemäß §§ 242 ff. und §§ 264 ff. HGB in der Fassung des Bilanzrichtlinieumsetzungsgesetzes (BilRuG) sowie nach den Vorschriften des Aktiengesetzes (AktG) aufgestellt.;;2016;Schuler AG;Jahresabschluss;KPMG
"Die Vorjahreszahlen der Umsatzerlöse sind aufgrund der Neufassung von § 277 Abs. 1 HGB durch das BilRuG nicht vergleichbar. Bei Anwendung des § 277 Abs. 1 HGB in der Fassung des BilRuG hätten sich
für das Vorjahr Umsatzerlöse in Höhe von MEUR 15,0, sonstige betriebliche Erträge in Höhe von MEUR 7,1, Materialaufwand in Höhe von MEUR 13,4 sowie sonstige betriebliche Aufwendungen in Höhe
von MEUR 15,2 ergeben."; 2, 57 ;2016;Schuler AG;Jahresabschluss;KPMG
"Die Schuler Aktiengesellschaft (im Folgenden auch ""Schuler AG"" genannt) hat unter Inanspruchnahme des Wahlrechts nach Art. 67 Abs. 1 EGHGB den sich aus der Änderung der Rückstellungsbilanzierung
durch das Bilanzrechtsmodernisierungsgesetz (BilMoG) ergebenden Zuführungsbetrag ursprünglich über den Höchstzeitraum von 15 Jahren gleichmäßig verteilt. Die Gesellschaft hat im Vorjahr den bis dato
noch verbliebenen Unterschiedsbetrag in Höhe von TEUR 2.881 und den noch verbliebenen Unterschiedsbetrag aus der Anwachsung der Pensionsrückstellung der Schuler Guß GmbH & Co. KG in Höhe von
TEUR 100 vollständig ergebniswirksam zugeführt. Dieser ist gem. § 275 Abs. 2 HGB in der BilRuG-Fassung in den sonstigen betrieblichen Aufwendungen ausgewiesen. Im Vorjahr waren diese Beträge gem.
§ 275 Abs. 2 HGB in der BilMoG-Fassung im außerordentlichen Aufwand erfasst."; 45 ;2016;Schuler AG;Jahresabschluss;KPMG
"Zum 30. September 2016 ist die Schuler Pressen GmbH, Göppingen (Schuler Pressen GmbH) als Komplementärin der Schuler Cartec Engineering GmbH & Co. KG, Weingarten, (Schuler Cartec Engineering)
ausgeschieden. Als Folge sind sämtliche Vermögensgegenstände und Schulden der Schuler Cartec Engineering zum 01.10.2016 der Schuler AG angewachsen. Die Erfassung der Vermögensgegenstände und
Schulden erfolgte bei der Schuler AG zu Buchwerten. Hieraus entstand ein Anwachsungsverlust in Höhe von TEUR 3.787. Für die aus der Patronatserklärung gegenüber der Schuler Cartec Engineering bestehende
unbeschränkte Verpflichtung hatte die Schuler AG zum 31. Dezember 2015 unter Berücksichtigung einer Wertberichtigung auf die Forderungen gegen die Schuler Cartec Engineering in Höhe von TEUR 3.497
eine Rückstellung in Höhe von TEUR 503 gebildet. Unter Berücksichtigung dieser Wertberichtigung auf die Forderungen und der Rückstellung in Höhe von insgesamt TEUR 4.000 ergibt sich ein Gesamtertrag
in Höhe von TEUR 213, der unter den sonstigen betrieblichen Erträgen der Schuler AG ausgewiesen wird.";;2016;Schuler AG;Jahresabschluss;KPMG
Allgemeine Angaben;;2016;Schuler AG;Jahresabschluss;KPMG
"Zwischen der Schuler Aktiengesellschaft und ihrer Tochtergesellschaft Schuler Pressen GmbH, Göppingen, wurde am 15. April 2015 ein Beherrschungsvertrag einschließlich Verlustübernahmeverpflichtung mit
unbestimmter Laufzeit abgeschlossen. Dieser wurde am 30. April 2015 in das Handelsregister der Schuler Pressen GmbH eingetragen.";;2016;Schuler AG;Jahresabschluss;KPMG
"Weiterhin besteht zwischen der Schuler AG und ihrer Tochtergesellschaft Vögtle Service GmbH, Eislingen, ein am 14. April 2011 abgeschlossener Gewinnabführungsvertrag mit unbefristeter Laufzeit (Mindestlaufzeit
5 Jahre).";;2016;Schuler AG;Jahresabschluss;KPMG
Bilanzierungs- und Bewertungsmethoden;;2016;Schuler AG;Jahresabschluss;KPMG
Gliederungsgrundsätze;;2016;Schuler AG;Jahresabschluss;KPMG
