; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Konzernanhang für das Geschäftsjahr 2016;;;;;
I. Allgemeines;;;;;
Die Stadtwerke Frankfurt am Main Holding GmbH (SWFH) hat ihren Sitz in Frankfurt am Main und ist eingetragen in das Handelsregister beim Amtsgericht Frankfurt am Main (HRB 40464).; 83 ;2016;Stadtwerke Frankfurt am Main Holding GmbH;Konzernabschluss;KPMG
Der vorliegende Konzernabschluss wurde gemäß §§ 290 ff. Handelsgesetzbuch (HGB) in der Fassung des Bilanzrichtlinie-Umsetzungsgesetzes (BilRUG) aufgestellt.; 9.0 ;2016;Stadtwerke Frankfurt am Main Holding GmbH;Konzernabschluss;KPMG
Formelle Darstellung; 9.0 ;2016;Stadtwerke Frankfurt am Main Holding GmbH;Konzernabschluss;KPMG
Die Gliederung der Gewinn- und Verlustrechnung ist gegenüber dem Vorjahr aufgrund der erstmaligen Anwendung des BilRUG angepasst worden. Durch die geänderte Umsatzerlösdefinition ergeben sich Verschiebungen zwischen den Umsatzerlösen und den sonstigen betrieblichen Erträgen sowie dem Materialaufwand und den sonstigen betrieblichen Aufwendungen. Eine Vergleichbarkeit zum Vorjahr ist demnach nur bedingt möglich. Bei der Aufstellung der Gewinn- und Verlustrechnung wurde das Gesamtkostenverfahren angewandt.; 9.0, 2, 3 ;2016;Stadtwerke Frankfurt am Main Holding GmbH;Konzernabschluss;KPMG
Konsolidierungskreis und Änderungen des Konsolidierungskreises;;2016;Stadtwerke Frankfurt am Main Holding GmbH;Konzernabschluss;KPMG
Nach der Vollkonsolidierungsmethode werden alle Mehrheitsbeteiligungen (Tochterunternehmen) der Stadtwerke Frankfurt am Main Holding GmbH (SWFH) in den Konzernabschluss einbezogen, auf deren Finanz- und Geschäftspolitik ein beherrschender Einfluss ausgeübt werden kann.;;2016;Stadtwerke Frankfurt am Main Holding GmbH;Konzernabschluss;KPMG
Die Konsolidierung nach der Equity-Methode kommt bei assoziierten Unternehmen zur Anwendung, wenn ein maßgeblicher Einfluss auf die Finanz- und Geschäftspolitik des assoziierten Unternehmens vorliegt.;;2016;Stadtwerke Frankfurt am Main Holding GmbH;Konzernabschluss;KPMG
Eine Übersicht über die verbundenen und assoziierten Unternehmen mit Angabe des Beteiligungsanteils, des Eigenkapitals und des Ergebnisses enthält die Anlage 2 des Konzernanhangs. Bei den dort als sonstige Beteiligungen aufgeführten Gesellschaften übte die SWFH in 2016 keinen maßgeblichen Einfluss aus.; 68 ;2016;Stadtwerke Frankfurt am Main Holding GmbH;Konzernabschluss;KPMG
Der Konsolidierungskreis entwickelte sich wie folgt:;;2016;Stadtwerke Frankfurt am Main Holding GmbH;Konzernabschluss;KPMG
"01.01.2016 Zugänge Abgänge Verschmelzungen 31.12.2016
Vollkonsolidierte Unternehmen 27 0 0 0 27
Assoziierte Unternehmen (Equity-
Methode)
25 0 0 0 25";;2016;Stadtwerke Frankfurt am Main Holding GmbH;Konzernabschluss;KPMG
