Anhang; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
A. Angaben zu Form und Darstellung;;2016;GmbH;Jahresabschluss;EY
Die Stadtwerke Reutlingen GmbH hat ihren Sitz in Reutlingen und ist eingetragen in das Handelsregister beim Amtsgericht Stuttgart (Nr. HRB 353 589).; 90 ;2016;GmbH;Jahresabschluss;EY
Die Erstellung des Jahresabschlusses erfolgte nach den Vorschriften des Handelsgesetzbuches in der Fassung des Bilanzrichtlinie-Umsetzungsgesetz (BilRUG).; 1 ;2016;GmbH;Jahresabschluss;EY
Unsere Gesellschaft weist zum Abschlussstichtag die Größenmerkmale einer mittelgroßen Kapitalgesellschaft gemäß § 267 Abs. 2 HGB auf.; 8.0 ;2016;GmbH;Jahresabschluss;EY
Der Jahresabschluss 2016 wurde nach den Vorschriften der §§242 ff. HGB unter Beachtung der ergänzenden Bestimmungen für große Kapitalgesellschaften (§§ 264 ff. HGB) sowie des GmbHG aufgestellt.; 8.0 ;2016;GmbH;Jahresabschluss;EY
Die Gewinn- und Verlustrechnung ist gemäß § 275 Abs. 2 HGB nach dem Gesamtkostenverfahren erstellt.; 8.0 ;2016;GmbH;Jahresabschluss;EY
Aufgrund der Neufassung von § 277 Abs. 1 HGB durch das BilRUG kommt es innerhalb der Gewinn- und Verlustrechnung zu Verschiebungen, so dass der Vergleich der einzelnen Posten mit den Vorjahreszahlen nur bedingt möglich ist.; 2 ;2016;GmbH;Jahresabschluss;EY
B. Bilanzierungs- und Bewertungsgrundsätze;;2016;GmbH;Jahresabschluss;EY
Bilanzierung und Bewertung werden auf der Basis der positiven Unternehmensfortführung (§ 252 Abs. 1 Nr. 2 HGB) vorgenommen.; 8.0 ;2016;GmbH;Jahresabschluss;EY
Die Wertansätze der Eröffnungsbilanz des Geschäftsjahres stimmen mit denen der Schlussbilanz des vorhergehenden Geschäftsjahres überein.; 8.0 ;2016;GmbH;Jahresabschluss;EY
Entgeltlich erworbene immaterielle Vermögensgegenstände sind zu Anschaffungskosten bewertet und werden linear entsprechend ihrer betriebsgewöhnlichen Nutzungsdauer abgeschrieben.; 8.2 ;2016;GmbH;Jahresabschluss;EY
Die Sachanlagen werden zu den Anschaffungs- oder Herstellungskosten, vermindert um planmäßige Abschreibungen, angesetzt. Es wird sowohl die degressive als auch die lineare Abschreibungsmethode angewandt. Die Abschreibungen auf Zugänge des Sachanlagevermögens erfolgen im Zugangsjahr zeitanteilig und linear.; 8.7 ;2016;GmbH;Jahresabschluss;EY
Die Nutzungsdauer des einzelnen Anlagengegenstandes wird auf der Basis der AfA-Tabellen geschätzt. Außerplanmäßige Abschreibungen wurden im Berichtsjahr nicht durchgeführt.; 8.7 ;2016;GmbH;Jahresabschluss;EY
Für geringwertige Wirtschaftsgüter im Bereich von 150 bis 1.000 Euro wird ein Sammelposten gebildet, der linear über einen Zeitraum von 5 Jahren abgeschrieben wird. Im Zugangsjahr wird die volle Jahresabschreibung angesetzt.; 8.7 ;2016;GmbH;Jahresabschluss;EY
Die Anteile an verbundenen Unternehmen sowie die Wertpapiere des Anlagevermögens sind mit den Anschaffungskosten, oder bei Vorliegen von voraussichtlich dauernden Wertminderungen zu niedrigeren beizulegenden Werten bilanziert.; 8.13, 8.17 ;2016;GmbH;Jahresabschluss;EY
Bei den Roh-, Hilfs- und Betriebsstoffen wurden die Bestände an Bau- und Installationsstoffen zu fortgeschriebenen durchschnittlichen bzw. letzten Einstandspreisen, unter Berücksichtigung des Niederstwertprinzips, angesetzt. Die unfertigen Erzeugnisse und unfertigen Leistungen wurden mit den zurechenbaren Fertigungslöhnen, Material-einsatzkosten, Fremdlieferungen und -leistungen sowie den darauf entfallenden Gemeinkosten bewertet.; 8.21 ;2016;GmbH;Jahresabschluss;EY
Die Forderungen und sonstigen Vermögensgegenstände sind zum Nominalwert unter Berücksichtigung der Werthaltigkeit angesetzt. Es werden erkennbare Einzelrisiken durch individuell ermittelte Einzelwertberichtigungen berücksichtigt.; 8.25 ;2016;GmbH;Jahresabschluss;EY
Die flüssigen Mittel sind zum Nennbetrag am Bilanzstichtag angesetzt. Das gezeichnete Kapital ist zum Nennbetrag am Bilanzstichtag angesetzt.; 8.33 ;2016;GmbH;Jahresabschluss;EY
"Die Bewertung der Pensions- und Altersteilzeitverpflichtungen erfolgt nach versicherungsmathematischen Grundsätzen mittels des sogenannten Anwartschaftsbarwertverfahrens („Projected-Unit-Credit-Methode""). Als biometrische Rechnungsgrundlagen wurden die Heubeck Richttafeln 2005 G verwendet. Der gemäß Rückstellungsabzinsungsverordnung (RückAbzinsV) festgelegte Rechnungszins zum 31.12.2016 beträgt 4,06 %, bzw. 3,24 % (Vorjahr: 3,94 %, bzw. 3,89 %). Ebenso sind künftige Gehalts-und Rentenanpassungen mit einem Schätzwert in die Bewertung einbezogen. Dem Einkommen liegt unverändert zum Vorjahr ein Trend von 2,5 %, bzw. 2,0 % und den Renten ein Trend von 1,75 % zugrunde."; 8.47, 34 ;2016;GmbH;Jahresabschluss;EY
Die sonstigen Rückstellungen berücksichtigen alle erkennbaren Risiken und ungewissen Verpflichtungen und sind in Höhe des nach vernünftiger kaufmännischer Beurteilung notwendigen Erfüllungsbetrages angesetzt. Rückstellungen mit einer Restlaufzeit über einem Jahr werden mit dem ihrer Restlaufzeit entsprechenden Marktzinssatz der vergangenen sieben Geschäftsjahre abgezinst.; 8.50 ;2016;GmbH;Jahresabschluss;EY
