Anhang;Annotierung;Gesch„ftsjahr;Gesellschaft;Abschlussart;Prfer
Anhang fr das Gesch„ftsjahr 2016;;2016;The Mathworks GmbH;Jahresabschluss;PwC
I. Allgemeines;;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Die The MathWorks GmbH hat ihren Sitz in Aachen und ist eingetragen in das Handelsregister beim Amtsgericht Aachen (HR B
Reg.Nr. 8082).";90;2016;The Mathworks GmbH;Jahresabschluss;PwC
Die The MathWorks GmbH ist zum Bilanzstichtag 31. Dezember 2016 eine groáe Kapitalgesellschaft im Sinne des õ 267 HGB.;;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Der Jahresabschluss der The MathWorks GmbH zum 31. Dezember 2016 wurde nach den Vorschriften des Handelsgesetzbuches
(HGB) in der Fassung des Bilanzrichtlinie-Umsetzungsgesetzes (BilRUG) unter Bercksichtigung des Gesetzes betreffend die
Gesellschaften mit beschr„nkter Haftung (GmbHG)aufgestellt. Die Ausweis- und Gliederungsbestimmungen wurden entsprechend
den gesetzlichen Vorschriften befolgt. Die Gewinn- und Verlustrechnung wurde nach dem Gesamtkostenverfahren aufgestellt.";;2016;The Mathworks GmbH;Jahresabschluss;PwC
Gesch„ftsjahr ist das Kalenderjahr.;;2016;The Mathworks GmbH;Jahresabschluss;PwC
II. Bilanzierungs- und Bewertungsgrunds„tze;;2016;The Mathworks GmbH;Jahresabschluss;PwC
1 . Allgemeine Angaben;;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Im Berichtsjahr wurden folgende Abweichungen von in Vorperioden angewandten Darstellungs-, Bilanzierungs- und/oder
Bewertungsmethoden vorgenommen:";;2016;The Mathworks GmbH;Jahresabschluss;PwC
"Durch das BilRUG wurden die in der Gewinn- und Verlustrechnung enthaltenen Posten ?auáerordentliche Ertr„ge? und
?auáerordentliche Aufwendungen? sowie dementsprechend die Zwischenergebnisse ?Ergebnis der gew”hnlichen Gesch„ftst„tigkeit?
und ?auáerordentliches Ergebnis? gestrichen. Eine weitere nderung des Gliederungsschemas der Gewinn- und Verlustrechnung ist
die Einfgung eines Zwischenergebnisses ?Ergebnis nach Steuern? zwischen dem Posten ?Steuern vom Einkommen und vom Ertrag?
und dem Posten ?sonstige Steuern?.";1, 8, 9;2016;The Mathworks GmbH;Jahresabschluss;PwC
