Anhang für das Geschäftsjahr 2016; Annotierung (Angabe Nummer in Anhangscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Tobit Software AG;;;;;
I. Allgemeine Angaben;;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
"Die Gesellschaft weist zum 31.12.2016 die Größenmerkmale einer mittelgroßen Kapitalgesellschaft aus. Für die Angaben im Anhang
werden daher sämtliche größenabhängigen Angabeerleichterungen des Handelsgesetzbuches in Anspruch genommen."; 8.0 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
II. Angaben zur Bilanz;;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
1. Bilanzierungs- und Bewertungsmethoden;;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
"Der Jahresabschluss wurde nach den maßgeblichen Vorschriften des Handelsgesetzbuches (§§ 242 ff. HGB) und des Aktiengesetzes
(§§ 150 ff. AktG) aufgestellt."; 8.0 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
"Die Entwicklung der in der Bilanz ausgewiesenen Posten des Anlagevermögens ergibt sich aus dem als Anlage beigefügten
Anlagenspiegel. In diesem sind auch die Abschreibungen des Geschäftsjahres angegeben."; 8.1 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
"Erworbene immaterielle Vermögensgegenstände sind mit den Anschaffungskosten aktiviert und entsprechend ihrer Nutzungsdauer
von überwiegend drei Jahren linear abgeschrieben."; 8.2, 14 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
"Die Sachanlagen werden zu Anschaffungskosten bzw. Herstellungskosten, vermindert um planmäßige Abschreibungen angesetzt.
Zinsen für Fremdkapital werden nicht in die Herstellungskosten einbezogen. Die Abschreibungen werden bei Gebäuden linear über
eine Nutzungsdauer von maximal 50 Jahren, beim beweglichen Anlagevermögen linear vorgenommen; die Nutzungsdauern betragen
bei den anderen Anlagen, Betriebs- und Geschäftsausstattung 3 - 15 Jahre. Geringwertige Wirtschaftsgüter des Anlagevermögens bis
zu einem Einzelwert von 410,00 € werden analog § 6 Abs. 2 EStG im Zugangsjahr voll abgeschrieben."; 8.7 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
Die Finanzanlagen werden grundsätzlich mit den Anschaffungskosten, bei Ausleihungen abzüglich der Tilgung angesetzt.; 8.12 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
"Soweit der nach vorstehenden Grundsätzen ermittelte Wert von Gegenständen des Anlagevermögens über dem Wert liegt, der ihnen
am Abschlusstag beizulegen ist, wird dem durch außerplanmäßige Abschreibungen Rechnung getragen."; 8.1 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
"Die Vorräte werden zu Anschaffungskosten bzw. Herstellungskosten bei Anwendung zulässiger Bewertungsvereinfachungsverfahren
oder zu niedrigeren Tageswerten unter Einbeziehung von anteiligen Fertigungs- und Materialgemeinkosten sowie des Werteverzehrs
des Anlagevermögens, soweit durch die Fertigung veranlasst, angesetzt. Zinsen für Fremdkapital werden in die Herstellungskosten
nicht einbezogen."; 8.20 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
"Die Forderungen aus Lieferungen und Leistungen werden zum Nennwert unter Abzug gebotener Wertberichtigungen angesetzt.
Erkennbare Einzelrisiken werden durch Einzelwertberichtigungen berücksichtigt. Dem allgemeinen Kreditrisiko wird durch eine
Pauschalwertberichtigung zu Forderungen ausreichend Rechnung getragen."; 8.26 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
Die übrigen Vermögensgegenstände wurden zum Nominalwert abzüglich gebotener Wertberichtigungen angesetzt.; 8.29 ;2015/2016;AG;Jahresabschluss;RWST Wirtschaftsberatung GmbH
