Konzernanhang für das Geschäftsjahr 2016; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
I. Allgemeine Angaben;;2016;GmbH;Konzernabschluss;KPMG
1. Rechnungslegungsgrundsätze;;2016;GmbH;Konzernabschluss;KPMG
"Der Konzernabschluss zum 31. Dezember 2016 der Versorgungs- und Verkehrsgesellschaft Hannover mbH, Hannover, (VVG) wurde nach den Vorschriften des Handelsgesetzbuches in TEUR aufgestellt. Die
VVG, mit der beim Amtsgericht Hannover eingetragenen Handelsregisternummer HRB 6692, hat ihren Sitz in Hannover."; 9.0, 83 ;2016;GmbH;Konzernabschluss;KPMG
"Besonderheiten der VVG wurden durch Erweiterung der Gliederung der Konzernbilanz berücksichtigt. Für die Konzern-Gewinn- und -verlustrechnung wurde das Gesamtkostenverfahren angewendet. Durch die
erstmalige Anwendung des BilRUG ist es insbesondere aufgrund der neuen Umsatzerlösdefinition zu einem veränderten Ausweis in der GuV im Vergleich zum Vorjahr gekommen. Wesentliche Effekte ergaben
sich durch Umgliederungen zwischen den Umsatzerlösen und den sonstigen betrieblichen Erträgen beziehungsweise den Materialaufwendungen und den sonstigen betrieblichen ergeben. Die Veränderungen
werden bei der Erläuterung des jeweiligen Postens beschrieben."; 2, 4, 9.0 ;2016;GmbH;Konzernabschluss;KPMG
2. Darstellung im Konzernabschluss;;2016;GmbH;Konzernabschluss;KPMG
"Aus Gründen der besseren Übersicht sind in der Konzernbilanz Posten zusammengefasst, die im Anhang gesondert ausgewiesen werden. Die Darstellung der Entwicklung des Anlagevermögens entspricht §
284 Abs. 3 HGB."; 8   ;2016;GmbH;Konzernabschluss;KPMG
Soweit Vermerke wahlweise bei den Posten der Konzernbilanz beziehungsweise Konzern-Gewinn- und -verlustrechnung oder im Anhang zu machen sind, werden diese im Anhang aufgeführt.;;2016;GmbH;Konzernabschluss;KPMG
3. Konsolidierungsgrundsätze;;2016;GmbH;Konzernabschluss;KPMG
3.1 Konsolidierungskreis;;2016;GmbH;Konzernabschluss;KPMG
"Die VVG stellt die Muttergesellschaft des größten Konsolidierungskreises dar. In den Konzernabschluss des Geschäftsjahres wurden vier Gesellschaften (Vorjahr: drei) neu aufgenommen. Im Berichtsjahr hat
es eine Verschmelzung einer vollkonsolidierten Gesellschaft gegeben (Vorjahr: keine). Nunmehr sind einschließlich des Mutterunternehmens 44 Unternehmen vollkonsolidiert (Vorjahr: 41). Erstmals wurden
folgende Gesellschaften vollkonsolidiert:
–Bioenergie Kerpen-Sindorf GmbH
–Danpower Biomasse Papenburg GmbH
–enercity Immobilien GmbH & Co. KG
–Windpark Groß Eilstorf GmbH"; 66, 85 ;2016;GmbH;Konzernabschluss;KPMG
