Anhang für das Geschäftsjahr 2016; Annotierung (Angabe Nummer in Anhangscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Vinzenz Murr GmbH;;2016;GmbH;Jahresabschluss;LKC
I. Allgemeine Angaben zum Unternehmen;;2016;GmbH;Jahresabschluss;LKC
Die Vinzenz Murr GmbH hat ihren Sitz in München. Sie ist im Handelsregister des Amtsgerichts München unter HR B 1494 eingetragen.; 90   ;2016;GmbH;Jahresabschluss;LKC
II. Allgemeine Angaben zu Inhalt und Gliederung des Jahresabschlusses;;2016;GmbH;Jahresabschluss;LKC
"Der Jahresabschluss wurde nach den Vorschriften der §§ 242 ff. HGB unter Beachtung der ergänzenden Bestimmungen für große
Kapitalgesellschaften (§§ 264 ff. HGB) sowie des GmbHG aufgestellt."; 8.0 ;2016;GmbH;Jahresabschluss;LKC
"Der vorliegende Jahresabschluss ist grundsätzlich unter Beibehaltung der für den Vorjahresabschluss angewendeten
Gliederungsgrundsätzen nach den für große Kapitalgesellschaften geltenden Vorschriften des Handelsgesetzbuches aufgestellt (§§
265 Abs. 1 S. 2, 266 ff. HGB)."; 8.0 ;2016;GmbH;Jahresabschluss;LKC
"Die gem. Art. 75 Abs. 3 EGHGB erforderliche nachrichtliche Darstellung der Auswirkungen der erstmaligen Anwendung der unter dem
Bilanzrichtlinie-Umsetzungsgesetz (BilRUG) geforderten Zuordnung von Umsatzerlösen und sonstigen betrieblichen Erträgen wurde in
Form einer ergänzten Vorjahresspalten der Gewinn- und Verlustrechnung vorgenommen."; 2, 51 ;2016;GmbH;Jahresabschluss;LKC
"Durch die Folgewirkungen der neuen Umsatzerlösdefinition durch das BilRUG sind die Forderungen aus Lieferungen und Leistungen
nicht mit dem Vorjahr vergleichbar. Bei Anwendung des § 277 Abs. 1 HGB in der Fassung des BilRUG bereits im Jahr 2015 hätte sich
ein als Forderungen aus Lieferungen und Leistungen auszuweisender Vorjahresbetrag in Höhe von T€ 184 ergeben. Der als sonstige
Forderungen auszuweisende Vorjahresbetrag hätte T€ 36.847 betragen."; 1, 51 ;2016;GmbH;Jahresabschluss;LKC
III. Angaben zu Bilanzierungs- und Bewertungsmethoden;;2016;GmbH;Jahresabschluss;LKC
"Die unter den immateriellen Vermögensgegenständen ausgewiesenen Mietrechte und anderen Rechte wurden zu
Anschaffungskosten, vermindert um planmäßige Abschreibungen, entsprechend der vereinbarten Vertragslaufzeit, aktiviert. Die von
der Gesellschaft angeschafften EDV-Programme und Lizenzen werden über eine Nutzungsdauer zwischen drei und fünf Jahren
abgeschrieben."; 8.2, 14 ;2016;GmbH;Jahresabschluss;LKC
Die Sachanlagen wurden zu Anschaffungs- oder Herstellungskosten, vermindert um planmäßige Abschreibungen, bewertet.; 8.7, 14 ;2016;GmbH;Jahresabschluss;LKC
"Die planmäßigen Abschreibungen wurden im Berichtsjahr vollumfänglich linear vorgenommen. Die Gebäudeabschreibungen erfolgten
gemäß § 7 Abs. 4 EStG. Die im Geschäftsjahr angeschafften Mobilien werden über die betriebsgewöhnliche Nutzungsdauer linear
abgeschrieben."; 8.7, 8.77 ;2016;GmbH;Jahresabschluss;LKC
"Im Geschäftsjahr angeschaffte geringwertige Anlagegüter mit Einzelanschaffungswert von € 150,01 bis € 410,00 wurden im Jahr der
Anschaffung vollumfänglich abgeschrieben. Als Abgang gezeigt werden geringwertige Wirtschaftsgüter, die mehr als fünf Jahre dem
Betrieb zugehörig sind."; 8.1, 8.77 ;2016;GmbH;Jahresabschluss;LKC
"Beim Finanzanlagevermögen wurden die Beteiligungen mit den Anschaffungskosten, vermindert um außerplanmäßige
Abschreibungen bilanziert."; 8.12 ;2016;GmbH;Jahresabschluss;LKC
"Die Roh-, Hilfs- und Betriebsstoffe sowie Handelswaren wurden zu Einstandspreisen bewertet. Die unfertigen und fertigen
Erzeugnisse wurden zu Herstellungskosten (Einzelkosten, angemessene Material- und Fertigungsgemeinkosten sowie Werteverzehr
des Anlagevermögens, soweit durch die Fertigung veranlasst, § 255 Abs. 2 S. 2 HGB) bewertet."; 8.21, 8.22 ;2016;GmbH;Jahresabschluss;LKC
"Die Forderungen sowie die liquiden Mittel werden zu Nennwerten angesetzt; Wertabschläge für Einzelrisiken oder für das allgemeine
Kreditrisiko bei Forderungen waren nicht notwendig. Die sonstigen Vermögensgegenstände sind zu Nominalwerten angesetzt."; 8.25, 8.29, 8.33 ;2016;GmbH;Jahresabschluss;LKC
Die aktiven Abgrenzungen erfolgen zeitanteilig in Höhe der Vorleistungen.; 8.34 ;2016;GmbH;Jahresabschluss;LKC
Das Eigenkapital ist zum Nennwert angesetzt.; 8.37 ;2016;GmbH;Jahresabschluss;LKC
"Bei der Bewertung von Rückstellungen werden erwartete Preis- und Kostensteigerungen berücksichtigt und Verpflichtungen mit einer
Restlaufzeit von mehr als einem Jahr mit dem laufzeitadäquaten durchschnittlichen Marktzinssatz der vergangenen sieben
Geschäftsjahre – für die Bewertung der Pensionsrückstellungen Marktzinssatz der vergangenen zehn Geschäftsjahre - abgezinst (§
253 Abs. 2 HGB)."; 8.47, 35 ;2016;GmbH;Jahresabschluss;LKC
"Der Unterschiedsbetrag zwischen dem Ansatz der Rückstellungen nach Maßgabe des entsprechenden durchschnittlichen
Marktzinssatzes aus den vergangenen zehn Geschäftsjahren und dem Ansatz der Rückstellungen nach Maßgabe des entsprechenden
durchschnittlichen Marktzinssatzes aus den vergangenen sieben Geschäftsjahren (§ 253 Abs. 6 HGB) beträgt € 472.165."; 8.47, 35 ;2016;GmbH;Jahresabschluss;LKC
"Bei der Bewertung der Pensionsrückstellungen wurde die Projected-Unit-Credit-Methode auf Basis eines Zinssatzes von 4,01 % bzw.
3,45 % und unter Anwendung der Heubeck`schen Richttafeln 2005 G errechnet, wobei eine erwartete Lohn- und Gehaltssteigerung
von 0 % bzw. 3 % sowie keine Fluktuation unterstellt wurde."; 8.48, 34 ;2016;GmbH;Jahresabschluss;LKC
"Verpflichtungen aus zwei Pensionszusagen sind durch Vermögensgegenstände gesichert, die in einer Rückdeckungsversicherung
treuhänderisch angelegt sind. Die angelegten Vermögensgegenstände dienen ausschließlich der Erfüllung der
Pensionsverpflichtungen und sind dem Zugriff übriger Gläubiger entzogen. Sie wurden nach § 246 Abs. 2 HGB im Geschäftsjahr mit
den zugrundeliegenden Verpflichtungen in Höhe von € 443.166,00 (Vj. € 415.584,00) verrechnet. Der beizulegende Zeitwert in Höhe
von € 228.600,66 (Vj. € 178.420,00) des angelegten Vermögens wurde aus der Mitteilung der Versicherung zum Abschlussstichtag
abgeleitet."; 8.48, 37 ;2016;GmbH;Jahresabschluss;LKC
"Die sonstigen Rückstellungen sind vorsichtig bemessen. Sie tragen nach vorsichtiger kaufmännischer Beurteilung allen erkennbaren
Risiken und ungewissen Verpflichtungen Rechnung. Sie entsprechen ihrem Erfüllungsbetrag. Eine Abzinsung war nicht erforderlich."; 8.50 ;2016;GmbH;Jahresabschluss;LKC
Verbindlichkeiten sind mit ihrem Erfüllungsbetrag angesetzt.; 8.51 ;2016;GmbH;Jahresabschluss;LKC
Die passiven Abgrenzungen erfolgen zeitanteilig in Höhe der Vorleistungen.; 8.63 ;2016;GmbH;Jahresabschluss;LKC
"Die passiven latenten Steuern resultieren aus der handelsrechtlich und steuerrechtlich unterschiedlichen Bewertung der Sach- und
Finanzanlagen, einer Rücklage nach § 6b EStG, der Jubiläumsrückstellung sowie der Pensionsrückstellung. Eine Bewertung der
Differenzen erfolgte mit einem durchschnittlichen Steuersatz bei den Finanzanlagen von 15,83 % (keine Gewerbesteuer) und bei den
anderen Posten von 32,98 %."; 8.64 ;2016;GmbH;Jahresabschluss;LKC
IV. Erläuterungen zur Bilanz;;2016;GmbH;Jahresabschluss;LKC
1. Anlagevermögen;;2016;GmbH;Jahresabschluss;LKC
Die Entwicklung der einzelnen Positionen des Anlagevermögens ergibt sich aus dem nachfolgend dargestellten Anlagenspiegel.;;2016;GmbH;Jahresabschluss;LKC
"Dabei sind in den Abgängen des Geschäftsjahres mit T€ 4.590 technische Anlagen und Maschinen sowie Gegenstände der Betriebsund
Geschäftsausstattung enthalten, die aufgrund einer Datenmigration bereinigt werden konnten."; 4.9, 4.10 ;2016;GmbH;Jahresabschluss;LKC
