Anhang; Annotierung (Angabe Nummer in Anahngscheckliste) 
Anhang für das Geschäftsjahr vom 01. Januar bis 31. Dezember 2016;
Allgemeine Hinweise;
Die Volvo Car Germany GmbH hat ihren Sitz in Köln und ist eingetragen in das Handelsregister beim Amtsgericht Köln (HRB 25795).; 90   
Der vorliegende Jahresabschluss wurde auf der Grundlage des Handelsgesetzbuches sowie nach den einschlägigen Vorschriften des GmbHG aufgestellt. Es gelten die Vorschriften für große Kapitalgesellschaften.; 8.0 
Im Geschäftsjahr wurden erstmals die Vorschriften des Bilanzrichtlinie-Umsetzungsgesetzes („BilRuG“) berücksichtigt. Die bisherige Form der Darstellung in der Gewinn- und Verlustrechnung wurde insoweit angepasst. Damit liegt eine Durchbrechung der Ausweisstetigkeit vor.; 8.0, 1 
Die Gewinn- und Verlustrechnung ist nach dem Gesamtkostenverfahren aufgestellt.; 8.0 
Ausweis-, Bilanzierungs- und Bewertungsmethoden, Grundlagen für die Umrechnung von Fremdwährungen;
Die nachstehend beschriebenen Bilanzierungs- und Bewertungsansätze sind unverändert gegenüber dem Vorjahr.; 8.0 
Für die Aufstellung des Jahresabschlusses waren im Wesentlichen die nachfolgenden Bilanzierungs- und Bewertungsmethoden maßgebend.; 8.0 
Das Sachanlagevermögen ist zu Anschaffungskosten einschließlich Anschaffungsnebenkosten angesetzt und wird, soweit abnutzbar, um planmäßige Abschreibungen vermindert. Die Zugänge im beweglichen Anlagevermögen werden nach der linearen Abschreibungsmethode abgeschrieben. Vermögensgegenstände des Sachanlagevermögens, deren Wert EUR 150, aber nicht EUR 1.000 übersteigen, werden den steuerlichen Vorschriften entsprechend behandelt. Gemäß Wahlrecht werden diese Vermögensgegenstände des Anlagevermögens und die geringwertigen Anlagegüter (bis EUR 150) im Jahr der Anschaffung voll abgeschrieben, wobei deren sofortiger Abgang unterstellt wird.; 8.7 
Die den Abschreibungen zugrunde gelegten betriebsgewöhnlichen Nutzungsdauern betragen:; 8.7 
"Grundstücke, grundstücksgleiche Rechte und Bauten einschließlich der Bauten auf fremden Grundstücken 15 - 30 Jahre
Technische Anlagen und Maschinen 15 Jahre
Andere Anlagen, Betriebs- und Geschäftsausstattung 5 - 13 Jahre"; 8.7 
Die Anteile an verbundenen Unternehmen werden mit Anschaffungskosten zuzüglich Anschaffungsnebenkosten ausgewiesen.; 8.13 
Die Vorräte sind grundsätzlich zu Anschaffungskosten einschließlich Frachten unter Berücksichtigung des Niederstwertprinzips angesetzt.; 8.20 
Alle erkennbaren Risiken im Vorratsvermögen, die sich aus überdurchschnittlicher Lagerdauer, geminderter Verwertbarkeit und niedrigeren Wiederbeschaffungskosten ergeben, sind durch angemessene Abwertung berücksichtigt.; 8.20 
Forderungen und sonstige Vermögensgegenstände sind zum Nennwert angesetzt. Soweit erforderlich werden auf risikobehaftete Posten Einzelabwertungen vorgenommen. Die überwiegenden Forderungen aus Lieferungen und Leistungen werden täglich entgeltlich an die Volvo Car Financial Services übertragen.; 8.25 
Die aktivischen Rechnungsabgrenzungsposten enthalten ausschließlich Posten gemäß § 250 Abs. 1 HGB.; 8.34 
Aktive latente Steuern resultieren aus Bewertungsdifferenzen bei der Bewertung von Beteiligungen an Kapitalgesellschaften (TEUR 2.752) sowie den Rückstellungen (TEUR 19.308) (in Summe TEUR 22.060). Passive latente Steuern ergaben sich im Berichtszeitraum nicht. Die Bewertung der temporären Differenzen erfolgt mit dem für das Geschäftsjahr geltenden kombinierten Steuersatz für Körperschaftsteuer/Solidaritätszuschlag und Gewerbesteuer von 32,40 %. Die sich rechnerisch ergebende Steuerentlastung in Höhe von TEUR 7.148 wurde nach dem Wahlrecht des § 274 HGB im Berichtsjahr nicht aktiviert.; 8.35 24 
Rückstellungen für Altersversorgungsverpflichtungen oder vergleichbare langfristig fällige Verpflichtungen werden nach § 253 Abs. 2 Satz 2 HGB pauschal mit dem von der Deutschen Bundesbank ermittelten durchschnittlichen Marktzinssatz der letzten sieben Jahre abgezinst, der sich bei einer angenommenen Restlaufzeit von 15 Jahren ergibt.; 8.50, 34 
Die Rückstellungen für Pensionen betreffen die nach versicherungsmathematischen Verfahren ermittelten Wert der Pensionsverpflichtungen.; 8.48, 34 
Die Steuerrückstellungen und die sonstigen Rückstellungen werden in Höhe des Erfüllungsbetrages angesetzt, der nach vernünftiger kaufmännischer Beurteilung notwendig ist.; 8.49 
Verbindlichkeiten sind mit ihrem Erfüllungsbetrag angesetzt.; 8.51 
Die Umrechnung der kurzfristigen Forderungen und Verbindlichkeiten in Fremdwährung erfolgt zu den konzerninternen Umrechnungskursen bzw. zum Bilanzstichtag zum Devisenkassamittelkurs, soweit sie nicht kursgesichert sind.; 8.0 
Unsere Gesellschaft veräußert Neufahrzeuge an Autovermietgesellschaften. Dabei sehen die vertraglichen Vereinbarungen regelmäßig vor, Fahrzeuge gleichen Typs und gleicher Ausstattung nach Ablauf eines Zeitraums von fünf bis acht Monaten zurückzuerwerben. Unverändert vertreten wir den Standpunkt, dass sowohl das rechtliche als auch das wirtschaftliche Eigentum an den veräußerten Neufahrzeugen auf die Autovermietgesellschaften übergeht, so dass wir für diese Geschäfte Umsatzerlöse realisieren. Im Geschäftsjahr 2016 betrugen die Umsätze aus dem Verkauf von Neufahrzeugen an Autovermietgesellschaften Mio. EUR 143,4 (Vorjahr: Mio. EUR 142,5). Die Auswirkung auf das handelsrechtliche Ergebnis ist geringfügig, da die realisierten Umsatzerlöse durch erhöhte Kosten der zur Erzielung der Umsatzerlöse erbrachten Leistungen sowie Auswirkungen aus dem mit der Muttergesellschaft bestehenden Transfer-Price-Agreement kompensiert werden.; 8.66 
Erläuterungen zur Bilanz;
Anlagevermögen; 4.1 
Zur Darstellung der Entwicklung des Anlagevermögens wird auf das Anlagengitter verwiesen (Anlage zum Anhang).; 4.1, 15, 16 
Nachfolgend ist der Anteilsbesitz zum 31.12. 2016 der Volvo Car Germany GmbH dargestellt:; 4.13, 77 
"Ergebnis Geschäftsjahr vor
Ergebnisabführung.
TEUR
Unmittelbarer Anteilsbesitz:
VD Beteiligungen & Service GmbH, Köln 100 739 -5
Mittelbarer Anteilsbesitz:
AGS Immobilien Leasing GmbH, Köln 100 2.275 235
HLS Immobilien Leasing GmbH, Köln 100 177 -9"; 4.13, 77 
Forderungen und sonstige Vermögensgegenstände; 4.25 
"Die Forderungen und die sonstigen Vermögensgegenstände sind, wie im Vorjahr, mit Ausnahme der langfristigen Ansprüche aus einer Rückdeckungsversicherung (TEUR 1.489; Vorjahr: TEUR 1.532) innerhalb eines Jahres fällig. Eine Verrechnung mit den Rückstellungen für Pensionen und ähnliche Verpflichtungen ist nicht geboten, da die Ansprüche aus Rückdeckungsversicherung nicht dem Zugriff aller übrigen Gläubiger entzogen sind."; 4.25 
Die Forderungen gegen verbundene Unternehmen betreffen Forderungen aus Lieferungen und Leistungen in Höhe von TEUR 4.988 (Vorjahr: TEUR 28.736) und Forderungen aus Cash-Pool Guthaben in Höhe von TEUR 212.633 (Vorjahr: TEUR 137.148). Die Forderungen gegen verbundene Unternehmen beinhalten Forderungen gegen Gesellschafter in Höhe von TEUR 212.633 (Vorjahr: TEUR 137.148).; 4.27, 6, 20 
Die sonstigen Vermögensgegenstände mit TEUR 4.965 beinhalten vor allem das Deckungskapital der Rückdeckungsversicherung in Höhe von TEUR 1.489 sowie eine Steuervorauszahlung in Höhe von TEUR 2.520.; 4.29 
Eigenkapital; 4.38 
Das Eigenkapital beträgt TEUR 18.209 (Vorjahr: 18.303).; 4.38 
Rückstellungen für Pensionen und ähnliche Verpflichtungen; 4.48, 34 
Die Rückstellungen für Pensionen betragen zum Geschäftsjahresende TEUR 47.281 (Vorjahr: TEUR 42.944).; 4.48, 34 
"Für die Pensionsrückstellungen wurde die versicherungsmathematische Berechnung unter Anwendung der Projected Unit Credit Method (PuC-Methode) vorgenommen. Dabei sind Lohn- und Gehaltssteigerungen mit 3,00 % p. a., die jährliche Steigerung der Beitragsbemessungsgrenze mit 3,00 % sowie die jährliche Rentenanpassung mit 2,00 % entsprechend berücksichtigt. Als Rechnungszins wurde der durchschnittliche Marktzinssatz der letzten 10 Jahre verwendet (Bundesbankzins), der sich bei einer angenommenen Restlaufzeit von 15 Jahren ergibt. Er beträgt 4,01 %. Es wurden die Richttafeln 2005 G von Prof. Dr. Klaus
Heubeck zugrunde gelegt."; 4.48, 34 
Die Ermittlung des Rückstellungsbetrages erfolgte auf der Basis des versicherungsmathematischen Gutachtens zum 31. Dezember 2016. Die Zuführung des Geschäftsjahres beläuft sich auf TEUR 4.337 (Vorjahr: TEUR 1.626).; 4.48, 34 
Sonstige Rückstellungen; 4.50, 40 
