Anhang;Annotierung;Gesch„ftsjahr;Gesellschaft;Abschlussart;Prfer
"Anhang fr das Gesch„ftsjahr vom 1. Januar 2016 bis zum 31. Dezember 2016
";;2016;Manitowoc Deutschland GmbH;Jahresabschluss;PwC
I Allgemeine Angaben zum Jahresabschluss;;2017;Manitowoc Deutschland GmbH;Jahresabschluss;PwC
Die Manitowoc Deutschland GmbH hat ihren Sitz in Herborn und ist eingetragen in das Handelsregister beim Amtsgericht Wetzlar (HR B Reg.Nr. 5603).;90;2018;Manitowoc Deutschland GmbH;Jahresabschluss;PwC
Die Manitowoc Deutschland GmbH ist zum Bilanzstichtag 31. Dezember 2016 eine groáe Kapitalgesellschaft im Sinne des õ 267 HGB.;;2019;Manitowoc Deutschland GmbH;Jahresabschluss;PwC
Der Jahresabschluss wird nach den Rechnungslegungsvorschriften fr Kapitalgesellschaften des Handelsgesetzbuches (HGB) in der Fassung des Bilanzrichtlinien-Umsetzungsgesetzes (BilRUG) unter Bercksichtigung des Gesetzes betreffend die Gesellschaften mit beschr„nkter Haftung (GmbH) aufgestellt.;;2020;Manitowoc Deutschland GmbH;Jahresabschluss;PwC
Die Gewinn- und Verlustrechnung ist nach dem Umsatzkostenverfahren gem. õ 275 Abs. 3 HGB aufgestellt.;;2021;Manitowoc Deutschland GmbH;Jahresabschluss;PwC
Gesch„ftsjahr ist das Kalenderjahr.;;2022;Manitowoc Deutschland GmbH;Jahresabschluss;PwC
Im Interesse einer besseren Klarheit und šbersichtlichkeit werden die nach den gesetzlichen Vorschriften bei den Posten der Bilanz und Gewinn- und Verlustrechnung anzubringenden Vermerke ebenso wie die Vermerke, die wahlweise in der Bilanz bzw. Gewinn- und Verlustrechnung oder im Anhang anzubringen sind, weitestgehend im Anhang aufgefhrt.;;2023;Manitowoc Deutschland GmbH;Jahresabschluss;PwC
II Bilanzierungs- und Bewertungsgrunds„tze;;2024;Manitowoc Deutschland GmbH;Jahresabschluss;PwC
Durch das BilRUG wurden die in der Gewinn- und Verlustrechnung enthaltenen Posten ?auáerordentliche Ertr„ge? und ?auáerordentliche Aufwendungen? sowie dementsprechend die Zwischenergebnisse ?Ergebnis der gew”hnlichen Gesch„ftst„tigkeit? und ?auáerordentliches Ergebnis? gestrichen. Eine weitere nderung des Gliederungsschemas der Gewinn- und Verlustrechnung ist die Einfgung eines Zwischenergebnisses ?Ergebnis nach Steuern? zwischen dem Posten ?Steuern vom Einkommen und vom Ertrag? und dem Posten ?sonstige Steuern?.;8;2025;Manitowoc Deutschland GmbH;Jahresabschluss;PwC
Die auf den vorhergehenden Jahresabschluss angewandten Bilanzierungs- und Bewertungsmethoden wurden wie im Vorjahr beibehalten.;8;2026;Manitowoc Deutschland GmbH;Jahresabschluss;PwC
Gem„á Art. 75 Abs. 6 Satz 1 EGHGB n.F. i.V.m. õ 253 Abs. 2 Satz 1 HGB n.F. sind Altersversorgungsverpflichtungen (Rckstellungen fr Pensionen) im Jahresabschluss fr das Gesch„ftsjahr 2016 unter Zugrundelegung des durchschnittlichen Marktzinssatzes der vergangenen zehn Gesch„ftsjahre (Vorjahr: durchschnittlicher Marktzinssatz der vergangenen sieben Gesch„ftsjahre) bewertet worden.;8.47, 8.48, 35;2027;Manitowoc Deutschland GmbH;Jahresabschluss;PwC
1 Aktiva;;2028;Manitowoc Deutschland GmbH;Jahresabschluss;PwC
Die entgeltlich erworbenen immateriellen Verm”gensgegenst„nde werden mit den Anschaffungskosten, vermindert um planm„áige Abschreibungen, bewertet. Die Abschreibungen wurden unter Zugrundelegung von Nutzungsdauern zwischen 3 und 5 Jahren vorgenommen.;8.1, 8.2;2029;Manitowoc Deutschland GmbH;Jahresabschluss;PwC
Die Bewertung der Sachanlagen erfolgte zu Anschaffungskosten abzglich planm„áiger Abschreibungen. Die Abschreibungen wurden unter Zugrundelegung von Nutzungsdauern zwischen 1 und 13 Jahren vorgenommen. Auáerplanm„áige Abschreibungen werden vorgenommen, wenn voraussichtlich dauernde Wertminderungen vorliegen. Zuschreibungen aufgrund des Wertaufholungsgebots erfolgen bis zu den fortgefhrten Anschaffungskosten, wenn die Grnde fr eine dauerhafte Wertminderung nicht mehr bestehen.;8.1, 8.7;2030;Manitowoc Deutschland GmbH;Jahresabschluss;PwC
Fr geringwertige Anlagengter mit Anschaffungs- bzw. Herstellungskosten von mehr als EUR 150 und bis zu EUR 1.000 wurde ein jahresbezogener Sammelposten gebildet, der ber 5 Jahre abgeschrieben wird.;8.1;2031;Manitowoc Deutschland GmbH;Jahresabschluss;PwC
Die Finanzanlagen sind mit den Anschaffungskosten oder mit dem niedrigeren beizulegenden Wert angesetzt.;8.1, 8.12;2032;Manitowoc Deutschland GmbH;Jahresabschluss;PwC
Die Vorr„te (Handelswaren) werden zu Anschaffungskosten zuzglich Anschaffungsnebenkosten, die nach der Methode der Durchschnittspreise ermittelt werden, unter Beachtung des Niederstwertprinzips nach õ 253 Abs. 3 HGB bewertet. Fr veraltete oder schlecht g„ngige Vorr„te werden entsprechende Abwertungen bercksichtigt.;8.19, 8.20;2033;Manitowoc Deutschland GmbH;Jahresabschluss;PwC
Forderungen und sonstige Verm”gensgegenst„nde sind mit dem Nennbetrag ausgewiesen.;8.19, 8.25;2034;Manitowoc Deutschland GmbH;Jahresabschluss;PwC
Manitowoc Deutschland GmbH ist seit 15. Dezember 2014 in das Factoring Programm des Konzerns eingebunden. Per 31. Dezember 2016 wurden Forderungen in H”he von TEUR 7.843 (Vorjahr: TEUR 6.712) verkauft.;8.25;2035;Manitowoc Deutschland GmbH;Jahresabschluss;PwC
Kassenbestand und Guthaben bei Kreditinstituten entsprechen den Nennwerten.;8.33;2036;Manitowoc Deutschland GmbH;Jahresabschluss;PwC
Aktive Rechnungsabgrenzungsposten sind zu Nennwerten angesetzt und betreffen den Aufwand in Folgeperioden.;8.34;2037;Manitowoc Deutschland GmbH;Jahresabschluss;PwC
2 Passiva;;2038;Manitowoc Deutschland GmbH;Jahresabschluss;PwC
Das Eigenkapital wird zu Nennwerten bilanziert. Das gezeichnete Kapital entspricht dem in das Handelsregister eingetragenen Stammkapital.;8.37;2039;Manitowoc Deutschland GmbH;Jahresabschluss;PwC
"Die Rckstellungen fr Pensionen und „hnliche Verpflichtungen werden nach versicherungsmathematischen Grunds„tzen nach dem Anwartschaftsbarwertverfahren (Projected-Unit-Credit-Method - PUC-Methode) ermittelt. Der Rckstellungsbetrag gem„á der PUC-Methode ist definiert als der versicherungsmathematische Barwert der Pensionsverpflichtungen, der von den Mitarbeitern bis zu diesem Zeitpunkt gem„á Rentenformel und Unverfallbarkeitsregelungen aufgrund ihrer in der Vergangenheit abgeleisteten Dienstzeiten erdient worden ist. Der Rckstellungsbetrag ist unter Einbeziehung von Trendannahmen hinsichtlich der zuknftigen Anwartschafts- bzw. Rentenentwicklung sowie evtl. Fluktuationswahrscheinlichkeiten zu ermitteln. Dabei erfolgte die Berechnung auf Basis folgender Annahmen:
? 
Finanzierungsendalter 65 Jahre

? 
Biologische Rechnungsgrundlagen sind Richttafeln 2005 G von Prof. Dr. Klaus Heubeck

? 
Rechnungszins (gem„á RckAbzinsV, Stand 11.2015) von 3,28 % (Vorjahr: 3,94 %) fr eine Restlaufzeit von 15 Jahren gem. õ 253 Abs. 2 Satz 2 HGB

? 
Knftige Rentenanpassungen õ 16 BetrAVG von 1,5 % p.a. (Vorjahr: 1,5 % p.a.)

? 
Fluktuation und Gehaltsentwicklung 0%, da sich alle bezugsberechtigten Mitarbeiter in der Passivphase befinden";8.47, 48, 34, 35;2040;Manitowoc Deutschland GmbH;Jahresabschluss;PwC
Die sonstigen Rckstellungen bercksichtigen alle erkennbaren Risiken aus ungewissen Verpflichtungen und entsprechen den nach vernnftiger kaufm„nnischer Beurteilung zu erwartenden Erfllungsbetr„gen.;8.50;2041;Manitowoc Deutschland GmbH;Jahresabschluss;PwC
Soweit saldierungsf„higes Deckungsverm”gen gem„á õ 246 Abs. 2 HGB vorliegt, ergibt sich die Rckstellung fr Pensionsverpflichtungen aus dem Saldo des versicherungsmathematischen Barwertes der Verpflichtung und des beizulegenden Zeitwertes des zur Deckung gebildeten Deckungsverm”gens. Die Bewertung des Deckungsverm”gens erfolgt gem„á õ 253 Abs. 1 S. 4 HGB mit dem beizulegenden Zeitwert.;8;2042;Manitowoc Deutschland GmbH;Jahresabschluss;PwC
Auf Bestellungen erhaltene Anzahlungen betragen TEUR 30 (Vorjahr: TEUR 65).;8.55;2043;Manitowoc Deutschland GmbH;Jahresabschluss;PwC
Die Verbindlichkeiten sind mit dem Erfllungsbetrag angesetzt.;8.51;2044;Manitowoc Deutschland GmbH;Jahresabschluss;PwC
Fremdw„hrungsumrechnung;;2045;Manitowoc Deutschland GmbH;Jahresabschluss;PwC
