Konzernanhang für das Geschäftsjahr 2016; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
ALLGEMEINE ANGABEN;;2016;KG;Konzernabschluss;PwC
"Der Konzernabschluss der Wilh. Werhahn KG mit Sitz in Neuss, eingetragen im Handelsregister des Amtsgerichts Neuss unter der Nummer HRA 4096, ist nach den Vorschriften der §§ 13 ff. Publizitätsgesetz
(PublG) - unter Verzicht auf die Erleichterungen nach § 13 Abs. 3 Satz 1 und 2 PublG - in Verbindung mit den §§ 294 ff. Handelsgesetzbuch (HGB) aufgestellt und wird im Bundesanzeiger veröffentlicht."; 9.0, 83 ;2016;KG;Konzernabschluss;PwC
Die Änderungen des HGB durch das Bilanzrichtlinie-Umsetzungsgesetz (BilRUG) wurden im Berichtsjahr erstmalig umgesetzt.; 2 ;2016;KG;Konzernabschluss;PwC
Gemäß § 297 Abs. 1 HGB besteht der Konzernabschluss aus der Konzernbilanz, der Konzerngewinn- und -verlustrechnung, dem Konzernanhang, der Kapitalflussrechnung sowie dem Eigenkapitalspiegel.;;2016;KG;Konzernabschluss;PwC
"Die Deutschen Rechnungslegungs Standards (DRS) wurden angewendet, sofern gesetzliche Anforderungen an die Rechnungslegung durch einen DRS konkretisiert werden und es sich dabei um Auslegung der
allgemeinen gesetzlichen Grundsätze handelt.";;2016;KG;Konzernabschluss;PwC
"Der Konzernabschluss wurde in Tausend Euro aufgestellt. Zur besseren Übersicht sind in der Bilanz und in der Gewinn- und Verlustrechnung verschiedene Posten zusammengefasst und im Anhang erläutert.
Darüber hinaus wurde die Bilanz wie in den Vorjahren um gesonderte Posten des Finanzdienstleistungsgeschäfts erweitert. Im Berichtsjahr sind die sonstigen Steuern erstmalig den Sonstigen betrieblichen
Aufwendungen zugeordnet, um die Klarheit der Darstellung zu erhöhen. Die Vorjahreswerte wurden entsprechend angepasst."; 2, 4, 6, 8, 9.0 ;2016;KG;Konzernabschluss;PwC
KONSOLIDIERUNGSKREIS;;2016;KG;Konzernabschluss;PwC
"Der Anteilsbesitz ist auf den Seiten 108 bis 120 aufgeführt. In den Konzernabschluss zum 31. Dezember 2016 werden sämtliche dort unter 1. Verbundene konsolidierte Unternehmen ausgewiesene Gesellschaften
einbezogen. Der Konsolidierungskreis umfasst neben der Wilh. Werhahn KG 100 inländische (i. Vj. 116) sowie 60 ausländische (i. Vj. 60) Gesellschaften. Im Berichtsjahr wurden 4 Gesellschaften erstmals einbezogen.
Eine ehemals Verbundene nicht konsolidierte Gesellschaft wurde aufgrund der Überschreitung der Größenkriterien für eine Vollkonsolidierung in den Konsolidierungskreis einbezogen und 3 Unternehmen
wurden neu gegründet. Von den insgesamt 20 Abgängen des Berichtsjahres entfallen 16 auf Unternehmen, die auf konsolidierte Tochtergesellschaften verschmolzen wurden, sodass deren Vermögenswerte den
Konsolidierungskreis nicht verlassen haben. Wegen untergeordneter Bedeutung wurden 3 Unternehmen entkonsolidiert und ein Unternehmen wurde veräußert."; 85 ;2016;KG;Konzernabschluss;PwC
"Gemäß § 296 Abs. 2 HGB werden 84 Verbundene Unternehmen nicht konsolidiert, da deren Einfluss auf die Vermögens-, Finanz- und Ertragslage des Konzerns auch insgesamt von untergeordneter Bedeutung ist.
Auf eine Equity-Bewertung wird ebenfalls wegen untergeordneter Bedeutung verzichtet. Der Umsatz dieser Gesellschaften beträgt zusammen weniger als 4 % des Konzernumsatzes, und die Vermögensgegenstände
betragen zusammen weniger als 2 % der Konzernbilanzsumme. In den rechtlichen und geschäftlichen Beziehungen zu diesen Unternehmen ergeben sich keine Besonderheiten."; 89 ;2016;KG;Konzernabschluss;PwC
"Alle 15 unter 2. Assoziierte at-equity Unternehmen aufgeführten Gesellschaften werden nach der Equity-Methode bewertet. Weitere Assoziierte Unternehmen sind in Bezug auf Umsatz und Bilanzsumme und in
Bezug auf deren Einfluss auf die Vermögens-, Finanz- und Ertragslage wegen ihrer insgesamt untergeordneten Bedeutung nicht at-equity in den Abschluss einbezogen."; 96 ;2016;KG;Konzernabschluss;PwC
KONSOLIDIERUNGSGRUNDSÄTZE;;2016;KG;Konzernabschluss;PwC
"Die Verbundenen konsolidierten Unternehmen werden zum Zeitpunkt der Erlangung der Beherrschung, ihrer Gründung oder bei Überschreitung von Größenkriterien, sofern bisher auf eine Einbeziehung wegen
untergeordneter Bedeutung verzichtet wurde, in den Konzernabschluss einbezogen. Die Kapitalkonsolidierung der Gesellschaften erfolgt nach der Neubewertungsmethode durch Verrechnung der Anschaffungskosten
mit dem Konzernanteil an deren neubewertetem Eigenkapital. Ein nach der Aufdeckung stiller Reserven verbleibender aktivischer Unterschiedsbetrag wird als Geschäfts- oder Firmenwert ausgewiesen.
Geschäfts- oder Firmenwerte werden über ihre individuelle betriebliche Nutzungsdauer abgeschrieben. Die Abschreibungsdauern der wesentlichen Geschäfts- oder Firmenwerte des Konzerns werden in der
folgenden Tabelle in Gruppen zusammengefasst und erläutert:"; 14 ;2016;KG;Konzernabschluss;PwC
NUTZUNGSDAUER DER GESCHÄFTS- ODER FIRMENWERTE; 14 ;2016;KG;Konzernabschluss;PwC
"Nutzungsdauer Begründung
Geschäftsbereich Natursteine 15 Jahre Langfristige Verfügbarkeit der Standorte in Verbindung mit langfristig nutzbarem
Anlagevermögen sowie langfristig etablierten Kundenbeziehungen in regional
begrenzten Märkten
Geschäftsbereich Schiefer 5 Jahre Entsprechend der durchschnittlichen Laufzeit der Kundenbeziehungen
Geschäftsbereich Küche (Staub-Gruppe und Demeyere G.C.V.) 15 Jahre Hohe Stabilität und Bestandsdauer der Branche, Stabilität der Marken und langer
Lebenszyklus der Produkte
Geschäftsbereich Küche (Ballarini-Gruppe) 7 Jahre Verhältnismäßig hohe Stabilität und Bestandsdauer der Branche und mittelmäßig
langer Lebenszyklus der Produkte
Geschäftsbereich Beauty (Tweezerman) 15 Jahre Hohe Stabilität und Bestandsdauer der Branche, Stabilität der Marken und langer
Lebenszyklus der Produkte
Geschäftsbereich Beauty (übrige Gesellschaften) 5 Jahre Entsprechend des vergleichsweise kurzen Lebenszyklus der Produkte"; 9.0, 14 ;2016;KG;Konzernabschluss;PwC
"Nutzungsdauer Begründung
Geschäftsbereich Jaguar/Tondeo 15 Jahre Geplante langfristige Konzernzugehörigkeit
Geschäftsbereich abcfinance 5 Jahre Entsprechend der durchschnittlichen Laufzeit der Leasingverträge und Kundenbeziehungen"; 9.0, 14 ;2016;KG;Konzernabschluss;PwC
