;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ab PDF S. 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anhang für das Geschäftsjahr 2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
der WIRTGEN GROUP GmbH (vormals: Wirtgen Group GmbH & Co.KG), Windhagen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anhang für das Geschäftsjahr 2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
I. Angaben zum Jahresabschluss; Annotierung (Angabe Nummer in Anhangscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer;;;;;;;;;;;;;;;;;;;;;;;;;;;
A. Allgemeines;;2012;WIRTGEN GROUP GmbH;Konzernabschluss;Dornbach GmbH;;;;;;;;;;;;;;;;;;;;;;;;;;;
Der Konzernabschluss zum 31. Dezember 2012 wurde auf der Grundlage der Rechnungslegungsvorschriften des Dritten Buches des Handelsgesetzbuches erstellt. Die Gliederung des Konzernabschlusses erfolgt nach den Vorschriften §§ 266 ff. HGB.; 83 ;2012;WIRTGEN GROUP GmbH;Konzernabschluss;Dornbach GmbH;;;;;;;;;;;;;;;;;;;;;;;;;;;
Soweit für Pflichtangaben Wahlrechte bestehen, diese in der Bilanz, der Gewinn- und Verlustrechnung oder im Anhang darzustellen, sind diese aus Gründen der Übersichtlichkeit im Anhang dargestellt. Die Gewinn- und Verlustrechnung wird nach dem Gesamtkostenverfahren gegliedert.;;2012;WIRTGEN GROUP GmbH;Konzernabschluss;Dornbach GmbH;;;;;;;;;;;;;;;;;;;;;;;;;;;
Die Ausweisstetigkeit wurde gewahrt, ein grundlegender Bewertungswechsel gegenüber dem Vorjahr fand nicht statt.; 11 ;2012;WIRTGEN GROUP GmbH;Konzernabschluss;Dornbach GmbH;;;;;;;;;;;;;;;;;;;;;;;;;;;
In den Konzernabschluss der Wirtgen Group GmbH & Co. KG, Windhagen, zum 31. Dezember 2012 werden neben der Wirtgen Group GmbH & Co. KG als Mutterunternehmen alle wesentlichen inländischen und ausländischen Tochtergesellschaften gemäß § 290 Abs. 2 HGB einbezogen, bei denen dem Mutterunternehmen unmittelbar oder mittelbar mehr als 50 % der Anteile oder Stimmrechte gehören.;;2012;WIRTGEN GROUP GmbH;Konzernabschluss;Dornbach GmbH;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Konsolidierungskreis 2012 2011
Vollkonsolidierte Tochterunternehmen (inkl. Konzernmutter) 66 65
Quotenkonsolidierte Tochterunternehmen 0 0
Sonstige Unternehmen zum Beteiligungsbuchwert 7 8
Gesamt 73 73";;2012;WIRTGEN GROUP GmbH;Konzernabschluss;Dornbach GmbH;;;;;;;;;;;;;;;;;;;;;;;;;;;
Die in den Konzernabschluss einbezogenen Tochterunternehmen sind in der Beteiligungsliste zusammengestellt. Folgende Gesellschaften nehmen die Befreiungsvorschriften des § 264 Abs. 3 HGB in Anspruch: Wirtgen GmbH, Hamm AG, Joseph Vögele Aktiengesellschaft, Wirtgen Augsburg Vertriebs- und Service GmbH, Wirtgen International GmbH, Wirtgen Windhagen Vertriebs- und Service GmbH, Wirtgen Hamburg Vertriebs- und Service GmbH und Wirtgen Zwickau Vertriebs- und Service GmbH.; 100 ;2012;WIRTGEN GROUP GmbH;Konzernabschluss;Dornbach GmbH;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tochterunternehmen ohne wesentlichen Geschäftsbetrieb, die auch in ihrer Gesamtheit im Sinne von § 296 Abs. 2 HGB für die Vermittlung eines den tatsächlichen Verhältnissen entsprechenden Bildes der Vermögens-, Finanz- und Ertragslage von untergeordneter Bedeutung sind, werden nicht konsolidiert in den Konzernabschluss einbezogen. Bei den übrigen nicht konsolidierten acht Unternehmen ist die Assozi- ierungsvermutung des § 311 Abs. 1 S. 2 HGB widerlegt, so dass lediglich deren Buchwerte in den Konzernabschluss übernommen wurden.; 69, 89, 96 ;2012;WIRTGEN GROUP GmbH;Konzernabschluss;Dornbach GmbH;;;;;;;;;;;;;;;;;;;;;;;;;;;
Das Eigenkapital der nicht konsolidierten Unternehmen beträgt, soweit die Angaben vorliegen, insgesamt weniger als 0,3 % des Konzerneigenkapitals und ihr Jahresergebnis weniger als 0,1 % des Konzernjah- resergebnisses.; 89 ;2012;WIRTGEN GROUP GmbH;Konzernabschluss;Dornbach GmbH;;;;;;;;;;;;;;;;;;;;;;;;;;;
B. Bilanzierungs- und Bewertungsgrundsätze Bilanzierungswahlrechte;;2012;WIRTGEN GROUP GmbH;Konzernabschluss;Dornbach GmbH;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bilanzierungswahlrechte werden nicht in Anspruch genommen.;;2012;WIRTGEN GROUP GmbH;Konzernabschluss;Dornbach GmbH;;;;;;;;;;;;;;;;;;;;;;;;;;;
Währungsumrechnung;;2012;WIRTGEN GROUP GmbH;Konzernabschluss;Dornbach GmbH;;;;;;;;;;;;;;;;;;;;;;;;;;;
Auf fremde Währung lautende Vermögensgegenstände und Verbindlichkeiten werden grundsätzlich zum Devisenkassamittelkurs am Transaktionstag erfasst. Am Bilanzstichtag ausgewiesene, auf fremde Währung lautende Vermögensgegenstände und Verbindlichkeiten werden zum Devisenkassamittelkurs am Abschlussstichtag bewertet.;;2012;WIRTGEN GROUP GmbH;Konzernabschluss;Dornbach GmbH;;;;;;;;;;;;;;;;;;;;;;;;;;;
Die in Fremdwährung aufgestellten Jahresabschlüsse der in die Konsolidierung einbezogenen Unternehmen werden wie folgt in Euro umgerechnet:;;2012;WIRTGEN GROUP GmbH;Konzernabschluss;Dornbach GmbH;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bei der Umrechnung der Bilanz wird die Stichtagskursmethode angewandt. Kursgewinne und -verluste aus der Stichtagsumrechnung dieser Posten werden in den Konzernrücklagen ausgewiesen.;;2012;WIRTGEN GROUP GmbH;Konzernabschluss;Dornbach GmbH;;;;;;;;;;;;;;;;;;;;;;;;;;;
