Anhang; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
"Konzernanhang für das Geschäftsjahr 2016
";;;;;
I. Allgemeine Angaben;;2016;DF World of Spices GmbH;Konzernabschluss ;PwC
Die DF World of Spices GmbH, Dissen a.T.W. ist beim Registergericht Osnabrück unter der Handelsregisternummer B 110874 gemeldet.; 83 ;2016;DF World of Spices GmbH;Konzernabschluss ;PwC
Der Konzernabschluss der DF World of Spices GmbH, Dissen a.T.W., zum 31. Dezember 2016 wurde gemäß §§ 290 ff. HGB unter Beachtung der deutschen handelsrechtlichen Rechnungslegungsvorschriften sowie der ergänzenden Vorschriften des GmbH-Gesetzes und des Gesellschaftsvertrags aufgestellt.; 9.0 ;2016;DF World of Spices GmbH;Konzernabschluss ;PwC
Durch die Erstanwendung der Vorschriften des am 23. Juli 2015 in Kraft getretenen Bilanzrichtlinie-Umsetzungsgesetzes (BilRUG) ändern sich die bisherige Form der Darstellung und die bisher angewandten Ausweismethoden in der Gewinn- und Verlustrechnung. Im Einzelnen werden durch BilRUG die in dem Gliederungsschema zur Gewinn- und Verlustrechnung enthaltenen Posten „außerordentliche Erträge“ und „außerordentliche Aufwendungen“ sowie dementsprechend die Zwischenergebnisse „Ergebnis der gewöhnlichen Geschäftstätigkeit“ und „außerordentliches Ergebnis“ gestrichen. Eine weitere Änderung des GuV-Gliederungsschemas ist die Einfügung eines Zwischenergebnisses „Ergebnis nach Steuern“ zwischen dem Posten „Steuern vom Einkommen und vom Ertrag“ und dem Posten „sonstige Steuern“. Diesbezüglich wurde eine entsprechende Anpassung der Vorjahresbeträge gemäß Art. 75 Abs. 2 EGHGB vorgenommen.; 2, 4 ;2016;DF World of Spices GmbH;Konzernabschluss ;PwC
Darüber hinaus ergeben sich durch die Erstanwendung des BilRUG im Geschäftsjahr 2016 Ausweisänderungen im Zusammenhang mit der Neudefinition der Umsatzerlöse. Diese betreffen insbesondere die Umsatzerlöse und die sonstigen betrieblichen Erträge sowie die korrespondierenden Aufwandsposten. Insofern sind die entsprechenden Vorjahresbeträge nicht vergleichbar.; 2, 3, 49 ;2016;DF World of Spices GmbH;Konzernabschluss ;PwC
Die übrigen Bilanzierungs- und Bewertungsmethoden wurden im Berichtsjahr, mit Ausnahme der Bewertung der Pensionsrückstellungen (vgl. „III. Bilanzierungs- und Bewertungsmethoden“), fortgeführt.; 11 ;2016;DF World of Spices GmbH;Konzernabschluss ;PwC
Das Geschäftsjahr für den Konzern und die konsolidierten Unternehmen entspricht dem Kalenderjahr. Die Gewinn- und Verlustrechnung wird nach dem Gesamtkostenverfahren gegliedert. Der Konzernabschluss wurde unter Berücksichtigung einer teilweisen Verwendung des Konzernergebnisses aufgestellt.; 9.0 ;2016;DF World of Spices GmbH;Konzernabschluss ;PwC
Im Interesse von Klarheit und Übersichtlichkeit werden die nach den gesetzlichen Vorschriften bei den Posten der Bilanz bzw. der Gewinn- und Verlustrechnung anzubringenden Vermerke ebenso wie die Vermerke, die wahlweise in der Bilanz bzw. der Gewinn- und Verlustrechnung anzubringen sind, weitestgehend im Anhang aufgeführt.; 9.0 ;2016;DF World of Spices GmbH;Konzernabschluss ;PwC
II. Angaben zur Konsolidierung;;2016;DF World of Spices GmbH;Konzernabschluss ;PwC
1. Konsolidierungskreis;;2016;DF World of Spices GmbH;Konzernabschluss ;PwC
Eine Aufstellung der in den Konzernabschluss einbezogenen Unternehmen ist in Abschnitt VI enthalten.;;2016;DF World of Spices GmbH;Konzernabschluss ;PwC
An den Gesellschaften Brasilândia Agro Industrial Ltda. sowie der TasteTech GmbH & Co. KG mit ihrer Komplementärin, der TasteTech Verwaltung GmbH ist die Konzernmutter weder mittelbar noch unmittelbar beteiligt. Sie sind als Zweckgesellschaften i.S.d. § 290 Abs. 2 Nr. 4 HGB zu klassifizieren, da bei wirtschaftlicher Betrachtung die wesentlichen Risiken aus diesen Gesellschaften von der Konzernmutter getragen werden. Aufgrund der untergeordneten Bedeutung für den Konzern gemäß § 296 Abs. 2 HGB wird auf die Einbeziehung dieser Unternehmen verzichtet.; 68, 89 ;2016;DF World of Spices GmbH;Konzernabschluss ;PwC
2. Konsolidierungsmethoden;;2016;DF World of Spices GmbH;Konzernabschluss ;PwC
Bei der Kapitalkonsolidierung wird seit dem 1. Januar 2010 die Neubewertungsmethode gemäß § 301 HGB angewendet (Vollkonsolidierung mit Minderheitsausweis). Zuvor folgte die Kapitalkonsolidierung der Buchwertmethode. Erstkonsolidierungen vor dem 1. Januar 2010 werden gemäß Art. 66 Abs. 3 Satz 4 EGHGB unverändert fortgeführt.;;2016;DF World of Spices GmbH;Konzernabschluss ;PwC
Ein sich ergebender aktiver Unterschiedsbetrag wurde vor dem 1. Januar 2010 mit den Kapitalrücklagen verrechnet. Diese Behandlung wird beibehalten. Aktive Unterschiedsbeträge, die seit dem 1. Januar 2010 auftreten, werden gemäß § 301 Abs. 3 HGB als Geschäfts- oder Firmenwert ausgewiesen und nach § 309 Abs. 1 HGB bewertet. Für passive Unterschiedsbeträge gelten die §§ 301 Abs. 3 und 309 Abs. 2 HGB.; 92 ;2016;DF World of Spices GmbH;Konzernabschluss ;PwC
