Anhang; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Konzernanhang für das Geschäftsjahr 2016;;2016;"heristo holding gmbh
";Konzernabschluss;PwC
I. Allgemeine Angaben;;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Die heristo holding gmbh hat ihren Sitz in Bad Rothefelde und ist eingetragen in das Handelsregister beim Amtsgericht Osnabrück (HRB 110932).; 83 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Der Konzernabschluss und der Konzernlagebericht der heristo holding gmbh, Bad Rothenfelde, für das Geschäftsjahr 2016 sind nach den Vorschriften des Handelsgesetzbuches (HGB) und des Gesetzes betreffend die Gesellschaften mit beschränkter Haftung (GmbHG) aufgestellt.; 9.0 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
"Das Geschäftsjahr ist das Kalenderjahr.
"; 9.0 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Die Ausweis- und Gliederungsvorschriften wurden den gesetzlichen Vorschriften entsprechend befolgt. Für die Gliederung der Gewinn- und Verlustrechnung wurde das Gesamtkostenverfahren gemäß § 275 Abs. 2 HGB angewandt.; 9.0 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Durch die Erstanwendung der Vorschriften des am 23. Juli 2015 in Kraft getretenen Bilanzrichtlinie-Umsetzungsgesetzes (BilRUG) ändern sich die bisherige Form der Darstellung und die bisher angewandten Ausweismethoden in der Gewinn- und Verlustrechnung. Im Einzelnen werden durch BilRUG die in den Gliederungsschemata zur Gewinn- und Verlustrechnung enthaltenen Posten „außerordentliche Erträge“ und „außerordentliche Aufwendungen“ sowie dementsprechend die Zwischenergebnisse „Ergebnis der gewöhnlichen Geschäftstätigkeit“ und „außerordentliches Ergebnis“ gestrichen. Eine weitere Änderung der GuV-Gliederungsschemata ist die Einfügung eines Zwischenergebnisses „Ergebnis nach Steuern“ zwischen dem Posten „Steuern vom Einkommen und vom Ertrag“ und dem Posten „sonstige Steuern“. Diesbezüglich wurde eine entsprechende Anpassung der Vorjahresbeträge gemäß Art. 75 Abs. 2 EGHGB vorgenommen.; 2, 4, 11 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Aufgrund der erweiterten Umsatzdefinition werden im Berichtsjahr bestimmt Erträge erstmals den Umsatzerlösen (Vorjahr sonstige betriebliche Erträge) zugeordnet. Die Vorjahreszahlen der Umsatzerlöse sind aufgrund der Neufassung von § 277 Abs. 1 HGB in der Fassung des BilRUG (HGB n.F.) mit dem Berichtsjahr nicht vollumfänglich vergleichbar, da auf eine Anpassung des Ausweises des Vorjahresumsatzerlöse verzichtet wurde.; 2, 3, 11, 49 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Die übrigen Bilanzierungs- und Bewertungsmethoden wurden im Berichtsjahr beibehalten.; 11 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
II. Konsolidierungskreis und Stichtag des Konzernabschlusses;;2016;"heristo holding gmbh
";Konzernabschluss;PwC
a) Konzernobergesellschaft; 66 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Mutterunternehmen ist die heristo holding gmbh, Bad Rothenfelde.; 66 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Das Stammkapital der heristo holding gmbh beträgt € 5.000.000. Hiervon sind eigene Anteile in Höhe von € 1.468.520 offen abgesetzt.; 21 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
b) Konsolidierungskreis;;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Vollkonsolidierung;;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Im Rahmen der Vollkonsolidierung gemäß §§ 300 ff. HGB sind 126 (Vorjahr 125) Unternehmen in den Konzernabschluss einbezogen worden.;;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Die Änderungen im Konsolidierungskreis gegenüber dem Vorjahr ergeben sich aus folgenden Sachverhalten:; 85 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Die heristo aktiengesellschaft, Bad Rothenfelde, verkaufte ihre Anteile an der serv.pack gmbh, Bad Rothenfelde, im Juli 2016 an die heristo holding gmbh, Bad Rothenfelde. Mit Einbringungs- und Abtretungsvertrag vom 18. Juli 2016 haben Dritte durch Sacheinlage 51 % der Anteile an der Gesellschaft erhalten, deren Firma in ODB Projektionstechnik GmbH geändert wurde. Das Unternehmen wurde entkonsolidert und wird zum 31. Dezember 2016 unter den Beteiligungen ausgewiesen.; 85 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Mit Wirkung zum 27. September 2016 gründete die heristo aktiengesellschaft, Bad Rothenfelde, die heristo VG 1 GmbH, Bad Rothenfelde. Die Gesellschaft wurde im Geschäftsjahr 2016 erstkonsolidiert, das Stammkapital beträgt T€ 25. Die Gesellschaft wurde zum 20. Dezember 2016 an die heristo holding gmbh, Bad Rothenfelde, verkauft und anschließend in die Planet Vegan GmbH umfirmiert.; 85 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Zum 1. Januar 2016 wurde die saturn petcare inc., Lincoln Park NJ, USA, erstkonsolidiert. Bislang war die Gesellschaft ein nicht konsolidiertes verbundenes Unternehmen.; 85 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Auf die Einbeziehung von vier verbundenen Unternehmen wird verzichtet, da diese sowohl einzeln als auch zusammen für die Konzern-Kennzahlen und für die Verpflichtung, ein den tatsächlichen Verhältnissen entsprechendes Bild der Vermögens-, Finanz- und Ertragslage des Konzerns zu vermitteln, von untergeordneter Bedeutung sind (§ 296 Abs. 2 HGB).; 89 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Aus den Änderungen des Konsolidierungskreises ergeben sich keine wesentlichen Auswirkungen auf die Vergleichbarkeit mit den Vorjahreszahlen.; 85 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
"At-equity Konsolidierung
";;2016;"heristo holding gmbh
";Konzernabschluss;PwC
"Drei Gesellschaften werden mittels der at-equity-Konsolidierung in den Konzernabschluss einbezogen. Der sich hieraus ergebende anteilige Jahresüberschuss der equity-Beteiligungen des Jahres 2016 beträgt T€ 564.

";;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Stichtag des Konzernabschlusses und Prüfung der Einzelabschlüsse;;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Alle in den Konzernabschluss einbezogenen Unternehmen haben den 31. Dezember als Abschlussstichtag.;;2016;"heristo holding gmbh
";Konzernabschluss;PwC
III. Konsolidierungs-, Bilanzierungs- und Bewertungsgrundsätze;;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Die Abschlüsse der einbezogenen Gesellschaften zum 31. Dezember 2016 sind nach den Vorschriften des HGB aufgestellt. Für die Konsolidierung der ausländischen Gesellschaften sind nach den Vorgaben des Mutterunternehmens Abschlüsse erstellt worden, die dem HGB entsprechen.; 9.0 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
a) Konsolidierungsgrundsätze; 9.0 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Kapitalkonsolidierung; 9.0 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Die nach der Buchwertmethode durchgeführte Kapitalkonsolidierung (§ 301 Abs. 1 Satz 2 Nr. 1 HGB a.F.) wurde gem. Art. 66 Abs. 3 Satz 4 EGHGB auf der Grundlage der Wertansätze der Anteile an den in den Konzernabschluss einbezogenen Unternehmen zum Erwerbs- oder Gründungszeitpunkt bzw. zum Zeitpunkt der erstmaligen Einbeziehung in den Konzernabschluss fortgeführt. Gesellschaften, die ab 2010 erstmalig in den Konzernabschluss der heristo holding gmbh einbezogen werden, sind aufgrund der Änderungen durch das BilMoG nach der Neubewertungsmethode gemäß § 301 Abs. 1 HGB konsolidiert worden. Im Rahmen der Erstkonsolidierung nach der Neubewertungsmethode wird der Wertansatz der konsolidierungspflichtigen Anteile mit dem darauf entfallenden (neubewerteten) Eigenkapital des Tochterunternehmens verrechnet. Dieses ist mit dem Betrag anzusetzen, der dem beizulegenden Zeitwert der Vermögensgegenstände, Schulden, Rechnungsabgrenzungsposten und Sonderposten im maßgeblichen Erstkonsolidierungszeitpunkt entspricht. Ein nach der Verrechnung verbleibender Unterschiedsbetrag wird in der Konzernbilanz, wenn er auf der Aktivseite entsteht, als Geschäfts- oder Firmenwert und, wenn er auf der Passivseite entsteht, unter dem Posten „Unterschiedsbetrag aus der Kapitalkonsolidierung“ nach dem Eigenkapital gemäß § 301 Abs. 3 Satz 1 HGB ausgewiesen.; 9.0, 92 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Beteiligungen von untergeordneter Bedeutung werden nach der Anschaffungskostenmethode bewertet.; 9.0 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Schuldenkonsolidierung; 9.0 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Bei der Schuldenkonsolidierung werden Ausleihungen und andere Forderungen, Rückstellungen und Verbindlichkeiten sowie Haftungsverhältnisse zwischen den einbezogenen Unternehmen sowie entsprechende Rechnungsabgrenzungsposten zwischen den einbezogenen Unternehmen gemäß § 303 HGB aufgerechnet.; 9.0 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Zwischenergebniseliminierung; 9.0 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Zwischenergebnisse werden gemäß § 304 HGB eliminiert, wenn zum Stichtag des Konzernabschlusses Vermögensgegenstände aus Lieferungen innerhalb des Konzerns vorhanden sind.; 9.0 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Aufwands- und Ertragskonsolidierung; 9.0 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Bei der Konsolidierung von Aufwendungen und Erträgen gemäß § 305 HGB innerhalb der einbezogenen Unternehmen des Konzerns wurden die Innenumsatzerlöse eliminiert. Des Weiteren wurden die sonstigen betrieblichen Erträge, die sonstigen betrieblichen Aufwendungen sowie Zinserträge und Zinsaufwendungen, die aus konzerninternen Geschäftsvorfällen resultieren, eliminiert.; 9.0 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
"Latente Steuern aufgrund von Konsolidierungsmaßnahmen
"; 9.35, 9.64, 25 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Auf HB II-Anpassungsbuchungen sowie ergebniswirksame Konsolidierungsmaßnahmen werden aktive und passive Steuerabgrenzungen vorgenommen, soweit sich der abweichende Steueraufwand in späteren Geschäftsjahren voraussichtlich ausgleicht.; 9.35, 9.64, 25 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
a) Bilanzierungs- und Bewertungsgrundsätze;;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Immaterielle Vermögensgegenstände sind zu Anschaffungskosten, vermindert um planmäßige lineare Abschreibungen, angesetzt. Die Abschreibungen des beweglichen Anlagevermögens erfolgen linear bei Nutzungsdauern zwischen drei und zehn Jahren.; 9.2 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Die Konzessionen, gewerblichen Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten beinhalten im Wesentlichen erworbene Markenrechte und Software-Lizenzen.; 9.4 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Ein im Geschäftsjahr 2014 entstandener Geschäfts- und Firmenwert wird linear über eine Nutzungsdauer von 5 Jahren abgeschrieben. Die Restnutzungsdauer beträgt rd. 3 Jahre.; 9.5, 14 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
Die Bewertung der Sachanlagen erfolgt zu den handelsrechtlich aktivierungspflichtigen Anschaffungs- oder Herstellungskosten, vermindert um planmäßige sowie außerplanmäßige Abschreibungen. Die planmäßigen Abschreibungen erfolgen linear unter Zugrundelegung der betriebsgewöhnlichen Nutzungsdauern.; 9.7 ;2016;"heristo holding gmbh
";Konzernabschluss;PwC
