Ab S. 42; Annotierung (Angabe Nummer in Anahngscheckliste) ;Gesch„ftsjahr;Gesellschaft;Abschlussart;Prfer
Anhang fr das Gesch„ftsjahr 2016/2017;;2016/2017;AG;Jahresabschluss;Ebner Stolz
der Bastei Lbbe AG, K”ln;;2016/2017;AG;Jahresabschluss;Ebner Stolz
I. Allgemeine Hinweise;;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Die Bastei Lbbe AG (Amtsgericht K”ln, HRB 79249) hat ihren Sitz in der Schanzenstraáe 6 - 20, 51063 K”ln, Deutschland. Die Bastei Lbbe AG ist ein Medienunternehmen in Form eines Publikumsverlages. Im
Rahmen ihrer Gesch„ftst„tigkeit gibt Bastei Lbbe Bcher, H”rbcher, eBooks und weitere digitale Produkte mit belletristischem und popul„rwissenschaftlichem Inhalt sowie periodisch erscheinende Zeitschriften
in Form von Romanheften und R„tselmagazinen heraus. Weiterhin geh”rt zur Gesch„ftst„tigkeit von Bastei Lbbe die Lizenzierung von Rechten und bis zum 31. Dezember 2016 die Entwicklung, Produktion
und der Vertrieb von Geschenk-, Deko- und Merchandisingartikeln."; 113 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
II. Bilanzierungs- und Bewertungsmethoden; 8 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Die Gesellschaft ist eine groáe Kapitalgesellschaft im Sinne des õ 267 Absatz 3 Satz 2 HGB.; 8 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Bei der Bilanzierung und Bewertung sind die einschl„gigen Vorschriften des Handelsgesetzbuches sowie des Aktiengesetzes angewandt worden.; 8 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Im Berichtsjahr wurden die durch das Bilanzrichtlinie-Umsetzungsgesetz (kurz: BilRUG) ge„nderten Vorschriften des HGB erstmals angewandt. Die nderungen betreffen insbesondere die Anwendung des
ge„nderten Gliederungsschemas fr die Gewinn- und Verlustrechnung. Auf Umgliederungen von sonstigen betrieblichen Ertr„gen in die Umsatzerl”se unter Anpassung der Vorjahreszahlen wurde wegen Geringfgigkeit
verzichtet. Im šbrigen entsprechen Darstellung und Gliederung des Jahresabschlusses den Vorjahresgrunds„tzen."; 1,2,59 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Die Gewinn- und Verlustrechnung ist nach dem Gesamtkostenverfahren aufgestellt.; 8 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Die angewandten Bilanzierungs-, Bewertungs- und Abschreibungsmethoden bercksichtigen alle erkennbaren Risiken; sie sind im Einzelnen bei der Erl„uterung der Bilanzposten dargestellt."; 8 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Die Bilanzierung und die Bewertungsmethoden sind gegenber dem Vorjahr beibehalten worden.; 8 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Durch den Erwerb von LYX zum 1. Juni 2016 und den Verkauf von R„der zum 1. Januar 2017 sind die Zahlen des Gesch„ftsjahres mit denen des Vor-Gesch„ftsjahres nur bedingt vergleichbar.; 1 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
III. Erl„uterungen zur Bilanz;;2016/2017;AG;Jahresabschluss;Ebner Stolz
Anlageverm”gen; 4.1 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Die Entwicklung der Anschaffungs- oder Herstellungskosten sowie der Abschreibungen aller Positionen des Anlageverm”gens im Gesch„ftsjahr 2016/17 ist aus dem Anlagespiegel ersichtlich.; 4.1,16 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Immaterielle Verm”gensgegenst„nde und Sachanlagen; 4.2,4.7 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Die entgeltlich erworbenen immateriellen Verm”gensgegenst„nde sind zu Anschaffungskosten vermindert um planm„áige kumulierte Abschreibungen bilanziert. Die Abschreibungen werden linear ber die
betriebsgew”hnliche Nutzungsdauer von drei bis fnfzehn Jahren vorgenommen. Die Gesch„fts- und Firmenwerte werden ber 15 Jahre abgeschrieben, da die Gesellschaft beim Erwerb von einem stabilen
Gesch„ftsfeld ausging. Es kann jedoch nicht ganz ausgeschlossen werden, dass die erworbenen Gesch„ftsbereiche durch Marktver„nderungen negativ beeinflusst werden (z. B. im Zuge der Digitalisierung). Die
Restnutzungsdauern liegen bei neun und zehn Jahren. Es liegen keine Anhaltspunkte ber eine Verkrzung der ursprnglich angenommenen Nutzungsdauern vor. Im Gesch„ftsjahr 2016/17 verminderten sich die
Gesch„fts- und Firmenwerte durch den Verkauf der Sparte R„der um TEUR 889."; 4.2,8.2,14 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Die Sachanlagen sind zu Anschaffungs- oder Herstellungskosten, vermindert um planm„áige, kumulierte, nutzungsbedingte Abschreibungen bewertet. Auáerplanm„áige Abschreibungen werden vorgenommen,
soweit der Ansatz mit einem niedrigeren Wert erforderlich ist. Im Gesch„ftsjahr 2016/17 wurden keine auáerplanm„áigen Abschreibungen vorgenommen."; 4.7,8.7,63 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Technische Anlagen und Maschinen werden in l„ngstens zehn Jahren, andere Anlagen, Betriebs- und Gesch„ftsausstattung berwiegend zwischen drei und fnfzehn Jahren nach der linearen Methode abgeschrieben.
Im Jahr des Zugangs erfolgt die Abschreibung zeitanteilig."; 4.9,8.9 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Die geringwertigen Wirtschaftsgter bis EUR 410,00 werden am Ende des Jahres voll abgeschrieben. Geringwertige Wirtschaftsgter bis zu EUR 150,00 werden unmittelbar als Aufwand erfasst.; 4.7,8.1 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Finanzanlagen; 4.12 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Die Anteile an verbundenen Unternehmen und Beteiligungen sind zu Anschaffungskosten abzglich etwaig notwendiger Abschreibungen bilanziert. Im Gesch„ftsjahr 2016/17 wurde die Beteiligung an der Bastei
LLC, Santa Monica/USA in H”he von TEUR 91 auáerplanm„áig abgeschrieben."; 4.13,8.13,64 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Am 31. M„rz 2017 stellt sich der Beteiligungsbesitz der Gesellschaft wie folgt dar:; 4.13 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Anteile an verbundenen Unternehmen Eigenkapital
Kapitalanteil.
in % Jahresergebnis
Siebter Himmel Bastei Lbbe GmbH, K”ln1) TEUR 30 100 TEUR 18
Bastei Media GmbH, Erfurt2) TEUR 195 100 -TEUR 1
Bastei Lbbe International Ltd., Hongkong3) - 100 -
BEAM Shop GmbH, K”ln4) TEUR 194 100 -TEUR 328
Bastei Ventures GmbH, K”ln5) TEUR 22 100 -TEUR 3
Moravsk  Bastei MOBA s.r.o., Brnn/Tschechien6) TCZK 38.351 89,7 TCZK 12.903
oolipo AG, K”ln7) -TEUR 1.81216) 89 -TEUR 1.075
BookRix GmbH & Co. KG, Mnchen8) -TEUR 8516) 54 TEUR 31
Daedalic Entertainment GmbH, Hamburg9) TEUR 3.853 51 -TEUR 55
BuchPartner GmbH, Darmstadt10) TEUR 4.866 51 TEUR 15
BHS Service GmbH, Darmstadt15) TEUR 31 51 TEUR 0
Bastei LLC, Santa Monica/USA11) TUS$ 54 50 -TUS$ 45
HPR Bild & Ton GmbH, K”ln12) -TEUR 24816) 25 -TEUR 223
CE Community Editions GmbH, K”ln13) TEUR 23 30 -TEUR 1
R„der GmbH, Bochum14) TEUR 13 20 -
1) Angaben lt. vorl„ufigem Jahresabschluss zum 31. M„rz 2017
2) Angaben lt. vorl„ufigem Jahresabschluss zum 31. Dezember 2015
3) Grndung der Gesellschaft im August 2013. Der Gesch„ftsbetrieb wurde noch nicht aufgenommen
4) Angaben lt. vorl„ufigem Jahresabschluss zum 31. Dezember 2016
5) Angaben lt. vorl„ufigem Jahresabschluss zum 31. Dezember 2016
6) Angaben lt. vorl„ufigem Jahresabschluss zum 31. Dezember 2016
7) Angaben lt. vorl„ufigem Jahresabschluss zum 31. Dezember 2016
8) Angaben lt. vorl„ufigem Jahresabschluss zum 31. Dezember 2015
9) Angaben lt. vorl„ufigem Jahresabschluss zum 31. Dezember 2016
10) Angaben lt. vorl„ufigem Jahresabschluss zum 31. Dezember 2016
11) Angaben lt. vorl„ufigem Jahresabschluss zum 31. Dezember 2016
12) Angaben lt. Jahresabschluss zum 31. Dezember 2015
13) Angaben lt. Jahresabschluss zum 31. Dezember 2015
14) Laut Er”ffnungsbilanz zum 19. Oktober 2016
15) Angaben lt. vorl„ufigem Jahresabschluss zum 31. Dezember 2016
16) Nicht durch Eigenkapital gedeckter Fehlbetrag"; 94,96 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Ausleihungen an Unternehmen mit denen ein Beteiligungsverh„ltnis besteht und Sonstige Ausleihungen; 4.14,4.16,4.18 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Die Ausleihungen sind zum Nennwert bilanziert.; 4.14,4.16,4.18 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Bestand vorausgezahlter Autorenhonorare;;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Autorenhonorare werden zu Anschaffungskosten bilanziert. Aufgrund der Verwertungserwartungen werden angemessene Abschreibungen vorgenommen. Die auf die Autorenhonorare geleisteten Anzahlungen
sind zum Nominalbetrag bilanziert."; 4.24,8.24 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Die aktivierten Autorenhonorare werden im Rahmen einer verwertungsabh„ngigen Abschreibung so lange um die tats„chlichen Absatzhonorare wertberichtigt bis das Garantiehonorar aufgebraucht ist. šber die
planm„áigen Abschreibungen hinaus werden sowohl bei den Autorenhonoraren als auch bei den geleisteten Anzahlungen zus„tzliche Abschreibungen vorgenommen, sofern zuknftig kein ausreichender Absatz
mehr erwartet wird. Im Gesch„ftsjahr wurden auáerplanm„áige Abschreibungen in H”he von TEUR 5.553 auf den Bestand vorausgezahlter Autorenhonorare vorgenommen. Saldiert mit Wertaufholungen in H”he
von TEUR 335 ergab sich damit eine Ergebnisbelastung in H”he von TEUR 5.198."; 4.24,8.24,63 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Umlaufverm”gen; 4.19 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Vorr„te; 4.20 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Die Roh-, Hilfs- und Betriebsstoffe sind mit Anschaffungskosten gem. õ 255 Absatz 1 HGB bilanziert. Abwertungen fr Bestandsrisiken, die sich aus der Lagerdauer oder geminderter Verwertbarkeit ergeben,
wurden in angemessenem und ausreichendem Umfang vorgenommen."; 4.21,8.21 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Der Bestand an unfertigen und fertigen Erzeugnissen der Sparte ""Buch"" ist zu Herstellungskosten gem. õ 255 Absatz 2 HGB bilanziert. Diese enthalten die Einzelkosten fr Material und Druckkosten. Die
Gemeinkosten (z. B. Redaktionskosten) sind durch entsprechende Zuschl„ge auf die Einzelkosten erfasst."; 4.22,8.22 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Mit Hilfe einer Reichweitenanalyse wurden šberbest„nde identifiziert und darauf entsprechende Abschl„ge vorgenommen. Die sonstigen Anzahlungen sind zum Nominalbetrag bilanziert.; 4.24 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Forderungen und sonstige Verm”gensgegenst„nde; 4.25 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Die Forderungen und sonstigen Verm”gensgegenst„nde sind grunds„tzlich zu Nominalwerten angesetzt, wobei auf Forderungen aus Lieferungen und Leistungen neben notwendigen Einzelwertberichtigungen
eine Pauschalwertberichtigung vorgenommen wurde. Fremdw„hrungsforderungen werden zum Devisenkassamittelkurs zum Stichtag umgerechnet."; 4.26,4.29,8.26,8.29 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Die kreditversicherten Forderungen aus dem Buchbereich werden im Rahmen einer Vereinbarung durch die Vereinigte Verlagsauslieferung arvato media GmbH (VVA), Gtersloh, vorfinanziert. Die von der VVA
bezahlten Forderungen, fr die die VVA noch kein Geld vom Endkunden erhalten hat, werden weiterhin als Forderungen aus Lieferungen und Leistungen ausgewiesen. Die von der VVA erhaltenen vorfinanzierten
Betr„ge werden unter den sonstigen Verbindlichkeiten ausgewiesen."; 4.26,4.60,8.26,8.60 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Forderungen mit einer Restlaufzeit von mehr als einem Jahr bestehen bei den Forderungen aus Lieferungen und Leistungen in H”he von TEUR 1.135 (im Vj. TEUR 1.134).; 4.26 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Eigenkapital; 4.37 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Gezeichnetes Kapital; 4.38 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Das Grundkapital betr„gt wie im Vorjahr EUR 13.300.000,00 und ist eingeteilt in insgesamt 13.300.000 Stckaktien mit einem rechnerischen Anteil am Grundkapital von je EUR 1,00.; 4.38 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Eigene Anteile; 24 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Mit Beschluss der Hauptversammlung vom 10. September 2013 wurde der Vorstand gem„á õ 78 Absatz 1 Nr. 8 Aktiengesetz erm„chtigt, bis zum 1. September 2018 auáer zum Zweck des Handels in eigenen
Aktien eigene Aktien in einem Umfang von bis zu 10 % des Grundkapitals zu erwerben und diese zu allen zul„ssigen Zwecken zu verwenden. Zu weiteren Einzelheiten vergleiche die Erl„uterungen im Lagebericht
zu den Angaben nach õ 289 Absatz 4 HGB."; 24 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Zum Stichtag 31. M„rz 2017 sind unver„ndert zum Vorjahr 99.900 eigene Aktien im Eigentum der Gesellschaft (entspricht EUR 99.900,00 bzw. 0,75 % am Grundkapital). In H”he des Nennbetrages der eigenen
Anteile wurde eine Rcklage wegen eigener Aktien gebildet."; 24 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Kapitalrcklage; 4.39 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Die Kapitalrcklage betr„gt unver„ndert EUR 26.659.170,71.; 4.39,34 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Verwendung Bilanzgewinn des Gesch„ftsjahres 2015/16;;2016/2017;AG;Jahresabschluss;Ebner Stolz
Vom ausgewiesenen Bilanzgewinn des Gesch„ftsjahres 2015/16 in H”he von EUR 2.510.695,77 wurden EUR 1.320.010,00 an die Aktion„re ausgeschttet und EUR 1.190.685,77 als Gewinnvortrag eingestellt.; 72 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Genehmigtes Kapital; 33 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Auf der Hauptversammlung am 30. November 2016 wurde folgender Beschluss gefasst: Der Vorstand ist fr die Dauer von zwei Jahren vom Tag der Eintragung von õ 7 der Satzung im Handelsregister an
erm„chtigt, das Grundkapital der Gesellschaft mit Zustimmung des Aufsichtsrats einmalig gegen Bareinlagen um bis zu insgesamt EUR 1.330.000,00 durch Ausgabe von neuen, auf den Inhaber lautenden
Stckaktien zu erh”hen (Genehmigtes Kapital 2016)."; 24,33 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Der Vorstand ist erm„chtigt, mit Zustimmung des Aufsichtsrats ber den Ausschluss des gesetzlichen Bezugsrechts der Aktion„re zu entscheiden. Ein Bezugsrechtsausschluss ist jedoch nur zul„ssig, wenn der
auf die neuen Aktien entfallende Anteil am Grundkapital insgesamt 10 % des Grundkapitals nicht bersteigt, und zwar weder im Zeitpunkt des Wirksamwerdens dieser Erm„chtigung durch Eintragung des
Genehmigten Kapitals 2016 im Handelsregister noch im Zeitpunkt der Ausbung dieser Erm„chtigung, und der Ausgabepreis der neuen Aktien den B”rsenpreis der bereits b”rsennotierten Aktien zum Zeitpunkt
der endgltigen Festlegung des Ausgabebetrages durch den Vorstand, die m”glichst zeitnah zur Platzierung der Aktien erfolgen soll, nicht wesentlich im Sinne der õõ 203, Abs. 1 und 2, 186, Abs. 3, Satz 4
AktG unterschreitet. Sofern w„hrend der Laufzeit des Genehmigten Kapitals 2016 von anderen Erm„chtigungen zur Ausgabe oder zur Ver„uáerung von Aktien der Gesellschaft oder zur Ausgabe von Rechten,
die den Bezug von Aktien der Gesellschaft erm”glichen oder zu ihm verpflichten, Gebrauch gemacht und das Bezugsrecht gem„á oder entsprechend õ 186, Abs. 3, Satz 4 AktG ausgeschlossen wird, ist dies
auf die vorstehend genannte 10 %-Grenze anzurechnen."; 33 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Sonstige Rckstellungen; 4.50 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Die sonstigen Rckstellungen sind in H”he des nach vernnftiger kaufm„nnischer Beurteilung notwendigen Erfllungsbetrages angesetzt. Rckstellungen mit einer Restlaufzeit von unter einem Jahr werden
nicht abgezinst."; 4.50,8.50 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
"Die sonstigen Rckstellungen enthalten im Wesentlichen Remissionsrckstellungen in H”he von TEUR 5.505 (im Vj. TEUR 5.560) fr ausgelieferte, aber voraussichtlich zurckgesandte Waren. Die Gesellschaft
erteilt den Kunden Gutschriften in H”he des vollen Rechnungsbetrages. Der Wert der Rckstellung wird unter Zuhilfenahme von durchschnittlichen historischen Rcklieferungsmengen der insgesamt ausgelieferten
Waren ermittelt."; 4.50,8.50 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
Bei Romanheften, die nach dem Verfahren der k”rperlosen Remission vertrieben werden, erfolgt keine Rcksendung der Waren. Es wird lediglich die entsprechende Gutschrift erteilt.; 4.50,8.50 ;2016/2017;AG;Jahresabschluss;Ebner Stolz
