; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Anhang ;;2016;DB Cargo Aktiengesellschaft;Jahresabschluss;PwC
Anhang für das Geschäftsjahr 2016;;2016;DB Cargo Aktiengesellschaft;Jahresabschluss;PwC
Die Gesellschaft unterliegt dem deutschen Handelsrecht. Sie ist wie folgt im Handelsregister eingetragen:; 113 ;2016;DB Cargo Aktiengesellschaft;Jahresabschluss;PwC
"Firmenname: DB Cargo Aktiengesellschaft (vormals DB Schenker Rail Aktiengesellschaft)
Firmensitz: Mainz
Registergericht: Amtsgericht Mainz
Handelsregister–Nummer: HR B 7498"; 113 ;2016;DB Cargo Aktiengesellschaft;Jahresabschluss;PwC
"Der Jahresabschluss der DB Cargo AG ist nach den Vorschriften des Handelsgesetzbuchs (HGB) in der Fassung des am 23. Juli 2015 in Kraft getretenen Bilanzrichtlinie-Umsetzungsgesetzes (BilRUG) und des Aktiengesetzes (AktG) in der aktuell gültigen Fassung sowie der Verordnung über die Gliederung des Jahresabschlusses von Verkehrsunternehmen aufgestellt. Um die Klarheit der Darstellung zu verbessern, sind gesetzlich vorgesehene Posten der Bilanz und der Gewinn- und Verlustrechnung (GuV) zusammengefasst. Der Anhang enthält die erforderlichen Einzelangaben und Erläuterungen. Soweit Beziehungen der Gesellschaft zu DB Mobility Logistics (DB ML AG) erläutert werden, bestehen diese mit Wirkung vom 26. August 2016 mit der Deutsche Bahn AG (DB AG) als Rechtsnachfolger, da zu diesem Zeitpunkt
die DB ML AG auf die DB AG verschmolzen wurde."; 8.0, 7 ;2016;DB Cargo Aktiengesellschaft;Jahresabschluss;PwC
Die DB Cargo AG betreibt neben Eisenbahnverkehr auch Serviceeinrichtungen in Form von Wartungseinrichtungen im Sinne von Anlage 2 Nr. 2 Buchstaben e und f Eisenbahnregulierungsgesetz (ERegG) Damit sind die Pflichten zur getrennten Rechnungslegung nach § 12 Abs. 2 ERegG zu beachten. Im Übrigen wird auch auf die Anlage zum Anhang verwiesen.; 8.0 ;2016;DB Cargo Aktiengesellschaft;Jahresabschluss;PwC
(1) Bilanzierungs- und Bewertungsmethoden;;2016;DB Cargo Aktiengesellschaft;Jahresabschluss;PwC
Die Bilanzierungs- und Bewertungsmethoden sind, mit Ausnahme der sich durch die Einführung des BilRUG ergebenden Änderungen, gegenüber dem Vorjahr im Wesentlichen unverändert. Sich ergebende, wesentliche Änderungen werden an der betroffenen Stelle dieses Anhangs erläutert.; 8.0 ;2016;DB Cargo Aktiengesellschaft;Jahresabschluss;PwC
Entgeltlich erworbene immaterielle Anlagegegenstände (Kundenstamm), mit Ausnahme geringwertiger Software, sind mit ihren Anschaffungskosten abzüglich planmäßiger linearer Abschreibungen angesetzt. Erworbene, im Einzelfall geringwertige Software wird im Anschaffungsjahr vollständig als Aufwand verrechnet.; 8.2 ;2016;DB Cargo Aktiengesellschaft;Jahresabschluss;PwC
Aufgrund wesentlicher Projekte im Zusammenhang mit den Digitalisierungsaktivitäten wird im DB Konzern seit dem Berichtsjahr das Wahlrecht gemäß § 248 Abs. 2 HGB zur Aktivierung selbst geschaffener immaterieller Vermögensgegenstände ausgeübt. Die Bewertung erfolgt zu Herstellungskosten abzüglich planmäßiger linearer Abschreibungen. In Höhe des aktivierten Betrages (55 Mio. €) ist gemäß § 268 Abs. 8 S.1 HGB eine potentielle Abführungssperre entstanden. Die Beträge sind bei den Rückstellungen erläutert.; 8.1, 10 ;2016;DB Cargo Aktiengesellschaft;Jahresabschluss;PwC
Der bei der DB Cargo AG aktivierte entgeltlich erworbene Kundenstamm wurde über den voraussichtlichen Zeitraum der Nutzung (5 Jahre) planmäßig abgeschrieben; 8.2 ;2016;DB Cargo Aktiengesellschaft;Jahresabschluss;PwC
Nach dem 31. Dezember 2015 selbst geschaffene immaterielle Vermögensgegenstände des Anlagevermögens werden planmäßig über 10 Jahre abgeschrieben.; 8.1 ;2016;DB Cargo Aktiengesellschaft;Jahresabschluss;PwC
Das Sachanlagevermögen ist mit Anschaffungs- oder Herstellungskosten und, soweit abnutzbar, unter Berücksichtigung planmäßiger Abschreibungen bewertet. Außerplanmäßige Abschreibungen auf niedrigere beizulegende Werte werden gegebenenfalls vorgenommen.; 8.7 ;2016;DB Cargo Aktiengesellschaft;Jahresabschluss;PwC
Die Herstellungskosten umfassen neben den Einzelkosten auch Material- und Fertigungsgemeinkosten sowie planmäßige Abschreibungen, soweit diese durch die Fertigung veranlasst sind. Gemeinkosten und Abschreibungen sind auf Basis der bei normaler Beschäftigung und unter wirtschaftlichen Bedingungen anfallenden Kosten ermittelt. Zinsen auf Fremdkapital und Verwaltungskosten werden nicht in die Herstellungskosten einbezogen.; 8.7, 9 ;2016;DB Cargo Aktiengesellschaft;Jahresabschluss;PwC
Anschaffungspreisminderungen, die dem Vermögensgegenstand einzeln zugeordnet werden können, werden von den Anschaffungskosten abgesetzt.; 8.7 ;2016;DB Cargo Aktiengesellschaft;Jahresabschluss;PwC
Die planmäßigen Abschreibungen erfolgen unter Zugrundelegung der betriebsgewöhnlichen Nutzungsdauern linear „pro rata temporis“. Die Nutzungsdauern der wesentlichen Gruppen sind folgender Tabelle zu entnehmen:; 8.7 ;2016;DB Cargo Aktiengesellschaft;Jahresabschluss;PwC
"Bahnkörper, Brücken, Bahnübergänge 25 – 75
Gleisanlagen 13 – 26
Gebäude, Hallen und Überdachungen 10 – 50
Übrige bauliche Anlagen 10 – 33
Signalanlagen 20
Fernmeldeanlagen 8
Bahnstromanlagen 10 – 20
Schienenfahrzeuge 15 – 30
Sonstige technische Anlagen, Maschinen und Fahrzeuge 5 – 20
Betriebs- und Geschäftsausstattung 3 – 13
Kundenstamm 5
Selbst geschaffene Software 10"; 8.7 ;2016;DB Cargo Aktiengesellschaft;Jahresabschluss;PwC
Geringwertige Anlagegegenstände im Einzelwert bis 2.000 € werden im Zugangsjahr voll abgeschrieben und im Anlagengitter als Abgang ausgewiesen.; 8.7 ;2016;DB Cargo Aktiengesellschaft;Jahresabschluss;PwC
Finanzanlagen sind mit Anschaffungskosten, gegebenenfalls - bei voraussichtlich dauerhafter oder vorübergehender Wertminderung - unter Vornahme außerplanmäßiger Abschreibungen auf den niedrigeren beizulegenden Wert, ausgewiesen.; 8.12 ;2016;DB Cargo Aktiengesellschaft;Jahresabschluss;PwC
Die Vorräte sind zu Anschaffungs- oder Herstellungskosten bewertet, bei Roh-, Hilfs- und Betriebsstoffen wird überwiegend die Durchschnittsmethode angewandt (zu den Bestandteilen der Herstellungskosten siehe Erläuterungen zum Anlagevermögen). Risiken in den Beständen, die sich aus eingeschränkter Verwendbarkeit, langer Lagerdauer, Preisänderungen am Beschaffungsmarkt oder sonstigen Wertminderungen ergeben, sind durch Abwertungen berücksichtigt.; 8.20 ;2016;DB Cargo Aktiengesellschaft;Jahresabschluss;PwC
