; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Anhang ;;;;;
Anhang für das Geschäftsjahr 2016;;;;;
Die Gesellschaft unterliegt dem deutschen Handelsrecht. Sie ist wie folgt im Handelsregister eingetragen:; 113 ;2016;DB Fernverkehr AG;Jahresabschluss;PwC
"Firmenname: DB Fernverkehr Aktiengesellschaft
Firmensitz: Frankfurt am Main
Registergericht: Amtsgericht Frankfurt am Main
Handelsregister-Nummer: HRB 83173"; 113 ;2016;DB Fernverkehr AG;Jahresabschluss;PwC
Der Jahresabschluss der DB Fernverkehr Aktiengesellschaft, Frankfurt am Main (im Folgenden: DB Fernverkehr AG) ist nach den Vorschriften des Handelsgesetzbuchs (HGB) in der Fassung des am 23. Juli 2015 in Kraft getretenen Bilanzrichtlinie-Umsetzungsgesetzes (BilRUG) und des Aktiengesetzes (AktG) in der aktuell gültigen Fassung sowie der Verordnung über die Gliederung des Jahresabschlusses von Verkehrsunternehmen aufgestellt. Um die Klarheit der Darstellung zu verbessern, sind gesetzlich vorgesehene Posten der Bilanz und der Gewinn- und Verlustrechnung (GuV) zusammengefasst.; 8.0, 7 ;2016;DB Fernverkehr AG;Jahresabschluss;PwC
Der Anhang enthält die erforderlichen Einzelangaben und Erläuterungen. Soweit Beziehungen der Gesellschaft zur DB Mobility Logistics Aktiengesellschaft, Berlin (im Folgenden: DB ML AG) erläutert werden, bestehen diese mit Wirkung vom 26. August 2016 mit der Deutsche Bahn Aktiengesellschaft, Berlin (im Folgenden: DB AG), da zu diesem Zeitpunkt die DB ML AG auf die DB AG verschmolzen wurde.;;2016;DB Fernverkehr AG;Jahresabschluss;PwC
Die DB Fernverkehr AG betreibt neben Eisenbahnverkehr auch Serviceeinrichtungen in Form von Wartungseinrichtungen und Außenreinigungsanlagen im Sinne von Anlage 2 Nr. 2 Buchstaben e und f Eisenbahnregulierungsgesetz (ERegG). Damit sind die Pflichten zur getrennten Rechnungslegung nach § 12 Abs. 2 ERegG zu beachten.; 8.0 ;2016;DB Fernverkehr AG;Jahresabschluss;PwC
Im Übrigen wird auf die Anlage zum Anhang verwiesen.;;2016;DB Fernverkehr AG;Jahresabschluss;PwC
(1) Bilanzierungs- und Bewertungsmethoden;;2016;DB Fernverkehr AG;Jahresabschluss;PwC
Die Bilanzierungs- und Bewertungsmethoden sind, mit Ausnahme der sich durch die Einführung des BilRUG ergebenden Änderungen, gegenüber dem Vorjahr unverändert. Sich ergebende, wesentliche Änderungen werden an der betroffenen Stelle dieses Anhangs erläutert.;;2016;DB Fernverkehr AG;Jahresabschluss;PwC
Entgeltlich erworbene immaterielle Anlagegegenstände, mit Ausnahme geringwertiger Software, sind mit ihren Anschaffungskosten abzüglich planmäßiger linearer Abschreibungen angesetzt. Erworbene, im Einzelfall geringwertige Software wird im Anschaffungsjahr vollständig als Aufwand verrechnet.; 8.2 ;2016;DB Fernverkehr AG;Jahresabschluss;PwC
Aufgrund wesentlicher Projekte im Zusammenhang mit den Digitalisierungsaktivitäten wird im Deutsche Bahn Konzern (im Folgenden: DB-Konzern) seit dem Berichtsjahr das Wahlrecht gemäß § 248 Abs. 2 HGB zur Aktivierung selbst geschaffener immaterieller Vermögensgegenstände des Anlagevermögens ausgeübt. Die Bewertung erfolgt zu Herstellungskosten abzüglich planmäßiger linearer Abschreibungen.; 8.1, 10 ;2016;DB Fernverkehr AG;Jahresabschluss;PwC
In Höhe des aktivierten Betrages (4 Mio. €) ist gemäß § 268 Abs. 8 Satz 1 HGB eine potenzielle Abführungssperre entstanden. Die Beträge sind bei den Rückstellungen erläutert.; 37 ;2016;DB Fernverkehr AG;Jahresabschluss;PwC
Das Sachanlagevermögen ist mit Anschaffungs- oder Herstellungskosten und, soweit abnutzbar, unter Berücksichtigung planmäßiger Abschreibungen bewertet.; 8.7 ;2016;DB Fernverkehr AG;Jahresabschluss;PwC
Außerplanmäßige Abschreibungen auf niedrigere beizulegende Werte werden gegebenenfalls vorgenommen.; 8.7 ;2016;DB Fernverkehr AG;Jahresabschluss;PwC
Die Herstellungskosten umfassen neben den Einzelkosten auch Material- und Fertigungsgemeinkosten sowie planmäßige Abschreibungen, soweit diese durch die Fertigung veranlasst sind. Gemeinkosten und Abschreibungen sind auf Basis der bei normaler Beschäftigung und unter wirtschaftlichen Bedingungen anfallenden Kosten ermittelt. Zinsen auf Fremdkapital und Verwaltungskosten werden nicht in die Herstellungskosten einbezogen.; 8.7, 9 ;2016;DB Fernverkehr AG;Jahresabschluss;PwC
Anschaffungspreisminderungen, die dem Vermögensgegenstand einzeln zugeordnet werden können, werden von den Anschaffungskosten abgesetzt.; 8.7 ;2016;DB Fernverkehr AG;Jahresabschluss;PwC
Die planmäßigen Abschreibungen erfolgen unter Zugrundelegung der betriebsgewöhnlichen Nutzungsdauern linear „pro rata temporis“.; 8.7 ;2016;DB Fernverkehr AG;Jahresabschluss;PwC
Die Nutzungsdauern der wesentlichen Gruppen sind folgender Tabelle zu entnehmen:; 8.7 ;2016;DB Fernverkehr AG;Jahresabschluss;PwC
"Bahnkörper, Tunnel, Brücken und Bahnübergänge 15-90
Gleisanlagen 13-26
Gebäude, Hallen und Überdachungen 10-75
Übrige bauliche Anlagen 8-60
Signalanlagen 10-40
Fernmeldeanlagen 5-20
Bahnstromanlagen 10-40
Schienenfahrzeuge 10-30
Sonstige technische Anlagen, Maschinen und Fahrzeuge 5-40
Betriebs- und Geschäftsausstattung 3-15
Entgeltlich erworbene und selbst geschaffene Software 3-5"; 8.7 ;2016;DB Fernverkehr AG;Jahresabschluss;PwC
Geringwertige Anlagegegenstände im Einzelwert bis 2.000 € werden im Zugangsjahr voll abgeschrieben und im Anlagengitter als Abgang ausgewiesen.; 8.7 ;2016;DB Fernverkehr AG;Jahresabschluss;PwC
Finanzanlagen sind mit Anschaffungskosten, gegebenenfalls - bei voraussichtlich dauerhafter oder vorübergehender Wertminderung - unter Vornahme außerplanmäßiger Abschreibungen auf den niedrigeren beizulegenden Wert ausgewiesen.; 8.12 ;2016;DB Fernverkehr AG;Jahresabschluss;PwC
Die Vorräte sind zu Anschaffungs- oder Herstellungskosten bewertet, bei Hilfs- und Betriebsstoffen wird überwiegend die Durchschnittsmethode angewandt (zu den Bestandteilen der Herstellungskosten siehe Anlagevermögen). Risiken in den Beständen, die sich aus eingeschränkter Verwendbarkeit, langer Lagerdauer, Preisänderungen am Beschaffungsmarkt oder sonstigen Wertminderungen ergeben, sind durch Abwertungen berücksichtigt.; 8.20 ;2016;DB Fernverkehr AG;Jahresabschluss;PwC
Forderungen und sonstige Vermögensgegenstände sind mit ihrem Nennbetrag angesetzt, soweit nicht in Einzelfällen ein niedrigerer Wertansatz geboten ist. Erkennbaren insolvenz- oder bonitätsbedingten Risiken wird durch Einzel- bzw. pauschalierte Einzelwertberichtigungen Rechnung getragen. Pauschalwertberichtigungen werden in Höhe von 1 % des Nettoforderungsbetrages gebildet. Aufwendungen für Wertberichtigungen aufgrund von reklamationsbedingten Risiken (Preisstellung, Leistungserbringung u. ä.) werden im Regelfall als Erlösschmälerungen von den Umsatzerlösen berücksichtigt.; 8.25 ;2016;DB Fernverkehr AG;Jahresabschluss;PwC
Kassenbestände und Bankguthaben sind zu Anschaffungskosten bewertet, soweit nicht in Einzelfällen ein niedrigerer Wertansatz geboten ist.; 8.33 ;2016;DB Fernverkehr AG;Jahresabschluss;PwC
Vermögensgegenstände, die dem Zugriff aller Gläubiger entzogen sind und ausschließlich der Erfüllung von Schulden aus Altersversorgungsverpflichtungen oder vergleichbaren langfristig fälligen Verpflichtungen dienen, sind gemäß § 246 Abs. 2 Satz 2 HGB mit diesen Schulden zu verrechnen. Das Saldierungsgebot gilt auch für korrespondierende Aufwendungen und Erträge aus der Auf- bzw. Abzinsung der Schulden und aus der Bewertung dieser Vermögensgegenstände. Die zur Saldierung herangezogenen Vermögensgegenstände werden gemäß § 253 Abs. 1 Satz 4 HGB vollständig zum beizulegenden Zeitwert auf der Basis von Marktwerten am Bilanzstichtag bewertet. Für die mit den Vermögensgegenständen verbundenen Verpflichtungen ist § 253 Abs. 1 Satz 3 HGB einschlägig.; 8.36, 44 ;2016;DB Fernverkehr AG;Jahresabschluss;PwC
Bei der DB Fernverkehr AG wird das Deckungsvermögen, das der Erfüllung von Schulden aus Altersversorgungsverpflichtungen (sogenannte Contractual-Trust-Arrangements) dient, mit der entsprechenden Pensionsverpflichtung verrechnet. Saldiert werden auch die korrespondierenden Aufwendungen und Erträge aus der Auf- bzw. Abzinsung der Pensionsverpflichtungen (einschließlich der Erfolgswirkungen aus der Änderung des Rechnungszinsfußes) und aus der Bewertung sowie den laufenden Erträgen des Deckungsvermögens. Der sich ergebende Saldo wird im Zinsergebnis ausgewiesen.; 8.36, 44 ;2016;DB Fernverkehr AG;Jahresabschluss;PwC
Der beizulegende Zeitwert übersteigt zum 31. Dezember 2016 die Anschaffungskosten des Deckungsvermögens. Der Unterschiedsbetrag ist gemäß § 268 Abs. 8 Satz 3 HGB potenziell abführungsgesperrt. Wir verweisen auf die Erläuterungen bei den Rückstellungen.; 8.36, 38, 44 ;2016;DB Fernverkehr AG;Jahresabschluss;PwC
Die DB Fernverkehr AG hat (darüber hinaus) langfristig fällige Verpflichtungen aus Wertguthaben für Langzeitkonten. Diese werden gemäß § 246 Abs. 2 Satz 2 HGB mit den durch den beauftragten Treuhänder verwalteten Kapitalanlagen verrechnet. Aufgrund der stets korrespondierenden Wertentwicklung von Rückstellungen und Deckungsansprüchen sind keine abführungsgesperrten Erträge entstanden.; 8.36, 44 ;2016;DB Fernverkehr AG;Jahresabschluss;PwC
Die Rückstellungen für Pensionen und ähnliche Verpflichtungen werden nach der Anwartschaftsbarwertmethode unter Berücksichtigung künftiger Entwicklungen sowie der Anwendung eines Prognosezinssatzes bewertet, der auf Basis des von der Deutschen Bundesbank per September 2016 veröffentlichten Rechnungszinses für Restlaufzeiten von 15 Jahren (Vereinfachungsregel) hergeleitet wurde. Für Altersversorgungsverpflichtungen in sogenannten Contractual-Trust-Arrangements werden Pensionsrückstellungen in Höhe des Mindestverpflichtungsumfangs bzw. zu dem den Mindestverpflichtungsumfang übersteigenden Zeitwert des Deckungsvermögens angesetzt. Bei der Bewertung der Pensionsverpflichtungen finden die Richttafeln 2005 G von Prof. Dr. Klaus Heubeck Anwendung.; 8.48, 41 ;2016;DB Fernverkehr AG;Jahresabschluss;PwC
Die Pensionsrückstellungen werden gemäß § 253 Abs. 2 Satz 1 HGB in diesem Jahresabschluss erstmals mit dem durchschnittlichen Marktzinssatz der vergangenen zehn (bisher sieben) Geschäftsjahre abgezinst. Im Vergleich zur Abzinsung mit dem Sieben-Jahres-Durchschnittszins (3,22 %) ergibt sich zum 31. Dezember 2016 ein Unterschiedsbetrag von 490 T€. Dieser ist gemäß § 253 Abs. 6 Satz 2 HGB potenziell ausschüttungs-, aber nicht abführungsgesperrt.; 8.48, 41, 42 ;2016;DB Fernverkehr AG;Jahresabschluss;PwC
Die wesentlichen zum 31. Dezember 2016 angewendeten versicherungsmathematischen Parameter sind der nachstehenden Tabelle zu entnehmen:; 8.48, 41 ;2016;DB Fernverkehr AG;Jahresabschluss;PwC
"%
Rechnungszinsfuß (10-Jahresdurchschnitt) 4,00
Erwartete Lohn- und Gehaltsentwicklung 2,60
Erwartete Rentenentwicklung (je nach Personengruppe) 1,75
Durchschnittlich zu erwartende Fluktuation 2,66"; 8.48, 41 ;2016;DB Fernverkehr AG;Jahresabschluss;PwC
