Ab S. 22; Annotierung (Angabe Nummer in Anahngscheckliste) ;Gesch„ftsjahr;Gesellschaft;Abschlussart;Prfer
Anhang zum Jahresabschluss 31.12.2016;;2016;AG;Jahresabschluss;Kesel & Partner
Duravit Aktiengesellschaft, Hornberg;;2016;AG;Jahresabschluss;Kesel & Partner
ALLGEMEINE ANGABEN;;2016;AG;Jahresabschluss;Kesel & Partner
Die Duravit Aktiengesellschaft hat ihren Sitz in Hornberg und ist eingetragen in das Handelsregister des Amtsgerichts Freiburg (HRB 680291).; 113   ;2016;AG;Jahresabschluss;Kesel & Partner
Die Erstellung des Jahresabschlusses erfolgte nach den Vorschriften des Handelsgesetzbuchs in der Fassung des Bilanzrichtlinie-Umsetzungsgesetzes (BilRUG).; 8 ;2016;AG;Jahresabschluss;Kesel & Partner
"Die Gesellschaft ist ?Groáe Kapitalgesellschaft"" (õ 267 Abs. 3 HGB). Der Jahresabschluss entspricht den Vorschriften des Dritten Buchs des HGB, dort insbesondere den Vorschriften, die fr Kapitalgesellschaften
gelten (õõ 264 ff. HGB) sowie den erg„nzenden Vorschriften der õõ 150 bis 160 AktG."; 8 ;2016;AG;Jahresabschluss;Kesel & Partner
"Die Gliederung der Bilanz und der Gewinn- und Verlustrechnung entspricht den õõ 266 und 275 HGB sowie den õõ 150 bis 158 AktG, wobei fr die Gewinn- und Verlustrechnung das Umsatzkostenverfahren
Anwendung findet."; 8 ;2016;AG;Jahresabschluss;Kesel & Partner
Die Gesellschaft stellt als Mutterunternehmen gem„á õ 290 HGB mit den vollkonsolidierten Tochterunternehmen laut Aufstellung Anteilsbesitz (Ziff. 4) einen Konzernabschluss auf.; 8,94 ;2016;AG;Jahresabschluss;Kesel & Partner
Von der Erleichterung gem„á õ 298 Abs. 3 HGB, den Konzernanhang und den Anhang des Jahresabschlusses des Mutterunternehmens zusammenzufassen, wurde kein Gebrauch gemacht.; 8 ;2016;AG;Jahresabschluss;Kesel & Partner
"Die Vorjahreszahlen der Gewinn- und Verlustrechnung sind aufgrund der Neufassung des õ 277 Abs. 1 HGB durch das BiIRUG nicht vergleichbar. Die sich bei Anwendung des õ 277 Abs. 1 HGB ergebenden
Vorjahreszahlen wurden fr Vergleichszwecke in einer gesonderten Spalte in der Gewinn- und Verlustrechnung dargestellt."; 2,3,8,59 ;2016;AG;Jahresabschluss;Kesel & Partner
"Die auf den vorangegangenen Jahresabschluss angewandten Ansatz- und Bewertungsmethoden wurden beibehalten. Einzige Ausnahme ist die aufgrund einer Gesetzes„nderung (õ 253 Abs. 2 S. 1 HGB) erstmalige
verpflichtende Bewertung der Pensionsrckstellung mit dem Durchschnittszinssatz der vergangenen zehn Jahre anstatt, wie bisher, dem Durchschnittszinssatz der vergangenen sieben Jahre."; 8,10 ;2016;AG;Jahresabschluss;Kesel & Partner
BILANZ;;2016;AG;Jahresabschluss;Kesel & Partner
1. IMMATERIELLE VERM™GENSGEGENSTNDE; 4.2 ;2016;AG;Jahresabschluss;Kesel & Partner
"Entgeltlich erworbene immaterielle Verm”gensgegenst„nde sind mit den Anschaffungskosten aktiviert und werden auf die voraussichtliche Nutzungsdauer abgeschrieben. Die planm„áige Nutzungsdauer betr„gt
3 bis 10 Jahre."; 4.2,8.2 ;2016;AG;Jahresabschluss;Kesel & Partner
2. SACHANLAGEN; 4.7 ;2016;AG;Jahresabschluss;Kesel & Partner
"Das Sachanlageverm”gen wird zu Anschaffungs- bzw. Herstellungskosten, vermindert um planm„áige Abschreibungen, angesetzt. Die Abschreibungen erfolgen jeweils nach den h”chstm”glichen S„tzen, teils
linear, teils degressiv. Neuzug„nge ab dem Jahr 2010 werden linear abgeschrieben."; 4.7,8.7 ;2016;AG;Jahresabschluss;Kesel & Partner
"Die planm„áige Nutzung der Sachanlagen betr„gt bei Geb„uden 10 bis 50 Jahre. Bei beweglichen Sachanlagen betr„gt die planm„áige Nutzungsdauer 3 bis 14 Jahre. Geringwertige Verm”gensgegenst„nde mit
Anschaffungswerten bis zu EUR 150,00 werden als sofort abzugsf„hige Betriebsausgaben behandelt. Verm”gensgegenst„nde mit Anschaffungs- bzw. Herstellungskosten von EUR 150,00 bis einschlieálich EUR
410,00 werden im Jahr der Anschaffung bzw. Herstellung vollst„ndig abgeschrieben."; 4.7 ;2016;AG;Jahresabschluss;Kesel & Partner
3. FINANZANLAGEN; 4.12 ;2016;AG;Jahresabschluss;Kesel & Partner
"Bei den Finanzanlagen sind die Anteile an verbundenen Unternehmen mit den Anschaffungskosten zuzglich Anschaffungsnebenkosten angesetzt. Bei voraussichtlich dauernder Wertminderung wurden diese
mit dem niedrigeren beizulegenden Wert angesetzt und auáerplanm„áige Abschreibungen vorgenommen."; 4.12,8.12 ;2016;AG;Jahresabschluss;Kesel & Partner
Die Gesellschaft h„lt folgende Beteiligungen nach õ 271 Abs. 1 HGB:; 4.15,94 ;2016;AG;Jahresabschluss;Kesel & Partner
