Ab PDF S. 26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anhang 2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
der Evonik Degussa GmbH, Essen; Annotierung (Angabe Nummer in Anhangscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anhang für das Jahr 2016;;2016;Evonik Degussa GmbH;Jahresabschluss;PwC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1. Grundlagen des Jahresabschlusses;;2016;Evonik Degussa GmbH;Jahresabschluss;PwC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1.1 Allgemeine Erläuterungen;;2016;Evonik Degussa GmbH;Jahresabschluss;PwC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Der Jahresabschluss der Evonik Degussa GmbH, Essen, wird nach den Vorschriften des Handelsgesetzbuches - in der Fassung des Bilanzrichtlinie-Umsetzungsgesetzes (BilRUG) - und des GmbH-Gesetzes aufgestellt. Darüber hinaus findet das Energiewirtschaftsgesetz (EnWG) Anwendung.; 8.0 ;2016;Evonik Degussa GmbH;Jahresabschluss;PwC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Die Evonik Degussa GmbH hat ihren Sitz in Essen und ist eingetragen in das Handelsregister beim Amtsgericht Essen (Reg. Nr. HRB 20227).; 90 ;2016;Evonik Degussa GmbH;Jahresabschluss;PwC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Im Interesse der Klarheit werden in der Bilanz und in der Gewinn- und Verlustrechnung einige Posten zusammengefasst und im Anhang gesondert ausgewiesen. So werden die in der Bilanzposition „übrige Forderungen und sonstige Vermögensgegenstände“ zusammengefassten „Forderungen gegenüber Unternehmen, mit denen ein Beteiligungsverhältnis besteht“ und die „sonstigen Forderungen“ im Anhang getrennt ausgewiesen. Entsprechend wird auch für Bilanzposition „sonstige Verbindlichkeiten“ vorgegangen, die die im Anhang getrennt dargestellten Positionen „Verbindlichkeiten gegenüber Unternehmen mit Beteili- gungsverhältnis“ und „sonstige Verbindlichkeiten“ zusammenfasst. Weiterhin werden die „Zinserträge“ und „Zinsaufwendungen“ des in der Gewinn- und Verlustrechnung zusammengefassten „Zinsergebnisses“ im Anhang separat dargestellt. Die „Forschungs- und Entwicklungskosten“ sowie die „Zuschreibungen zu Finanzanlagen“ werden als gesonderte Posten in der Gewinn- und Verlustrechnung ausgewiesen. Die Gliederung der Gewinn- und Verlustrechnung wurde zur besseren Übersichtlichkeit um die freiwilligen Zwischensummen „Ergebnis vor Ertragsteuern“ und „Ergebnis der betrieblichen Tätigkeit“ erweitert. Wei- terhin werden die nach den gesetzlichen Vorschriften bei den Posten der Bilanz und Gewinn- und Verlustrechnung anzubringenden Vermerke ebenso wie die Vermerke, die wahlweise in der Bilanz bzw. Gewinn– und Verlustrechnung oder im Anhang anzugeben sind, im Anhang aufgeführt.; 7   ;2016;Evonik Degussa GmbH;Jahresabschluss;PwC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Die Gewinn- und Verlustrechnung ist nach dem Umsatzkostenverfahren gemäß § 275 Abs. 3 HGB aufgestellt. Die Evonik Degussa GmbH ist eine große Kapitalgesellschaft im Sinne des § 267 Abs. 3 HGB.; 52, 53 ;2016;Evonik Degussa GmbH;Jahresabschluss;PwC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Das Geschäftsjahr entspricht dem Kalenderjahr.;;2016;Evonik Degussa GmbH;Jahresabschluss;PwC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
