Ab PDF S. 8; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Konzernanhang für das Geschäftsjahr 2015/2016;;2015/2016;AG & Co. KG;Konzernabschluss;PwC
1 Konsolidierungskreis und Konzernabschlussstichtag;;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"In den Konzernabschluss des Mutterunternehmens HARTING AG & Co. KG (bis 21. April 2016 HARTING KGaA) sind weitere 61 (zum
30. September 2015 59), davon 45 ausländische Unternehmen einbezogen, an denen die HARTING AG & Co. KG in der Regel
unmittelbar oder mittelbar zu 100 % beteiligt ist.";;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Die als Verwaltungs- und Finanzierungsholding konzipierte HARTING International GmbH hält die Anteile an den ausländischen
Tochterunternehmen, an der HARTING Eastern Europe GmbH, an der DACIA GmbH und an der EMEA GmbH.";;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Die einbezogenen Gesellschaften sind in der Aufstellung des Anteilsbesitzes als Anlage zum Konzernanhang aufgeführt.;;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Die in der Aufstellung des Anteilsbesitzes unter lit. b aufgeführten Gesellschaften wurden wegen ihrer untergeordneten Bedeutung für
die Darstellung der Vermögens-, Finanz- und Ertragslage des Konzerns gemäß § 296 Abs. 2 HGB nicht einbezogen."; 142, 145 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Die Beteiligungen sind in der Aufstellung des Anteilsbesitzes unter lit. c aufgeführt. Die Zellner GmbH und die IGEU
Feuerwehrbereitschaft GmbH stellen assoziierte Unternehmen dar. Gemäß § 311 Abs. 2 HGB wurde auf die Anwendung der Equity-
Bewertung verzichtet, da die Beteiligungen für die Vermögens-, Finanz- und Ertragslage des Konzernabschlusses von untergeordneter
Bedeutung sind."; 168, 170 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Die Gesellschaften in Brasilien, Indien, Russland und China stellen Zwischenabschlüsse auf den Konzernabschlussstichtag auf.;;2015/2016;AG & Co. KG;Konzernabschluss;PwC
2 Konsolidierungsgrundsätze;;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Die Kapitalkonsolidierung erfolgt entsprechend der durch BilMoG geänderten Vorschriften für ab dem 1. Oktober 2010 vorzunehmende
Erstkonsolidierungen nach der Neubewertungsmethode. Bezüglich der Altkonsolidierungsfälle (vor dem 1. Oktober 2010) wird die
Buchwertmethode fortgeführt. Dabei werden die Beteiligungsbuchwerte der Konzerngesellschaften gegen das bilanzielle anteilige
Eigenkapital zum Zeitpunkt der erstmaligen Einbeziehung verrechnet. Die bei der erstmaligen Aufstellung des Konzernabschlusses
verbliebenen passiven Unterschiedsbeträge sind wegen ihres Eigenkapitalcharakters - es handelte sich um thesaurierte Gewinne der
Tochtergesellschaften, die seit Gründung durch das Mutterunternehmen entstanden waren - mit den Rücklagen des Konzerns
verrechnet worden."; 156, 164 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Im Vergleich zum Konzernabschluss zum 30. September 2015 verringert sich der Konsolidierungskreis um die zum 31. März 2016 mit
der HARTING France E.U.R.L. verschmolzene HARTING E.U.R.L. Neu gegründet wurden die HARTING Mexico S.A. de C.V. (Mexiko), die
HARTING Mexico Manufacturing S.A. de C.V. (Mexiko) und die HARTING RO Automotive SRL (Rumänien).";;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Die HARTING WiMa AG (Luxemburg) & Co. KG, Espelkamp, ist persönlich haftende Gesellschafterin der HARTING AG & Co. KG. Sie ist
ferner am Kapital einzelner Tochtergesellschaften beteiligt. Der Kapitalanteil wird als „Ausgleichsposten für Anteile anderer
Gesellschafter“ im Eigenkapital gesondert ausgewiesen."; 26, 107 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Forderungen und Verbindlichkeiten zwischen den in den Konzernabschluss einbezogenen Unternehmen werden gegeneinander
aufgerechnet.";;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"In Vorratsbeständen enthaltene Zwischenergebnisse aus konzerninternen Lieferungen werden gegebenenfalls unter Berücksichtigung
latenter Steuern eliminiert. Zwischengewinne aus Verkäufen von Vermögensgegenständen des Anlagevermögens werden nur aus gruppeninternen Lieferungen von selbst erstellten neuen Anlagen eliminiert. Zwischengewinne aus Verkäufen gebrauchter Vermögensgegenstände innerhalb der HARTING-Gruppe werden aus Gründen der Wesentlichkeit gem. § 304 Abs. 2 HGB nicht
eliminiert.";;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Konzerninterne Umsätze, Materialaufwendungen, sonstige Erträge, sonstige Aufwendungen, Zinserträge und Zinsaufwendungen
werden gegeneinander verrechnet.";;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Bei den jeweiligen Obergesellschaften vereinnahmte Beteiligungserträge werden erfolgswirksam eliminiert.;;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Auf Konsolidierungsmaßnahmen mit zeitlich befristeten Ergebnisauswirkungen werden Steuerabgrenzungen vorgenommen. Die
Berechnung erfolgt mit dem landesüblichen Steuersatz.";;2015/2016;AG & Co. KG;Konzernabschluss;PwC
3 Währungsumrechnung einbezogener Jahresabschlüsse;;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Die Jahresabschlüsse der nicht im Währungsraum des EURO ansässigen Konzerngesellschaften werden in EURO umgerechnet. Dabei
werden für Vermögensgegenstände und Schulden die Mittelkurse zum Bilanzstichtag, für Aufwendungen und Erträge die
Jahresdurchschnittskurse angesetzt. Der gegenüber den Stichtagskursen sich ergebende Unterschiedsbetrag aus der Umrechnung der
Gewinn- und Verlustrechnung wird mit dem Eigenkapital verrechnet.";;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Die für den Konzernabschluss wesentlichen Währungen wurden zu folgenden - jeweils einem EURO entsprechenden - Kursen
umgerechnet:";;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Währungseinheit Durchschnittskurs Stichtagskurs
2015/2016 2014/15 30.09.2016 30.09.2015
US-Dollar USD 1,11 1,15 1,12 1,12
Britisches Pfund GBP 0,78 0,74 0,86 0,74
Schweizer Franken CHF 1,09 1,10 1,09 1,09
Chinesicher Renmimbi CNY 7,26 7,14 7,45 7,12
Japanischer Yen JPY 123,98 136,78 113,09 134,69";;2015/2016;AG & Co. KG;Konzernabschluss;PwC
4 Bilanzierungs- und Bewertungsmethoden; 29   ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Alle in den Konzernabschluss einbezogenen Unternehmen wenden einheitliche Bilanzierungs- und Bewertungsgrundsätze an.; 9.0, 29, 165 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Dem Konzernabschluss liegen die nach dem Recht des Mutterunternehmens aufgestellten Einzelabschlüsse der HARTING AG & Co.
KG, Espelkamp, sowie ihrer Tochter- und Enkelgesellschaften zugrunde (so genannte Handelsbilanzen II). Die in den Handelsbilanzen
II angewandten Bilanzierungs- und Bewertungsmethoden entsprechen denen des Mutterunternehmens."; 9.0, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Die Konzern-Gewinn- und Verlustrechnung ist nach dem Umsatzkostenverfahren gemäß § 275 Abs. 3 HGB gegliedert.; 9.0, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Anlagevermögen; 5.1, 9.1, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Eine von den historischen Anschaffungs- und Herstellungskosten ausgehende Darstellung der Entwicklung der einzelnen Bilanzposten
des Anlagevermögens ist im nachfolgenden Anlagenspiegel enthalten (Anlage 1 zum Konzernanhang)."; 5.1, 9.1, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Immaterielle Vermögensgegenstände; 5.2, 9.2, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Als immaterielle Vermögensgegenstände des Anlagevermögens werden im Wesentlichen entgeltlich erworbene DV-Programme
(Software) und Lizenzen ausgewiesen. Die Software wird zu Anschaffungskosten abzüglich planmäßiger linearer Abschreibungen bei
einer Nutzungsdauer von fünf Jahren angesetzt. Die übrigen immateriellen Vermögensgegenstände werden ausgehend von den
Anschaffungskosten über eine Nutzungsdauer von vier bis zehn Jahren abgeschrieben."; 5.2, 9.2, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Sachanlagen; 5.7, 9.7, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Das Sachanlagevermögen wird zu Anschaffungs- bzw. Herstellungskosten, vermindert um planmäßige Abschreibungen, bewertet.; 5.7, 9.7, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
"Die Zugänge bei beweglichen Anlagegegenständen werden über die voraussichtliche wirtschaftliche Nutzungsdauer linear
abgeschrieben. Bei Zugängen bis 31. Dezember 2007 wurde in der Regel degressiv mit Übergang auf die lineare Methode
abgeschrieben (bei Zugängen von Januar 2001 an maximal 20 % p.a., bei Zugängen von Januar 2006 an maximal 30 % p.a.).
Geringwertige Anlagegüter (Einzelanschaffungskosten von € 150,00 bis € 1.000,00), die zwischen dem 1. Januar 2008 und dem 30.
September 2010 angeschafft worden sind, werden pauschal über 5 Jahre abgeschrieben. Ab dem 1. Oktober 2010 werden
geringwertige Anlagegüter (Einzelanschaffungskosten € 150,00 bis € 410,00) wieder sofort abgeschrieben und nicht mehr als
Sammelposten aktiviert."; 5.7, 9.7, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
Den Abschreibungen der Posten des Sachanlagevermögens liegen folgende Nutzungsdauern zugrunde:; 5.7, 9.7, 29 ;2015/2016;AG & Co. KG;Konzernabschluss;PwC
