; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Konzernanhang für das Geschäftsjahr 2016;;;;;
1. Allgemeine Angaben;;;;;
Die Hellmann Worldwide Logistics GmbH & Co. KG, Osnabrück ist beim Handelsregister A des Amtsgerichts Osnabrück unter der Handelsregisternummer HRA 3760 gemeldet.; 83 ;2016;Hellmann Worldwide Logistics GmbH & Co. KG;Konzernabschluss;PwC
Der Konzernabschluss zum 31. Dezember 2016 wurde unter Beachtung der gesetzlichen Gliederungs- und Bewertungsvorschriften aufgestellt. Die Gliederung der Konzernbilanz und Konzern-Gewinn- und Verlustrechnung entspricht den Erfordernissen des § 298 HGB in Verbindung mit §§ 265 ff. HGB.; 9.0 ;2016;Hellmann Worldwide Logistics GmbH & Co. KG;Konzernabschluss;PwC
Die Bewertungsgrundsätze gemäß §§ 252 ff. HGB blieben im Vergleich zum Vorjahr - soweit nicht ausdrücklich genannt - unverändert.; 9.0 ;2016;Hellmann Worldwide Logistics GmbH & Co. KG;Konzernabschluss;PwC
Für die Gewinn- und Verlustrechnung wurde im Geschäftsjahr das Gesamtkostenverfahren gewählt.; 9.0 ;2016;Hellmann Worldwide Logistics GmbH & Co. KG;Konzernabschluss;PwC
Durch die Erstanwendung der Vorschriften des am 23. Juli 2015 in Kraft getretenen Bilanzrichtlinie-Umsetzungsgesetzes (BilRUG) ändern sich die bisherige Form der Darstellung und die bisher angewandten Ausweismethoden in der Gewinn- und Verlustrechnung. Im Einzelnen werden durch BilRUG die im Gliederungsschema der Gewinn- und Verlustrechnung enthaltenen Posten „außerordentliche Erträge“ und „außerordentliche Aufwendungen“ sowie dementsprechend die Zwischenergebnisse „Ergebnis der gewöhnlichen Geschäftstätigkeit“ und „außerordentliches Ergebnis“ gestrichen. Eine weitere Änderung des GuV-Gliederungsschemas ist die Einfügung eines Zwischenergebnisses „Ergebnis nach Steuern“ zwischen dem Posten „Steuern vom Einkommen und vom Ertrag“ und dem Posten „sonstige Steuern“. Diesbezüglich wurde eine entsprechende Anpassung der Vorjahresbeträge gemäß Art. 75 Abs. 2 EGHGB vorgenommen.; 2, 4 ;2016;Hellmann Worldwide Logistics GmbH & Co. KG;Konzernabschluss;PwC
Darüber hinaus ergeben sich durch die Erstanwendung des BilRUG im Geschäftsjahr 2016 Ausweisänderungen im Zusammenhang mit der Neudefinition der Umsatzerlöse. Diese betreffen insbesondere die Umsatzerlöse und die sonstigen betrieblichen Erträge sowie die korrespondierenden Aufwandsposten. Insofern sind die entsprechenden Vorjahresbeträge nicht vergleichbar.; 2, 3 ;2016;Hellmann Worldwide Logistics GmbH & Co. KG;Konzernabschluss;PwC
Die Bilanzierung erfolgt unter Beachtung der Going-Concern-Prämisse gem. § 252 Abs. 1 Nr. 2 HGB.; 9.0 ;2016;Hellmann Worldwide Logistics GmbH & Co. KG;Konzernabschluss;PwC
Angaben, die wahlweise in der Bilanz oder im Anhang gemacht werden können, sind insgesamt im Anhang aufgeführt. Darüber hinaus wurden zwecks Erhöhung der Klarheit und Übersichtlichkeit des Jahresabschlusses alle Davon-Vermerke der Bilanz und der Gewinn- und Verlustrechnung in den Anhang übernommen.; 8 ;2016;Hellmann Worldwide Logistics GmbH & Co. KG;Konzernabschluss;PwC
2. Angaben zur Konsolidierung;;2016;Hellmann Worldwide Logistics GmbH & Co. KG;Konzernabschluss;PwC
a) Konsolidierungskreis;;2016;Hellmann Worldwide Logistics GmbH & Co. KG;Konzernabschluss;PwC
Im Wege der Vollkonsolidierung einbezogen wurden diejenigen Tochtergesellschaften der Hellmann Worldwide Logistics GmbH & Co. KG, Osnabrück, bei denen die Voraussetzungen des § 290 Abs. 1 HGB erfüllt sind. Aufgrund untergeordneter Bedeutung für die Darstellung eines den tatsächlichen Verhältnissen entsprechenden Bildes der Vermögens-, Finanz- und Ertragslage sind abweichend von diesen Grundsätzen einige Gesellschaften nach § 296 Abs. 2 HGB nicht konsolidiert worden. Der Ausweis dieser nicht einbezogenen Unternehmen erfolgt unter den Anteilen an verbundenen Unternehmen.; 89 ;2016;Hellmann Worldwide Logistics GmbH & Co. KG;Konzernabschluss;PwC
Diejenigen Gesellschaften, auf die ein maßgeblicher Einfluss auf die Geschäfts- und Finanzpolitik ausgeübt wird, wurden entsprechend § 311 Abs. 1 HGB (At Equity) einbezogen. In Ausübung des Wahlrechts nach § 311 Abs. 2 HGB wurden sieben assoziierte Unternehmen nicht nach der Equity-Methode in den Konzernabschluss einbezogen, wenn diese für die Vermittlung eines den tatsächlichen Verhältnissen entsprechenden Bildes der Vermögens- und Finanzlage des Konzerns von untergeordneter Bedeutung sind. Der Ausweis dieser nicht einbezogenen Unternehmen erfolgt unter den Beteiligungen.; 96 ;2016;Hellmann Worldwide Logistics GmbH & Co. KG;Konzernabschluss;PwC
Daneben wurde die Befreiungsvorschrift des § 313 Abs. 2 Nr. 4 Satz 3 HGB in Anspruch genommen.;;2016;Hellmann Worldwide Logistics GmbH & Co. KG;Konzernabschluss;PwC
Die Aufstellung des Konsolidierungskreises gemäß § 313 Abs. 2 HGB befindet in diesem Anhangs.;;2016;Hellmann Worldwide Logistics GmbH & Co. KG;Konzernabschluss;PwC
Im Geschäftsjahr 2016 erfolgte die erstmalige Vollkonsolidierung der folgenden Gesellschaften; 85 ;2016;Hellmann Worldwide Logistics GmbH & Co. KG;Konzernabschluss;PwC
"• Hellmann Verwaltungs SE, Hamburg
• Hellmann Worldwide Logistics Road & Rail GmbH & Co. KG, Osnabrück
• Hellmann Worldwide Logistics Air & Sea GmbH & Co. KG, Osnabrück
• Hellmann Worldwide Logistics CL GmbH & Co. KG, Osnabrück
• Beteiligungsgesellschaft HWL Road & Rail GmbH, Osnabrück
• Beteiligungsgesellschaft HWL Air & Sea GmbH, Osnabrück
• Beteiligungsgesellschaft HWL CL GmbH, Osnabrück
• Hellmann Worldwide Logistics (Cuba) GmbH, Osnabrück
• Hellmann Immobilien Verwaltungsgesellschaft mbH & Co. KG, Polch
• Hellmann Immobilien Beteiligungsgesellschaft mbH, Polch
• Hellmann Immobilien Verwaltungsgesellschaft mbH & Co. KG, Neunkirchen
• Hellmann Immobilien Beteiligungsgesellschaft mbH, Neunkirchen
• Hellmann eCommerce GmbH & Co. KG, Osnabrück"; 85 ;2016;Hellmann Worldwide Logistics GmbH & Co. KG;Konzernabschluss;PwC
b) Befreiungsvorschriften für inländische Tochtergesellschaften sowie für die Muttergesellschaft;;2016;Hellmann Worldwide Logistics GmbH & Co. KG;Konzernabschluss;PwC
Die folgenden Tochtergesellschaften nehmen die Erleichterungsvorschrift des § 264 Abs. 3 HGB hinsichtlich der Veröffentlichung ihrer Jahresabschlüsse in Anspruch:; 100 ;2016;Hellmann Worldwide Logistics GmbH & Co. KG;Konzernabschluss;PwC
"• Hellmann Worldwide Logistics GmbH, Bielefeld
• EUROS Versicherungssysteme GmbH, Osnabrück
• Hellmann International Forwarders GmbH, Osnabrück"; 100 ;2016;Hellmann Worldwide Logistics GmbH & Co. KG;Konzernabschluss;PwC
Die folgende Tochtergesellschaft nimmt die Erleichterungsvorschrift des § 264 b HGB hinsichtlich der Veröffentlichung ihres Jahresabschlusses in Anspruch:; 101 ;2016;Hellmann Worldwide Logistics GmbH & Co. KG;Konzernabschluss;PwC
• Hellmann Immobilien GmbH & Co. KG, Osnabrück; 101 ;2016;Hellmann Worldwide Logistics GmbH & Co. KG;Konzernabschluss;PwC
Abweichend zum Vorjahr nimmt die Hellmann Worldwide Logistics GmbH & Co. KG, Osnabrück, die Erleichterungsvorschrift des § 5 Abs. 6 PublG hinsichtlich der Veröffentlichung ihres Jahresabschlusses nicht mehr in Anspruch. Stattdessen nimmt die Gesellschaft nunmehr auch die Erleichterungsvorschrift des § 264 b HGB hinsichtlich der Aufstellung eines Anhangs und eines Lageberichtes sowie der Veröffentlichung ihres Jahresabschlusses in Anspruch.; 101 ;2016;Hellmann Worldwide Logistics GmbH & Co. KG;Konzernabschluss;PwC
