; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
Anhang für 2016;;;;;
Rechnungslegungsvorschriften und allgemeine Angaben;;;;;
Der Jahresabschluss der Holcim (Deutschland) GmbH ist nach den Vorschriften des deutschen Handelsgesetzbuches (HGB) und des GmbH-Gesetzes (GmbHG) aufgestellt. Es gelten die Vorschriften für große Kapitalgesellschaften. Die zu einzelnen Posten der Bilanz und Gewinn- und Verlustrechnung vorgeschriebenen zusätzlichen Angaben werden im Anhang ausgewiesen. Die Gewinn- und Verlustrechnung ist nach dem Gesamtkostenverfahren gegliedert.; 8.0 ;2016;Holcim (Deutschland) GmbH;Jahresabschluss;EY
Am 18. Juni 2013 haben die Holcim Beteiligungs GmbH (Deutschland), Hamburg als Organträger und die Holcim (Deutschland) GmbH als Organgesellschaft zur Errichtung einer steuerlichen Organschaft einen Gewinnabführungsvertrag rückwirkend zum 1. Januar 2013 geschlossen.;;2016;Holcim (Deutschland) GmbH;Jahresabschluss;EY
"In der Gewinn- und Verlustrechnung wurden die Vorjahreszahlen der sonstigen betrieblichen Aufwendungen aufgrund der Änderungen durch das BilRUG um die im Vorjahr unter den außerordentlichen
Aufwendungen ausgewiesenen Aufwendungen aus der Anwendung der Art. 66 und 67 Abs. 1 bis 5 EGHGB (Übergangsvorschriften zum BilMOG) resultierenden Beträge in Höhe von TEUR 791 angepasst."; 3 ;2016;Holcim (Deutschland) GmbH;Jahresabschluss;EY
Registerinformationen; 90 ;2016;Holcim (Deutschland) GmbH;Jahresabschluss;EY
Die Gesellschaft ist im Handelsregister des Amtsgerichts Hamburg unter der Nummer HRB 139449 eingetragen.; 90 ;2016;Holcim (Deutschland) GmbH;Jahresabschluss;EY
Bilanzierungs- und Bewertungsgrundsätze, Währungsumrechnung;;2016;Holcim (Deutschland) GmbH;Jahresabschluss;EY
Für die Erstellung des Jahresabschlusses waren unverändert die nachfolgenden Bilanzierungs- und Bewertungsmethoden maßgebend.; 8.0 ;2016;Holcim (Deutschland) GmbH;Jahresabschluss;EY
Immaterielle Vermögensgegenstände werden zu Anschaffungskosten vermindert um planmäßige Abschreibungen angesetzt. Sachanlagen sind zu Anschaffungs- oder Herstellungskosten vermindert um planmäßige Abschreibungen bewertet. Die Herstellungskosten der selbst erstellten Anlagen enthalten das Fertigungsmaterial, die Fertigungslöhne und anteilige Material- und Fertigungsgemeinkosten sowie Verwaltungsgemeinkosten. Gebäude und Ofenanlagen werden linear abgeschrieben.; 8.2 ;2016;Holcim (Deutschland) GmbH;Jahresabschluss;EY
Bei den übrigen technischen Anlagen und den Gegenständen der Betriebs- und Geschäftsausstattung wurde bis einschließlich 2009 neben der linearen Abschreibungsmethode -soweit auch steuerrechtlich zulässig -die degressive Methode angewendet. Ab 2010 wurde ausschließlich die lineare Abschreibungsmethode angewendet. Vermögensgegenstände mit Anschaffungskosten bis zu 1.000 € werden im Jahr des Zugangs voll abgeschrieben.; 8.7 ;2016;Holcim (Deutschland) GmbH;Jahresabschluss;EY
Die Finanzanlagen werden zu Anschaffungskosten unter Berücksichtigung von Wertberichtigungen bilanziert. Außerplanmäßige Abschreibungen werden vorgenommen, sofern Anlagegegenständen ein nachhaltig niedrigerer Wert beizulegen ist.; 8.12 ;2016;Holcim (Deutschland) GmbH;Jahresabschluss;EY
