Anhang für das Geschäftsjahr 2016; Annotierung (Angabe Nummer in Anahngscheckliste) ;Geschäftsjahr;Gesellschaft;Abschlussart;Prüfer
A. Allgemeine Angaben;;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
Die HÖVELRAT Holding AG hat ihren Sitz in Hamburg. Die Gesellschaft ist im Handelsregister beim Amtsgericht unter der Nr. HRB 62914 eingetragen. Der Jahresabschluss der HÖVELRAT Holding AG wurde auf der Grundlage der Gliederungs-, Bilanzierungs- und Bewertungsvorschriften des Handelsgesetzbuches aufgestellt. Ergänzend zu diesen Vorschriften wurden die Regelungen des Aktiengesetzes beachtet. Es gelten die Vorschriften für große Kapitalgesellschaften.; 8.0, 113 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
I. Gliederungsgrundsätze/Darstellungsstetigkeit;;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
Die Gliederung der Bilanz erfolgte gemäß § 266 HGB. Für die Darstellung der Gewinn- und Verlustrechnung wurde das Gesamtkostenverfahren gemäß § 275 Abs. 2 HGB verwendet.; 8.0 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
Die Vorjahreswerte wurden entsprechend der Gliederung des Bilanzrichtlinien-Umsetzungsgesetzes (BilRUG) angepasst.; 8.0, 3 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
II. Bilanzierungsmethoden;;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
Der Jahresabschluss der Gesellschaft zum 31. Dezember 2016 wurde auf der Grundlage des Handelsgesetzbuches in der Fassung des Bilanzrichtlinien-Umsetzungsgesetzes vom 22. Juli 2015 aufgestellt.; 8.0 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
Im Jahresabschluss sind sämtliche Vermögensgegenstände, Schulden, Rechnungsabgrenzungsposten, Aufwendungen und Erträge enthalten, soweit gesetzlich nichts anderes bestimmt ist. Die Posten der Aktivseite sind nicht mit Posten der Passivseite, Aufwendungen nicht mit Erträgen, Grundstücksrechte nicht mit Grundstückslasten verrechnet worden.; 8.0 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
Das Anlage- und Umlaufvermögen, das Eigenkapital, die Schulden sowie die Rechnungsabgrenzungsposten wurden in der Bilanz gesondert ausgewiesen und hinreichend aufgegliedert.; 8.0 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
Das Anlagevermögen weist nur Gegenstände aus, die bestimmt sind, dem Geschäftsbetrieb dauernd zu dienen. Aufwendungen für die Gründung des Unternehmens und für die Beschaffung des Eigenkapitals sowie für immaterielle Vermögensgegenstände, die nicht entgeltlich erworben wurden, wurden nicht bilanziert.; 8.0 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
Rückstellungen wurden nur im Rahmen des § 249 HGB für ungewisse Verbindlichkeiten gebildet. Haftungsverhältnisse i.S. von § 251 HGB sind gegebenenfalls nachfolgend gesondert angegeben.; 8.0 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
III. Bewertungsmethoden;;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
Die Wertansätze der Eröffnungsbilanz des Geschäftsjahres stimmen mit denen der Schlussbilanz des vorangegangenen Geschäftsjahres überein. Bei der Bewertung wurde von der Fortführung des Unternehmens ausgegangen. Die Vermögensgegenstände und Schulden wurden einzeln bewertet. Es ist vorsichtig bewertet worden, namentlich sind alle vorhersehbaren Risiken und Verluste, die bis zum Abschlussstichtag entstanden sind, berücksichtigt worden, selbst wenn diese erst zwischen dem Abschlussstichtag und der Aufstellung des Jahresabschlusses bekannt geworden sind. Gewinne sind nur berücksichtigt worden, wenn sie bis zum Abschlussstichtag realisiert wurden. Aufwendungen und Erträge des Geschäftsjahres sind unabhängig vom Zeitpunkt der Zahlung berücksichtigt worden.; 8.0 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
Einzelne Positionen wurden wie folgt bewertet:; 8.0 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
1. Sachanlagevermögen; 8.7 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
–Es ist kein Sachanlagevermögen vorhanden.; 8.7 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
2. Anteile an verbundenen Unternehmen; 8.13 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
–Die Anteile an verbundenen Unternehmen sind zu Anschaffungskosten bzw. mit dem nach vernünftiger kaufmännischer Beurteilung niedrigeren beizulegenden Wert bilanziert.; 8.13 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
3. Forderungen und Sonstige Vermögensgegenstände; 8.25 ;2016;HÖVELRAT Holding AG;Jahresabschluss;CASIS Heimann Buchholz Espinoza.
